249_121331_000000_000000	CHAPTER 4.	CHAPTER four.	true	24.615	25.69	22.464014
249_121331_000000_000001	Narcissus Off Duty	Narcissus Off Duty	true	26.03	27.79	21.16946
249_121331_000001_000000	During Princeton's transition period, that is, during Amory's last two years there, while he saw it change and broaden and live up to its Gothic beauty by better means than night parades, certain individuals arrived who stirred it to its plethoric depths.	During Princeton's transition period, that is, during Amory's last two years there, while he saw it change and broaden and live up to its Gothic beauty by better means than night parades, certain individuals arrived who stirred it to its plethoric depths.	false	30.65	44.92	21.448704
249_121331_000001_000001	Some of them had been freshmen, and wild freshmen, with Amory; some were in the class below; and it was in the beginning of his last year and around small tables at the Nassau Inn that they began questioning aloud the institutions that Amory and countless others before him had questioned so long in secret. First, and partly by accident, they struck on certain books, a definite type of biographical novel that Amory christened "quest" books.	Some of them had been freshmen, and wild freshmen, with Amory; some were in the class below; and it was in the beginning of his last year and around small tables at the Nassau Inn that they began questioning aloud the institutions that Amory and countless others before him had questioned so long in secret. First, and partly by accident, they struck on certain books, a definite type of biographical novel that Amory christened "quest" books.	false	45.86	72.88	20.815788
249_121331_000001_000002	In the "quest" book the hero set off in life armed with the best weapons and avowedly intending to use them as such weapons are usually used, to push their possessors ahead as selfishly and blindly as possible, but the heroes of the "quest" books discovered that there might be a more magnificent use for them.	In the "quest" book the hero set off in life armed with the best weapons and avowedly intending to use them as such weapons are usually used, to push their possessors ahead as selfishly and blindly as possible, but the heroes of the "quest" books discovered that there might be a more magnificent use for them.	false	73.55	90.49	20.827728
249_121331_000001_000003	"None Other Gods," "Sinister Street," and "The Research Magnificent" were examples of such books; it was the latter of these three that gripped Burne Holiday and made him wonder in the beginning of senior year how much it was worth while being a diplomatic autocrat around his club on Prospect Avenue and basking in the high lights of class office.	"None Other Gods," "Sinister Street," and "The Research Magnificent" were examples of such books; it was the latter of these three that gripped Burne Holiday and made him wonder in the beginning of senior year how much it was worth while being a diplomatic autocrat around his club on Prospect Avenue and basking in the high lights of class office.	false	91.67	111.61	22.05413
249_121331_000001_000004	It was distinctly through the channels of aristocracy that Burne found his way.	It was distinctly through the channels of aristocracy that Burne found his way.	true	112.55	116.56	19
249_121331_000001_000005	Amory, through Kerry, had had a vague drifting acquaintance with him, but not until January of senior year did their friendship commence.	Amory, through Kerry, had had a vague drifting acquaintance with him, but not until January of senior year did their friendship commence.	false	117.05	125.38	21.005194
249_121331_000002_000000	"Heard the latest?" said Tom, coming in late one drizzly evening with that triumphant air he always wore after a successful conversational bout.	"Heard the latest?" said Tom, coming in late one drizzly evening with that triumphant air he always wore after a successful conversational bout.	true	126.89	134.05	17
249_121331_000003_000000	"No.	"no	true	134.81	135.21	43
249_121331_000003_000001	Somebody flunked out?	Somebody flunked out?	true	135.21	136.51	23.360401
249_121331_000003_000002	Or another ship sunk?"	Or another ship sunk?"	true	136.52	137.8	24.949863
249_121331_000004_000000	"Worse than that.	"Worse than that.	true	138.59	139.6	24.504429
249_121331_000004_000001	About one-third of the junior class are going to resign from their clubs."	About one third of the junior class are going to resign from their clubs."	true	139.67	143.14	21
249_121331_000005_000000	"What!"	"What!"	true	143.72	144.34	25.46023
249_121331_000006_000000	"Actual fact!"	"Actual fact!"	true	144.74	146.08	22.538734
249_121331_000007_000000	"Why!"	"Why!"	true	146.39	147.16	22.23799
249_121331_000008_000000	"Spirit of reform and all that.	"Spirit of reform and all that.	true	147.71	149.53	19.69173
249_121331_000008_000001	Burne Holiday is behind it.	Burne Holiday is behind it.	true	149.78	151.36	18.032671
249_121331_000008_000002	The club presidents are holding a meeting to-night to see if they can find a joint means of combating it."	The club presidents are holding a meeting to night to see if they can find a joint means of combating it."	true	151.46	156.19	19
249_121331_000009_000000	"Well, what's the idea of the thing?"	"Well, what's the idea of the thing?"	true	157.22	159.22	21.161594
