1498_140041_000000_000000	VII	seven	true	25.29	25.99	16
1498_140041_000001_000000	RIVERBORO SECRETS	RIVERBORO SECRETS	true	26.96	28.57	23
1498_140041_000002_000000	Mr. Simpson spent little time with his family, owing to certain awkward methods of horse-trading, or the "swapping" of farm implements and vehicles of various kinds,--operations in which his customers were never long suited.	mr Simpson spent little time with his family, owing to certain awkward methods of horse trading, or the "swapping" of farm implements and vehicles of various kinds,--operations in which his customers were never long suited.	true	29.51	42.22	16
1498_140041_000002_000001	After every successful trade he generally passed a longer or shorter term in jail; for when a poor man without goods or chattels has the inveterate habit of swapping, it follows naturally that he must have something to swap; and having nothing of his own, it follows still more naturally that he must swap something belonging to his neighbors.	After every successful trade he generally passed a longer or shorter term in jail; for when a poor man without goods or chattels has the inveterate habit of swapping, it follows naturally that he must have something to swap; and having nothing of his own, it follows still more naturally that he must swap something belonging to his neighbors.	true	42.74	60.22	16
1498_140041_000003_000000	Mr. Simpson was absent from the home circle for the moment because he had exchanged the Widow Rideout's sleigh for Joseph Goodwin's plough. Goodwin had lately moved to North Edgewood and had never before met the urbane and persuasive Mr. Simpson.	mr Simpson was absent from the home circle for the moment because he had exchanged the Widow Rideout's sleigh for Joseph Goodwin's plough. Goodwin had lately moved to North Edgewood and had never before met the urbane and persuasive mr Simpson.	true	61.07	74.41	17
1498_140041_000003_000001	The Goodwin plough Mr. Simpson speedily bartered with a man "over Wareham way," and got in exchange for it an old horse which his owner did not need, as he was leaving town to visit his daughter for a year, Simpson fattened the aged animal, keeping him for several weeks (at early morning or after nightfall) in one neighbor's pasture after another, and then exchanged him with a Milltown man for a top buggy.	The Goodwin plough mr Simpson speedily bartered with a man "over Wareham way," and got in exchange for it an old horse which his owner did not need, as he was leaving town to visit his daughter for a year, Simpson fattened the aged animal, keeping him for several weeks (at early morning or after nightfall) in one neighbor's pasture after another, and then exchanged him with a Milltown man for a top buggy.	true	75.05	96.13	18
1498_140041_000003_000002	It was at this juncture that the Widow Rideout missed her sleigh from the old carriage house.	It was at this juncture that the Widow Rideout missed her sleigh from the old carriage house.	true	97.01	101.415	14
1498_140041_000003_000003	She had not used it for fifteen years and might not sit in it for another fifteen, but it was property, and she did not intend to part with it without a struggle.	She had not used it for fifteen years and might not sit in it for another fifteen, but it was property, and she did not intend to part with it without a struggle.	true	101.415	109.39	19
1498_140041_000003_000004	Such is the suspicious nature of the village mind that the moment she discovered her loss her thought at once reverted to Abner Simpson.	Such is the suspicious nature of the village mind that the moment she discovered her loss her thought at once reverted to Abner Simpson.	false	109.7	117.37	16
1498_140041_000003_000005	So complicated, however, was the nature of this particular business transaction, and so tortuous the paths of its progress (partly owing to the complete disappearance of the owner of the horse, who had gone to the West and left no address), that it took the sheriff many weeks to prove Mr. Simpson's guilt to the town's and to the Widow Rideout's satisfaction.	So complicated, however, was the nature of this particular business transaction, and so tortuous the paths of its progress (partly owing to the complete disappearance of the owner of the horse, who had gone to the West and left no address), that it took the sheriff many weeks to prove mr Simpson's guilt to the town's and to the Widow Rideout's satisfaction.	false	117.8	136.99	17
1498_140041_000003_000006	Abner himself avowed his complete innocence, and told the neighbors how a red-haired man with a hare lip and a pepper-and-salt suit of clothes had called him up one morning about daylight and offered to swap him a good sleigh for an old cider press he had layin' out in the dooryard.	Abner himself avowed his complete innocence, and told the neighbors how a red haired man with a hare lip and a pepper and salt suit of clothes had called him up one morning about daylight and offered to swap him a good sleigh for an old cider press he had layin' out in the dooryard.	true	137.6	152.74	16
