2404_141240_000000_000000	"End of transmission," Brion said, and the screen went dark.	"End of transmission," Brion said, and the screen went dark.	false	0.45	3.3	21.337978
2404_141240_000001_000000	"Faussel!" he shouted into the intercom.	"Faussel!" he shouted into the intercom.	false	3.3	6.96	22.206612
2404_141240_000001_000001	"Get me the best and fastest sand car we have, a driver who knows his way around, and two men who can handle a gun and know how to take orders.	"Get me the best and fastest sand car we have, a driver who knows his way around, and two men who can handle a gun and know how to take orders.	false	6.96	18.33	21.451063
2404_141240_000001_000002	We're going to get some positive action at last."	We're going to get some positive action at last."	false	18.33	23.52	20.951693
2404_141240_000002_000000	X	X	false	23.52	25.59	18.561909
2404_141240_000003_000000	"It's suicide," the taller guard grumbled.	"It's suicide," the taller guard grumbled.	true	25.59	28.6	21.348469
2404_141240_000004_000000	"Mine, not yours, so don't worry about it," Brion barked at him. "Your job is to remember your orders and keep them straight. Now--let's hear them again."	"Mine, not yours, so don't worry about it," Brion barked at him. "Your job is to remember your orders and keep them straight. Now-let's hear them again."	true	29.06	39.79	21.536772
2404_141240_000005_000000	The guard rolled his eyes up in silent rebellion and repeated in a toneless voice: "We stay here in the car and keep the motor running while you go inside the stone pile there.	The guard rolled his eyes up in silent rebellion and repeated in a toneless voice: "We stay here in the car and keep the motor running while you go inside the stone pile there.	true	40.67	52.51	20.314247
2404_141240_000005_000001	We don't let anybody in the car and we try and keep them clear of the car--short of shooting them, that is.	We don't let anybody in the car and we try and keep them clear of the car-short of shooting them, that is.	false	52.52	58.81	23.397057
2404_141240_000005_000002	We don't come in, no matter what happens or what it looks like, but wait for you here.	We don't come in, no matter what happens or what it looks like, but wait for you here.	true	59.09	64.15	21.354465
2404_141240_000005_000003	Unless you call on the radio, in which case we come in with the automatics going and shoot the place up, and it doesn't matter who we hit.	Unless you call on the radio, in which case we come in with the automatics going and shoot the place up, and it doesn't matter who we hit.	true	64.34	73.06	20.750862
2404_141240_000005_000004	This will be done only as a last resort."	This will be done only as a last resort."	true	73.34	76.54	21.721876
2404_141240_000006_000000	"See if you can't arrange that last resort thing," the other guard said, patting the heavy blue barrel of his weapon.	"See if you can't arrange that last resort thing," the other guard said, patting the heavy blue barrel of his weapon.	true	77.51	84.52	22.305067
2404_141240_000007_000000	"I meant that _last_ resort," Brion said angrily.	"I meant that underscore last underscore resort," Brion said angrily.	false	85.07	89.13	22.283785
2404_141240_000007_000001	"If any guns go off without my permission you will pay for it, and pay with your necks.	"If any guns go off without my permission you will pay for it, and pay with your necks.	true	89.13	94.53	23.571157
2404_141240_000007_000002	I want that clearly understood.	I want that clearly understood.	true	94.53	96.87	24.09389
2404_141240_000007_000003	You are here as a rear guard and a base for me to get back to.	You are here as a rear guard and a base for me to get back to.	true	96.87	100.905	21.40627
2404_141240_000007_000004	This is my operation and mine alone--unless I call you in.	This is my operation and mine alone-unless I call you in.	true	100.905	105.43	19
2404_141240_000007_000005	Understood?"	Understood?"	true	105.62	106.84	23.845964
2404_141240_000008_000000	He waited until all three men had nodded in agreement, then checked the charge on his gun--it was fully loaded.	He waited until all three men had nodded in agreement, then checked the charge on his gun-it was fully loaded.	true	107.66	114.91	21.135609
2404_141240_000008_000001	It would be foolish to go in unarmed, but he had to.	It would be foolish to go in unarmed, but he had to.	true	115.07	118.51	20.123707
2404_141240_000008_000002	One gun wouldn't save him.	One gun wouldn't save him.	true	118.61	120.58	18.511543
2404_141240_000008_000003	He put it aside.	He put it aside.	true	120.74	122.26	20.938555
2404_141240_000008_000004	The button radio on his collar was working and had a strong enough signal to get through any number of walls.	The button radio on his collar was working and had a strong enough signal to get through any number of walls.	true	122.45	128.65	20.270538
2404_141240_000008_000005	He took off his coat, threw open the door and stepped out into the searing brilliance of the Disan noon.	He took off his coat, threw open the door and stepped out into the searing brilliance of the Disan noon.	true	129.02	135.22	22.093744
2404_141240_000009_000000	There was only the desert silence, broken by the steady throb of the car's motor behind him.	There was only the desert silence, broken by the steady throb of the car's motor behind him.	true	135.26	140.83	21.777077
2404_141240_000009_000001	Stretching away to the horizon in every direction was the eternal desert of sand.	Stretching away to the horizon in every direction was the eternal desert of sand.	true	141.02	146.05	20.562832
2404_141240_000009_000002	The keep stood nearby, solitary, a massive pile of black rock.	The keep stood nearby, solitary, a massive pile of black rock.	true	146.51	152.08	23.84143
2404_141240_000009_000003	Brion plodded closer, watching for any motion from the walls.	Brion plodded closer, watching for any motion from the walls.	true	152.3	156.55	20.398376
2404_141240_000009_000004	Nothing stirred.	Nothing stirred.	true	156.8	158.17	23.76921
2404_141240_000009_000005	The high-walled, irregularly shaped construction sat in a ponderous silence.	The high walled, irregularly shaped construction sat in a ponderous silence.	true	158.27	163.81	22.73922
2404_141240_000009_000006	Brion was sweating now, only partially from the heat.	Brion was sweating now, only partially from the heat.	true	164	167.86	22.818197
2404_141240_000010_000000	He circled the thing, looking for a gate.	He circled the thing, looking for a gate.	true	168.71	171.28	20.210999
2404_141240_000010_000001	There wasn't one at ground level.	There wasn't one at ground level.	true	171.47	173.59	19.85633
2404_141240_000010_000002	A slanting cleft in the stone could be climbed easily, but it seemed incredible that this might be the only entrance.	A slanting cleft in the stone could be climbed easily, but it seemed incredible that this might be the only entrance.	true	173.72	181.63	21.699717
2404_141240_000010_000003	A complete circuit proved that it was.	A complete circuit proved that it was.	true	182.06	184.72	22.295898
2404_141240_000010_000004	Brion looked unhappily at the slanting and broken ramp, then cupped his hands and shouted loudly.	Brion looked unhappily at the slanting and broken ramp, then cupped his hands and shouted loudly.	true	184.85	191.32	20.65631
2404_141240_000011_000000	"I'm coming up.	"I'm coming up.	true	191.84	193.29	23.975159
2404_141240_000011_000001	Your radio doesn't work any more.	Your radio doesn't work any more.	true	193.29	195.97	21.396093
2404_141240_000011_000002	I'm bringing the message from Nyjord that you have been waiting to hear." This was a slight bending of the truth without fracturing it.	I'm bringing the message from Nyjord that you have been waiting to hear." This was a slight bending of the truth without fracturing it.	true	196.1	205.3	20.435518
2404_141240_000011_000003	There was no answer--just the hiss of wind-blown sand against the rock and the mutter of the car in the background.	There was no answer-just the hiss of wind blown sand against the rock and the mutter of the car in the background.	true	205.85	213.04	22.155039
2404_141240_000011_000004	He started to climb.	He started to climb.	true	213.38	214.93	22.863914
2404_141240_000012_000000	The rock underfoot was crumbling and he had to watch where he put his feet.	The rock underfoot was crumbling and he had to watch where he put his feet.	true	216.35	220.63	23.428612
2404_141240_000012_000001	At the same time he fought a constant impulse to look up, watching for anything falling from above.	At the same time he fought a constant impulse to look up, watching for anything falling from above.	true	220.85	226.93	22.788603
2404_141240_000012_000002	Nothing happened.	Nothing happened.	true	227.3	228.61	21.15533
2404_141240_000012_000003	When he reached the top of the wall he was breathing hard; sweat moistened his body.	When he reached the top of the wall he was breathing hard; sweat moistened his body.	true	228.86	233.83	22.122622
2404_141240_000012_000004	There was still no one in sight.	There was still no one in sight.	true	234.14	236.2	20.906998
2404_141240_000012_000005	He stood on an unevenly shaped wall that appeared to circle the building.	He stood on an unevenly shaped wall that appeared to circle the building.	true	236.45	240.91	21.047647
2404_141240_000012_000006	Instead of having a courtyard inside it, the wall was the outer face of the structure, the domed roof rising from it.	Instead of having a courtyard inside it, the wall was the outer face of the structure, the domed roof rising from it.	true	241.04	248.71	21.315664
2404_141240_000012_000007	At varying intervals dark openings gave access to the interior.	At varying intervals dark openings gave access to the interior.	true	249.14	253.51	21.04794
2404_141240_000012_000008	When Brion looked down, the sand car was just a dun-colored bump in the desert, already far behind him.	When Brion looked down, the sand car was just a dun colored bump in the desert, already far behind him.	true	253.85	260.92	22.518902
