2404_141240_000003_000000	"It's suicide," the taller guard grumbled.	"It's suicide," the taller guard grumbled.
2404_141240_000004_000000	"Mine, not yours, so don't worry about it," Brion barked at him. "Your job is to remember your orders and keep them straight. Now--let's hear them again."	"Mine, not yours, so don't worry about it," Brion barked at him. "Your job is to remember your orders and keep them straight. Now-let's hear them again."
2404_141240_000005_000000	The guard rolled his eyes up in silent rebellion and repeated in a toneless voice: "We stay here in the car and keep the motor running while you go inside the stone pile there.	The guard rolled his eyes up in silent rebellion and repeated in a toneless voice: "We stay here in the car and keep the motor running while you go inside the stone pile there.
2404_141240_000005_000002	We don't come in, no matter what happens or what it looks like, but wait for you here.	We don't come in, no matter what happens or what it looks like, but wait for you here.
2404_141240_000005_000003	Unless you call on the radio, in which case we come in with the automatics going and shoot the place up, and it doesn't matter who we hit.	Unless you call on the radio, in which case we come in with the automatics going and shoot the place up, and it doesn't matter who we hit.
2404_141240_000005_000004	This will be done only as a last resort."	This will be done only as a last resort."
2404_141240_000006_000000	"See if you can't arrange that last resort thing," the other guard said, patting the heavy blue barrel of his weapon.	"See if you can't arrange that last resort thing," the other guard said, patting the heavy blue barrel of his weapon.
2404_141240_000007_000001	"If any guns go off without my permission you will pay for it, and pay with your necks.	"If any guns go off without my permission you will pay for it, and pay with your necks.
2404_141240_000007_000002	I want that clearly understood.	I want that clearly understood.
2404_141240_000007_000003	You are here as a rear guard and a base for me to get back to.	You are here as a rear guard and a base for me to get back to.
2404_141240_000007_000005	Understood?"	Understood?"
2404_141240_000008_000000	He waited until all three men had nodded in agreement, then checked the charge on his gun--it was fully loaded.	He waited until all three men had nodded in agreement, then checked the charge on his gun-it was fully loaded.
2404_141240_000008_000001	It would be foolish to go in unarmed, but he had to.	It would be foolish to go in unarmed, but he had to.
2404_141240_000008_000003	He put it aside.	He put it aside.
2404_141240_000008_000004	The button radio on his collar was working and had a strong enough signal to get through any number of walls.	The button radio on his collar was working and had a strong enough signal to get through any number of walls.
2404_141240_000008_000005	He took off his coat, threw open the door and stepped out into the searing brilliance of the Disan noon.	He took off his coat, threw open the door and stepped out into the searing brilliance of the Disan noon.
2404_141240_000009_000000	There was only the desert silence, broken by the steady throb of the car's motor behind him.	There was only the desert silence, broken by the steady throb of the car's motor behind him.
2404_141240_000009_000001	Stretching away to the horizon in every direction was the eternal desert of sand.	Stretching away to the horizon in every direction was the eternal desert of sand.
2404_141240_000009_000002	The keep stood nearby, solitary, a massive pile of black rock.	The keep stood nearby, solitary, a massive pile of black rock.
2404_141240_000009_000003	Brion plodded closer, watching for any motion from the walls.	Brion plodded closer, watching for any motion from the walls.
2404_141240_000009_000004	Nothing stirred.	Nothing stirred.
2404_141240_000009_000005	The high-walled, irregularly shaped construction sat in a ponderous silence.	The high walled, irregularly shaped construction sat in a ponderous silence.
2404_141240_000009_000006	Brion was sweating now, only partially from the heat.	Brion was sweating now, only partially from the heat.
2404_141240_000010_000000	He circled the thing, looking for a gate.	He circled the thing, looking for a gate.
2404_141240_000010_000002	A slanting cleft in the stone could be climbed easily, but it seemed incredible that this might be the only entrance.	A slanting cleft in the stone could be climbed easily, but it seemed incredible that this might be the only entrance.
2404_141240_000010_000003	A complete circuit proved that it was.	A complete circuit proved that it was.
2404_141240_000010_000004	Brion looked unhappily at the slanting and broken ramp, then cupped his hands and shouted loudly.	Brion looked unhappily at the slanting and broken ramp, then cupped his hands and shouted loudly.
2404_141240_000011_000000	"I'm coming up.	"I'm coming up.
2404_141240_000011_000001	Your radio doesn't work any more.	Your radio doesn't work any more.
2404_141240_000011_000002	I'm bringing the message from Nyjord that you have been waiting to hear." This was a slight bending of the truth without fracturing it.	I'm bringing the message from Nyjord that you have been waiting to hear." This was a slight bending of the truth without fracturing it.
2404_141240_000011_000003	There was no answer--just the hiss of wind-blown sand against the rock and the mutter of the car in the background.	There was no answer-just the hiss of wind blown sand against the rock and the mutter of the car in the background.
2404_141240_000011_000004	He started to climb.	He started to climb.
2404_141240_000012_000000	The rock underfoot was crumbling and he had to watch where he put his feet.	The rock underfoot was crumbling and he had to watch where he put his feet.
2404_141240_000012_000001	At the same time he fought a constant impulse to look up, watching for anything falling from above.	At the same time he fought a constant impulse to look up, watching for anything falling from above.
2404_141240_000012_000002	Nothing happened.	Nothing happened.
2404_141240_000012_000003	When he reached the top of the wall he was breathing hard; sweat moistened his body.	When he reached the top of the wall he was breathing hard; sweat moistened his body.
2404_141240_000012_000004	There was still no one in sight.	There was still no one in sight.
2404_141240_000012_000005	He stood on an unevenly shaped wall that appeared to circle the building.	He stood on an unevenly shaped wall that appeared to circle the building.
2404_141240_000012_000006	Instead of having a courtyard inside it, the wall was the outer face of the structure, the domed roof rising from it.	Instead of having a courtyard inside it, the wall was the outer face of the structure, the domed roof rising from it.
2404_141240_000012_000007	At varying intervals dark openings gave access to the interior.	At varying intervals dark openings gave access to the interior.
2404_141240_000012_000008	When Brion looked down, the sand car was just a dun-colored bump in the desert, already far behind him.	When Brion looked down, the sand car was just a dun colored bump in the desert, already far behind him.
2404_141240_000013_000000	Stooping, he went through the nearest door.	Stooping, he went through the nearest door.
2404_141240_000013_000001	There was still no one in sight.	There was still no one in sight.
2404_141240_000013_000002	The room inside was something out of a madman's funhouse. It was higher than it was wide, irregular in shape, and more like a hallway than a room.	The room inside was something out of a madman's funhouse. It was higher than it was wide, irregular in shape, and more like a hallway than a room.
2404_141240_000013_000003	At one end it merged into an incline that became a stairwell.	At one end it merged into an incline that became a stairwell.
2404_141240_000013_000004	At the other it ended in a hole that vanished in darkness below.	At the other it ended in a hole that vanished in darkness below.
2404_141240_000013_000005	Light of sorts filtered in through slots and holes drilled into the thick stone wall.	Light of sorts filtered in through slots and holes drilled into the thick stone wall.
2404_141240_000013_000006	Everything was built of the same crumble-textured but strong rock.	Everything was built of the same crumble textured but strong rock.
2404_141240_000013_000008	After a number of blind passages and wrong turns he saw a stronger light ahead, and went on.	After a number of blind passages and wrong turns he saw a stronger light ahead, and went on.
2404_141240_000013_000009	There was food, metal, even artifacts of the unusual Disan design in the different rooms he passed through.	There was food, metal, even artifacts of the unusual Disan design in the different rooms he passed through.
2404_141240_000013_000010	Yet no people.	Yet no people.
2404_141240_000013_000011	The light ahead grew stronger, and the last passageway opened and swelled out until it led into the large central chamber.	The light ahead grew stronger, and the last passageway opened and swelled out until it led into the large central chamber.
2404_141240_000014_000000	This was the heart of the strange structure.	This was the heart of the strange structure.
2404_141240_000014_000001	All the rooms, passageways and halls existed just to give form to this gigantic chamber.	All the rooms, passageways and halls existed just to give form to this gigantic chamber.
2404_141240_000014_000002	The walls rose sharply, the room being circular in cross section and growing narrower towards the top.	The walls rose sharply, the room being circular in cross section and growing narrower towards the top.
2404_141240_000014_000003	It was a truncated cone, since there was no ceiling; a hot blue disk of sky cast light on the floor below.	It was a truncated cone, since there was no ceiling; a hot blue disk of sky cast light on the floor below.
2404_141240_000016_000000	Out of the corner of his eyes, and with the very periphery of his consciousness, he was aware of the rest of the room--barrels, stores, machinery, a radio transceiver, various bundles and heaps that made no sense at first glance.	Out of the corner of his eyes, and with the very periphery of his consciousness, he was aware of the rest of the room-barrels, stores, machinery, a radio transceiver, various bundles and heaps that made no sense at first glance.
2404_141240_000016_000001	There was no time to look closer.	There was no time to look closer.
2404_141240_000017_000000	He had found the enemy.	He had found the enemy.
2404_141240_000018_000000	Everything that had happened to him so far on Dis had been preparation for this moment.	Everything that had happened to him so far on Dis had been preparation for this moment.
2404_141240_000018_000001	The attack in the desert, the escape, the dreadful heat of sun and sand.	The attack in the desert, the escape, the dreadful heat of sun and sand.
2404_141240_000018_000002	All this had tempered and prepared him.	All this had tempered and prepared him.
2404_141240_000018_000003	It had been nothing in itself.	It had been nothing in itself.
2404_141240_000018_000004	Now the battle would begin in earnest.	Now the battle would begin in earnest.
2404_141240_000019_000000	None of this was conscious in his mind.	None of this was conscious in his mind.
2404_141240_000019_000001	His fighter's reflexes bent his shoulders, curved his hands before him as he walked softly in balance, ready to spring in any direction.	His fighter's reflexes bent his shoulders, curved his hands before him as he walked softly in balance, ready to spring in any direction.
2404_141240_000019_000003	All the danger so far was nonphysical.	All the danger so far was nonphysical.
2404_141240_000019_000004	When he did give conscious thought to the situation he stopped, startled.	When he did give conscious thought to the situation he stopped, startled.
2404_141240_000019_000008	They were so muffled and wrapped in cloth that only their eyes were exposed.	They were so muffled and wrapped in cloth that only their eyes were exposed.
2404_141240_000020_000001	In spite of muffled cloth and silence, he knew them for what they were.	In spite of muffled cloth and silence, he knew them for what they were.
2404_141240_000020_000002	The eyes were empty of expression and unmoving, yet were filled with the same negative emptiness as those of a bird of prey.	The eyes were empty of expression and unmoving, yet were filled with the same negative emptiness as those of a bird of prey.
2404_141240_000020_000003	They could look on life, death, and the rending of flesh with the same lack of interest and compassion.	They could look on life, death, and the rending of flesh with the same lack of interest and compassion.
2404_141240_000020_000004	All this Brion knew in an instant of time, without words being spoken.	All this Brion knew in an instant of time, without words being spoken.
2404_141240_000020_000005	Between the time he lifted one foot and walked a step he understood what he had to face.	Between the time he lifted one foot and walked a step he understood what he had to face.
2404_141240_000020_000006	There could be no doubt, not to an empathetic.	There could be no doubt, not to an empathetic.
2404_141240_000021_000000	From the group of silent men poured a frost-white wave of unemotion. An empathetic shares what other men feel.	From the group of silent men poured a frost white wave of unemotion. An empathetic shares what other men feel.
2404_141240_000021_000001	He gets his knowledge of their reaction by sensing lightly their emotions, the surges of interest, hate, love, fear, desire, the sweep of large and small sensations that accompany all thought and action.	He gets his knowledge of their reaction by sensing lightly their emotions, the surges of interest, hate, love, fear, desire, the sweep of large and small sensations that accompany all thought and action.
2404_141240_000021_000002	The empathetic is always aware of this constant and silent surge, whether he makes the effort to understand it or not.	The empathetic is always aware of this constant and silent surge, whether he makes the effort to understand it or not.
2404_141240_000021_000003	He is like a man glancing across the open pages of a tableful of books.	He is like a man glancing across the open pages of a tableful of books.
2404_141240_000021_000004	He can see that the type, words, paragraphs, thoughts are there, even without focusing his attention to understand any of it.	He can see that the type, words, paragraphs, thoughts are there, even without focusing his attention to understand any of it.
2404_141240_000022_000000	Then how does the man feel when he glances at the open books and sees only blank pages?	Then how does the man feel when he glances at the open books and sees only blank pages?
2404_141240_000022_000001	The books are there--the words are not.	The books are there-the words are not.
2404_141240_000022_000002	He turns the pages of one, of the others, flipping the pages, searching for meaning.	He turns the pages of one, of the others, flipping the pages, searching for meaning.
2404_141240_000022_000003	There is no meaning.	There is no meaning.
2404_141240_000023_000001	Nothing more.	Nothing more.
2404_141240_000023_000002	Brion reached for other sensations, but there was nothing there to grasp.	Brion reached for other sensations, but there was nothing there to grasp.
2404_141240_000023_000003	Either these men were without emotions, or they were able to block them from his detection; it was impossible to tell which.	Either these men were without emotions, or they were able to block them from his detection; it was impossible to tell which.
2404_141240_000024_000000	Very little time had passed while Brion made these discoveries.	Very little time had passed while Brion made these discoveries.
2404_141240_000024_000001	The knot of men still looked at him, silent and unmoving.	The knot of men still looked at him, silent and unmoving.
2404_141240_000024_000002	They weren't expectant, their attitude could not have been called one of interest.	They weren't expectant, their attitude could not have been called one of interest.
2404_141240_000024_000003	But he had come to them and now they waited to find out why.	But he had come to them and now they waited to find out why.
2404_141240_000024_000004	Any questions or statements they spoke would be superfluous, so they didn't speak.	Any questions or statements they spoke would be superfluous, so they didn't speak.
2404_141240_000024_000005	The responsibility was his.	The responsibility was his.
2404_141240_000025_000001	Who is he?" Brion didn't like the tiny sound his voice made in the immense room.	Who is he?" Brion didn't like the tiny sound his voice made in the immense room.
2404_141240_000026_000000	One of the men gave a slight motion to draw attention to himself. None of the others moved.	One of the men gave a slight motion to draw attention to himself. None of the others moved.
2404_141240_000026_000001	They still waited.	They still waited.
2404_141240_000027_000000	"I have a message for you," Brion said, speaking slowly to fill the silence of the room and the emptiness of his thoughts.	"I have a message for you," Brion said, speaking slowly to fill the silence of the room and the emptiness of his thoughts.
2404_141240_000027_000002	But what was right?	But what was right?
2404_141240_000027_000003	"I'm from the Foundation in the city, as you undoubtedly know.	"I'm from the Foundation in the city, as you undoubtedly know.
2404_141240_000027_000005	They have a message for you."	They have a message for you."
2404_141240_000028_000000	The silence grew longer.	The silence grew longer.
2404_141240_000028_000002	He needed facts to operate, to form an opinion.	He needed facts to operate, to form an opinion.
2404_141240_000028_000003	Looking at the silent forms was telling him nothing.	Looking at the silent forms was telling him nothing.
2404_141240_000028_000004	Time stretched taut, and finally Lig-magte spoke.	Time stretched taut, and finally Lig magte spoke.
2404_141240_000030_000002	The enemy is going to surrender!"	The enemy is going to surrender!"
2404_141240_000030_000003	This wasn't the meaning.	This wasn't the meaning.
2404_141240_000031_000000	With a rising inflection on the end it would have been a question. "Are they going to surrender?" It was neither of these.	With a rising inflection on the end it would have been a question. "Are they going to surrender?" It was neither of these.
2404_141240_000031_000002	It had intellectual connotations, but these could only be gained from past knowledge, not from the sound of the words.	It had intellectual connotations, but these could only be gained from past knowledge, not from the sound of the words.
2404_141240_000031_000004	Therefore Brion was bringing the message. If that was not the message Brion was bringing the men here were not interested.	Therefore Brion was bringing the message. If that was not the message Brion was bringing the men here were not interested.
2404_141240_000032_000000	This was the vital fact.	This was the vital fact.
2404_141240_000032_000003	Therefore he would be killed.	Therefore he would be killed.
2404_141240_000032_000004	Because this was vital to his existence, Brion took the time to follow the thought through.	Because this was vital to his existence, Brion took the time to follow the thought through.
2404_141240_000032_000005	It made logical sense--and logic was all he could depend on now.	It made logical sense-and logic was all he could depend on now.
2404_141240_000032_000006	He could be talking to robots or alien creatures, for all the human response he was receiving.	He could be talking to robots or alien creatures, for all the human response he was receiving.
2404_141240_000033_000000	"You can't win this war--all you can do is hurry your own deaths." He said this with as much conviction as he could, realizing at the same time that it was wasted effort.	"You can't win this war-all you can do is hurry your own deaths." He said this with as much conviction as he could, realizing at the same time that it was wasted effort.
2404_141240_000033_000001	No flicker of response stirred in the men before him.	No flicker of response stirred in the men before him.
2404_141240_000033_000003	They can't take any more chances.	They can't take any more chances.
2404_141240_000033_000004	They have pushed the deadline closer by an entire day.	They have pushed the deadline closer by an entire day.
2404_141240_000033_000006	Do you realize what that means--"	Do you realize what that means-"
2404_141240_000035_000000	"Yes," Brion said.	"Yes," Brion said.
2404_141240_000036_000000	Two things saved his life then.	Two things saved his life then.
2404_141240_000036_000001	He had guessed what would happen as soon as they had his message, though he hadn't been sure.	He had guessed what would happen as soon as they had his message, though he hadn't been sure.
2404_141240_000036_000002	But even the suspicion had put him on his guard.	But even the suspicion had put him on his guard.
2404_141240_000036_000003	This, combined with the reflexes of a Winner of the Twenties, was barely enough to enable him to survive.	This, combined with the reflexes of a Winner of the Twenties, was barely enough to enable him to survive.
2404_141240_000037_000000	From frozen mobility Lig-magte had catapulted into headlong attack. As he leaped forward he drew a curved, double-edged blade from under his robes.	From frozen mobility Lig magte had catapulted into headlong attack. As he leaped forward he drew a curved, double edged blade from under his robes.
2404_141240_000037_000001	It plunged unerringly through the spot where Brion's body had been an instant before.	It plunged unerringly through the spot where Brion's body had been an instant before.
2404_141240_000038_000000	There had been no time to tense his muscles and jump, just the space of time to relax them and fall to one side.	There had been no time to tense his muscles and jump, just the space of time to relax them and fall to one side.
2404_141240_000038_000002	Lig-magte plunged by him, turning and bringing the knife down at the same time.	Lig magte plunged by him, turning and bringing the knife down at the same time.
2404_141240_000038_000003	Brion's foot lashed out and caught the other man's leg, sending him sprawling.	Brion's foot lashed out and caught the other man's leg, sending him sprawling.
2404_141240_000039_000000	They were both on their feet at the same instant, facing each other. Brion now had his hands clasped before him in the unarmed man's best defense against a knife, the two arms protecting the body, the two hands joined to beat aside the knife arm from whichever direction it came.	They were both on their feet at the same instant, facing each other. Brion now had his hands clasped before him in the unarmed man's best defense against a knife, the two arms protecting the body, the two hands joined to beat aside the knife arm from whichever direction it came.
2404_141240_000039_000001	The Disan hunched low, flipped the knife quickly from hand to hand, then thrust it again at Brion's midriff.	The Disan hunched low, flipped the knife quickly from hand to hand, then thrust it again at Brion's midriff.
2404_141240_000040_000000	Only by the merest fractional margin did Brion evade the attack for the second time.	Only by the merest fractional margin did Brion evade the attack for the second time.
2404_141240_000040_000001	Lig-magte fought with utter violence.	Lig magte fought with utter violence.
2404_141240_000040_000003	There could be only one end to this unequal contest if Brion stayed on the defensive. The man with the knife had to win.	There could be only one end to this unequal contest if Brion stayed on the defensive. The man with the knife had to win.
