6550_65820_000000_000000	Adieu.	Adieu.	false	1.5	2.25	26.916126
6550_65820_000001_000000	LETTER XX.	LETTER x x.	false	2.25	31.56	22.412123
6550_65820_000002_000000	I have formerly censured the French for their extreme attachment to theatrical exhibitions, because I thought that they tended to render them vain and unnatural characters; but I must acknowledge, especially as women of the town never appear in the Parisian as at our theatres, that the little saving of the week is more usefully expended there every Sunday than in porter or brandy, to intoxicate or stupify the mind.	I have formerly censured the French for their extreme attachment to theatrical exhibitions, because I thought that they tended to render them vain and unnatural characters; but I must acknowledge, especially as women of the town never appear in the Parisian as at our theatres, that the little saving of the week is more usefully expended there every Sunday than in porter or brandy, to intoxicate or stupify the mind.	true	31.56	57.55	22
6550_65820_000002_000001	The common people of France have a great superiority over that class in every other country on this very score.	The common people of France have a great superiority over that class in every other country on this very score.	true	58.22	64.84	20
6550_65820_000002_000002	It is merely the sobriety of the Parisians which renders their fetes more interesting, their gaiety never becoming disgusting or dangerous, as is always the case when liquor circulates.	It is merely the sobriety of the Parisians which renders their fetes more interesting, their gaiety never becoming disgusting or dangerous, as is always the case when liquor circulates.	true	65.15	76.45	20
6550_65820_000002_000003	Intoxication is the pleasure of savages, and of all those whose employments rather exhaust their animal spirits than exercise their faculties.	Intoxication is the pleasure of savages, and of all those whose employments rather exhaust their animal spirits than exercise their faculties.	true	77	85.99	20.857466
6550_65820_000002_000004	Is not this, in fact, the vice, both in England and the northern states of Europe, which appears to be the greatest impediment to general improvement?	Is not this, in fact, the vice, both in England and the northern states of Europe, which appears to be the greatest impediment to general improvement?	true	86.51	95.29	22.28646
6550_65820_000002_000005	Drinking is here the principal relaxation of the men, including smoking, but the women are very abstemious, though they have no public amusements as a substitute.	Drinking is here the principal relaxation of the men, including smoking, but the women are very abstemious, though they have no public amusements as a substitute.	true	95.66	106.27	22.443045
6550_65820_000002_000006	I ought to except one theatre, which appears more than is necessary; for when I was there it was not half full, and neither the ladies nor actresses displayed much fancy in their dress.	I ought to except one theatre, which appears more than is necessary; for when I was there it was not half full, and neither the ladies nor actresses displayed much fancy in their dress.	true	106.7	117.04	15
6550_65820_000003_000000	The play was founded on the story of the "Mock Doctor;" and, from the gestures of the servants, who were the best actors, I should imagine contained some humour.	The play was founded on the story of the "Mock Doctor;" and, from the gestures of the servants, who were the best actors, I should imagine contained some humour.	true	118.7	128.08	22.647146
6550_65820_000003_000001	The farce, termed ballet, was a kind of pantomime, the childish incidents of which were sufficient to show the state of the dramatic art in Denmark, and the gross taste of the audience.	The farce, termed ballet, was a kind of pantomime, the childish incidents of which were sufficient to show the state of the dramatic art in Denmark, and the gross taste of the audience.	true	128.39	139.51	21.672905
6550_65820_000003_000002	A magician, in the disguise of a tinker, enters a cottage where the women are all busy ironing, and rubs a dirty frying-pan against the linen.	A magician, in the disguise of a tinker, enters a cottage where the women are all busy ironing, and rubs a dirty frying pan against the linen.	true	140.75	149.29	17
6550_65820_000003_000003	The women raise a hue-and-cry, and dance after him, rousing their husbands, who join in the dance, but get the start of them in the pursuit.	The women raise a hue and cry, and dance after him, rousing their husbands, who join in the dance, but get the start of them in the pursuit.	false	149.75	158.65	20
6550_65820_000003_000004	The tinker, with the frying-pan for a shield, renders them immovable, and blacks their cheeks.	The tinker, with the frying pan for a shield, renders them immovable, and blacks their cheeks.	true	158.96	164.56	22
6550_65820_000003_000005	Each laughs at the other, unconscious of his own appearance; meanwhile the women enter to enjoy the sport, "the rare fun," with other incidents of the same species.	Each laughs at the other, unconscious of his own appearance; meanwhile the women enter to enjoy the sport, "the rare fun," with other incidents of the same species.	true	164.66	174.91	21.635864
6550_65820_000004_000000	The singing was much on a par with the dancing, the one as destitute of grace as the other of expression; but the orchestra was well filled, the instrumental being far superior to the vocal music.	The singing was much on a par with the dancing, the one as destitute of grace as the other of expression; but the orchestra was well filled, the instrumental being far superior to the vocal music.	false	175.79	186.67	23
6550_65820_000005_000000	I have likewise visited the public library and museum, as well as the palace of Rosembourg.	I have likewise visited the public library and museum, as well as the palace of Rosembourg.	true	188.18	193.48	21
6550_65820_000005_000001	This palace, now deserted, displays a gloomy kind of grandeur throughout, for the silence of spacious apartments always makes itself to be felt; I at least feel it, and I listen for the sound of my footsteps as I have done at midnight to the ticking of the death- watch, encouraging a kind of fanciful superstition.	This palace, now deserted, displays a gloomy kind of grandeur throughout, for the silence of spacious apartments always makes itself to be felt; I at least feel it, and I listen for the sound of my footsteps as I have done at midnight to the ticking of the death watch, encouraging a kind of fanciful superstition.	false	193.82	214.6	20.907124
