6115_58776_000001_000000	CHAPTER XXVII.	CHAPTER twenty seven.
6115_58776_000002_000000	GLACIAL AND PREGLACIAL LAKES AND RIVERS.	GLACIAL AND PREGLACIAL LAKES AND RIVERS.
6115_58776_000003_000001	Even the imagination, that wonderful architect, with all its tendencies to exaggeration, palls in its attempt to give expression in measured quantities to the mighty power exerted by the great glacier or combination of glaciers that existed in comparatively recent times.	Even the imagination, that wonderful architect, with all its tendencies to exaggeration, palls in its attempt to give expression in measured quantities to the mighty power exerted by the great glacier or combination of glaciers that existed in comparatively recent times.
6115_58776_000004_000002	Before the glacial period the Wisconsin River made a detour some miles west of its present channel through the high hills in the region of Baraboo.	Before the glacial period the Wisconsin River made a detour some miles west of its present channel through the high hills in the region of Baraboo.
6115_58776_000004_000004	The river at that point passed between two of these hills.	The river at that point passed between two of these hills.
6115_58776_000004_000005	When the ice flowed down it surrounded these hills, yet did not sweep over their tops, but left great piles of glacial drift, both at the points where the river channel entered the hills and where it emerges from them.	When the ice flowed down it surrounded these hills, yet did not sweep over their tops, but left great piles of glacial drift, both at the points where the river channel entered the hills and where it emerges from them.
6115_58776_000004_000007	Therefore a deep basin was left, which is kept filled by the watershed furnished by the surrounding hills.	Therefore a deep basin was left, which is kept filled by the watershed furnished by the surrounding hills.
6115_58776_000005_000000	There are hundreds and perhaps thousands of lakes that have been formed in one way or another through the power of glacial action.	There are hundreds and perhaps thousands of lakes that have been formed in one way or another through the power of glacial action.
6115_58776_000005_000001	These smaller inland lakes, so many of which are seen in northern Illinois, southern Wisconsin, and Minnesota, are due almost entirely to the great deposits of glacial drift that have been transported with the ice.	These smaller inland lakes, so many of which are seen in northern Illinois, southern Wisconsin, and Minnesota, are due almost entirely to the great deposits of glacial drift that have been transported with the ice.
6115_58776_000005_000002	Wherever these "kettle holes" are found large bodies of ice have become anchored, while the ice behind it has carried the drift until it is covered over and piled up at the sides.	Wherever these "kettle holes" are found large bodies of ice have become anchored, while the ice behind it has carried the drift until it is covered over and piled up at the sides.
6115_58776_000005_000003	When these ice mountains melted away depressions were left which in some cases have resulted in lakes, and in others simply dry kettle holes.	When these ice mountains melted away depressions were left which in some cases have resulted in lakes, and in others simply dry kettle holes.
6115_58776_000005_000004	This process has been hinted at in a former chapter, but we give it here as one of the kinds of lakes formed during the glacial period.	This process has been hinted at in a former chapter, but we give it here as one of the kinds of lakes formed during the glacial period.
6115_58776_000005_000005	They are found everywhere that glacial action has prevailed.	They are found everywhere that glacial action has prevailed.
6115_58776_000005_000007	These lakes, however, are comparatively insignificant as compared with the great inland seas like Lake Superior and Lake Michigan, that undoubtedly owe their origin largely to the ice age.	These lakes, however, are comparatively insignificant as compared with the great inland seas like Lake Superior and Lake Michigan, that undoubtedly owe their origin largely to the ice age.
6115_58776_000007_000000	Glacial lakes may be divided into three classes.	Glacial lakes may be divided into three classes.
6115_58776_000007_000001	Those found in the "kettle holes" of the terminal or medial moraines, and those that are formed by the deposition of the glacial drift, as, for instance, Devil's Lake, and those that are caused by ice forming dams across the valley of a river that lasted only during the ice age.	Those found in the "kettle holes" of the terminal or medial moraines, and those that are formed by the deposition of the glacial drift, as, for instance, Devil's Lake, and those that are caused by ice forming dams across the valley of a river that lasted only during the ice age.
6115_58776_000008_000000	In order, however, that we may understand more fully the formation of these greater lakes it will be necessary for us to go back and examine the conditions that seem to have existed before the glacial period.	In order, however, that we may understand more fully the formation of these greater lakes it will be necessary for us to go back and examine the conditions that seem to have existed before the glacial period.
6115_58776_000009_000000	It is a fact well known that continents have periods of elevation and depression.	It is a fact well known that continents have periods of elevation and depression.
6115_58776_000009_000007	The question naturally arises, Where did all the dirt come from to fill up these great river beds and change the whole topography of the northern half of the continent?	The question naturally arises, Where did all the dirt come from to fill up these great river beds and change the whole topography of the northern half of the continent?
6115_58776_000009_000008	Dr. Wright estimates that there is not less than 1,000,000 square miles of territory in North America covered with glacial debris to an average depth of 50 feet.	dr Wright estimates that there is not less than one million square miles of territory in North America covered with glacial debris to an average depth of fifty feet.
6115_58776_000009_000010	Of the carrying power of these great glaciers we will speak more fully in a future chapter.	Of the carrying power of these great glaciers we will speak more fully in a future chapter.
6115_58776_000009_000011	In preglacial times the watershed of the Mississippi and of the great rivers east of the Alleghany Mountains, the Susquehanna and Hudson, extended probably farther north than it does to-day.	In preglacial times the watershed of the Mississippi and of the great rivers east of the Alleghany Mountains, the Susquehanna and Hudson, extended probably farther north than it does to day.
6115_58776_000010_000001	All of the lake bottoms of this great chain, with the exception of Lake Erie, are now below sea-level.	All of the lake bottoms of this great chain, with the exception of Lake Erie, are now below sea-level.
6115_58776_000015_000000	There may have existed something of a lake in preglacial times, through which the river ran, but it undoubtedly owes its present width to the grinding action of the irresistible icebergs and the piling up of debris on the shores.	There may have existed something of a lake in preglacial times, through which the river ran, but it undoubtedly owes its present width to the grinding action of the irresistible icebergs and the piling up of debris on the shores.
