7828_105179_000000_000000	Chapter XXIV	Chapter twenty four	false	0.39	2.76	24.109766
7828_105179_000001_000000	The Tommies	The Tommies	false	2.76	22.93	23.618305
7828_105179_000002_000000	Daylight overtook them after they had entered the gorge, but, tired as they all were with the exception of Tarzan, they realized that they must keep on at all costs until they found a spot where they might ascend the precipitous side of the gorge to the floor of the plateau above.	Daylight overtook them after they had entered the gorge, but, tired as they all were with the exception of Tarzan, they realized that they must keep on at all costs until they found a spot where they might ascend the precipitous side of the gorge to the floor of the plateau above.	false	23.36	38.17	25
7828_105179_000002_000001	Tarzan and Otobu were both equally confident that the Xujans would not follow them beyond the gorge, but though they scanned every inch of the frowning cliffs upon either hand noon came and there was still no indication of any avenue of escape to right or left.	Tarzan and Otobu were both equally confident that the Xujans would not follow them beyond the gorge, but though they scanned every inch of the frowning cliffs upon either hand noon came and there was still no indication of any avenue of escape to right or left.	false	38.6	55	23.886488
7828_105179_000002_000002	There were places where the ape-man alone might have negotiated the ascent but none where the others could hope successfully to reach the plateau, nor where Tarzan, powerful and agile as he was, could have ventured safely to carry them aloft.	There were places where the ape man alone might have negotiated the ascent but none where the others could hope successfully to reach the plateau, nor where Tarzan, powerful and agile as he was, could have ventured safely to carry them aloft.	true	55.16	68.62	21.769133
7828_105179_000003_000000	For half a day the ape-man had been either carrying or supporting Smith-Oldwick and now, to his chagrin, he saw that the girl was faltering.	For half a day the ape man had been either carrying or supporting Smith Oldwick and now, to his chagrin, he saw that the girl was faltering.	false	68.93	77.14	25.12479
7828_105179_000003_000001	He had realized well how much she had undergone and how greatly the hardships and dangers and the fatigue of the past weeks must have told upon her vitality.	He had realized well how much she had undergone and how greatly the hardships and dangers and the fatigue of the past weeks must have told upon her vitality.	true	77.51	85.96	19
7828_105179_000003_000002	He saw how bravely she attempted to keep up, yet how often she stumbled and staggered as she labored through the sand and gravel of the gorge.	He saw how bravely she attempted to keep up, yet how often she stumbled and staggered as she labored through the sand and gravel of the gorge.	true	86.39	93.49	19.160656
7828_105179_000003_000003	Nor could he help but admire her fortitude and the uncomplaining effort she was making to push on.	Nor could he help but admire her fortitude and the uncomplaining effort she was making to push on.	true	93.95	99.61	23.936237
7828_105179_000004_000000	The Englishman must have noticed her condition too, for some time after noon, he stopped suddenly and sat down in the sand.	The Englishman must have noticed her condition too, for some time after noon, he stopped suddenly and sat down in the sand.	false	100.49	107.5	22.366173
7828_105179_000004_000001	"It's no use," he said to Tarzan.	"It's no use," he said to Tarzan.	true	107.78	110.14	24.13482
