1392_128226_000003_000000	Thus spake Zarathustra.	Thus spake Zarathustra.
1392_128226_000005_000000	Once on a time, Zarathustra also cast his fancy beyond man, like all backworldsmen.	Once on a time, Zarathustra also cast his fancy beyond man, like all backworldsmen.
1392_128226_000005_000001	The work of a suffering and tortured God, did the world then seem to me.	The work of a suffering and tortured God, did the world then seem to me.
1392_128226_000006_000000	The dream--and diction--of a God, did the world then seem to me; coloured vapours before the eyes of a divinely dissatisfied one.	The dream-and diction-of a God, did the world then seem to me; coloured vapours before the eyes of a divinely dissatisfied one.
1392_128226_000007_000000	Good and evil, and joy and woe, and I and thou--coloured vapours did they seem to me before creative eyes.	Good and evil, and joy and woe, and I and thou-coloured vapours did they seem to me before creative eyes.
1392_128226_000007_000001	The creator wished to look away from himself,--thereupon he created the world.	The creator wished to look away from himself,--thereupon he created the world.
1392_128226_000008_000001	Intoxicating joy and self-forgetting, did the world once seem to me.	Intoxicating joy and self forgetting, did the world once seem to me.
1392_128226_000009_000000	This world, the eternally imperfect, an eternal contradiction's image and imperfect image--an intoxicating joy to its imperfect creator:--thus did the world once seem to me.	This world, the eternally imperfect, an eternal contradiction's image and imperfect image-an intoxicating joy to its imperfect creator:--thus did the world once seem to me.
1392_128226_000010_000000	Thus, once on a time, did I also cast my fancy beyond man, like all backworldsmen.	Thus, once on a time, did I also cast my fancy beyond man, like all backworldsmen.
1392_128226_000010_000001	Beyond man, forsooth?	Beyond man, forsooth?
1392_128226_000011_000000	Ah, ye brethren, that God whom I created was human work and human madness, like all the Gods!	Ah, ye brethren, that God whom I created was human work and human madness, like all the Gods!
1392_128226_000012_000000	A man was he, and only a poor fragment of a man and ego.	A man was he, and only a poor fragment of a man and ego.
1392_128226_000012_000002	And verily, it came not unto me from the beyond!	And verily, it came not unto me from the beyond!
1392_128226_000013_000000	What happened, my brethren?	What happened, my brethren?
1392_128226_000013_000001	I surpassed myself, the suffering one; I carried mine own ashes to the mountain; a brighter flame I contrived for myself.	I surpassed myself, the suffering one; I carried mine own ashes to the mountain; a brighter flame I contrived for myself.
1392_128226_000013_000002	And lo!	And lo!
1392_128226_000013_000003	Thereupon the phantom WITHDREW from me!	Thereupon the phantom WITHDREW from me!
1392_128226_000014_000000	To me the convalescent would it now be suffering and torment to believe in such phantoms: suffering would it now be to me, and humiliation.	To me the convalescent would it now be suffering and torment to believe in such phantoms: suffering would it now be to me, and humiliation.
1392_128226_000016_000000	Weariness, which seeketh to get to the ultimate with one leap, with a death-leap; a poor ignorant weariness, unwilling even to will any longer: that created all Gods and backworlds.	Weariness, which seeketh to get to the ultimate with one leap, with a death leap; a poor ignorant weariness, unwilling even to will any longer: that created all Gods and backworlds.
1392_128226_000017_000001	It was the body which despaired of the body--it groped with the fingers of the infatuated spirit at the ultimate walls.	It was the body which despaired of the body-it groped with the fingers of the infatuated spirit at the ultimate walls.
1392_128226_000018_000000	Believe me, my brethren!	Believe me, my brethren!
1392_128226_000018_000001	It was the body which despaired of the earth--it heard the bowels of existence speaking unto it.	It was the body which despaired of the earth-it heard the bowels of existence speaking unto it.
1392_128226_000019_000000	And then it sought to get through the ultimate walls with its head--and not with its head only--into "the other world."	And then it sought to get through the ultimate walls with its head-and not with its head only-into "the other world."
1392_128226_000020_000000	But that "other world" is well concealed from man, that dehumanised, inhuman world, which is a celestial naught; and the bowels of existence do not speak unto man, except as man.	But that "other world" is well concealed from man, that dehumanised, inhuman world, which is a celestial naught; and the bowels of existence do not speak unto man, except as man.
1392_128226_000021_000000	Verily, it is difficult to prove all being, and hard to make it speak. Tell me, ye brethren, is not the strangest of all things best proved?	Verily, it is difficult to prove all being, and hard to make it speak. Tell me, ye brethren, is not the strangest of all things best proved?
1392_128226_000022_000000	Yea, this ego, with its contradiction and perplexity, speaketh most uprightly of its being--this creating, willing, evaluing ego, which is the measure and value of things.	Yea, this ego, with its contradiction and perplexity, speaketh most uprightly of its being-this creating, willing, evaluing ego, which is the measure and value of things.
1392_128226_000025_000000	A new pride taught me mine ego, and that teach I unto men: no longer to thrust one's head into the sand of celestial things, but to carry it freely, a terrestrial head, which giveth meaning to the earth!	A new pride taught me mine ego, and that teach I unto men: no longer to thrust one's head into the sand of celestial things, but to carry it freely, a terrestrial head, which giveth meaning to the earth!
1392_128226_000027_000000	The sick and perishing--it was they who despised the body and the earth, and invented the heavenly world, and the redeeming blood-drops; but even those sweet and sad poisons they borrowed from the body and the earth!	The sick and perishing-it was they who despised the body and the earth, and invented the heavenly world, and the redeeming blood drops; but even those sweet and sad poisons they borrowed from the body and the earth!
1392_128226_000028_000000	From their misery they sought escape, and the stars were too remote for them.	From their misery they sought escape, and the stars were too remote for them.
1392_128226_000028_000001	Then they sighed: "O that there were heavenly paths by which to steal into another existence and into happiness!" Then they contrived for themselves their by-paths and bloody draughts!	Then they sighed: "O that there were heavenly paths by which to steal into another existence and into happiness!" Then they contrived for themselves their by paths and bloody draughts!
1392_128226_000029_000000	Beyond the sphere of their body and this earth they now fancied themselves transported, these ungrateful ones.	Beyond the sphere of their body and this earth they now fancied themselves transported, these ungrateful ones.
1392_128226_000029_000001	But to what did they owe the convulsion and rapture of their transport?	But to what did they owe the convulsion and rapture of their transport?
1392_128226_000029_000002	To their body and this earth.	To their body and this earth.
1392_128226_000030_000000	Gentle is Zarathustra to the sickly.	Gentle is Zarathustra to the sickly.
1392_128226_000030_000002	May they become convalescents and overcomers, and create higher bodies for themselves!	May they become convalescents and overcomers, and create higher bodies for themselves!
1392_128226_000031_000000	Neither is Zarathustra indignant at a convalescent who looketh tenderly on his delusions, and at midnight stealeth round the grave of his God; but sickness and a sick frame remain even in his tears.	Neither is Zarathustra indignant at a convalescent who looketh tenderly on his delusions, and at midnight stealeth round the grave of his God; but sickness and a sick frame remain even in his tears.
1392_128226_000032_000000	Many sickly ones have there always been among those who muse, and languish for God; violently they hate the discerning ones, and the latest of virtues, which is uprightness.	Many sickly ones have there always been among those who muse, and languish for God; violently they hate the discerning ones, and the latest of virtues, which is uprightness.
1392_128226_000033_000000	Backward they always gaze toward dark ages: then, indeed, were delusion and faith something different.	Backward they always gaze toward dark ages: then, indeed, were delusion and faith something different.
1392_128226_000033_000001	Raving of the reason was likeness to God, and doubt was sin.	Raving of the reason was likeness to God, and doubt was sin.
1392_128226_000034_000000	Too well do I know those godlike ones: they insist on being believed in, and that doubt is sin.	Too well do I know those godlike ones: they insist on being believed in, and that doubt is sin.
1392_128226_000034_000001	Too well, also, do I know what they themselves most believe in.	Too well, also, do I know what they themselves most believe in.
1392_128226_000035_000000	Verily, not in backworlds and redeeming blood-drops: but in the body do they also believe most; and their own body is for them the thing-in-itself.	Verily, not in backworlds and redeeming blood drops: but in the body do they also believe most; and their own body is for them the thing in itself.
1392_128226_000036_000000	But it is a sickly thing to them, and gladly would they get out of their skin.	But it is a sickly thing to them, and gladly would they get out of their skin.
1392_128226_000036_000001	Therefore hearken they to the preachers of death, and themselves preach backworlds.	Therefore hearken they to the preachers of death, and themselves preach backworlds.
1392_128226_000037_000000	Hearken rather, my brethren, to the voice of the healthy body; it is a more upright and pure voice.	Hearken rather, my brethren, to the voice of the healthy body; it is a more upright and pure voice.
1392_128226_000038_000000	More uprightly and purely speaketh the healthy body, perfect and square-built; and it speaketh of the meaning of the earth.--	More uprightly and purely speaketh the healthy body, perfect and square built; and it speaketh of the meaning of the earth.--
1392_128226_000039_000000	Thus spake Zarathustra.	Thus spake Zarathustra.
