636_128310_000000_000000	"I can't say."	"I can't say."	false	8.67	16.86	6
636_128310_000001_000000	The end of the first book.	The end of the first book.	false	16.86	22.335	18
636_128310_000002_000000	Book the Second--the Golden Thread	Book the Second-the Golden Thread	false	22.335	25.92	18
636_128310_000003_000000	I. Five Years Later	I. Five Years Later	false	25.92	28.66	17
636_128310_000004_000000	Tellson's Bank by Temple Bar was an old-fashioned place, even in the year one thousand seven hundred and eighty.	Tellson's Bank by Temple Bar was an old-fashioned place, even in the year one thousand seven hundred and eighty.	true	29.81	36.04	10
636_128310_000004_000001	It was very small, very dark, very ugly, very incommodious.	It was very small, very dark, very ugly, very incommodious.	true	36.83	42.28	12
636_128310_000004_000002	It was an old-fashioned place, moreover, in the moral attribute that the partners in the House were proud of its smallness, proud of its darkness, proud of its ugliness, proud of its incommodiousness.	It was an old-fashioned place, moreover, in the moral attribute that the partners in the House were proud of its smallness, proud of its darkness, proud of its ugliness, proud of its incommodiousness.	true	43.19	54.88	16
636_128310_000004_000003	They were even boastful of its eminence in those particulars, and were fired by an express conviction that, if it were less objectionable, it would be less respectable.	They were even boastful of its eminence in those particulars, and were fired by an express conviction that, if it were less objectionable, it would be less respectable.	true	55.19	64.09	12
636_128310_000004_000004	This was no passive belief, but an active weapon which they flashed at more convenient places of business.	This was no passive belief, but an active weapon which they flashed at more convenient places of business.	true	64.67	70.45	12
636_128310_000004_000005	Tellson's (they said) wanted no elbow-room, Tellson's wanted no light, Tellson's wanted no embellishment.	Tellson's (they said) wanted no elbow room, Tellson's wanted no light, Tellson's wanted no embellishment.	true	70.76	77.89	12
636_128310_000004_000006	Noakes and Co.'s might, or Snooks Brothers' might; but Tellson's, thank Heaven--!	Noakes and Co's might, or Snooks Brothers' might; but Tellson's, thank Heaven-!	false	77.96	84.64	13
636_128310_000005_000000	Any one of these partners would have disinherited his son on the question of rebuilding Tellson's.	Any one of these partners would have disinherited his son on the question of rebuilding Tellson's.	true	85.19	90.46	11
636_128310_000005_000001	In this respect the House was much on a par with the Country; which did very often disinherit its sons for suggesting improvements in laws and customs that had long been highly objectionable, but were only the more respectable.	In this respect the House was much on a par with the Country; which did very often disinherit its sons for suggesting improvements in laws and customs that had long been highly objectionable, but were only the more respectable.	true	90.77	103.81	12
636_128310_000006_000000	Thus it had come to pass, that Tellson's was the triumphant perfection of inconvenience.	Thus it had come to pass, that Tellson's was the triumphant perfection of inconvenience.	true	104.69	110.08	11
636_128310_000006_000001	After bursting open a door of idiotic obstinacy with a weak rattle in its throat, you fell into Tellson's down two steps, and came to your senses in a miserable little shop, with two little counters, where the oldest of men made your cheque shake as if the wind rustled it, while they examined the signature by the dingiest of windows, which were always under a shower-bath of mud from Fleet-street, and which were made the dingier by their own iron bars proper, and the heavy shadow of Temple Bar.	After bursting open a door of idiotic obstinacy with a weak rattle in its throat, you fell into Tellson's down two steps, and came to your senses in a miserable little shop, with two little counters, where the oldest of men made your cheque shake as if the wind rustled it, while they examined the signature by the dingiest of windows, which were always under a shower bath of mud from Fleet street, and which were made the dingier by their own iron bars proper, and the heavy shadow of Temple Bar.	true	110.69	141.52	12
636_128310_000006_000002	If your business necessitated your seeing "the House," you were put into a species of Condemned Hold at the back, where you meditated on a misspent life, until the House came with its hands in its pockets, and you could hardly blink at it in the dismal twilight.	If your business necessitated your seeing "the House," you were put into a species of Condemned Hold at the back, where you meditated on a misspent life, until the House came with its hands in its pockets, and you could hardly blink at it in the dismal twilight.	true	142.28	158.26	12
636_128310_000006_000003	Your money came out of, or went into, wormy old wooden drawers, particles of which flew up your nose and down your throat when they were opened and shut.	Your money came out of, or went into, wormy old wooden drawers, particles of which flew up your nose and down your throat when they were opened and shut.	true	158.96	167.65	11
636_128310_000006_000004	Your bank-notes had a musty odour, as if they were fast decomposing into rags again.	Your bank notes had a musty odour, as if they were fast decomposing into rags again.	true	168.23	173.89	12
636_128310_000006_000005	Your plate was stowed away among the neighbouring cesspools, and evil communications corrupted its good polish in a day or two.	Your plate was stowed away among the neighbouring cesspools, and evil communications corrupted its good polish in a day or two.	true	174.47	181.3	11
636_128310_000006_000006	Your deeds got into extemporised strong-rooms made of kitchens and sculleries, and fretted all the fat out of their parchments into the banking-house air.	Your deeds got into extemporised strong rooms made of kitchens and sculleries, and fretted all the fat out of their parchments into the banking house air.	true	181.97	191.68	14
636_128310_000006_000007	Your lighter boxes of family papers went up-stairs into a Barmecide room, that always had a great dining-table in it and never had a dinner, and where, even in the year one thousand seven hundred and eighty, the first letters written to you by your old love, or by your little children, were but newly released from the horror of being ogled through the windows, by the heads exposed on Temple Bar with an insensate brutality and ferocity worthy of Abyssinia or Ashantee.	Your lighter boxes of family papers went up stairs into a Barmecide room, that always had a great dining table in it and never had a dinner, and where, even in the year one thousand seven hundred and eighty, the first letters written to you by your old love, or by your little children, were but newly released from the horror of being ogled through the windows, by the heads exposed on Temple Bar with an insensate brutality and ferocity worthy of Abyssinia or Ashantee.	true	191.87	220.84	11
636_128310_000007_000000	But indeed, at that time, putting to death was a recipe much in vogue with all trades and professions, and not least of all with Tellson's. Death is Nature's remedy for all things, and why not Legislation's? Accordingly, the forger was put to Death; the utterer of a bad note was put to Death; the unlawful opener of a letter was put to Death; the purloiner of forty shillings and sixpence was put to Death; the holder of a horse at Tellson's door, who made off with it, was put to Death; the coiner of a bad shilling was put to Death; the sounders of three-fourths of the notes in the whole gamut of Crime, were put to Death.	But indeed, at that time, putting to death was a recipe much in vogue with all trades and professions, and not least of all with Tellson's. Death is Nature's remedy for all things, and why not Legislation's? Accordingly, the forger was put to Death; the utterer of a bad note was put to Death; the unlawful opener of a letter was put to Death; the purloiner of forty shillings and sixpence was put to Death; the holder of a horse at Tellson's door, who made off with it, was put to Death; the coiner of a bad shilling was put to Death; the sounders of three fourths of the notes in the whole gamut of Crime, were put to Death.	true	222.32	261.19	14
636_128310_000007_000001	Not that it did the least good in the way of prevention--it might almost have been worth remarking that the fact was exactly the reverse--but, it cleared off (as to this world) the trouble of each particular case, and left nothing else connected with it to be looked after.	Not that it did the least good in the way of prevention-it might almost have been worth remarking that the fact was exactly the reverse-but, it cleared off (as to this world) the trouble of each particular case, and left nothing else connected with it to be looked after.	true	261.26	276.82	12
636_128310_000007_000002	Thus, Tellson's, in its day, like greater places of business, its contemporaries, had taken so many lives, that, if the heads laid low before it had been ranged on Temple Bar instead of being privately disposed of, they would probably have excluded what little light the ground floor had, in a rather significant manner.	Thus, Tellson's, in its day, like greater places of business, its contemporaries, had taken so many lives, that, if the heads laid low before it had been ranged on Temple Bar instead of being privately disposed of, they would probably have excluded what little light the ground floor had, in a rather significant manner.	false	277.55	296.02	12
636_128310_000008_000000	Cramped in all kinds of dim cupboards and hutches at Tellson's, the oldest of men carried on the business gravely.	Cramped in all kinds of dim cupboards and hutches at Tellson's, the oldest of men carried on the business gravely.	true	296.66	303.13	12
636_128310_000008_000001	When they took a young man into Tellson's London house, they hid him somewhere till he was old.	When they took a young man into Tellson's London house, they hid him somewhere till he was old.	false	303.35	308.71	12
636_128310_000008_000002	They kept him in a dark place, like a cheese, until he had the full Tellson flavour and blue-mould upon him.	They kept him in a dark place, like a cheese, until he had the full Tellson flavour and blue mould upon him.	true	308.81	314.86	13
636_128310_000008_000003	Then only was he permitted to be seen, spectacularly poring over large books, and casting his breeches and gaiters into the general weight of the establishment.	Then only was he permitted to be seen, spectacularly poring over large books, and casting his breeches and gaiters into the general weight of the establishment.	false	315.14	325.09	12
636_128310_000009_000000	Outside Tellson's--never by any means in it, unless called in--was an odd-job-man, an occasional porter and messenger, who served as the live sign of the house.	Outside Tellson's-never by any means in it, unless called in-was an odd job man, an occasional porter and messenger, who served as the live sign of the house.	true	325.79	336.31	14
636_128310_000009_000001	He was never absent during business hours, unless upon an errand, and then he was represented by his son: a grisly urchin of twelve, who was his express image.	He was never absent during business hours, unless upon an errand, and then he was represented by his son: a grisly urchin of twelve, who was his express image.	true	337.19	346.75	12
636_128310_000009_000002	People understood that Tellson's, in a stately way, tolerated the odd-job-man.	People understood that Tellson's, in a stately way, tolerated the odd job man.	true	346.94	351.4	12
636_128310_000009_000003	The house had always tolerated some person in that capacity, and time and tide had drifted this person to the post.	The house had always tolerated some person in that capacity, and time and tide had drifted this person to the post.	true	351.74	358.39	12
636_128310_000009_000004	His surname was Cruncher, and on the youthful occasion of his renouncing by proxy the works of darkness, in the easterly parish church of Hounsditch, he had received the added appellation of Jerry.	His surname was Cruncher, and on the youthful occasion of his renouncing by proxy the works of darkness, in the easterly parish church of Hounsditch, he had received the added appellation of Jerry.	false	358.7	370.18	10
636_128310_000010_000000	The scene was Mr. Cruncher's private lodging in Hanging-sword-alley, Whitefriars: the time, half-past seven of the clock on a windy March morning, Anno Domini seventeen hundred and eighty.	The scene was mr Cruncher's private lodging in Hanging sword alley, Whitefriars: the time, half past seven of the clock on a windy March morning, Anno Domini seventeen hundred and eighty.	true	370.82	382.18	10
636_128310_000010_000001	(Mr. Cruncher himself always spoke of the year of our Lord as Anna Dominoes: apparently under the impression that the Christian era dated from the invention of a popular game, by a lady who had bestowed her name upon it.)	(mr Cruncher himself always spoke of the year of our Lord as Anna Dominoes: apparently under the impression that the Christian era dated from the invention of a popular game, by a lady who had bestowed her name upon it.)	true	382.43	395.65	12
636_128310_000011_000000	Mr. Cruncher's apartments were not in a savoury neighbourhood, and were but two in number, even if a closet with a single pane of glass in it might be counted as one.	mr Cruncher's apartments were not in a savoury neighbourhood, and were but two in number, even if a closet with a single pane of glass in it might be counted as one.	true	396.5	405.34	12
636_128310_000011_000001	But they were very decently kept.	But they were very decently kept.	true	405.56	407.77	17.651209
636_128310_000011_000002	Early as it was, on the windy March morning, the room in which he lay abed was already scrubbed throughout; and between the cups and saucers arranged for breakfast, and the lumbering deal table, a very clean white cloth was spread.	Early as it was, on the windy March morning, the room in which he lay abed was already scrubbed throughout; and between the cups and saucers arranged for breakfast, and the lumbering deal table, a very clean white cloth was spread.	true	407.78	420.91	11
636_128310_000012_000000	Mr. Cruncher reposed under a patchwork counterpane, like a Harlequin at home.	mr Cruncher reposed under a patchwork counterpane, like a Harlequin at home.	true	421.01	425.53	13
636_128310_000012_000001	At first, he slept heavily, but, by degrees, began to roll and surge in bed, until he rose above the surface, with his spiky hair looking as if it must tear the sheets to ribbons.	At first, he slept heavily, but, by degrees, began to roll and surge in bed, until he rose above the surface, with his spiky hair looking as if it must tear the sheets to ribbons.	true	425.93	436.305	12
636_128310_000012_000002	At which juncture, he exclaimed, in a voice of dire exasperation:	At which juncture, he exclaimed, in a voice of dire exasperation:	true	436.305	440.8	11
636_128310_000013_000000	"Bust me, if she ain't at it agin!"	"Bust me, if she ain't at it agin!"	false	441.05	444.24	16.250826
636_128310_000014_000000	A woman of orderly and industrious appearance rose from her knees in a corner, with sufficient haste and trepidation to show that she was the person referred to.	A woman of orderly and industrious appearance rose from her knees in a corner, with sufficient haste and trepidation to show that she was the person referred to.	true	444.24	452.65	12
636_128310_000015_000000	"What!" said Mr. Cruncher, looking out of bed for a boot.	"What!" said mr Cruncher, looking out of bed for a boot.	true	453.11	456.33	16
636_128310_000015_000001	"You're at it agin, are you?"	"You're at it agin, are you?"	false	456.33	457.86	16
