5206_19376_000000_000000	NOTES FOR LECTURE XVIII	NOTES FOR LECTURE eighteen	true	22.89	24.76	24
5206_19376_000001_000000	Tides are due to incomplete rigidity of bodies revolving round each other under the action of gravitation, and at the same time spinning on their axes.	Tides are due to incomplete rigidity of bodies revolving round each other under the action of gravitation, and at the same time spinning on their axes.	true	25.16	33.85	18
5206_19376_000002_000000	Two spheres revolving round each other can only remain spherical if rigid; if at all plastic they become prolate.	Two spheres revolving round each other can only remain spherical if rigid; if at all plastic they become prolate.	true	34.19	41.11	21
5206_19376_000002_000001	If either rotate on its axis, in the same or nearly the same plane as it revolves, that one is necessarily subject to tides.	If either rotate on its axis, in the same or nearly the same plane as it revolves, that one is necessarily subject to tides.	true	41.39	49.54	22
5206_19376_000003_000000	The axial rotation tends to carry the humps with it, but the pull of the other body keeps them from moving much.	The axial rotation tends to carry the humps with it, but the pull of the other body keeps them from moving much.	false	50.6	57.64	22.410213
5206_19376_000003_000001	Hence the rotation takes place against a pull, and is therefore more or less checked and retarded.	Hence the rotation takes place against a pull, and is therefore more or less checked and retarded.	true	58.04	63.88	24.239567
5206_19376_000003_000002	This is the theory of Von Helmholtz.	This is the theory of Von Helmholtz.	true	64.07	66.16	19
5206_19376_000004_000000	The attracting force between two such bodies is no longer _exactly_ towards the centre of revolution, and therefore Kepler's second law is no longer precisely obeyed: the rate of description of areas is subject to slight acceleration.	The attracting force between two such bodies is no longer underscore exactly underscore towards the centre of revolution, and therefore Kepler's second law is no longer precisely obeyed: the rate of description of areas is subject to slight acceleration.	false	66.98	80.92	21
5206_19376_000004_000001	The effect of this tangential force acting on the tide-compelling body is gradually to increase its distance from the other body.	The effect of this tangential force acting on the tide compelling body is gradually to increase its distance from the other body.	true	81.41	89.14	23.1468
5206_19376_000005_000000	Applying these statements to the earth and moon, we see that tidal energy is produced at the expense of the earth's rotation, and that the length of the day is thereby slowly increasing.	Applying these statements to the earth and moon, we see that tidal energy is produced at the expense of the earth's rotation, and that the length of the day is thereby slowly increasing.	false	89.63	99.73	19.969238
5206_19376_000005_000001	Also that the moon's rotation relative to the earth has been destroyed by past tidal action in it (the only residue of ancient lunar rotation now being a scarcely perceptible libration), so that it turns always the same face towards us.	Also that the moon's rotation relative to the earth has been destroyed by past tidal action in it (the only residue of ancient lunar rotation now being a scarcely perceptible libration), so that it turns always the same face towards us.	true	100.13	114.58	21.691252
5206_19376_000005_000002	Moreover, that its distance from the earth is steadily increasing. This last is the theory of Professor G.H. Darwin.	Moreover, that its distance from the earth is steadily increasing. This last is the theory of Professor g h Darwin.	false	115.07	121.81	21.351366
5206_19376_000006_000000	Long ago the moon must therefore have been much nearer the earth, and the day was much shorter.	Long ago the moon must therefore have been much nearer the earth, and the day was much shorter.	false	122.72	127.96	20.728449
5206_19376_000006_000001	The tides were then far more violent.	The tides were then far more violent.	true	128.42	131.5	17.861788
5206_19376_000007_000000	Halving the distance would make them eight times as high; quartering it would increase them sixty-four-fold.	Halving the distance would make them eight times as high; quartering it would increase them sixty four fold.	true	131.93	138.82	21.387213
5206_19376_000007_000001	A most powerful geological denuding agent.	A most powerful geological denuding agent.	true	138.95	141.82	21
5206_19376_000007_000002	Trade winds and storms were also more violent.	Trade winds and storms were also more violent.	true	141.92	145.03	19
5206_19376_000008_000000	If ever the moon were close to the earth, it would have to revolve round it in about three hours.	If ever the moon were close to the earth, it would have to revolve round it in about three hours.	true	145.22	150.6	18
5206_19376_000008_000001	If the earth rotated on its axis in three hours, when fluid or pasty, it would be unstable, and begin to separate a portion of itself as a kind of bud, which might then get detached and gradually pushed away by the violent tidal action.	If the earth rotated on its axis in three hours, when fluid or pasty, it would be unstable, and begin to separate a portion of itself as a kind of bud, which might then get detached and gradually pushed away by the violent tidal action.	false	150.6	165.28	21.205124
5206_19376_000008_000002	Hence it is possible that this is the history of the moon.	Hence it is possible that this is the history of the moon.	true	165.65	168.945	21
5206_19376_000008_000003	If so, it is probably an exceptional history.	If so, it is probably an exceptional history.	true	168.945	171.79	22.81479
5206_19376_000008_000004	The planets were not formed from the sun in this way.	The planets were not formed from the sun in this way.	true	171.86	174.55	19.019424
5206_19376_000009_000000	Mars' moons revolve round him more quickly than the planet rotates: hence with them the process is inverted, and they must be approaching him and may some day crash along his surface.	Mars' moons revolve round him more quickly than the planet rotates: hence with them the process is inverted, and they must be approaching him and may some day crash along his surface.	false	174.95	186.04	21.816559
5206_19376_000009_000001	The inner moon is now about 4,000 miles away, and revolves in 7-1/2 hours.	The inner moon is now about four thousand miles away, and revolves in seven to half a hour.	false	186.98	193.2	19.753706
5206_19376_000009_000002	It appears to be about 20 miles in diameter, and weighs therefore, if composed of rock, 40 billion tons.	It appears to be about twenty miles in diameter, and weighs therefore, if composed of rock, forty billion tons.	true	193.2	200.53	22.864466
5206_19376_000009_000003	Mars rotates in 24-1/2 hours.	Mars rotates in twenty four to half a hour.	false	200.96	204	21.605005
5206_19376_000010_000000	A similar fate may _possibly_ await our moon ages hence--by reason of the action of terrestrial tides produced by the sun.	A similar fate may underscore possibly underscore await our moon ages hence-by reason of the action of terrestrial tides produced by the sun	false	204	211.96	20
5206_19376_000011_000000	LECTURE XVIII	LECTURE eighteen	true	212.36	213.73	22.56915
5206_19376_000012_000000	THE TIDES, AND PLANETARY EVOLUTION	THE TIDES, AND PLANETARY EVOLUTION	true	213.98	216.43	19
5206_19376_000013_000000	In the last lecture we considered the local peculiarities of the tides, the way in which they were formed in open ocean under the action of the moon and the sun, and also the means by which their heights and times could be calculated and predicted years beforehand.	In the last lecture we considered the local peculiarities of the tides, the way in which they were formed in open ocean under the action of the moon and the sun, and also the means by which their heights and times could be calculated and predicted years beforehand.	true	217.64	235.27	16
5206_19376_000013_000001	Towards the end I stated that the subject was very far from being exhausted, and enumerated some of the large and interesting questions which had been left untouched.	Towards the end I stated that the subject was very far from being exhausted, and enumerated some of the large and interesting questions which had been left untouched.	true	235.58	245.32	16
5206_19376_000013_000002	It is with some of these questions that I propose now to deal.	It is with some of these questions that I propose now to deal.	true	245.45	249.07	17
5206_19376_000014_000000	I must begin by reminding you of certain well-known facts, a knowledge of which I may safely assume.	I must begin by reminding you of certain well-known facts, a knowledge of which I may safely assume.	true	249.86	256.15	19
5206_19376_000015_000000	And first we must remind ourselves of the fact that almost all the rocks which form the accessible crust of the earth were deposited by the agency of water.	And first we must remind ourselves of the fact that almost all the rocks which form the accessible crust of the earth were deposited by the agency of water.	true	257.75	267.97	18
5206_19376_000015_000001	Nearly all are arranged in regular strata, and are composed of pulverized materials--materials ground down from pre-existing rocks by some denuding and grinding action.	Nearly all are arranged in regular strata, and are composed of pulverized materials-materials ground down from pre-existing rocks by some denuding and grinding action.	true	268.34	280.05	19
5206_19376_000015_000002	They nearly all contain vestiges of ancient life embedded in them, and these vestiges are mainly of marine origin.	They nearly all contain vestiges of ancient life embedded in them, and these vestiges are mainly of marine origin.	false	280.05	287.65	20
5206_19376_000015_000003	The strata which were once horizontal are now so no longer--they have been tilted and upheaved, bent and distorted, in many places.	The strata which were once horizontal are now so no longer-they have been tilted and upheaved, bent and distorted, in many places.	true	287.9	297.13	22.287216
5206_19376_000015_000004	Some of them again have been metamorphosed by fire, so that their organic remains have been destroyed, and the traces of their aqueous origin almost obliterated.	Some of them again have been metamorphosed by fire, so that their organic remains have been destroyed, and the traces of their aqueous origin almost obliterated.	true	297.26	306.85	20
5206_19376_000015_000005	But still, to the eye of the geologist, all are of aqueous or sedimentary origin: roughly speaking, one may say they were all deposited at the bottom of some ancient sea.	But still, to the eye of the geologist, all are of aqueous or sedimentary origin: roughly speaking, one may say they were all deposited at the bottom of some ancient sea.	true	306.92	318.73	21.783543
