8635_295759_000000_000001	It would need gold to buy these things, as well as to pay for fresh troops.	It would need gold to buy these things, as well as to pay for fresh troops.
8635_295759_000001_000000	Gold was placed in the Gov-er-nor's hands to use as he pleased.	Gold was placed in the Gov er nor's hands to use as he pleased.
8635_295759_000001_000001	Our force was spread out in-to ten bands, of 100 men each.	Our force was spread out in to ten bands, of one hundred men each.
8635_295759_000001_000003	This, of course, was more than he could bear, so he left the ar-my at once, and with a sad heart.	This, of course, was more than he could bear, so he left the ar my at once, and with a sad heart.
8635_295759_000003_000001	Our men were full of joy, and thought the war would soon be at an end.	Our men were full of joy, and thought the war would soon be at an end.
8635_295759_000004_000001	He rode in a fine turn-out that he had bought of Gov-er-nor Sharpe, which he soon found out was not meant for use on rough roads.	He rode in a fine turn out that he had bought of Gov er nor Sharpe, which he soon found out was not meant for use on rough roads.
8635_295759_000004_000002	But he had fought with dukes, and men of high rank, and was fond of show, and liked to put on a great deal of style.	But he had fought with dukes, and men of high rank, and was fond of show, and liked to put on a great deal of style.
8635_295759_000005_000000	He thought that this would make the troops look up to him, and would add much to his fame.	He thought that this would make the troops look up to him, and would add much to his fame.
8635_295759_000007_000000	All the rules and forms of camp-life were kept up.	All the rules and forms of camp life were kept up.
8635_295759_000007_000001	One of the head men who died while in camp, was borne to the grave in this style: A guard marched in front of the corpse, the cap-tain of it in the rear. Each man held his gun up-side down, as a sign that the dead would war no more, and the drums beat the dead march.	One of the head men who died while in camp, was borne to the grave in this style: A guard marched in front of the corpse, the cap tain of it in the rear. Each man held his gun up side down, as a sign that the dead would war no more, and the drums beat the dead march.
8635_295759_000007_000002	When near the grave the guard formed two lines that stood face to face, let their guns rest on the ground, and leaned their heads on the butts.	When near the grave the guard formed two lines that stood face to face, let their guns rest on the ground, and leaned their heads on the butts.
8635_295759_000007_000003	The corpse was borne twixt these two rows of men with the sword and sash on the top of the box in which he lay, and in the rear of it the men of rank marched two and two.	The corpse was borne twixt these two rows of men with the sword and sash on the top of the box in which he lay, and in the rear of it the men of rank marched two and two.
8635_295759_000007_000004	When the corpse was put in the ground, the guard fired their guns three times, and then all the troops marched back to camp.	When the corpse was put in the ground, the guard fired their guns three times, and then all the troops marched back to camp.
8635_295759_000008_000001	With them were White Thun-der, who had charge of the "speech-belts," and Sil-ver Heels, who was swift of foot.	With them were White Thun der, who had charge of the "speech belts," and Sil ver Heels, who was swift of foot.
8635_295759_000008_000002	Half-King was dead, and White Thun-der reigned in his stead.	Half King was dead, and White Thun der reigned in his stead.
8635_295759_000009_000000	The red-men had a camp to them-selves, where they would sing, and dance, and howl and yell for half the night.	The red men had a camp to them selves, where they would sing, and dance, and howl and yell for half the night.
8635_295759_000010_000000	In the day time the red-men and their squaws, rigged up in their plumes and war paint, hung round Brad-dock's camp, and gazed spell-bound at the troops as they went through their drills.	In the day time the red men and their squaws, rigged up in their plumes and war paint, hung round Brad dock's camp, and gazed spell bound at the troops as they went through their drills.
8635_295759_000011_000000	But this state of things did not last long, and strife rose twixt the red and white men, and some of the red-skins left the camp.	But this state of things did not last long, and strife rose twixt the red and white men, and some of the red skins left the camp.
8635_295759_000011_000001	They told Brad-dock they would meet him on his march, but they did not keep their word.	They told Brad dock they would meet him on his march, but they did not keep their word.
8635_295759_000013_000000	The march was a hard one for man and beast.	The march was a hard one for man and beast.
8635_295759_000015_000002	They must push on at once.	They must push on at once.
8635_295759_000016_000000	While at this place Cap-tain Jack, and his brave band of hunts-men came in-to camp.	While at this place Cap tain Jack, and his brave band of hunts men came in to camp.
8635_295759_000016_000001	They were fond of the chase, and were well-armed with knives and guns, and looked quite like a tribe of red-skins as they came out of the wood.	They were fond of the chase, and were well armed with knives and guns, and looked quite like a tribe of red skins as they came out of the wood.
8635_295759_000017_000000	Brad-dock met them in a stiff sort of way.	Brad dock met them in a stiff sort of way.
8635_295759_000017_000001	Cap-tain Jack stepped in front of his band and said that he and his men were used to rough work, and knew how to deal with the red-men, and would be glad to join the force.	Cap tain Jack stepped in front of his band and said that he and his men were used to rough work, and knew how to deal with the red men, and would be glad to join the force.
8635_295759_000018_000000	Brad-dock looked on him with a gaze of scorn, and spoke to him in a way that roused the ire of Cap-tain Jack.	Brad dock looked on him with a gaze of scorn, and spoke to him in a way that roused the ire of Cap tain Jack.
8635_295759_000018_000001	He told his men what had been said, and the whole band turned their backs on the camp, and went through the woods to their old haunts where they were known and prized at their true worth.	He told his men what had been said, and the whole band turned their backs on the camp, and went through the woods to their old haunts where they were known and prized at their true worth.
8635_295759_000020_000003	By that time he could move, but not with-out much pain, for he was still quite weak.	By that time he could move, but not with out much pain, for he was still quite weak.
8635_295759_000020_000004	It was his wish to join the troops in time for the great blow, and while yet too weak to mount his horse, he set off with his guards in a close cart, and reached Brad-dock's camp on the eighth of Ju-ly.	It was his wish to join the troops in time for the great blow, and while yet too weak to mount his horse, he set off with his guards in a close cart, and reached Brad dock's camp on the eighth of Ju ly.
