3380_64298_000001_000000	CHAPTER LIII.	CHAPTER fifty three.
3380_64298_000002_000000	A FRIEND IN NEED.	A FRIEND IN NEED.
3380_64298_000003_000000	Mary left the house, and saw no one on her way.	Mary left the house, and saw no one on her way.
3380_64298_000003_000001	But it was better, she said to herself, that he should lie there untended, than be waited on by unloving hands.	But it was better, she said to herself, that he should lie there untended, than be waited on by unloving hands.
3380_64298_000004_000000	The night was very dark.	The night was very dark.
3380_64298_000004_000001	There was no moon, and the stars were hidden by thick clouds.	There was no moon, and the stars were hidden by thick clouds.
3380_64298_000004_000002	She must walk all the way to Testbridge.	She must walk all the way to Testbridge.
3380_64298_000004_000003	She felt weak, but the fresh air was reviving.	She felt weak, but the fresh air was reviving.
3380_64298_000005_000000	She had not gone far when the moon rose, and from behind the clouds diminished the darkness a little.	She had not gone far when the moon rose, and from behind the clouds diminished the darkness a little.
3380_64298_000005_000001	The first part of her journey lay along a narrow lane, with a small ditch, a rising bank, and a hedge on each side.	The first part of her journey lay along a narrow lane, with a small ditch, a rising bank, and a hedge on each side.
3380_64298_000005_000002	About the middle of the lane was a farmyard, and a little way farther a cottage.	About the middle of the lane was a farmyard, and a little way farther a cottage.
3380_64298_000005_000003	Soon after passing the gate of the farmyard, she thought she heard steps behind her, seemingly soft and swift, and naturally felt a little apprehension; but her thoughts flew to the one hiding-place for thoughts and hearts and lives, and she felt no terror. At the same time something moved her to quicken her pace.	Soon after passing the gate of the farmyard, she thought she heard steps behind her, seemingly soft and swift, and naturally felt a little apprehension; but her thoughts flew to the one hiding place for thoughts and hearts and lives, and she felt no terror. At the same time something moved her to quicken her pace.
3380_64298_000005_000004	As she drew near the common, she heard the steps more plainly, still soft and swift, and almost wished she had sought refuge in the cottage she had just passed--only it bore no very good character in the neighborhood. When she reached the spot where the paths united, feeling a little at home, she stopped to listen.	As she drew near the common, she heard the steps more plainly, still soft and swift, and almost wished she had sought refuge in the cottage she had just passed-only it bore no very good character in the neighborhood. When she reached the spot where the paths united, feeling a little at home, she stopped to listen.
3380_64298_000005_000006	The same moment the clouds thinned about the moon, and a pale light came filtering through upon the common in front of her.	The same moment the clouds thinned about the moon, and a pale light came filtering through upon the common in front of her.
3380_64298_000005_000007	She cast one look over her shoulder, saw something turn a corner in the lane, and sped on again.	She cast one look over her shoulder, saw something turn a corner in the lane, and sped on again.
