3380_64298_000000_000000	"Don't tell any one you are gone," he called after her, with a voice far from feeble.	"Don't tell any one you are gone," he called after her, with a voice far from feeble.	false	2.19	13.5	24.151955
3380_64298_000000_000001	"I don't want any of their damned company."	"I don't want any of their damned company."	false	13.5	19.56	20.961382
3380_64298_000001_000000	CHAPTER LIII.	CHAPTER fifty three.	true	19.56	20.8	23.244688
3380_64298_000002_000000	A FRIEND IN NEED.	A FRIEND IN NEED.	true	20.87	22.3	24.382824
3380_64298_000003_000000	Mary left the house, and saw no one on her way.	Mary left the house, and saw no one on her way.	true	24.74	27.55	21.121048
3380_64298_000003_000001	But it was better, she said to herself, that he should lie there untended, than be waited on by unloving hands.	But it was better, she said to herself, that he should lie there untended, than be waited on by unloving hands.	true	28.13	34.48	20.664349
3380_64298_000004_000000	The night was very dark.	The night was very dark.	true	35.54	37.09	25.733507
3380_64298_000004_000001	There was no moon, and the stars were hidden by thick clouds.	There was no moon, and the stars were hidden by thick clouds.	true	37.13	40.84	21.68738
3380_64298_000004_000002	She must walk all the way to Testbridge.	She must walk all the way to Testbridge.	true	41.48	43.81	23.528961
3380_64298_000004_000003	She felt weak, but the fresh air was reviving.	She felt weak, but the fresh air was reviving.	true	44.15	47.2	20.8695
3380_64298_000004_000004	She did not know the way so familiarly as that between Thornwick and the town, but she would enter the latter before arriving at the common.	She did not know the way so familiarly as that between Thornwick and the town, but she would enter the latter before arriving at the common.	true	47.75	55.72	19.112524
3380_64298_000005_000000	She had not gone far when the moon rose, and from behind the clouds diminished the darkness a little.	She had not gone far when the moon rose, and from behind the clouds diminished the darkness a little.	true	57.53	63.19	21.010408
3380_64298_000005_000001	The first part of her journey lay along a narrow lane, with a small ditch, a rising bank, and a hedge on each side.	The first part of her journey lay along a narrow lane, with a small ditch, a rising bank, and a hedge on each side.	true	63.89	71.08	23.263475
3380_64298_000005_000002	About the middle of the lane was a farmyard, and a little way farther a cottage.	About the middle of the lane was a farmyard, and a little way farther a cottage.	true	71.87	77.2	20.417116
3380_64298_000005_000003	Soon after passing the gate of the farmyard, she thought she heard steps behind her, seemingly soft and swift, and naturally felt a little apprehension; but her thoughts flew to the one hiding-place for thoughts and hearts and lives, and she felt no terror. At the same time something moved her to quicken her pace.	Soon after passing the gate of the farmyard, she thought she heard steps behind her, seemingly soft and swift, and naturally felt a little apprehension; but her thoughts flew to the one hiding place for thoughts and hearts and lives, and she felt no terror. At the same time something moved her to quicken her pace.	true	78.08	97.54	23.185043
