5717_94876_000000_000001	Johnny Dooit Does It	Johnny Dooit Does It
5717_94876_000001_000000	"It's getting awful rough walking," said Dorothy, as they trudged along.	"It's getting awful rough walking," said Dorothy, as they trudged along.
5717_94876_000001_000002	Indeed, all were hungry, and thirsty, too; for they had eaten nothing but the apples since breakfast; so their steps lagged and they grew silent and weary.	Indeed, all were hungry, and thirsty, too; for they had eaten nothing but the apples since breakfast; so their steps lagged and they grew silent and weary.
5717_94876_000001_000003	At last they slowly passed over the crest of a barren hill and saw before them a line of green trees with a strip of grass at their feet.	At last they slowly passed over the crest of a barren hill and saw before them a line of green trees with a strip of grass at their feet.
5717_94876_000001_000004	An agreeable fragrance was wafted toward them.	An agreeable fragrance was wafted toward them.
5717_94876_000002_000000	Our travelers, hot and tired, ran forward on beholding this refreshing sight and were not long in coming to the trees.	Our travelers, hot and tired, ran forward on beholding this refreshing sight and were not long in coming to the trees.
5717_94876_000002_000001	Here they found a spring of pure bubbling water, around which the grass was full of wild strawberry plants, their pretty red berries ripe and ready to eat. Some of the trees bore yellow oranges and some russet pears, so the hungry adventurers suddenly found themselves provided with plenty to eat and to drink.	Here they found a spring of pure bubbling water, around which the grass was full of wild strawberry plants, their pretty red berries ripe and ready to eat. Some of the trees bore yellow oranges and some russet pears, so the hungry adventurers suddenly found themselves provided with plenty to eat and to drink.
5717_94876_000002_000002	They lost no time in picking the biggest strawberries and ripest oranges and soon had feasted to their hearts' content.	They lost no time in picking the biggest strawberries and ripest oranges and soon had feasted to their hearts' content.
5717_94876_000002_000003	Walking beyond the line of trees they saw before them a fearful, dismal desert, everywhere gray sand.	Walking beyond the line of trees they saw before them a fearful, dismal desert, everywhere gray sand.
5717_94876_000002_000004	At the edge of this awful waste was a large, white sign with black letters neatly painted upon it and the letters made these words:	At the edge of this awful waste was a large, white sign with black letters neatly painted upon it and the letters made these words:
5717_94876_000003_000000	ALL PERSONS ARE WARNED NOT TO VENTURE UPON THIS DESERT	ALL PERSONS ARE WARNED NOT TO VENTURE UPON THIS DESERT
5717_94876_000004_000000	For the Deadly Sands will Turn Any Living Flesh to Dust in an instant.	For the Deadly Sands will Turn Any Living Flesh to Dust in an instant.
