2272_152264_000000_000000	The Northmen learned the language of the Franks and adopted their religion.	The Northmen learned the language of the Franks and adopted their religion.	false	0	4.86	21.74541
2272_152264_000001_000000	The story of Rollo is especially interesting to us, because Rollo was the forefather of that famous Duke of Normandy who, less than a hundred and fifty years later, conquered England and brought into that country the Norman nobles with their French language and customs.	The story of Rollo is especially interesting to us, because Rollo was the forefather of that famous Duke of Normandy who, less than a hundred and fifty years later, conquered England and brought into that country the Norman nobles with their French language and customs.	false	4.86	25.59	22.946945
2272_152264_000002_000000	ALFRED THE GREAT	ALFRED THE GREAT	true	25.59	26.77	24.405022
2272_152264_000003_000000	KING FROM 871-901 A.D.	KING FROM eight hundred seventy one to nine hundred one a d	false	26.78	30.66	16
2272_152264_000004_000000	I	I	false	30.66	33	20.435736
2272_152264_000005_000000	The Danes were neighbors of the Norwegian Vikings, and like them were fond of the sea and piracy.	The Danes were neighbors of the Norwegian Vikings, and like them were fond of the sea and piracy.	true	33	38.53	12
2272_152264_000005_000001	They plundered the English coasts for more than a century; and most of northern and eastern England became for a time a Danish country with Danish kings.	They plundered the English coasts for more than a century; and most of northern and eastern England became for a time a Danish country with Danish kings.	false	38.66	46.93	15
2272_152264_000006_000000	What saved the rest of the country to the Saxons was the courage of the great Saxon king, Alfred.	What saved the rest of the country to the Saxons was the courage of the great Saxon king, Alfred.	true	47.12	52.03	15
2272_152264_000007_000000	Alfred was the son of Ethelwulf, king of the West Saxons.	Alfred was the son of Ethelwulf, king of the West Saxons.	true	52.34	55.99	22.248325
2272_152264_000007_000001	He had a loving mother who brought him up with great care.	He had a loving mother who brought him up with great care.	true	56.03	58.99	15
2272_152264_000007_000002	Up to the age of twelve, it is said, he was not able to read well, in spite of the efforts of his mother and others to teach him.	Up to the age of twelve, it is said, he was not able to read well, in spite of the efforts of his mother and others to teach him.	true	59.12	66.04	17
2272_152264_000008_000000	When Alfred was a boy there were no printed books.	When Alfred was a boy there were no printed books.	true	66.35	69.25	24
2272_152264_000008_000001	The wonderful art of printing was not invented until about the year 1440--nearly six hundred years later than Alfred's time.	The wonderful art of printing was not invented until about the year fourteen forty--nearly six hundred years later than Alfred's time.	true	69.41	75.94	16
2272_152264_000008_000002	Moreover, the art of making paper had not yet been invented.	Moreover, the art of making paper had not yet been invented.	true	76.1	79.66	22
2272_152264_000008_000003	Consequently the few books in use in Alfred's time were written by skillful penmen, who wrote generally on leaves of parchment, which was sheepskin carefully prepared so that it might retain ink.	Consequently the few books in use in Alfred's time were written by skillful penmen, who wrote generally on leaves of parchment, which was sheepskin carefully prepared so that it might retain ink.	true	79.76	90.16	18
2272_152264_000009_000000	One day Alfred's mother showed him and his elder brothers a beautiful volume which contained a number of the best Saxon ballads.	One day Alfred's mother showed him and his elder brothers a beautiful volume which contained a number of the best Saxon ballads.	true	90.62	97.06	9
2272_152264_000009_000001	Some of the words in this book were written in brightly colored letters, and upon many of the leaves were painted pictures of gaily-dressed knights and ladies.	Some of the words in this book were written in brightly colored letters, and upon many of the leaves were painted pictures of gaily dressed knights and ladies.	true	97.16	105.43	15
2272_152264_000010_000000	"Oh, what a lovely book!" exclaimed the boys.	"Oh, what a lovely book!" exclaimed the boys.	true	105.65	108.465	20.168985
2272_152264_000011_000000	"Yes, it is lovely," replied the mother.	"Yes, it is lovely," replied the mother.	true	108.465	110.73	17
2272_152264_000011_000001	"I will give it to whichever of you children can read it the best in a week."	"I will give it to whichever of you children can read it the best in a week."	false	110.73	114.81	20
2272_152264_000012_000000	Alfred began at once to take lessons in reading, and studied hard day after day.	Alfred began at once to take lessons in reading, and studied hard day after day.	false	114.81	119.38	12
2272_152264_000012_000001	His brothers passed their time in amusements and made fun of Alfred's efforts.	His brothers passed their time in amusements and made fun of Alfred's efforts.	true	119.48	123.49	17
2272_152264_000012_000002	They thought he could not learn to read as well as they could, no matter how hard he should try.	They thought he could not learn to read as well as they could, no matter how hard he should try.	true	123.62	128.02	16
2272_152264_000013_000000	At the end of the week the boys read the book to their mother, one after the other.	At the end of the week the boys read the book to their mother, one after the other.	false	128.57	133	23.077547
2272_152264_000013_000001	Much to the surprise of his brothers, Alfred proved to be the best reader and his mother gave him the book.	Much to the surprise of his brothers, Alfred proved to be the best reader and his mother gave him the book.	true	133.1	138.61	21
