188_141613_000003_000000	CHAPTER XIV	CHAPTER fourteen
188_141613_000004_000000	JIMMY AND THE GREEN-EYED MONSTER	JIMMY AND THE GREEN EYED MONSTER
188_141613_000005_000000	This time Beldingsville did not literally welcome Pollyanna home with brass bands and bunting--perhaps because the hour of her expected arrival was known to but few of the townspeople.	This time Beldingsville did not literally welcome Pollyanna home with brass bands and bunting-perhaps because the hour of her expected arrival was known to but few of the townspeople.
188_141613_000005_000001	But there certainly was no lack of joyful greetings on the part of everybody from the moment she stepped from the railway train with her Aunt Polly and Dr. Chilton.	But there certainly was no lack of joyful greetings on the part of everybody from the moment she stepped from the railway train with her Aunt Polly and dr Chilton.
188_141613_000005_000002	Nor did Pollyanna lose any time in starting on a round of fly-away minute calls on all her old friends.	Nor did Pollyanna lose any time in starting on a round of fly away minute calls on all her old friends.
188_141613_000005_000003	Indeed, for the next few days, according to Nancy, "There wasn't no putting of your finger on her anywheres, for by the time you'd got your finger down she wa'n't there."	Indeed, for the next few days, according to Nancy, "There wasn't no putting of your finger on her anywheres, for by the time you'd got your finger down she wa'n't there."
188_141613_000006_000000	And always, everywhere she went, Pollyanna met the question: "Well, how did you like Boston?" Perhaps to no one did she answer this more fully than she did to Mr. Pendleton.	And always, everywhere she went, Pollyanna met the question: "Well, how did you like Boston?" Perhaps to no one did she answer this more fully than she did to mr Pendleton.
188_141613_000006_000001	As was usually the case when this question was put to her, she began her reply with a troubled frown.	As was usually the case when this question was put to her, she began her reply with a troubled frown.
188_141613_000007_000000	"Oh, I liked it--I just loved it--some of it."	"Oh, I liked it-I just loved it-some of it."
188_141613_000008_000000	"But not all of it?" smiled Mr. Pendleton.	"But not all of it?" smiled mr Pendleton.
188_141613_000009_000001	There's parts of it--Oh, I was glad to be there," she explained hastily.	There's parts of it-Oh, I was glad to be there," she explained hastily.
188_141613_000009_000002	"I had a perfectly lovely time, and lots of things were so queer and different, you know--like eating dinner at night instead of noons, when you ought to eat it.	"I had a perfectly lovely time, and lots of things were so queer and different, you know-like eating dinner at night instead of noons, when you ought to eat it.
188_141613_000009_000003	But everybody was so good to me, and I saw such a lot of wonderful things--Bunker Hill, and the Public Garden, and the Seeing Boston autos, and miles of pictures and statues and store-windows and streets that didn't have any end.	But everybody was so good to me, and I saw such a lot of wonderful things-Bunker Hill, and the Public Garden, and the Seeing Boston autos, and miles of pictures and statues and store windows and streets that didn't have any end.
188_141613_000009_000004	And folks.	And folks.
188_141613_000010_000000	"Well, I'm sure--I thought you liked folks," commented the man.	"Well, I'm sure-I thought you liked folks," commented the man.
188_141613_000011_000000	"I do." Pollyanna frowned again and pondered.	"I do." Pollyanna frowned again and pondered.
188_141613_000011_000002	And Mrs. Carew wouldn't let me.	And mrs Carew wouldn't let me.
188_141613_000011_000003	She didn't know 'em herself.	She didn't know 'em herself.
188_141613_000011_000004	She said folks didn't, down there."	She said folks didn't, down there."
188_141613_000012_000000	There was a slight pause, then, with a sigh, Pollyanna resumed.	There was a slight pause, then, with a sigh, Pollyanna resumed.
188_141613_000013_000001	It would be such a lot nicer if they did!	It would be such a lot nicer if they did!
188_141613_000013_000002	Why, just think, Mr. Pendleton, there are lots of folks that live on dirty, narrow streets, and don't even have beans and fish balls to eat, nor things even as good as missionary barrels to wear.	Why, just think, mr Pendleton, there are lots of folks that live on dirty, narrow streets, and don't even have beans and fish balls to eat, nor things even as good as missionary barrels to wear.
188_141613_000013_000003	Then there are other folks--Mrs.	Then there are other folks-mrs
188_141613_000013_000004	Carew, and a whole lot like her--that live in perfectly beautiful houses, and have more things to eat and wear than they know what to do with.	Carew, and a whole lot like her-that live in perfectly beautiful houses, and have more things to eat and wear than they know what to do with.
188_141613_000013_000005	Now if THOSE folks only knew the other folks--" But Mr. Pendleton interrupted with a laugh.	Now if THOSE folks only knew the other folks-" But mr Pendleton interrupted with a laugh.
188_141613_000014_000000	"My dear child, did it ever occur to you that these people don't CARE to know each other?" he asked quizzically.	"My dear child, did it ever occur to you that these people don't CARE to know each other?" he asked quizzically.
188_141613_000015_000000	"Oh, but some of them do," maintained Pollyanna, in eager defense. "Now there's Sadie Dean--she sells bows, lovely bows in a big store--she WANTS to know people; and I introduced her to Mrs. Carew, and we had her up to the house, and we had Jamie and lots of others there, too; and she was SO glad to know them!	"Oh, but some of them do," maintained Pollyanna, in eager defense. "Now there's Sadie Dean-she sells bows, lovely bows in a big store-she WANTS to know people; and I introduced her to mrs Carew, and we had her up to the house, and we had Jamie and lots of others there, too; and she was SO glad to know them!
188_141613_000015_000003	But if they COULD know each other, so that the rich people could give the poor people part of their money--"	But if they COULD know each other, so that the rich people could give the poor people part of their money-"
188_141613_000016_000000	But again Mr. Pendleton interrupted with a laugh.	But again mr Pendleton interrupted with a laugh.
188_141613_000017_000000	"Oh, Pollyanna, Pollyanna," he chuckled; "I'm afraid you're getting into pretty deep water.	"Oh, Pollyanna, Pollyanna," he chuckled; "I'm afraid you're getting into pretty deep water.
188_141613_000018_000000	"A--what?" questioned the little girl, dubiously.	"A-what?" questioned the little girl, dubiously.
188_141613_000018_000001	"I--I don't think I know what a socialist is.	"I-I don't think I know what a socialist is.
188_141613_000018_000003	If it's anything like that, I don't mind being one, a mite.	If it's anything like that, I don't mind being one, a mite.
188_141613_000018_000004	I'd like to be one."	I'd like to be one."
188_141613_000019_000000	"I don't doubt it, Pollyanna," smiled the man.	"I don't doubt it, Pollyanna," smiled the man.
188_141613_000019_000001	"But when it comes to this scheme of yours for the wholesale distribution of wealth--you've got a problem on your hands that you might have difficulty with."	"But when it comes to this scheme of yours for the wholesale distribution of wealth-you've got a problem on your hands that you might have difficulty with."
188_141613_000021_000001	"That's the way Mrs. Carew talked.	"That's the way mrs Carew talked.
188_141613_000021_000002	She says I don't understand; that 'twould--er--pauperize her and be indiscriminate and pernicious, and--Well, it was SOMETHING like that, anyway," bridled the little girl, aggrievedly, as the man began to laugh.	She says I don't understand; that 'twould-er-pauperize her and be indiscriminate and pernicious, and-Well, it was SOMETHING like that, anyway," bridled the little girl, aggrievedly, as the man began to laugh.
