8534_216564_000002_000000	PART SECOND.	PART SECOND.
8534_216564_000003_000001	The Origin of Property.	The Origin of Property.
8534_216564_000004_000000	The true form of human society cannot be determined until the following question has been solved:--	The true form of human society cannot be determined until the following question has been solved:--
8534_216564_000005_000000	Property not being our natural condition, how did it gain a foothold? Why has the social instinct, so trustworthy among the animals, erred in the case of man?	Property not being our natural condition, how did it gain a foothold? Why has the social instinct, so trustworthy among the animals, erred in the case of man?
8534_216564_000006_000000	I have said that human society is COMPLEX in its nature.	I have said that human society is COMPLEX in its nature.
8534_216564_000006_000001	Though this expression is inaccurate, the fact to which it refers is none the less true; namely, the classification of talents and capacities.	Though this expression is inaccurate, the fact to which it refers is none the less true; namely, the classification of talents and capacities.
8534_216564_000006_000003	Man, by his nature and his instinct, is predestined to society; but his personality, ever varying, is adverse to it.	Man, by his nature and his instinct, is predestined to society; but his personality, ever varying, is adverse to it.
8534_216564_000007_000001	A society of beasts is a collection of atoms, round, hooked, cubical, or triangular, but always perfectly identical.	A society of beasts is a collection of atoms, round, hooked, cubical, or triangular, but always perfectly identical.
8534_216564_000007_000003	The labors which animals perform, whether alone or in society, are exact reproductions of their character.	The labors which animals perform, whether alone or in society, are exact reproductions of their character.
8534_216564_000007_000004	Just as the swarm of bees is composed of individual bees, alike in nature and equal in value, so the honeycomb is formed of individual cells, constantly and invariably repeated.	Just as the swarm of bees is composed of individual bees, alike in nature and equal in value, so the honeycomb is formed of individual cells, constantly and invariably repeated.
8534_216564_000008_000001	In the bee, the will is constant and uniform, because the instinct which guides it is invariable, and constitutes the animal's whole life and nature.	In the bee, the will is constant and uniform, because the instinct which guides it is invariable, and constitutes the animal's whole life and nature.
8534_216564_000008_000002	In man, talent varies, and the mind wavers; consequently, his will is multiform and vague.	In man, talent varies, and the mind wavers; consequently, his will is multiform and vague.
8534_216564_000008_000003	He seeks society, but dislikes constraint and monotony; he is an imitator, but fond of his own ideas, and passionately in love with his works.	He seeks society, but dislikes constraint and monotony; he is an imitator, but fond of his own ideas, and passionately in love with his works.
