948_132710_000001_000001	I wept in deliverance and in pity for all mankind.	I wept in deliverance and in pity for all mankind.
948_132710_000002_000001	I understood why the best in me had been my sins and my transgressions; and why I had never felt guilt in my sins.	I understood why the best in me had been my sins and my transgressions; and why I had never felt guilt in my sins.
948_132710_000002_000002	I understood that centuries of chains and lashes will not kill the spirit of man nor the sense of truth within him.	I understood that centuries of chains and lashes will not kill the spirit of man nor the sense of truth within him.
948_132710_000003_000001	Then I called the Golden One, and I told her what I had read and what I had learned.	Then I called the Golden One, and I told her what I had read and what I had learned.
948_132710_000003_000002	She looked at me and the first words she spoke were:	She looked at me and the first words she spoke were:
948_132710_000004_000000	"I love you."	"I love you."
948_132710_000006_000000	"My dearest one, it is not proper for men to be without names.	"My dearest one, it is not proper for men to be without names.
948_132710_000006_000001	There was a time when each man had a name of his own to distinguish him from all other men.	There was a time when each man had a name of his own to distinguish him from all other men.
948_132710_000006_000005	And he suffered for his deed as all bearers of light must suffer.	And he suffered for his deed as all bearers of light must suffer.
948_132710_000008_000001	Her name was Gaea.	Her name was Gaea.
948_132710_000008_000002	Let this be your name, my Golden One, for you are to be the mother of a new kind of gods."	Let this be your name, my Golden One, for you are to be the mother of a new kind of gods."
948_132710_000010_000000	Now I look ahead.	Now I look ahead.
948_132710_000012_000003	I have found the engine which produced this light. I shall learn how to repair it and how to make it work again.	I have found the engine which produced this light. I shall learn how to repair it and how to make it work again.
948_132710_000012_000004	I shall learn how to use the wires which carry this power.	I shall learn how to use the wires which carry this power.
948_132710_000012_000006	For they have nothing to fight me with, save the brute force of their numbers.	For they have nothing to fight me with, save the brute force of their numbers.
948_132710_000012_000007	I have my mind.	I have my mind.
948_132710_000013_000000	Then here, on this mountaintop, with the world below me and nothing above me but the sun, I shall live my own truth.	Then here, on this mountaintop, with the world below me and nothing above me but the sun, I shall live my own truth.
948_132710_000013_000001	Gaea is pregnant with my child.	Gaea is pregnant with my child.
948_132710_000013_000003	He will be taught to say "I" and to bear the pride of it.	He will be taught to say "I" and to bear the pride of it.
948_132710_000015_000001	And as I stand here at the door of glory, I look behind me for the last time.	And as I stand here at the door of glory, I look behind me for the last time.
948_132710_000015_000004	Freedom from what?	Freedom from what?
948_132710_000015_000007	That is freedom.	That is freedom.
948_132710_000016_000001	But he broke their chains.	But he broke their chains.
948_132710_000016_000002	Then he was enslaved by the kings.	Then he was enslaved by the kings.
948_132710_000016_000003	But he broke their chains.	But he broke their chains.
948_132710_000016_000004	He was enslaved by his birth, by his kin, by his race.	He was enslaved by his birth, by his kin, by his race.
948_132710_000016_000005	But he broke their chains.	But he broke their chains.
948_132710_000016_000006	He declared to all his brothers that a man has rights which neither god nor king nor other men can take away from him, no matter what their number, for his is the right of man, and there is no right on earth above this right.	He declared to all his brothers that a man has rights which neither god nor king nor other men can take away from him, no matter what their number, for his is the right of man, and there is no right on earth above this right.
948_132710_000017_000000	But then he gave up all he had won, and fell lower than his savage beginning.	But then he gave up all he had won, and fell lower than his savage beginning.
948_132710_000018_000000	What brought it to pass?	What brought it to pass?
948_132710_000018_000002	What whip lashed them to their knees in shame and submission?	What whip lashed them to their knees in shame and submission?
