7061_85635_000000_000000	Then Ivan went into the house of Koshchei, took Vasilisa, and returned home.	Then Ivan went into the house of Koshchei, took Vasilisa, and returned home.	false	0	5.4	18.945114
7061_85635_000000_000001	After that they lived together for a long, long time, and were very, very happy.	After that they lived together for a long, long time, and were very, very happy.	false	5.4	23.46	20.413807
7061_85635_000001_000000	_Oeyvind and Marit_[20]	underscore Oeyvind and Marit underscore[twenty]	false	23.46	26.16	19.103271
7061_85635_000002_000000	BJOeRNE BJOeRNESON	BJOeRNE BJOeRNESON	true	26.16	27.79	18.758583
7061_85635_000003_000000	Oeyvind was his name.	Oeyvind was his name.	true	28.85	30.67	17.241625
7061_85635_000003_000001	A low, barren cliff overhung the house in which he was born; fir and birch looked down on the roof, and wild cherry strewed flowers over it.	A low, barren cliff overhung the house in which he was born; fir and birch looked down on the roof, and wild cherry strewed flowers over it.	true	31.16	40.51	19.421978
7061_85635_000003_000002	Upon this roof there walked about a little goat, which belonged to Oeyvind.	Upon this roof there walked about a little goat, which belonged to Oeyvind.	true	41.27	45.85	19.594942
7061_85635_000003_000003	He was kept there that he might not go astray; and Oeyvind carried leaves and grass up to him.	He was kept there that he might not go astray; and Oeyvind carried leaves and grass up to him.	true	46.91	52.9	19.09527
7061_85635_000003_000004	One fine day the goat leaped down, and away to the cliff; he went straight up, and came where he never had been before.	One fine day the goat leaped down, and away to the cliff; he went straight up, and came where he never had been before.	true	53.51	61.14	20.739824
7061_85635_000004_000000	[Footnote 20: From _A Happy Boy_ in J. G. Whittier's _Child Life in Prose_.]	[Footnote twenty: From underscore A Happy Boy underscore in j g Whittier's underscore Child Life in Prose underscore.]	false	61.14	63.24	-4
7061_85635_000005_000000	Oeyvind did not see him when he came out after dinner, and thought immediately of the fox.	Oeyvind did not see him when he came out after dinner, and thought immediately of the fox.	true	63.24	68.62	21.58689
7061_85635_000005_000001	He grew hot all over, looked round about, and called, "Killy-killy-killy-goat!"	He grew hot all over, looked round about, and called, "Killy killy killy goat!"	false	69.17	73.89	21
7061_85635_000006_000000	"_Bay-ay-ay_," said the goat, from the brow of the hill, as he cocked his head on one side and looked down.	"underscore Bay ay ay underscore," said the goat, from the brow of the hill, as he cocked his head on one side and looked down.	false	73.89	82.06	17.534452
7061_85635_000007_000000	But beside the goat there kneeled a little girl.	But beside the goat there kneeled a little girl.	true	82.73	85.48	20.52064
7061_85635_000007_000001	"Is it yours--this goat?" she asked.	"Is it yours-this goat?" she asked.	false	86.42	89.02	19.414267
7061_85635_000008_000000	Oeyvind stood with eyes and mouth wide open, thrust both hands into the breeches he had on, and asked, "Who are you?"	Oeyvind stood with eyes and mouth wide open, thrust both hands into the breeches he had on, and asked, "Who are you?"	true	89.66	97.21	19.473967
7061_85635_000009_000000	"I am Marit, mother's little one, father's fiddle, the elf in the house, granddaughter of Ole Nordistuen of the Heide farms, four years old in the autumn, two days after the frost nights, I!"	"I am Marit, mother's little one, father's fiddle, the elf in the house, granddaughter of Ole Nordistuen of the Heide farms, four years old in the autumn, two days after the frost nights, I!"	false	98.45	112.92	18.272623
7061_85635_000010_000000	"Are you really?" he said, and drew a long breath, which he had not dared to do so long as she was speaking.	"Are you really?" he said, and drew a long breath, which he had not dared to do so long as she was speaking.	false	112.92	119.74	18.994638
7061_85635_000011_000000	"Is it yours, this goat?" asked the girl again.	"Is it yours, this goat?" asked the girl again.	false	120.89	123.66	16.279095
7061_85635_000012_000000	"Ye-es," he said, and looked up.	"Ye es," he said, and looked up.	false	123.66	127.12	18.884455
7061_85635_000013_000000	"I have taken such a fancy to the goat.	"I have taken such a fancy to the goat.	true	127.67	130.03	21.987165
7061_85635_000013_000001	You will not give it to me?"	You will not give it to me?"	true	130.55	132.19	19.284328
7061_85635_000014_000000	"No, that I won't."	"No, that I won't."	true	132.29	133.93	19.93825
7061_85635_000015_000000	She lay kicking her legs, and looking down at him, and then she said, "But if I give you a butter-cake for the goat, can I have him then?"	She lay kicking her legs, and looking down at him, and then she said, "But if I give you a butter cake for the goat, can I have him then?"	true	134.6	142.47	19.52718
7061_85635_000016_000000	Oeyvind came of poor people, and had eaten butter-cake only once in his life; that was when grandpa came there, and anything like it he had never eaten before or since.	Oeyvind came of poor people, and had eaten butter cake only once in his life; that was when grandpa came there, and anything like it he had never eaten before or since.	false	142.47	154.3	19.488407
7061_85635_000016_000001	He looked up at the girl.	He looked up at the girl.	true	155.03	156.31	23.35808
7061_85635_000016_000002	"Let me see the butter-cake first," said he.	"Let me see the butter cake first," said he.	true	157.28	160.45	18.584045
7061_85635_000017_000000	She was not long about it, and took out a large cake, which she held in her hand.	She was not long about it, and took out a large cake, which she held in her hand.	true	161.51	165.94	18.932034
7061_85635_000017_000001	"Here it is," she said, and threw it down.	"Here it is," she said, and threw it down.	true	166.31	168.66	20.391075
7061_85635_000018_000000	"Ow, it went to pieces," said the boy.	"Ow, it went to pieces," said the boy.	false	168.66	171.91	19.368444
7061_85635_000018_000001	He gathered up every bit with the utmost care; he could not help tasting the very smallest, and that was so good he had to taste another, and, before he knew it himself, he had eaten up the whole cake.	He gathered up every bit with the utmost care; he could not help tasting the very smallest, and that was so good he had to taste another, and, before he knew it himself, he had eaten up the whole cake.	true	172.55	186.28	20.776978
7061_85635_000019_000000	"Now the goat is mine," said the girl.	"Now the goat is mine," said the girl.	true	187.55	189.76	18.091833
7061_85635_000020_000000	The boy stopped with the last bit in his mouth, the girl lay and laughed, and the goat stood by her side, with white breast and dark brown hair, looking sideways down.	The boy stopped with the last bit in his mouth, the girl lay and laughed, and the goat stood by her side, with white breast and dark brown hair, looking sideways down.	true	190.67	201.22	22.142141
7061_85635_000021_000000	"Could you not wait a little while?" begged the boy; his heart began to beat.	"Could you not wait a little while?" begged the boy; his heart began to beat.	false	202.31	206.86	16.773317
7061_85635_000021_000001	Then the girl laughed still more, and got up quickly on her knees.	Then the girl laughed still more, and got up quickly on her knees.	true	207.23	210.55	18
7061_85635_000022_000000	"No, the goat is mine," she said, and threw her arms round its neck, loosened one of her garters, and fastened it round.	"No, the goat is mine," she said, and threw her arms round its neck, loosened one of her garters, and fastened it round.	true	211.01	218.56	19.367954
7061_85635_000022_000001	Oeyvind looked up. She got up, and began pulling at the goat.	Oeyvind looked up. She got up, and began pulling at the goat.	true	218.96	223.11	22.553885
7061_85635_000022_000002	It would not follow, but twisted its neck downward to where Oeyvind stood.	It would not follow, but twisted its neck downward to where Oeyvind stood.	false	223.11	227.76	19.998642
