1112_128136_000000_000000	(2) Makers of Venice.	(two) Makers of Venice.	false	2.97	12.57	15.551179
1112_128136_000000_000001	By Mrs. Oliphant. (Macmillan and Co.)	By mrs Oliphant. (Macmillan and Co.)	false	12.57	16.38	22.902994
1112_128136_000001_000000	(3) The Plan of Campaign.	(three) The Plan of Campaign.	false	16.38	17.55	17.87107
1112_128136_000001_000001	By Mabel Robinson. (Vizetelly and Co.)	By Mabel Robinson. (Vizetelly and Co.)	false	17.55	19.17	16
1112_128136_000002_000000	(4) A Year in Eden.	(four) A Year in Eden.	false	19.17	20.76	14.950145
1112_128136_000002_000001	By Harriet Waters Preston. (Fisher Unwin.)	By Harriet Waters Preston. (Fisher Unwin.)	false	20.76	22.98	10
1112_128136_000003_000000	(5) The Englishwoman's Year-Book, 1888.	(five) The Englishwoman's Year Book, eighteen eighty eight.	false	22.98	25.92	31.694305
1112_128136_000003_000001	(Hatchards.)	(Hatchards.)	false	25.92	26.28	32
1112_128136_000004_000000	(6) Rachel and Other Poems. (Cornish Brothers.)	(six) Rachel and Other Poems. (Cornish Brothers.)	false	26.28	31.83	22.456938
1112_128136_000005_000000	THE POETS' CORNER--VI	THE POETS' CORNER-VI	false	31.83	33.48	23.877035
1112_128136_000006_000000	(Pall Mall Gazette, April 6, 1888.)	(Pall Mall Gazette, april sixth eighteen eighty eight.)	false	33.48	37.54	24.216276
1112_128136_000007_000000	David Westren, by Mr. Alfred Hayes, is a long narrative poem in Tennysonian blank verse, a sort of serious novel set to music.	David Westren, by mr Alfred Hayes, is a long narrative poem in Tennysonian blank verse, a sort of serious novel set to music.	true	39.98	49.72	19.88683
1112_128136_000007_000001	It is somewhat lacking in actuality, and the picturesque style in which it is written rather contributes to this effect, lending the story beauty but robbing it of truth.	It is somewhat lacking in actuality, and the picturesque style in which it is written rather contributes to this effect, lending the story beauty but robbing it of truth.	true	50	61.81	21.926834
1112_128136_000007_000002	Still, it is not without power, and cultured verse is certainly a pleasanter medium for story-telling than coarse and common prose.	Still, it is not without power, and cultured verse is certainly a pleasanter medium for story telling than coarse and common prose.	true	62.24	69.97	18
1112_128136_000007_000003	The hero of the poem is a young clergyman of the muscular Christian school:	The hero of the poem is a young clergyman of the muscular Christian school:	true	70.34	75.31	21.410936
1112_128136_000008_000000	A lover of good cheer; a bubbling source Of jest and tale; a monarch of the gun; A dreader tyrant of the darting trout Than that bright bird whose azure lightning threads The brooklet's bowery windings; the red fox Did well to seek the boulder-strewn hill-side, When Westren cheered her dappled foes; the otter Had cause to rue the dawn when Westren's form Loomed through the streaming bracken, to waylay Her late return from plunder, the rough pack Barking a jealous welcome round their friend.	A lover of good cheer; a bubbling source Of jest and tale; a monarch of the gun; A dreader tyrant of the darting trout Than that bright bird whose azure lightning threads The brooklet's bowery windings; the red fox Did well to seek the boulder strewn hill side, When Westren cheered her dappled foes; the otter Had cause to rue the dawn when Westren's form Loomed through the streaming bracken, to waylay Her late return from plunder, the rough pack Barking a jealous welcome round their friend.	true	75.83	109.75	20.817005
1112_128136_000009_000000	One day he meets on the river a lovely girl who is angling, and helps her to land	One day he meets on the river a lovely girl who is angling, and helps her to land	true	111.68	116.71	19.392725
1112_128136_000010_000000	A gallant fish, all flashing in the sun In silver mail inlaid with scarlet gems, His back thick-sprinkled as a leopard's hide With rich brown spots, and belly of bright gold.	A gallant fish, all flashing in the sun In silver mail inlaid with scarlet gems, His back thick sprinkled as a leopard's hide With rich brown spots, and belly of bright gold.	true	116.87	130.3	21.36763
1112_128136_000011_000000	They naturally fall in love with each other and marry, and for many years David Westren leads a perfectly happy life.	They naturally fall in love with each other and marry, and for many years David Westren leads a perfectly happy life.	true	132.23	139.15	21.308037
1112_128136_000011_000001	Suddenly calamity comes upon him, his wife and children die and he finds himself alone and desolate. Then begins his struggle.	Suddenly calamity comes upon him, his wife and children die and he finds himself alone and desolate. Then begins his struggle.	true	139.97	149.23	21.47405
1112_128136_000011_000002	Like Job, he cries out against the injustice of things, and his own personal sorrow makes him realise the sorrow and misery of the world.	Like Job, he cries out against the injustice of things, and his own personal sorrow makes him realise the sorrow and misery of the world.	true	149.27	158.29	19.582575
1112_128136_000011_000003	But the answer that satisfied Job does not satisfy him.	But the answer that satisfied Job does not satisfy him.	true	158.48	162.43	18.477352
1112_128136_000011_000004	He finds no comfort in contemplating Leviathan:	He finds no comfort in contemplating Leviathan:	true	162.62	166.18	23.01667
1112_128136_000012_000000	As if we lacked reminding of brute force, As if we never felt the clumsy hoof, As if the bulk of twenty million whales Were worth one pleading soul, or all the laws That rule the lifeless suns could soothe the sense Of outrage in a loving human heart! Sublime? majestic?	As if we lacked reminding of brute force, As if we never felt the clumsy hoof, As if the bulk of twenty million whales Were worth one pleading soul, or all the laws That rule the lifeless suns could soothe the sense Of outrage in a loving human heart! Sublime? majestic?	true	166.7	187.56	20.4826
1112_128136_000012_000001	Ay, but when our trust Totters, and faith is shattered to the base, Grand words will not uprear it.	Ay, but when our trust Totters, and faith is shattered to the base, Grand words will not uprear it.	false	187.56	194.44	22.630634
1112_128136_000013_000000	Mr. Hayes states the problem of life extremely well, but his solution is sadly inadequate both from a psychological and from a dramatic point of view.	mr Hayes states the problem of life extremely well, but his solution is sadly inadequate both from a psychological and from a dramatic point of view.	true	195.38	205	21.85324
1112_128136_000013_000001	David Westren ultimately becomes a mild Unitarian, a sort of pastoral Stopford Brooke with leanings towards Positivism, and we leave him preaching platitudes to a village congregation.	David Westren ultimately becomes a mild Unitarian, a sort of pastoral Stopford Brooke with leanings towards Positivism, and we leave him preaching platitudes to a village congregation.	true	205.4	219.1	21.51749
