639_124526_000002_000000	CHAPTER XIII	CHAPTER thirteen
639_124526_000004_000001	She saw a light under an office door.	She saw a light under an office door.
639_124526_000004_000002	She knocked.	She knocked.
639_124526_000004_000003	To the person who opened she murmured, "Do you happen to know where the Perrys are?" She realized that it was Guy Pollock.	To the person who opened she murmured, "Do you happen to know where the Perrys are?" She realized that it was Guy Pollock.
639_124526_000005_000001	Won't you come in and wait for them?"	Won't you come in and wait for them?"
639_124526_000007_000000	"I didn't know your office was up here."	"I didn't know your office was up here."
639_124526_000008_000003	They are a cot and a wash-stand and my other suit and the blue crepe tie you said you liked."	They are a cot and a wash stand and my other suit and the blue crepe tie you said you liked."
639_124526_000010_000000	"Of course.	"Of course.
639_124526_000010_000002	Please try this chair."	Please try this chair."
639_124526_000011_000000	She glanced about the rusty office--gaunt stove, shelves of tan law-books, desk-chair filled with newspapers so long sat upon that they were in holes and smudged to grayness.	She glanced about the rusty office-gaunt stove, shelves of tan law books, desk chair filled with newspapers so long sat upon that they were in holes and smudged to grayness.
639_124526_000011_000001	There were only two things which suggested Guy Pollock.	There were only two things which suggested Guy Pollock.
639_124526_000012_000001	He quartered the office, a grayhound on the scent; a grayhound with glasses tilted forward on his thin nose, and a silky indecisive brown mustache.	He quartered the office, a grayhound on the scent; a grayhound with glasses tilted forward on his thin nose, and a silky indecisive brown mustache.
639_124526_000012_000002	He had a golf jacket of jersey, worn through at the creases in the sleeves.	He had a golf jacket of jersey, worn through at the creases in the sleeves.
639_124526_000012_000003	She noted that he did not apologize for it, as Kennicott would have done.	She noted that he did not apologize for it, as Kennicott would have done.
639_124526_000015_000001	Evangelize it to what?"	Evangelize it to what?"
639_124526_000016_000000	"To anything that's definite.	"To anything that's definite.
639_124526_000016_000001	Seriousness or frivolousness or both.	Seriousness or frivolousness or both.
639_124526_000016_000004	Tell me, Mr. Pollock, what is the matter with Gopher Prairie?"	Tell me, mr Pollock, what is the matter with Gopher Prairie?"
639_124526_000018_000000	"(Yes, thanks.) No, I think it's the town."	"(Yes, thanks.) No, I think it's the town."
639_124526_000023_000004	Most places that have lost the smell of earth but not yet acquired the smell of patchouli--or of factory-smoke--are just as suspicious and righteous.	Most places that have lost the smell of earth but not yet acquired the smell of patchouli-or of factory smoke-are just as suspicious and righteous.
639_124526_000024_000000	She asked impulsively, "You, why do you stay here?"	She asked impulsively, "You, why do you stay here?"
639_124526_000027_000000	"It is.	"It is.
639_124526_000027_000004	I'm a perfect example.	I'm a perfect example.
639_124526_000031_000001	From college I went to New York, to the Columbia Law School.	From college I went to New York, to the Columbia Law School.
639_124526_000031_000006	I went to symphonies twice a week.	I went to symphonies twice a week.
639_124526_000031_000008	I walked in Gramercy Park.	I walked in Gramercy Park.
639_124526_000031_000009	And I read, oh, everything.	And I read, oh, everything.
639_124526_000032_000001	I came here.	I came here.
639_124526_000032_000002	Julius got well.	Julius got well.
639_124526_000033_000001	I thought I was 'keeping up.' But I guess the Village Virus had me already.	I thought I was 'keeping up.' But I guess the Village Virus had me already.
