166_352_000000_000000	Chapter 5	Chapter five
166_352_000002_000000	How can I describe my emotions at this catastrophe, or how delineate the wretch whom with such infinite pains and care I had endeavoured to form?	How can I describe my emotions at this catastrophe, or how delineate the wretch whom with such infinite pains and care I had endeavoured to form?
166_352_000002_000001	His limbs were in proportion, and I had selected his features as beautiful.	His limbs were in proportion, and I had selected his features as beautiful.
166_352_000002_000003	Great God!	Great God!
166_352_000003_000001	I had worked hard for nearly two years, for the sole purpose of infusing life into an inanimate body.	I had worked hard for nearly two years, for the sole purpose of infusing life into an inanimate body.
166_352_000003_000004	Unable to endure the aspect of the being I had created, I rushed out of the room and continued a long time traversing my bed-chamber, unable to compose my mind to sleep.	Unable to endure the aspect of the being I had created, I rushed out of the room and continued a long time traversing my bed chamber, unable to compose my mind to sleep.
166_352_000003_000005	At length lassitude succeeded to the tumult I had before endured, and I threw myself on the bed in my clothes, endeavouring to seek a few moments of forgetfulness. But it was in vain; I slept, indeed, but I was disturbed by the wildest dreams.	At length lassitude succeeded to the tumult I had before endured, and I threw myself on the bed in my clothes, endeavouring to seek a few moments of forgetfulness. But it was in vain; I slept, indeed, but I was disturbed by the wildest dreams.
166_352_000003_000006	I thought I saw Elizabeth, in the bloom of health, walking in the streets of Ingolstadt.	I thought I saw Elizabeth, in the bloom of health, walking in the streets of Ingolstadt.
166_352_000003_000008	He held up the curtain of the bed; and his eyes, if eyes they may be called, were fixed on me.	He held up the curtain of the bed; and his eyes, if eyes they may be called, were fixed on me.
166_352_000003_000009	His jaws opened, and he muttered some inarticulate sounds, while a grin wrinkled his cheeks.	His jaws opened, and he muttered some inarticulate sounds, while a grin wrinkled his cheeks.
166_352_000003_000010	He might have spoken, but I did not hear; one hand was stretched out, seemingly to detain me, but I escaped and rushed downstairs.	He might have spoken, but I did not hear; one hand was stretched out, seemingly to detain me, but I escaped and rushed downstairs.
166_352_000003_000011	I took refuge in the courtyard belonging to the house which I inhabited, where I remained during the rest of the night, walking up and down in the greatest agitation, listening attentively, catching and fearing each sound as if it were to announce the approach of the demoniacal corpse to which I had so miserably given life.	I took refuge in the courtyard belonging to the house which I inhabited, where I remained during the rest of the night, walking up and down in the greatest agitation, listening attentively, catching and fearing each sound as if it were to announce the approach of the demoniacal corpse to which I had so miserably given life.
166_352_000004_000000	Oh!	Oh!
166_352_000005_000000	I passed the night wretchedly.	I passed the night wretchedly.
166_352_000005_000001	Sometimes my pulse beat so quickly and hardly that I felt the palpitation of every artery; at others, I nearly sank to the ground through languor and extreme weakness.	Sometimes my pulse beat so quickly and hardly that I felt the palpitation of every artery; at others, I nearly sank to the ground through languor and extreme weakness.
166_352_000005_000002	Mingled with this horror, I felt the bitterness of disappointment; dreams that had been my food and pleasant rest for so long a space were now become a hell to me; and the change was so rapid, the overthrow so complete!	Mingled with this horror, I felt the bitterness of disappointment; dreams that had been my food and pleasant rest for so long a space were now become a hell to me; and the change was so rapid, the overthrow so complete!
166_352_000006_000000	Morning, dismal and wet, at length dawned and discovered to my sleepless and aching eyes the church of Ingolstadt, its white steeple and clock, which indicated the sixth hour.	Morning, dismal and wet, at length dawned and discovered to my sleepless and aching eyes the church of Ingolstadt, its white steeple and clock, which indicated the sixth hour.
166_352_000006_000002	I did not dare return to the apartment which I inhabited, but felt impelled to hurry on, although drenched by the rain which poured from a black and comfortless sky.	I did not dare return to the apartment which I inhabited, but felt impelled to hurry on, although drenched by the rain which poured from a black and comfortless sky.
166_352_000007_000002	My heart palpitated in the sickness of fear, and I hurried on with irregular steps, not daring to look about me:	My heart palpitated in the sickness of fear, and I hurried on with irregular steps, not daring to look about me:
166_352_000009_000000	[Coleridge's "Ancient Mariner."]	[Coleridge's "Ancient Mariner."]
166_352_000010_000000	Continuing thus, I came at length opposite to the inn at which the various diligences and carriages usually stopped.	Continuing thus, I came at length opposite to the inn at which the various diligences and carriages usually stopped.
166_352_000010_000001	Here I paused, I knew not why; but I remained some minutes with my eyes fixed on a coach that was coming towards me from the other end of the street.	Here I paused, I knew not why; but I remained some minutes with my eyes fixed on a coach that was coming towards me from the other end of the street.
166_352_000011_000000	Nothing could equal my delight on seeing Clerval; his presence brought back to my thoughts my father, Elizabeth, and all those scenes of home so dear to my recollection.	Nothing could equal my delight on seeing Clerval; his presence brought back to my thoughts my father, Elizabeth, and all those scenes of home so dear to my recollection.
166_352_000011_000003	Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt.	Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt.
166_352_000012_000000	"It gives me the greatest delight to see you; but tell me how you left my father, brothers, and Elizabeth."	"It gives me the greatest delight to see you; but tell me how you left my father, brothers, and Elizabeth."
166_352_000013_000001	By the by, I mean to lecture you a little upon their account myself.	By the by, I mean to lecture you a little upon their account myself.
166_352_000013_000002	But, my dear Frankenstein," continued he, stopping short and gazing full in my face, "I did not before remark how very ill you appear; so thin and pale; you look as if you had been watching for several nights."	But, my dear Frankenstein," continued he, stopping short and gazing full in my face, "I did not before remark how very ill you appear; so thin and pale; you look as if you had been watching for several nights."
166_352_000015_000000	I trembled excessively; I could not endure to think of, and far less to allude to, the occurrences of the preceding night.	I trembled excessively; I could not endure to think of, and far less to allude to, the occurrences of the preceding night.
166_352_000015_000001	I walked with a quick pace, and we soon arrived at my college.	I walked with a quick pace, and we soon arrived at my college.
166_352_000015_000002	I then reflected, and the thought made me shiver, that the creature whom I had left in my apartment might still be there, alive and walking about.	I then reflected, and the thought made me shiver, that the creature whom I had left in my apartment might still be there, alive and walking about.
166_352_000015_000006	I threw the door forcibly open, as children are accustomed to do when they expect a spectre to stand in waiting for them on the other side; but nothing appeared.	I threw the door forcibly open, as children are accustomed to do when they expect a spectre to stand in waiting for them on the other side; but nothing appeared.
166_352_000015_000008	I could hardly believe that so great a good fortune could have befallen me, but when I became assured that my enemy had indeed fled, I clapped my hands for joy and ran down to Clerval.	I could hardly believe that so great a good fortune could have befallen me, but when I became assured that my enemy had indeed fled, I clapped my hands for joy and ran down to Clerval.
166_352_000016_000001	It was not joy only that possessed me; I felt my flesh tingle with excess of sensitiveness, and my pulse beat rapidly.	It was not joy only that possessed me; I felt my flesh tingle with excess of sensitiveness, and my pulse beat rapidly.
166_352_000017_000000	"My dear Victor," cried he, "what, for God's sake, is the matter?	"My dear Victor," cried he, "what, for God's sake, is the matter?
166_352_000017_000002	How ill you are!	How ill you are!
166_352_000019_000000	Poor Clerval!	Poor Clerval!
166_352_000019_000001	What must have been his feelings?	What must have been his feelings?
166_352_000019_000002	A meeting, which he anticipated with such joy, so strangely turned to bitterness.	A meeting, which he anticipated with such joy, so strangely turned to bitterness.
166_352_000020_000003	He knew that I could not have a more kind and attentive nurse than himself; and, firm in the hope he felt of my recovery, he did not doubt that, instead of doing harm, he performed the kindest action that he could towards them.	He knew that I could not have a more kind and attentive nurse than himself; and, firm in the hope he felt of my recovery, he did not doubt that, instead of doing harm, he performed the kindest action that he could towards them.
166_352_000022_000000	By very slow degrees, and with frequent relapses that alarmed and grieved my friend, I recovered.	By very slow degrees, and with frequent relapses that alarmed and grieved my friend, I recovered.
166_352_000023_000000	"Dearest Clerval," exclaimed I, "how kind, how very good you are to me. This whole winter, instead of being spent in study, as you promised yourself, has been consumed in my sick room.	"Dearest Clerval," exclaimed I, "how kind, how very good you are to me. This whole winter, instead of being spent in study, as you promised yourself, has been consumed in my sick room.
166_352_000024_000000	"You will repay me entirely if you do not discompose yourself, but get well as fast as you can; and since you appear in such good spirits, I may speak to you on one subject, may I not?"	"You will repay me entirely if you do not discompose yourself, but get well as fast as you can; and since you appear in such good spirits, I may speak to you on one subject, may I not?"
166_352_000025_000000	I trembled.	I trembled.
166_352_000027_000000	"If this is your present temper, my friend, you will perhaps be glad to see a letter that has been lying here some days for you; it is from your cousin, I believe."	"If this is your present temper, my friend, you will perhaps be glad to see a letter that has been lying here some days for you; it is from your cousin, I believe."
