8097_114971_000003_000000	THE BUYER OF SORROWS	THE BUYER OF SORROWS
8097_114971_000004_000000	On an evening of singular sunset, about the rich beginning of May, the little market-town of Beethorpe was startled by the sound of a trumpet.	On an evening of singular sunset, about the rich beginning of May, the little market town of Beethorpe was startled by the sound of a trumpet.
8097_114971_000005_000000	Beethorpe was an ancient town, mysteriously sown, centuries ago, like a wandering thistle-down of human life, amid the silence and the nibbling sheep of the great chalk downs.	Beethorpe was an ancient town, mysteriously sown, centuries ago, like a wandering thistle down of human life, amid the silence and the nibbling sheep of the great chalk downs.
8097_114971_000005_000001	It stood in a hollow of the long smooth billows of pale pasture that suavely melted into the sky on every side. The evening was so still that the little river running across the threshold of the town, and encircling what remained of its old walls, was the noisiest thing to be heard, dominating with its talkative murmur the bedtime hum of the High Street.	It stood in a hollow of the long smooth billows of pale pasture that suavely melted into the sky on every side. The evening was so still that the little river running across the threshold of the town, and encircling what remained of its old walls, was the noisiest thing to be heard, dominating with its talkative murmur the bedtime hum of the High Street.
8097_114971_000009_000000	Again the trumpet blew, and then the braver of the young men of the town hastened up the hill to learn its meaning.	Again the trumpet blew, and then the braver of the young men of the town hastened up the hill to learn its meaning.
8097_114971_000010_000000	As they approached the horsemen, they perceived that the center of the three was a young man of great nobility of bearing, richly but somberly dressed, and with a dark, beautiful face filled with a proud melancholy. He kept his eyes on the fading sunset, sitting motionless upon his horse, apparently oblivious of the commotion his arrival had caused.	As they approached the horsemen, they perceived that the center of the three was a young man of great nobility of bearing, richly but somberly dressed, and with a dark, beautiful face filled with a proud melancholy. He kept his eyes on the fading sunset, sitting motionless upon his horse, apparently oblivious of the commotion his arrival had caused.
8097_114971_000010_000001	The horseman on his right hand was clad after the manner of a herald, and the horseman on his left hand was clad after the manner of a steward. And the three horsemen sat motionless, awaiting the bewildered ambassadors of Beethorpe.	The horseman on his right hand was clad after the manner of a herald, and the horseman on his left hand was clad after the manner of a steward. And the three horsemen sat motionless, awaiting the bewildered ambassadors of Beethorpe.
8097_114971_000011_000000	When these had approached near enough the herald once more set the trumpet to his lips and blew; and then, unfolding a parchment scroll, read in a loud voice:	When these had approached near enough the herald once more set the trumpet to his lips and blew; and then, unfolding a parchment scroll, read in a loud voice:
8097_114971_000012_000000	"To the Folk of Beethorpe--Greeting from the High and Mighty Lord, Mortimer of the Marches:	"To the Folk of Beethorpe-Greeting from the High and Mighty Lord, Mortimer of the Marches:
8097_114971_000014_000000	And when the herald had finished reading he blew again upon the trumpet three times; and the villagers looked at one another in bewilderment--but some ran down the hill to tell their neighbors of the strange proposal of their lord.	And when the herald had finished reading he blew again upon the trumpet three times; and the villagers looked at one another in bewilderment-but some ran down the hill to tell their neighbors of the strange proposal of their lord.
8097_114971_000014_000001	Thus, presently, nearly all the village of Beethorpe was making its way up the hill to where those three horsemen loomed against the evening sky.	Thus, presently, nearly all the village of Beethorpe was making its way up the hill to where those three horsemen loomed against the evening sky.
8097_114971_000015_000000	Never was such a sorrowful company.	Never was such a sorrowful company.
8097_114971_000015_000001	Up the hill they came, carrying their sorrows in their hands--sorrows for which, in excited haste, they had rummaged old drawers and forgotten cupboards, and even ran hurriedly into the churchyard.	Up the hill they came, carrying their sorrows in their hands-sorrows for which, in excited haste, they had rummaged old drawers and forgotten cupboards, and even ran hurriedly into the churchyard.
8097_114971_000017_000000	Lord Mortimer of the Marches sat his horse with the same austere indifference, his melancholy profile against the fading sky.	Lord Mortimer of the Marches sat his horse with the same austere indifference, his melancholy profile against the fading sky.
8097_114971_000017_000001	Only those who stood near to him noted a kindly ironic flicker of a smile in his eyes, as he saw, apparently seeing nothing, the poor little raked-up sorrows of his village of Beethorpe.	Only those who stood near to him noted a kindly ironic flicker of a smile in his eyes, as he saw, apparently seeing nothing, the poor little raked up sorrows of his village of Beethorpe.
8097_114971_000018_000001	His heart had been broken in a very strange way.	His heart had been broken in a very strange way.
8097_114971_000018_000002	Death and Pity were his closest friends.	Death and Pity were his closest friends.
8097_114971_000018_000003	He was so sad himself that he had come to realize that sorrow is the only sincerity of life.	He was so sad himself that he had come to realize that sorrow is the only sincerity of life.
8097_114971_000018_000004	Thus sorrow had become a kind of passion with him, even a kind of connoisseurship; and he had come, so to say, to be a collector of sorrows.	Thus sorrow had become a kind of passion with him, even a kind of connoisseurship; and he had come, so to say, to be a collector of sorrows.
8097_114971_000018_000005	It was partly pity and partly an odd form of dilettanteism--for his own sad heart made him pitiful for and companionable with any other sad heart; but the sincerity of his sorrow made him jealous of the sanctity of sorrow, and at the same time sternly critical of, and sadly amused by, the hypocrisies of sorrow.	It was partly pity and partly an odd form of dilettanteism-for his own sad heart made him pitiful for and companionable with any other sad heart; but the sincerity of his sorrow made him jealous of the sanctity of sorrow, and at the same time sternly critical of, and sadly amused by, the hypocrisies of sorrow.
8097_114971_000019_000000	So, as he sat his horse and gazed at the sunset, he smiled sadly to himself as he heard, without seeming to hear, the small, insincere sorrows of his village of Beethorpe--sorrows forgotten long ago, but suddenly rediscovered in old drawers and unopened cupboards, at the sound of his lordship's trumpet and the promise of his strange proclamation.	So, as he sat his horse and gazed at the sunset, he smiled sadly to himself as he heard, without seeming to hear, the small, insincere sorrows of his village of Beethorpe-sorrows forgotten long ago, but suddenly rediscovered in old drawers and unopened cupboards, at the sound of his lordship's trumpet and the promise of his strange proclamation.
8097_114971_000020_000000	Was there a sorrow in the world that no money could buy?	Was there a sorrow in the world that no money could buy?
8097_114971_000021_000000	It was to find such a sorrow that Lord Mortimer thus fantastically rode from village to village of his estates, with herald and steward.	It was to find such a sorrow that Lord Mortimer thus fantastically rode from village to village of his estates, with herald and steward.
8097_114971_000022_000000	The unpurchasable sorrow--the sorrow no gold can gild, no jewel can buy!	The unpurchasable sorrow-the sorrow no gold can gild, no jewel can buy!
