188_136483_000000_000000	He did not look toward Miss Polly.	He did not look toward Miss Polly.	false	0	4.23	21.586105
188_136483_000000_000001	He turned his face resolutely toward the door.	He turned his face resolutely toward the door.	false	4.23	8.46	17
188_136483_000000_000002	But instantly he heard a swift step at his side, and found a shaking hand thrust toward him.	But instantly he heard a swift step at his side, and found a shaking hand thrust toward him.	false	8.46	15.45	21.403112
188_136483_000001_000000	"When the specialist comes, and I know anything--definite about Pollyanna, I will let you hear from me," said a trembling voice. "Good-by--and thank you for coming.	"When the specialist comes, and I know anything-definite about Pollyanna, I will let you hear from me," said a trembling voice. "Good by-and thank you for coming.	false	15.45	21.9	22.856203
188_136483_000001_000001	Pollyanna will be pleased."	Pollyanna will be pleased."	false	21.9	22.68	-20
188_136483_000002_000000	CHAPTER XXV.	CHAPTER twenty five.	true	22.68	24.15	19.12587
188_136483_000002_000001	A WAITING GAME	A WAITING GAME	true	24.15	25.48	19
188_136483_000003_000000	On the day after John Pendleton's call at the Harrington homestead, Miss Polly set herself to the task of preparing Pollyanna for the visit of the specialist.	On the day after john Pendleton's call at the Harrington homestead, Miss Polly set herself to the task of preparing Pollyanna for the visit of the specialist.	true	27.92	37.63	18
188_136483_000004_000000	"Pollyanna, my dear," she began gently, "we have decided that we want another doctor besides Dr. Warren to see you.	"Pollyanna, my dear," she began gently, "we have decided that we want another doctor besides dr Warren to see you.	true	38.9	45.85	15
188_136483_000004_000001	Another one might tell us something new to do--to help you get well faster, you know."	Another one might tell us something new to do-to help you get well faster, you know."	true	46.49	51.61	19
188_136483_000005_000000	A joyous light came to Pollyanna's face.	A joyous light came to Pollyanna's face.	true	52.97	55.69	17
188_136483_000006_000000	"Dr. Chilton!	"dr Chilton!	true	56.18	57.7	23.001007
188_136483_000006_000001	Oh, Aunt Polly, I'd so love to have Dr. Chilton!	Oh, Aunt Polly, I'd so love to have dr Chilton!	true	58.04	61.18	16
188_136483_000006_000002	I've wanted him all the time, but I was afraid you didn't, on account of his seeing you in the sun parlor that day, you know; so I didn't like to say anything.	I've wanted him all the time, but I was afraid you didn't, on account of his seeing you in the sun parlor that day, you know; so I didn't like to say anything.	false	61.67	71.55	21.245768
188_136483_000006_000003	But I'm so glad you do want him!"	But I'm so glad you do want him!"	true	71.55	74.41	19.475578
188_136483_000007_000000	Aunt Polly's face had turned white, then red, then back to white again. But when she answered, she showed very plainly that she was trying to speak lightly and cheerfully.	Aunt Polly's face had turned white, then red, then back to white again. But when she answered, she showed very plainly that she was trying to speak lightly and cheerfully.	true	76.04	87.37	19
188_136483_000008_000000	"Oh, no, dear!	"Oh, no, dear!	true	88.73	89.745	18.76708
188_136483_000008_000001	It wasn't Dr. Chilton at all that I meant.	It wasn't dr Chilton at all that I meant.	false	89.745	92.41	16
188_136483_000008_000002	It is a new doctor--a very famous doctor from New York, who--who knows a great deal about--about hurts like yours."	It is a new doctor-a very famous doctor from New York, who-who knows a great deal about-about hurts like yours."	true	92.75	101.44	21.718014
188_136483_000009_000000	Pollyanna's face fell.	Pollyanna's face fell.	true	102.56	104.41	19
188_136483_000010_000000	"I don't believe he knows half so much as Dr. Chilton."	"I don't believe he knows half so much as dr Chilton."	true	105.2	108.25	18
188_136483_000011_000000	"Oh, yes, he does, I'm sure, dear."	"Oh, yes, he does, I'm sure, dear."	true	109.19	111.67	17
188_136483_000012_000000	"But it was Dr. Chilton who doctored Mr. Pendleton's broken leg, Aunt Polly.	"But it was dr Chilton who doctored mr Pendleton's broken leg, Aunt Polly.	true	113.06	117.37	17
188_136483_000012_000001	If--if you don't mind VERY much, I WOULD LIKE to have Dr. Chilton--truly I would!"	If-if you don't mind VERY much, I WOULD LIKE to have dr Chilton-truly I would!"	true	117.74	124.21	21.632177
188_136483_000013_000000	A distressed color suffused Miss Polly's face.	A distressed color suffused Miss Polly's face.	true	125.72	128.86	16
188_136483_000013_000001	For a moment she did not speak at all; then she said gently--though yet with a touch of her old stern decisiveness:	For a moment she did not speak at all; then she said gently-though yet with a touch of her old stern decisiveness:	false	129.26	136.45	19
188_136483_000014_000000	"But I do mind, Pollyanna.	"But I do mind, Pollyanna.	true	137.36	139.14	15
188_136483_000014_000001	I mind very much.	I mind very much.	true	139.14	140.65	20
188_136483_000014_000002	I would do anything--almost anything for you, my dear; but I--for reasons which I do not care to speak of now, I don't wish Dr. Chilton called in on--on this case.	I would do anything-almost anything for you, my dear; but I-for reasons which I do not care to speak of now, I don't wish dr Chilton called in on-on this case.	false	140.99	153.34	21.962236
188_136483_000014_000003	And believe me, he can NOT know so much about--about your trouble, as this great doctor does, who will come from New York to-morrow."	And believe me, he can NOT know so much about-about your trouble, as this great doctor does, who will come from New York to morrow."	true	153.74	163.18	21.606194
188_136483_000015_000000	Pollyanna still looked unconvinced.	Pollyanna still looked unconvinced.	true	164.48	166.78	20.314646
188_136483_000016_000000	"But, Aunt Polly, if you LOVED Dr. Chilton--"	"But, Aunt Polly, if you LOVED dr Chilton-"	true	167.39	171.25	22.227129
188_136483_000017_000000	"WHAT, Pollyanna?" Aunt Polly's voice was very sharp now.	"WHAT, Pollyanna?" Aunt Polly's voice was very sharp now.	true	172.28	176.56	20.45003
188_136483_000017_000001	Her cheeks were very red, too.	Her cheeks were very red, too.	true	176.57	178.57	15
188_136483_000018_000000	"I say, if you loved Dr. Chilton, and didn't love the other one," sighed Pollyanna, "seems to me that would make some difference in the good he would do; and I love Dr. Chilton."	"I say, if you loved dr Chilton, and didn't love the other one," sighed Pollyanna, "seems to me that would make some difference in the good he would do; and I love dr Chilton."	true	179.6	192.55	18.76288
188_136483_000019_000000	The nurse entered the room at that moment, and Aunt Polly rose to her feet abruptly, a look of relief on her face.	The nurse entered the room at that moment, and Aunt Polly rose to her feet abruptly, a look of relief on her face.	true	193.94	200.86	18
188_136483_000020_000000	"I am very sorry, Pollyanna," she said, a little stiffly; "but I'm afraid you'll have to let me be the judge, this time.	"I am very sorry, Pollyanna," she said, a little stiffly; "but I'm afraid you'll have to let me be the judge, this time.	true	201.95	208.93	16
188_136483_000020_000001	Besides, it's already arranged.	Besides, it's already arranged.	true	209.69	212.47	19.831242
188_136483_000020_000002	The New York doctor is coming to-morrow."	The New York doctor is coming to morrow."	true	212.72	215.26	21
188_136483_000021_000000	As it happened, however, the New York doctor did not come "to-morrow." At the last moment a telegram told of an unavoidable delay owing to the sudden illness of the specialist himself.	As it happened, however, the New York doctor did not come "to morrow." At the last moment a telegram told of an unavoidable delay owing to the sudden illness of the specialist himself.	true	216.5	228.52	19
188_136483_000021_000001	This led Pollyanna into a renewed pleading for the substitution of Dr. Chilton--"which would be so easy now, you know."	This led Pollyanna into a renewed pleading for the substitution of dr Chilton-"which would be so easy now, you know."	true	229.76	237.4	18
188_136483_000022_000000	But as before, Aunt Polly shook her head and said "no, dear," very decisively, yet with a still more anxious assurance that she would do anything--anything but that--to please her dear Pollyanna.	But as before, Aunt Polly shook her head and said "no, dear," very decisively, yet with a still more anxious assurance that she would do anything-anything but that-to please her dear Pollyanna.	false	238.43	252.58	22.861458
188_136483_000023_000000	As the days of waiting passed, one by one, it did indeed, seem that Aunt Polly was doing everything (but that) that she could do to please her niece.	As the days of waiting passed, one by one, it did indeed, seem that Aunt Polly was doing everything (but that) that she could do to please her niece.	true	254.15	264.34	19.943283
