2920_156224_000000_000000	Chapter XI.	Chapter eleven.	false	1.35	27.78	19.040705
2920_156224_000001_000000	Some Grave Talk In Gay Company	Some Grave Talk In Gay Company	true	27.78	30.28	22
2920_156224_000002_000000	Francis had hoped to see his cousins before he met them at the party, but when he called at Peggy Walker's he found that they were out taking their customary long walk, so he met them in Mrs. Rennie's drawing-room for the first time.	Francis had hoped to see his cousins before he met them at the party, but when he called at Peggy Walker's he found that they were out taking their customary long walk, so he met them in mrs Rennie's drawing room for the first time.	true	32.03	45.67	17
2920_156224_000002_000001	Certainly the two girls in mourning were not the plainest-looking in the room.	Certainly the two girls in mourning were not the plainest looking in the room.	true	46.64	51.07	14
2920_156224_000002_000002	Neither sister was beautiful, but Elsie was very nearly so, and her recent suffering had thrown more intensity into her expression, and made her look more lovely than ever.	Neither sister was beautiful, but Elsie was very nearly so, and her recent suffering had thrown more intensity into her expression, and made her look more lovely than ever.	false	51.56	63.48	18.68283
2920_156224_000002_000003	But it was to Jane that Francis' eyes turned affectionately and anxiously, and he grieved to see the traces of weariness, of care, and he even thought, of tears, on the face which to him was the most interesting in the world.	But it was to Jane that Francis' eyes turned affectionately and anxiously, and he grieved to see the traces of weariness, of care, and he even thought, of tears, on the face which to him was the most interesting in the world.	false	63.48	79.45	19
2920_156224_000002_000004	He shook hands with her warmly, and looked inquiringly in her face, and then drew her into a quiet corner in a window-seat, where they could talk without being much observed.	He shook hands with her warmly, and looked inquiringly in her face, and then drew her into a quiet corner in a window seat, where they could talk without being much observed.	true	80.03	90.58	20
2920_156224_000002_000005	Elsie did not sit beside them, but left them to their own conversation, assured that she would hear all that she cared to know by-and-by; yet she was not neglected, for Miss Rennie had taken a great fancy to her, and was determined, if possible, to get her partners.	Elsie did not sit beside them, but left them to their own conversation, assured that she would hear all that she cared to know by and by; yet she was not neglected, for Miss Rennie had taken a great fancy to her, and was determined, if possible, to get her partners.	true	91.13	109.45	21.02235
2920_156224_000002_000006	At Mrs. Rennie's parties there never was any scarcity of gentlemen, for they had an extensive family connection, and Mr. Rennie was a kind and hospitable man, who had a large acquaintance in the city.	At mrs Rennie's parties there never was any scarcity of gentlemen, for they had an extensive family connection, and mr Rennie was a kind and hospitable man, who had a large acquaintance in the city.	true	110.03	122.56	19
2920_156224_000002_000007	Miss Rennie had judged hardly of Jane's personal appearance at first sight, but she thought Elsie a most elegant and interesting creature.	Miss Rennie had judged hardly of Jane's personal appearance at first sight, but she thought Elsie a most elegant and interesting creature.	true	123.32	132.37	20
2920_156224_000003_000000	"We have written so often and so fully to each other that I fancy that we have little to say now we meet," said Jane, smiling.	"We have written so often and so fully to each other that I fancy that we have little to say now we meet," said Jane, smiling.	false	133.85	141.16	19
2920_156224_000004_000000	"We have written so much to each other that we have all the more to say, Jane," said her cousin.	"We have written so much to each other that we have all the more to say, Jane," said her cousin.	true	141.8	146.74	17
2920_156224_000004_000001	"I never get a letter from you without its making me wish to talk over it with you.	"I never get a letter from you without its making me wish to talk over it with you.	true	146.99	151.24	17
2920_156224_000004_000002	You have no news, however, I suppose?"	You have no news, however, I suppose?"	true	151.61	154	16
2920_156224_000005_000000	"No news," said Jane.	"No news," said Jane.	true	154.67	156.4	21.832516
2920_156224_000005_000001	"I wrote to you of Elsie's last bitter disappointment.	"I wrote to you of Elsie's last bitter disappointment.	true	156.71	159.76	20.102432
2920_156224_000005_000002	It was a cruel letter; she felt it all the more, because she says it is all true.	It was a cruel letter; she felt it all the more, because she says it is all true.	true	160.07	165.49	17
2920_156224_000005_000003	But, really, Francis, I think her poetry did not deserve it.	But, really, Francis, I think her poetry did not deserve it.	true	166.16	170.23	18.772383
