1050_134119_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	8.67	10.69	16
1050_134119_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	10.79	13.75	15
1050_134119_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	false	14	18.75	17
1050_134119_000001_000000	THE PETERKIN PAPERS ***	THE PETERKIN PAPERS asterisk asterisk asterisk	false	18.75	19.8	20.555075
1050_134119_000002_000000	Produced by David Reed	Produced by David Reed	false	19.8	20.505	-20
1050_134119_000003_000000	THE PETERKIN PAPERS	THE PETERKIN PAPERS	true	20.505	21.78	18
1050_134119_000004_000000	By Lucretia P. Hale	By Lucretia p Hale	true	21.78	23.97	20
1050_134119_000005_000000	Mrs. Peterkin Puts Salt into Her Coffee.	mrs Peterkin Puts Salt into Her Coffee.	false	23.97	24.12	-20
1050_134119_000006_000000	Dedicated	Dedicated	false	24.12	24.15	-20
1050_134119_000007_000000	To Meggie (The Daughter of The Lady From Philadelphia)	To Meggie (The Daughter of The Lady From Philadelphia)	false	24.15	24.33	-20
1050_134119_000008_000000	To Whom These Stories Were First Told	To Whom These Stories Were First Told	false	24.33	24.51	-20
1050_134119_000009_000000	Preface to The Second Edition of The Peterkin Papers	Preface to The Second Edition of The Peterkin Papers	false	24.51	27.78	21.227657
1050_134119_000010_000000	THE first of these stories was accepted by Mr. Howard M. Ticknor for the "Young Folks." They were afterwards continued in numbers of the "St. Nicholas."	THE first of these stories was accepted by mr Howard m Ticknor for the "Young Folks." They were afterwards continued in numbers of the "saint Nicholas."	false	27.78	36.55	19
1050_134119_000011_000000	A second edition is now printed, containing a new paper, which has never before been published, "The Peterkins at the Farm."	A second edition is now printed, containing a new paper, which has never before been published, "The Peterkins at the Farm."	false	36.86	44.11	19
1050_134119_000012_000000	It may be remembered that the Peterkins originally hesitated about publishing their Family Papers, and were decided by referring the matter to the lady from Philadelphia.	It may be remembered that the Peterkins originally hesitated about publishing their Family Papers, and were decided by referring the matter to the lady from Philadelphia.	true	44.42	54.37	19
