3945_29110_000000_000000	On the last day of the journey as the railway train Philip was on was leaving a large city, a lady timidly entered the drawing-room car, and hesitatingly took a chair that was at the moment unoccupied.	On the last day of the journey as the railway train Philip was on was leaving a large city, a lady timidly entered the drawing room car, and hesitatingly took a chair that was at the moment unoccupied.
3945_29110_000001_000000	"Now you can't sit there.	"Now you can't sit there.
3945_29110_000001_000001	That seat's taken.	That seat's taken.
3945_29110_000001_000002	Go into the other car."	Go into the other car."
3945_29110_000003_000000	"There aint any.	"There aint any.
3945_29110_000003_000001	Car's full.	Car's full.
3945_29110_000003_000002	You'll have to leave."	You'll have to leave."
3945_29110_000004_000000	"But, sir," said the lady, appealingly, "I thought--"	"But, sir," said the lady, appealingly, "I thought-"
3945_29110_000005_000000	"Can't help what you thought--you must go into the other car."	"Can't help what you thought-you must go into the other car."
3945_29110_000006_000000	"The train is going very fast, let me stand here till we stop."	"The train is going very fast, let me stand here till we stop."
3945_29110_000007_000000	"The lady can have my seat," cried Philip, springing up.	"The lady can have my seat," cried Philip, springing up.
3945_29110_000008_000000	The conductor turned towards Philip, and coolly and deliberately surveyed him from head to foot, with contempt in every line of his face, turned his back upon him without a word, and said to the lady,	The conductor turned towards Philip, and coolly and deliberately surveyed him from head to foot, with contempt in every line of his face, turned his back upon him without a word, and said to the lady,
3945_29110_000009_000000	"Come, I've got no time to talk.	"Come, I've got no time to talk.
3945_29110_000009_000001	You must go now."	You must go now."
3945_29110_000010_000000	The lady, entirely disconcerted by such rudeness, and frightened, moved towards the door, opened it and stepped out.	The lady, entirely disconcerted by such rudeness, and frightened, moved towards the door, opened it and stepped out.
3945_29110_000010_000001	The train was swinging along at a rapid rate, jarring from side to side; the step was a long one between the cars and there was no protecting grating.	The train was swinging along at a rapid rate, jarring from side to side; the step was a long one between the cars and there was no protecting grating.
3945_29110_000010_000002	The lady attempted it, but lost her balance, in the wind and the motion of the car, and fell!	The lady attempted it, but lost her balance, in the wind and the motion of the car, and fell!
3945_29110_000010_000003	She would inevitably have gone down under the wheels, if Philip, who had swiftly followed her, had not caught her arm and drawn her up.	She would inevitably have gone down under the wheels, if Philip, who had swiftly followed her, had not caught her arm and drawn her up.
3945_29110_000010_000004	He then assisted her across, found her a seat, received her bewildered thanks, and returned to his car.	He then assisted her across, found her a seat, received her bewildered thanks, and returned to his car.
