637_127597_000001_000000	CHAPTER THIRTY-THREE	CHAPTER THIRTY THREE
637_127597_000004_000000	As he drew near, I remembered with many misgivings the inauspicious termination of our former interview, and when he entered the house, I watched with intense anxiety the reception he met with from its inmates. To my joy, his appearance was hailed with the liveliest pleasure; and accosting me kindly, he seated himself by my side, and entered into conversation with the natives around him.	As he drew near, I remembered with many misgivings the inauspicious termination of our former interview, and when he entered the house, I watched with intense anxiety the reception he met with from its inmates. To my joy, his appearance was hailed with the liveliest pleasure; and accosting me kindly, he seated himself by my side, and entered into conversation with the natives around him.
637_127597_000004_000001	It soon appeared however, that on this occasion he had not any intelligence of importance to communicate.	It soon appeared however, that on this occasion he had not any intelligence of importance to communicate.
637_127597_000004_000003	He replied from Pueearka, his native valley, and that he intended to return to it the same day.	He replied from Pueearka, his native valley, and that he intended to return to it the same day.
637_127597_000005_000000	At once it struck me that, could I but reach that valley under his protection, I might easily from thence reach Nukuheva by water; and animated by the prospect which this plan held, out I disclosed it in a few brief words to the stranger, and asked him how it could be best accomplished.	At once it struck me that, could I but reach that valley under his protection, I might easily from thence reach Nukuheva by water; and animated by the prospect which this plan held, out I disclosed it in a few brief words to the stranger, and asked him how it could be best accomplished.
637_127597_000005_000001	My heart sunk within me, when in his broken English he answered me that it could never be effected.	My heart sunk within me, when in his broken English he answered me that it could never be effected.
637_127597_000005_000002	'Kanaka no let you go nowhere,' he said; 'you taboo.	'Kanaka no let you go nowhere,' he said; 'you taboo.
637_127597_000005_000005	Suppose you no like this bay, why you come?	Suppose you no like this bay, why you come?
637_127597_000005_000007	All white men afraid Typee, so no white men come.'	All white men afraid Typee, so no white men come.'
637_127597_000007_000000	It would have been idle for me to have attempted resuming the interview so peremptorily terminated by Marnoo, who was evidently little disposed to compromise his own safety by any rash endeavour to ensure mine. But the plan he had suggested struck me as one which might possibly be accomplished, and I resolved to act upon it as speedily as possible.	It would have been idle for me to have attempted resuming the interview so peremptorily terminated by Marnoo, who was evidently little disposed to compromise his own safety by any rash endeavour to ensure mine. But the plan he had suggested struck me as one which might possibly be accomplished, and I resolved to act upon it as speedily as possible.
637_127597_000009_000000	A mode of escape was now presented to me, but how was I to avail myself of it?	A mode of escape was now presented to me, but how was I to avail myself of it?
637_127597_000009_000001	I was continually surrounded by the savages; I could not stir from one house to another without being attended by some of them; and even during the hours devoted to slumber, the slightest movement which I made seemed to attract the notice of those who shared the mats with me. In spite of these obstacles, however, I determined forthwith to make the attempt.	I was continually surrounded by the savages; I could not stir from one house to another without being attended by some of them; and even during the hours devoted to slumber, the slightest movement which I made seemed to attract the notice of those who shared the mats with me. In spite of these obstacles, however, I determined forthwith to make the attempt.
637_127597_000009_000003	It was also by night alone that I could hope to accomplish my object, and then only by adopting the utmost precaution.	It was also by night alone that I could hope to accomplish my object, and then only by adopting the utmost precaution.
637_127597_000010_000000	The entrance to Marheyo's habitation was through a low narrow opening in its wicker-work front.	The entrance to Marheyo's habitation was through a low narrow opening in its wicker work front.
