637_127597_000000_000000	One only hope remained to me.	One only hope remained to me.	false	0	1.23	-20
637_127597_000000_000001	The French could not long defer a visit to the bay, and if they should permanently locate any of their troops in the valley, the savages could not for any length of time conceal my existence from them.	The French could not long defer a visit to the bay, and if they should permanently locate any of their troops in the valley, the savages could not for any length of time conceal my existence from them.	false	1.23	8.4	22.056854
637_127597_000000_000002	But what reason had I to suppose that I should be spared until such an event occurred, an event which might be postponed by a hundred different contingencies?	But what reason had I to suppose that I should be spared until such an event occurred, an event which might be postponed by a hundred different contingencies?	false	8.4	19.02	23.446033
637_127597_000001_000000	CHAPTER THIRTY-THREE	CHAPTER THIRTY THREE	true	19.02	20.25	27
637_127597_000002_000000	THE STRANGER AGAIN ARRIVES IN THE VALLEY--SINGULAR INTERVIEW WITH HIM--ATTEMPT TO ESCAPE--FAILURE--MELANCHOLY SITUATION--SYMPATHY OF MARHEYO	THE STRANGER AGAIN ARRIVES IN THE VALLEY-SINGULAR INTERVIEW WITH HIM-ATTEMPT TO ESCAPE-FAILURE-MELANCHOLY SITUATION-SYMPATHY OF m a r h e y o	false	20.25	23.07	10.213144
637_127597_000003_000000	'MARNOO, Marnoo pemi!' Such were the welcome sounds which fell upon my ear some ten days after the events related in the preceding chapter. Once more the approach of the stranger was heralded, and the intelligence operated upon me like magic.	'm a r n o o, Marnoo pemi!' Such were the welcome sounds which fell upon my ear some ten days after the events related in the preceding chapter. Once more the approach of the stranger was heralded, and the intelligence operated upon me like magic.	false	23.07	38.23	23.697214
637_127597_000003_000001	Again I should be able to converse with him in my own language; and I resolve at all hazards to concert with him some scheme, however desperate, to rescue me from a condition that had now become insupportable.	Again I should be able to converse with him in my own language; and I resolve at all hazards to concert with him some scheme, however desperate, to rescue me from a condition that had now become insupportable.	false	38.6	51.04	20.936062
637_127597_000004_000000	As he drew near, I remembered with many misgivings the inauspicious termination of our former interview, and when he entered the house, I watched with intense anxiety the reception he met with from its inmates. To my joy, his appearance was hailed with the liveliest pleasure; and accosting me kindly, he seated himself by my side, and entered into conversation with the natives around him.	As he drew near, I remembered with many misgivings the inauspicious termination of our former interview, and when he entered the house, I watched with intense anxiety the reception he met with from its inmates. To my joy, his appearance was hailed with the liveliest pleasure; and accosting me kindly, he seated himself by my side, and entered into conversation with the natives around him.	true	52.52	76.48	20.684425
637_127597_000004_000001	It soon appeared however, that on this occasion he had not any intelligence of importance to communicate.	It soon appeared however, that on this occasion he had not any intelligence of importance to communicate.	true	77.12	82.54	21.557749
637_127597_000004_000002	I inquired of him from whence he had just come?	I inquired of him from whence he had just come?	false	83.09	85.99	22.5106
637_127597_000004_000003	He replied from Pueearka, his native valley, and that he intended to return to it the same day.	He replied from Pueearka, his native valley, and that he intended to return to it the same day.	true	86.42	92.65	23.788263
637_127597_000005_000000	At once it struck me that, could I but reach that valley under his protection, I might easily from thence reach Nukuheva by water; and animated by the prospect which this plan held, out I disclosed it in a few brief words to the stranger, and asked him how it could be best accomplished.	At once it struck me that, could I but reach that valley under his protection, I might easily from thence reach Nukuheva by water; and animated by the prospect which this plan held, out I disclosed it in a few brief words to the stranger, and asked him how it could be best accomplished.	true	93.77	110.71	21.891577
637_127597_000005_000001	My heart sunk within me, when in his broken English he answered me that it could never be effected.	My heart sunk within me, when in his broken English he answered me that it could never be effected.	true	111.38	118	23.486174
637_127597_000005_000002	'Kanaka no let you go nowhere,' he said; 'you taboo.	'Kanaka no let you go nowhere,' he said; 'you taboo.	true	118.88	123.6	24.030552
637_127597_000005_000003	Why you no like to stay?	Why you no like to stay?	false	123.6	125.95	32.433014
637_127597_000005_000004	Plenty moee-moee (sleep)--plenty ki-ki (eat)--plenty wahenee (young girls)--Oh, very good place Typee!	Plenty m o e e m o e e (sleep)--plenty ki ki (eat)--plenty wahenee (young girls)--Oh, very good place Typee!	false	126.14	136.93	22.169329
637_127597_000005_000005	Suppose you no like this bay, why you come?	Suppose you no like this bay, why you come?	true	137.45	140.71	26.608065
637_127597_000005_000006	You no hear about Typee?	You no hear about Typee?	true	140.93	142.66	19.716793
637_127597_000005_000007	All white men afraid Typee, so no white men come.'	All white men afraid Typee, so no white men come.'	true	142.97	146.95	25.486149
637_127597_000006_000000	These words distressed me beyond belief; and when I had again related to him the circumstances under which I had descended into the valley, and sought to enlist his sympathies in my behalf by appealing to the bodily misery I had endure, he listened with impatience, and cut me short by exclaiming passionately, 'Me no hear you talk any more; by by Kanaka get mad, kill you and me too.	These words distressed me beyond belief; and when I had again related to him the circumstances under which I had descended into the valley, and sought to enlist his sympathies in my behalf by appealing to the bodily misery I had endure, he listened with impatience, and cut me short by exclaiming passionately, 'Me no hear you talk any more; by by Kanaka get mad, kill you and me too.	false	148.13	171.85	23.159946
637_127597_000006_000001	No you see he no want you to speak at all?--you see--ah! by by you no mind--you get well, he kill you, eat you, hang you head up there, like Happar Kanaka.--Now you listen--but no talk any more.	No you see he no want you to speak at all?--you see-ah! by by you no mind-you get well, he kill you, eat you, hang you head up there, like Happar Kanaka.--Now you listen-but no talk any more.	false	172.43	186.64	22.84621
637_127597_000006_000002	By by I go;--you see way I go--Ah! then some night Kanaka all moee-moee (sleep)--you run away, you come Pueearka.	By by I go;--you see way I go-Ah! then some night Kanaka all m o e e m o e e (sleep)--you run away, you come Pueearka.	false	187.13	197.17	22.4102
637_127597_000006_000003	I speak Pueearka Kanaka--he no harm you--ah! then I take you my canoe Nukuheva--and you run away ship no more.' With these words, enforced by a vehemence of gesture I cannot describe, Marnoo started from my side, and immediately engaged in conversation with some of the chiefs who had entered the house.	I speak Pueearka Kanaka-he no harm you-ah! then I take you my canoe Nukuheva-and you run away ship no more.' With these words, enforced by a vehemence of gesture I cannot describe, Marnoo started from my side, and immediately engaged in conversation with some of the chiefs who had entered the house.	false	197.39	218.68	23.150394
637_127597_000007_000000	It would have been idle for me to have attempted resuming the interview so peremptorily terminated by Marnoo, who was evidently little disposed to compromise his own safety by any rash endeavour to ensure mine. But the plan he had suggested struck me as one which might possibly be accomplished, and I resolved to act upon it as speedily as possible.	It would have been idle for me to have attempted resuming the interview so peremptorily terminated by Marnoo, who was evidently little disposed to compromise his own safety by any rash endeavour to ensure mine. But the plan he had suggested struck me as one which might possibly be accomplished, and I resolved to act upon it as speedily as possible.	true	220.16	240.28	22.776344
637_127597_000008_000000	Accordingly, when he arose to depart, I accompanied him with the natives outside of the house, with a view of carefully noting the path he would take in leaving the valley.	Accordingly, when he arose to depart, I accompanied him with the natives outside of the house, with a view of carefully noting the path he would take in leaving the valley.	false	241.25	250.42	22.78056
637_127597_000008_000001	Just before leaping from the pi-pi he clasped my hand, and looking significantly at me, exclaimed, 'Now you see--you do what I tell you--ah! then you do good;--you no do so--ah! then you die.' The next moment he waved his spear to the islanders, and following the route that conducted to a defile in the mountains lying opposite the Happar side, was soon out of sight.	Just before leaping from the pi pi he clasped my hand, and looking significantly at me, exclaimed, 'Now you see-you do what I tell you-ah! then you do good;--you no do so-ah! then you die.' The next moment he waved his spear to the islanders, and following the route that conducted to a defile in the mountains lying opposite the Happar side, was soon out of sight.	false	251.09	276.37	22.958927
637_127597_000009_000000	A mode of escape was now presented to me, but how was I to avail myself of it?	A mode of escape was now presented to me, but how was I to avail myself of it?	true	277.91	282.7	22.135489
637_127597_000009_000001	I was continually surrounded by the savages; I could not stir from one house to another without being attended by some of them; and even during the hours devoted to slumber, the slightest movement which I made seemed to attract the notice of those who shared the mats with me. In spite of these obstacles, however, I determined forthwith to make the attempt.	I was continually surrounded by the savages; I could not stir from one house to another without being attended by some of them; and even during the hours devoted to slumber, the slightest movement which I made seemed to attract the notice of those who shared the mats with me. In spite of these obstacles, however, I determined forthwith to make the attempt.	true	283.16	303.19	22.76907
637_127597_000009_000002	To do so with any prospect of success, it was necessary that I should have at least two hours start before the islanders should discover my absence; for with such facility was any alarm spread through the valley, and so familiar, of course, were the inhabitants with the intricacies of the groves, that I could not hope, lame and feeble as I was, and ignorant of the route, to secure my escape unless I had this advantage.	To do so with any prospect of success, it was necessary that I should have at least two hours start before the islanders should discover my absence; for with such facility was any alarm spread through the valley, and so familiar, of course, were the inhabitants with the intricacies of the groves, that I could not hope, lame and feeble as I was, and ignorant of the route, to secure my escape unless I had this advantage.	true	303.68	328.69	21.635715
637_127597_000009_000003	It was also by night alone that I could hope to accomplish my object, and then only by adopting the utmost precaution.	It was also by night alone that I could hope to accomplish my object, and then only by adopting the utmost precaution.	true	329.57	337.12	22.764782
637_127597_000010_000000	The entrance to Marheyo's habitation was through a low narrow opening in its wicker-work front.	The entrance to Marheyo's habitation was through a low narrow opening in its wicker work front.	true	338.75	343.9	22
637_127597_000010_000001	This passage, for no conceivable reason that I could devise, was always closed after the household had retired to rest, by drawing a heavy slide across it, composed of a dozen or more bits of wood, ingeniously fastened together by seizings of sinnate.	This passage, for no conceivable reason that I could devise, was always closed after the household had retired to rest, by drawing a heavy slide across it, composed of a dozen or more bits of wood, ingeniously fastened together by seizings of sinnate.	true	344.33	359.86	21.2492
637_127597_000010_000002	When any of the inmates chose to go outside, the noise occasioned by the removing of this rude door awakened every body else; and on more than one occasion I had remarked that the islanders were nearly as irritable as more civilized beings under similar circumstances.	When any of the inmates chose to go outside, the noise occasioned by the removing of this rude door awakened every body else; and on more than one occasion I had remarked that the islanders were nearly as irritable as more civilized beings under similar circumstances.	true	360.65	375.58	20.29262
637_127597_000011_000000	The difficulty thus placed in my way I, determined to obviate in the following manner.	The difficulty thus placed in my way I, determined to obviate in the following manner.	true	377.09	381.58	21.502262
637_127597_000011_000001	I would get up boldly in the course of the night, and drawing the slide, issue from the house, and pretend that my object was merely to procure a drink from the calabash, which always stood without the dwelling on the corner of the pi-pi.	I would get up boldly in the course of the night, and drawing the slide, issue from the house, and pretend that my object was merely to procure a drink from the calabash, which always stood without the dwelling on the corner of the pi pi.	false	382.22	396.15	21.498365
