56_1730_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	4.65	6.49	25.842974
56_1730_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	6.86	9.7	17.329172
56_1730_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	9.95	14.52	20.364567
56_1730_000001_000000	ANNA KARENINA ***	ANNA KARENINA asterisk asterisk asterisk	false	14.52	15.54	20.282616
56_1730_000002_000000	Produced by David Brannan.	Produced by David Brannan.	false	15.54	16.95	17
56_1730_000003_000000	Anna Karenina	Anna Karenina	false	16.95	19.365	21.55938
56_1730_000004_000000	by Leo Tolstoy	by Leo Tolstoy	true	19.365	20.77	18.294708
56_1730_000005_000000	Translated by Constance Garnett	Translated by Constance Garnett	true	21.08	23.29	23.137978
56_1730_000006_000000	PART ONE	PART ONE	true	24.32	25.21	21.87717
56_1730_000007_000000	Chapter 1	Chapter one	true	26	26.92	22.748384
56_1730_000008_000000	Happy families are all alike; every unhappy family is unhappy in its own way.	Happy families are all alike; every unhappy family is unhappy in its own way.	true	28.01	34.54	23
56_1730_000009_000000	Everything was in confusion in the Oblonskys' house.	Everything was in confusion in the Oblonskys' house.	false	35.63	38.62	19.170906
56_1730_000009_000001	The wife had discovered that the husband was carrying on an intrigue with a French girl, who had been a governess in their family, and she had announced to her husband that she could not go on living in the same house with him. This position of affairs had now lasted three days, and not only the husband and wife themselves, but all the members of their family and household, were painfully conscious of it.	The wife had discovered that the husband was carrying on an intrigue with a French girl, who had been a governess in their family, and she had announced to her husband that she could not go on living in the same house with him. This position of affairs had now lasted three days, and not only the husband and wife themselves, but all the members of their family and household, were painfully conscious of it.	true	38.78	60.07	19.91616
56_1730_000009_000002	Every person in the house felt that there was no sense in their living together, and that the stray people brought together by chance in any inn had more in common with one another than they, the members of the family and household of the Oblonskys.	Every person in the house felt that there was no sense in their living together, and that the stray people brought together by chance in any inn had more in common with one another than they, the members of the family and household of the Oblonskys.	false	60.44	73.09	20
56_1730_000009_000003	The wife did not leave her own room, the husband had not been at home for three days.	The wife did not leave her own room, the husband had not been at home for three days.	true	73.67	78.01	20.350567
56_1730_000009_000004	The children ran wild all over the house; the English governess quarreled with the housekeeper, and wrote to a friend asking her to look out for a new situation for her; the man-cook had walked off the day before just at dinner time; the kitchen-maid, and the coachman had given warning.	The children ran wild all over the house; the English governess quarreled with the housekeeper, and wrote to a friend asking her to look out for a new situation for her; the man cook had walked off the day before just at dinner time; the kitchen maid, and the coachman had given warning.	false	78.08	92.86	22
