4116_13256_000005_000000	"HADN'T we better take a policeman along?" said one of the girls with a nervous laugh.	"HADN'T we better take a policeman along?" said one of the girls with a nervous laugh.
4116_13256_000005_000001	"It really isn't safe down there, you know."	"It really isn't safe down there, you know."
4116_13256_000006_000000	"There's no danger," said Virginia briefly.	"There's no danger," said Virginia briefly.
4116_13256_000007_000000	"Is it true that your brother Rollin has been converted?" asked the first speaker, looking at Virginia curiously.	"Is it true that your brother Rollin has been converted?" asked the first speaker, looking at Virginia curiously.
4116_13256_000007_000001	It impressed her during the drive to the Rectangle that all three of her friends were regarding her with close attention as if she were peculiar.	It impressed her during the drive to the Rectangle that all three of her friends were regarding her with close attention as if she were peculiar.
4116_13256_000008_000000	"Yes, he certainly is."	"Yes, he certainly is."
4116_13256_000009_000001	Doesn't that seem funny?" said the girl with the red silk parasol.	Doesn't that seem funny?" said the girl with the red silk parasol.
4116_13256_000010_000001	The sights and smells and sounds which had become familiar to Virginia struck the senses of these refined, delicate society girls as something horrible.	The sights and smells and sounds which had become familiar to Virginia struck the senses of these refined, delicate society girls as something horrible.
4116_13256_000010_000003	"Slumming" had never been a fad with Raymond society, and this was perhaps the first time that the two had come together in this way.	"Slumming" had never been a fad with Raymond society, and this was perhaps the first time that the two had come together in this way.
4116_13256_000010_000004	The girls felt that instead of seeing the Rectangle they were being made the objects of curiosity.	The girls felt that instead of seeing the Rectangle they were being made the objects of curiosity.
4116_13256_000010_000005	They were frightened and disgusted.	They were frightened and disgusted.
4116_13256_000011_000000	"Let's go back.	"Let's go back.
4116_13256_000011_000001	I've seen enough," said the girl who was sitting with Virginia.	I've seen enough," said the girl who was sitting with Virginia.
4116_13256_000012_000000	They were at that moment just opposite a notorious saloon and gambling house.	They were at that moment just opposite a notorious saloon and gambling house.
