1638_84447_000001_000000	THE Phantom slowly, gravely, silently, approached.	THE Phantom slowly, gravely, silently, approached.
1638_84447_000001_000001	When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.	When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.
1638_84447_000002_000000	It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.	It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.
1638_84447_000002_000001	But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.	But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.
1638_84447_000003_000000	He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.	He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.
1638_84447_000004_000000	"I am in the presence of the Ghost of Christmas Yet To Come?" said Scrooge.	"I am in the presence of the Ghost of Christmas Yet To Come?" said Scrooge.
1638_84447_000005_000000	The Spirit answered not, but pointed onward with its hand.	The Spirit answered not, but pointed onward with its hand.
1638_84447_000006_000000	"You are about to show me shadows of the things that have not happened, but will happen in the time before us," Scrooge pursued.	"You are about to show me shadows of the things that have not happened, but will happen in the time before us," Scrooge pursued.
1638_84447_000006_000001	"Is that so, Spirit?"	"Is that so, Spirit?"
1638_84447_000007_000000	The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head. That was the only answer he received.	The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head. That was the only answer he received.
1638_84447_000008_000001	The Spirit paused a moment, as observing his condition, and giving him time to recover.	The Spirit paused a moment, as observing his condition, and giving him time to recover.
1638_84447_000009_000001	It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.	It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.
1638_84447_000010_000000	"Ghost of the Future!" he exclaimed, "I fear you more than any spectre I have seen.	"Ghost of the Future!" he exclaimed, "I fear you more than any spectre I have seen.
1638_84447_000010_000002	Will you not speak to me?"	Will you not speak to me?"
1638_84447_000011_000000	It gave him no reply.	It gave him no reply.
1638_84447_000011_000001	The hand was pointed straight before them.	The hand was pointed straight before them.
1638_84447_000012_000001	"Lead on!	"Lead on!
1638_84447_000012_000002	The night is waning fast, and it is precious time to me, I know.	The night is waning fast, and it is precious time to me, I know.
1638_84447_000012_000003	Lead on, Spirit!"	Lead on, Spirit!"
1638_84447_000013_000000	The Phantom moved away as it had come towards him. Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.	The Phantom moved away as it had come towards him. Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.
1638_84447_000014_000000	They scarcely seemed to enter the city; for the city rather seemed to spring up about them, and encompass them of its own act.	They scarcely seemed to enter the city; for the city rather seemed to spring up about them, and encompass them of its own act.
1638_84447_000014_000001	But there they were, in the heart of it; on 'Change, amongst the merchants; who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and trifled thoughtfully with their great gold seals; and so forth, as Scrooge had seen them often.	But there they were, in the heart of it; on 'Change, amongst the merchants; who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and trifled thoughtfully with their great gold seals; and so forth, as Scrooge had seen them often.
1638_84447_000015_000000	The Spirit stopped beside one little knot of business men. Observing that the hand was pointed to them, Scrooge advanced to listen to their talk.	The Spirit stopped beside one little knot of business men. Observing that the hand was pointed to them, Scrooge advanced to listen to their talk.
1638_84447_000016_000001	I only know he's dead."	I only know he's dead."
1638_84447_000017_000000	"When did he die?" inquired another.	"When did he die?" inquired another.
1638_84447_000019_000000	"Why, what was the matter with him?" asked a third, taking a vast quantity of snuff out of a very large snuff-box. "I thought he'd never die."	"Why, what was the matter with him?" asked a third, taking a vast quantity of snuff out of a very large snuff box. "I thought he'd never die."
1638_84447_000020_000000	"God knows," said the first, with a yawn.	"God knows," said the first, with a yawn.
1638_84447_000021_000000	"What has he done with his money?" asked a red-faced gentleman with a pendulous excrescence on the end of his nose, that shook like the gills of a turkey-cock.	"What has he done with his money?" asked a red faced gentleman with a pendulous excrescence on the end of his nose, that shook like the gills of a turkey cock.
1638_84447_000022_000001	"Left it to his company, perhaps.	"Left it to his company, perhaps.
1638_84447_000023_000000	This pleasantry was received with a general laugh.	This pleasantry was received with a general laugh.
1638_84447_000025_000000	"I don't mind going if a lunch is provided," observed the gentleman with the excrescence on his nose.	"I don't mind going if a lunch is provided," observed the gentleman with the excrescence on his nose.
1638_84447_000025_000001	"But I must be fed, if I make one."	"But I must be fed, if I make one."
1638_84447_000026_000000	Another laugh.	Another laugh.
1638_84447_000027_000002	Bye, bye!"	Bye, bye!"
1638_84447_000028_000000	Speakers and listeners strolled away, and mixed with other groups.	Speakers and listeners strolled away, and mixed with other groups.
1638_84447_000028_000001	Scrooge knew the men, and looked towards the Spirit for an explanation.	Scrooge knew the men, and looked towards the Spirit for an explanation.
