3009_10328_000000_000000	QUESTION 51	QUESTION fifty one	true	0.75	2.475	24.117275
3009_10328_000001_000000	OF THE ANGELS IN COMPARISON WITH BODIES (In Three Articles)	OF THE ANGELS IN COMPARISON WITH BODIES (In Three Articles)	false	2.475	36.885	21.348783
3009_10328_000002_000000	We next inquire about the angels in comparison with corporeal things; and in the first place about their comparison with bodies; secondly, of the angels in comparison with corporeal places; and, thirdly, of their comparison with local movement.	We next inquire about the angels in comparison with corporeal things; and in the first place about their comparison with bodies; secondly, of the angels in comparison with corporeal places; and, thirdly, of their comparison with local movement.	true	36.885	53.29	21
3009_10328_000003_000000	Under the first heading there are three points of inquiry:	Under the first heading there are three points of inquiry:	true	53.48	56.58	16
3009_10328_000004_000000	(1) Whether angels have bodies naturally united to them?	(one) Whether angels have bodies naturally united to them?	false	56.58	60.42	20.2742
3009_10328_000005_000000	(2) Whether they assume bodies?	(two) Whether they assume bodies?	false	60.42	63.15	20.78731
3009_10328_000006_000000	(3) Whether they exercise functions of life in the bodies assumed? _______________________	(three) Whether they exercise functions of life in the bodies assumed? , blank ,	false	63.15	69.24	20.207668
3009_10328_000007_000000	FIRST ARTICLE [I, Q. 51, Art. 1]	FIRST ARTICLE [I, q fifty one, Art. one]	false	69.24	70.11	25
3009_10328_000008_000000	Whether the Angels Have Bodies Naturally United to Them?	Whether the Angels Have Bodies Naturally United to Them?	true	70.11	73.78	17
3009_10328_000009_000000	Objection 1: It would seem that angels have bodies naturally united to them.	Objection one: It would seem that angels have bodies naturally united to them.	true	74.24	81.43	21.837341
3009_10328_000009_000001	For Origen says (Peri Archon i): "It is God's attribute alone--that is, it belongs to the Father, the Son, and the Holy Ghost, as a property of nature, that He is understood to exist without any material substance and without any companionship of corporeal addition." Bernard likewise says (Hom. vi. super Cant.): "Let us assign incorporeity to God alone even as we do immortality, whose nature alone, neither for its own sake nor on account of anything else, needs the help of any corporeal organ.	For Origen says (Peri Archon i): "It is God's attribute alone-that is, it belongs to the Father, the Son, and the Holy Ghost, as a property of nature, that He is understood to exist without any material substance and without any companionship of corporeal addition." Bernard likewise says (Hom. vi. super Cant.): "Let us assign incorporeity to God alone even as we do immortality, whose nature alone, neither for its own sake nor on account of anything else, needs the help of any corporeal organ.	false	81.5	114.61	23.634514
