4290_14526_000000_000000	WHAT THE WAR OF 1812 DEMONSTRATED	WHAT THE WAR OF eighteen twelve DEMONSTRATED	true	30.645	33.72	22.284678
4290_14526_000001_000000	From 'History of the United States': copyright 1890, by Charles Scribner's Sons.	From 'History of the United States': copyright eighteen ninety, by Charles Scribner's Sons.	false	33.72	37.86	21.062613
4290_14526_000002_000000	A people whose chief trait was antipathy to war, and to any system organized with military energy, could scarcely develop great results in national administration; yet the Americans prided themselves chiefly on their political capacity.	A people whose chief trait was antipathy to war, and to any system organized with military energy, could scarcely develop great results in national administration; yet the Americans prided themselves chiefly on their political capacity.	true	37.86	51.61	16
4290_14526_000002_000001	Even the war did not undeceive them, although the incapacity brought into evidence by the war was undisputed, and was most remarkable among the communities which believed themselves to be most gifted with political sagacity.	Even the war did not undeceive them, although the incapacity brought into evidence by the war was undisputed, and was most remarkable among the communities which believed themselves to be most gifted with political sagacity.	true	51.83	65.41	13
4290_14526_000002_000002	Virginia and Massachusetts by turns admitted failure in dealing with issues so simple that the newest societies, like Tennessee and Ohio, understood them by instinct.	Virginia and Massachusetts by turns admitted failure in dealing with issues so simple that the newest societies, like Tennessee and Ohio, understood them by instinct.	true	65.57	76.75	17
4290_14526_000002_000003	That incapacity in national politics should appear as a leading trait in American character was unexpected by Americans, but might naturally result from their conditions.	That incapacity in national politics should appear as a leading trait in American character was unexpected by Americans, but might naturally result from their conditions.	true	77.3	88.3	20
4290_14526_000002_000004	The better test of American character was not political but social, and was to be found not in the government but in the people.	The better test of American character was not political but social, and was to be found not in the government but in the people.	true	88.46	95.32	16
4290_14526_000003_000000	The sixteen years of Jefferson and Madison's rule furnished international tests of popular intelligence upon which Americans could depend.	The sixteen years of Jefferson and Madison's rule furnished international tests of popular intelligence upon which Americans could depend.	true	96.56	104.89	13
4290_14526_000003_000001	The ocean was the only open field for competition among nations. Americans enjoyed there no natural or artificial advantages over Englishmen, Frenchmen, or Spaniards; indeed, all these countries possessed navies, resources, and experience greater than were to be found in the United States.	The ocean was the only open field for competition among nations. Americans enjoyed there no natural or artificial advantages over Englishmen, Frenchmen, or Spaniards; indeed, all these countries possessed navies, resources, and experience greater than were to be found in the United States.	true	105.11	122.98	16
4290_14526_000003_000002	Yet the Americans developed, in the course of twenty years, a surprising degree of skill in naval affairs.	Yet the Americans developed, in the course of twenty years, a surprising degree of skill in naval affairs.	true	123.05	129.13	14
4290_14526_000003_000003	The evidence of their success was to be found nowhere so complete as in the avowals of Englishmen who knew best the history of naval progress.	The evidence of their success was to be found nowhere so complete as in the avowals of Englishmen who knew best the history of naval progress.	false	129.32	137.55	13
4290_14526_000003_000004	The American invention of the fast-sailing schooner or clipper was the more remarkable because, of all American inventions, this alone sprang from direct competition with Europe.	The American invention of the fast sailing schooner or clipper was the more remarkable because, of all American inventions, this alone sprang from direct competition with Europe.	false	137.55	149.415	19
4290_14526_000003_000005	During ten centuries of struggle the nations of Europe had labored to obtain superiority over each other in ship-construction; yet Americans instantly made improvements which gave them superiority, and which Europeans were unable immediately to imitate even after seeing them.	During ten centuries of struggle the nations of Europe had labored to obtain superiority over each other in ship construction; yet Americans instantly made improvements which gave them superiority, and which Europeans were unable immediately to imitate even after seeing them.	true	149.415	166.36	13
4290_14526_000003_000006	Not only were American vessels better in model, faster in sailing, easier and quicker in handling, and more economical in working than the European, but they were also better equipped.	Not only were American vessels better in model, faster in sailing, easier and quicker in handling, and more economical in working than the European, but they were also better equipped.	true	167.57	177.975	12
