5656_44577_000008_000000	CHAPTER III	CHAPTER three
5656_44577_000011_000000	--C.S.	--c s
5656_44577_000012_000000	The gun that scatters too much does not bag the birds.	The gun that scatters too much does not bag the birds.
5656_44577_000012_000001	The same principle applies to speech.	The same principle applies to speech.
5656_44577_000012_000002	The speaker that fires his force and emphasis at random into a sentence will not get results.	The speaker that fires his force and emphasis at random into a sentence will not get results.
5656_44577_000012_000003	Not every word is of special importance--therefore only certain words demand emphasis.	Not every word is of special importance-therefore only certain words demand emphasis.
5656_44577_000013_000002	To some extent you do, in ordinary speech; but do you in public discourse?	To some extent you do, in ordinary speech; but do you in public discourse?
5656_44577_000013_000003	It is there that monotony caused by lack of emphasis is so painfully apparent.	It is there that monotony caused by lack of emphasis is so painfully apparent.
5656_44577_000015_000000	"Destiny is not a matter of chance.	"Destiny is not a matter of chance.
5656_44577_000017_000000	Speak it aloud and see.	Speak it aloud and see.
5656_44577_000018_000001	Obviously, the author has contrasted these ideas purposely, so that they might be more emphatic, and here we see that contrast is one of the very first devices to gain emphasis.	Obviously, the author has contrasted these ideas purposely, so that they might be more emphatic, and here we see that contrast is one of the very first devices to gain emphasis.
5656_44577_000019_000000	As a public speaker you can assist this emphasis of contrast with your voice.	As a public speaker you can assist this emphasis of contrast with your voice.
5656_44577_000019_000002	White, naturally, for that is the opposite of black.	White, naturally, for that is the opposite of black.
5656_44577_000020_000001	It is the one word that positively defines the quality of the subject being discussed, and the author of those lines desired to bring it out emphatically, as he has shown by contrasting it with another idea.	It is the one word that positively defines the quality of the subject being discussed, and the author of those lines desired to bring it out emphatically, as he has shown by contrasting it with another idea.
5656_44577_000020_000002	These lines, then, would read like this:	These lines, then, would read like this:
5656_44577_000022_000001	When you pick up the evening paper you can tell at a glance which are the important news articles.	When you pick up the evening paper you can tell at a glance which are the important news articles.
5656_44577_000022_000003	Size of type is his device to show emphasis in bold relief. He brings out sometimes even in red headlines the striking news of the day.	Size of type is his device to show emphasis in bold relief. He brings out sometimes even in red headlines the striking news of the day.
5656_44577_000023_000000	It would be a boon to speech-making if speakers would conserve the attention of their audiences in the same way and emphasize only the words representing the important ideas.	It would be a boon to speech making if speakers would conserve the attention of their audiences in the same way and emphasize only the words representing the important ideas.
5656_44577_000023_000001	The average speaker will deliver the foregoing line on destiny with about the same amount of emphasis on each word.	The average speaker will deliver the foregoing line on destiny with about the same amount of emphasis on each word.
5656_44577_000024_000002	"But," said Mr. Dana, "if you see a man bite a dog, hurry back to the office and write the story." Of course that is news; that is unusual.	"But," said mr Dana, "if you see a man bite a dog, hurry back to the office and write the story." Of course that is news; that is unusual.
5656_44577_000025_000001	The ideal speaker makes his big words stand out like mountain peaks; his unimportant words are submerged like stream-beds.	The ideal speaker makes his big words stand out like mountain peaks; his unimportant words are submerged like stream beds.
