119_129513_000000_000000	FROM THE EARTH TO THE MOON	FROM THE EARTH TO THE MOON	false	14.7	17.52	20.776514
119_129513_000001_000000	CHAPTER I	CHAPTER one	true	17.52	18.52	20.703259
119_129513_000002_000000	THE GUN CLUB	THE GUN CLUB	true	18.56	19.87	20.121141
119_129513_000003_000000	During the War of the Rebellion, a new and influential club was established in the city of Baltimore in the State of Maryland. It is well known with what energy the taste for military matters became developed among that nation of ship-owners, shopkeepers, and mechanics.	During the War of the Rebellion, a new and influential club was established in the city of Baltimore in the State of Maryland. It is well known with what energy the taste for military matters became developed among that nation of ship owners, shopkeepers, and mechanics.	false	20.54	38.05	20.759657
119_129513_000003_000001	Simple tradesmen jumped their counters to become extemporized captains, colonels, and generals, without having ever passed the School of Instruction at West Point; nevertheless; they quickly rivaled their compeers of the old continent, and, like them, carried off victories by dint of lavish expenditure in ammunition, money, and men.	Simple tradesmen jumped their counters to become extemporized captains, colonels, and generals, without having ever passed the School of Instruction at West Point; nevertheless; they quickly rivaled their compeers of the old continent, and, like them, carried off victories by dint of lavish expenditure in ammunition, money, and men.	true	38.63	65.02	21.228743
119_129513_000004_000000	But the point in which the Americans singularly distanced the Europeans was in the science of gunnery.	But the point in which the Americans singularly distanced the Europeans was in the science of gunnery.	true	66.17	72.97	21.643639
119_129513_000004_000001	Not, indeed, that their weapons retained a higher degree of perfection than theirs, but that they exhibited unheard-of dimensions, and consequently attained hitherto unheard-of ranges.	Not, indeed, that their weapons retained a higher degree of perfection than theirs, but that they exhibited unheard of dimensions, and consequently attained hitherto unheard of ranges.	true	73.64	86.17	19.816832
119_129513_000004_000002	In point of grazing, plunging, oblique, or enfilading, or point-blank firing, the English, French, and Prussians have nothing to learn; but their cannon, howitzers, and mortars are mere pocket-pistols compared with the formidable engines of the American artillery.	In point of grazing, plunging, oblique, or enfilading, or point blank firing, the English, French, and Prussians have nothing to learn; but their cannon, howitzers, and mortars are mere pocket pistols compared with the formidable engines of the American artillery.	true	86.87	106.48	21.732758
119_129513_000005_000000	This fact need surprise no one.	This fact need surprise no one.	true	107.57	109.87	22.117027
119_129513_000005_000001	The Yankees, the first mechanicians in the world, are engineers-- just as the Italians are musicians and the Germans metaphysicians-- by right of birth. Nothing is more natural, therefore, than to perceive them applying their audacious ingenuity to the science of gunnery. Witness the marvels of Parrott, Dahlgren, and Rodman. The Armstrong, Palliser, and Beaulieu guns were compelled to bow before their transatlantic rivals.	The Yankees, the first mechanicians in the world, are engineers- just as the Italians are musicians and the Germans metaphysicians- by right of birth. Nothing is more natural, therefore, than to perceive them applying their audacious ingenuity to the science of gunnery. Witness the marvels of Parrott, Dahlgren, and Rodman. The Armstrong, Palliser, and Beaulieu guns were compelled to bow before their transatlantic rivals.	false	110.12	141.46	20.46198
119_129513_000006_000000	Now when an American has an idea, he directly seeks a second American to share it.	Now when an American has an idea, he directly seeks a second American to share it.	true	142.16	147.04	22.19189
119_129513_000006_000001	If there be three, they elect a president and two secretaries.	If there be three, they elect a president and two secretaries.	false	147.29	151.18	23.093664
119_129513_000006_000002	Given four, they name a keeper of records, and the office is ready for work; five, they convene a general meeting, and the club is fully constituted.	Given four, they name a keeper of records, and the office is ready for work; five, they convene a general meeting, and the club is fully constituted.	true	151.4	161.23	21.266924
119_129513_000006_000003	So things were managed in Baltimore.	So things were managed in Baltimore.	true	161.9	163.78	18.840525
119_129513_000006_000004	The inventor of a new cannon associated himself with the caster and the borer.	The inventor of a new cannon associated himself with the caster and the borer.	true	164	168.46	20.890057
119_129513_000006_000005	Thus was formed the nucleus of the "Gun Club." In a single month after its formation it numbered 1,833 effective members and 30,565 corresponding members.	Thus was formed the nucleus of the "Gun Club." In a single month after its formation it numbered one thousand eight hundred thirty three effective members and thirty thousand five hundred sixty five corresponding members.	true	169.04	183.7	20.595343
119_129513_000007_000000	One condition was imposed as a _sine qua non_ upon every candidate for admission into the association, and that was the condition of having designed, or (more or less) perfected a cannon; or, in default of a cannon, at least a firearm of some description.	One condition was imposed as a underscore sine qua non underscore upon every candidate for admission into the association, and that was the condition of having designed, or (more or less) perfected a cannon; or, in default of a cannon, at least a firearm of some description.	false	185.03	203.2	20.350452
119_129513_000007_000001	It may, however, be mentioned that mere inventors of revolvers, fire-shooting carbines, and similar small arms, met with little consideration.	It may, however, be mentioned that mere inventors of revolvers, fire shooting carbines, and similar small arms, met with little consideration.	false	203.57	213.7	21.440979
119_129513_000007_000002	Artillerists always commanded the chief place of favor.	Artillerists always commanded the chief place of favor.	false	213.86	217.81	22.321945
119_129513_000008_000000	The estimation in which these gentlemen were held, according to one of the most scientific exponents of the Gun Club, was "proportional to the masses of their guns, and in the direct ratio of the square of the distances attained by their projectiles."	The estimation in which these gentlemen were held, according to one of the most scientific exponents of the Gun Club, was "proportional to the masses of their guns, and in the direct ratio of the square of the distances attained by their projectiles."	false	218.48	232.78	21.28283
119_129513_000009_000000	The Gun Club once founded, it is easy to conceive the result of the inventive genius of the Americans.	The Gun Club once founded, it is easy to conceive the result of the inventive genius of the Americans.	true	232.79	238.9	21.104752
119_129513_000009_000001	Their military weapons attained colossal proportions, and their projectiles, exceeding the prescribed limits, unfortunately occasionally cut in two some unoffending pedestrians.	Their military weapons attained colossal proportions, and their projectiles, exceeding the prescribed limits, unfortunately occasionally cut in two some unoffending pedestrians.	true	239.03	249.58	21.855766
119_129513_000009_000002	These inventions, in fact, left far in the rear the timid instruments of European artillery.	These inventions, in fact, left far in the rear the timid instruments of European artillery.	true	249.74	256.24	19.72142
119_129513_000010_000000	It is but fair to add that these Yankees, brave as they have ever proved themselves to be, did not confine themselves to theories and formulae, but that they paid heavily, _in propria persona_, for their inventions.	It is but fair to add that these Yankees, brave as they have ever proved themselves to be, did not confine themselves to theories and formulae, but that they paid heavily, underscore in propria persona underscore, for their inventions.	false	256.64	271	21.339201
119_129513_000010_000001	Among them were to be counted officers of all ranks, from lieutenants to generals; military men of every age, from those who were just making their _debut_ in the profession of arms up to those who had grown old in the gun-carriage.	Among them were to be counted officers of all ranks, from lieutenants to generals; military men of every age, from those who were just making their underscore debut underscore in the profession of arms up to those who had grown old in the gun carriage.	false	271.16	285.43	20.304428
119_129513_000010_000002	Many had found their rest on the field of battle whose names figured in the "Book of Honor" of the Gun Club; and of those who made good their return the greater proportion bore the marks of their indisputable valor.	Many had found their rest on the field of battle whose names figured in the "Book of Honor" of the Gun Club; and of those who made good their return the greater proportion bore the marks of their indisputable valor.	false	285.92	298.9	21.903706
119_129513_000010_000003	Crutches, wooden legs, artificial arms, steel hooks, caoutchouc jaws, silver craniums, platinum noses, were all to be found in the collection; and it was calculated by the great statistician Pitcairn that throughout the Gun Club there was not quite one arm between four persons and two legs between six.	Crutches, wooden legs, artificial arms, steel hooks, caoutchouc jaws, silver craniums, platinum noses, were all to be found in the collection; and it was calculated by the great statistician Pitcairn that throughout the Gun Club there was not quite one arm between four persons and two legs between six.	false	299.12	320.56	21.06754
119_129513_000011_000000	Nevertheless, these valiant artillerists took no particular account of these little facts, and felt justly proud when the despatches of a battle returned the number of victims at ten-fold the quantity of projectiles expended.	Nevertheless, these valiant artillerists took no particular account of these little facts, and felt justly proud when the despatches of a battle returned the number of victims at ten fold the quantity of projectiles expended.	false	320.87	335.29	21.70463
119_129513_000012_000000	One day, however-- sad and melancholy day!-- peace was signed between the survivors of the war; the thunder of the guns gradually ceased, the mortars were silent, the howitzers were muzzled for an indefinite period, the cannon, with muzzles depressed, were returned into the arsenal, the shot were repiled, all bloody reminiscences were effaced; the cotton-plants grew luxuriantly in the well-manured fields, all mourning garments were laid aside, together with grief; and the Gun Club was relegated to profound inactivity.	One day, however- sad and melancholy day!-- peace was signed between the survivors of the war; the thunder of the guns gradually ceased, the mortars were silent, the howitzers were muzzled for an indefinite period, the cannon, with muzzles depressed, were returned into the arsenal, the shot were repiled, all bloody reminiscences were effaced; the cotton plants grew luxuriantly in the well manured fields, all mourning garments were laid aside, together with grief; and the Gun Club was relegated to profound inactivity.	false	335.84	367.33	20.382973
119_129513_000013_000000	Some few of the more advanced and inveterate theorists set themselves again to work upon calculations regarding the laws of projectiles.	Some few of the more advanced and inveterate theorists set themselves again to work upon calculations regarding the laws of projectiles.	true	367.88	375.25	20
119_129513_000013_000001	They reverted invariably to gigantic shells and howitzers of unparalleled caliber.	They reverted invariably to gigantic shells and howitzers of unparalleled caliber.	true	375.74	381.19	21.901245
