119_129513_000001_000000	CHAPTER I	CHAPTER one
119_129513_000002_000000	THE GUN CLUB	THE GUN CLUB
119_129513_000003_000001	Simple tradesmen jumped their counters to become extemporized captains, colonels, and generals, without having ever passed the School of Instruction at West Point; nevertheless; they quickly rivaled their compeers of the old continent, and, like them, carried off victories by dint of lavish expenditure in ammunition, money, and men.	Simple tradesmen jumped their counters to become extemporized captains, colonels, and generals, without having ever passed the School of Instruction at West Point; nevertheless; they quickly rivaled their compeers of the old continent, and, like them, carried off victories by dint of lavish expenditure in ammunition, money, and men.
119_129513_000004_000000	But the point in which the Americans singularly distanced the Europeans was in the science of gunnery.	But the point in which the Americans singularly distanced the Europeans was in the science of gunnery.
119_129513_000004_000002	In point of grazing, plunging, oblique, or enfilading, or point-blank firing, the English, French, and Prussians have nothing to learn; but their cannon, howitzers, and mortars are mere pocket-pistols compared with the formidable engines of the American artillery.	In point of grazing, plunging, oblique, or enfilading, or point blank firing, the English, French, and Prussians have nothing to learn; but their cannon, howitzers, and mortars are mere pocket pistols compared with the formidable engines of the American artillery.
119_129513_000005_000000	This fact need surprise no one.	This fact need surprise no one.
119_129513_000006_000000	Now when an American has an idea, he directly seeks a second American to share it.	Now when an American has an idea, he directly seeks a second American to share it.
119_129513_000006_000002	Given four, they name a keeper of records, and the office is ready for work; five, they convene a general meeting, and the club is fully constituted.	Given four, they name a keeper of records, and the office is ready for work; five, they convene a general meeting, and the club is fully constituted.
119_129513_000006_000004	The inventor of a new cannon associated himself with the caster and the borer.	The inventor of a new cannon associated himself with the caster and the borer.
119_129513_000006_000005	Thus was formed the nucleus of the "Gun Club." In a single month after its formation it numbered 1,833 effective members and 30,565 corresponding members.	Thus was formed the nucleus of the "Gun Club." In a single month after its formation it numbered one thousand eight hundred thirty three effective members and thirty thousand five hundred sixty five corresponding members.
119_129513_000009_000000	The Gun Club once founded, it is easy to conceive the result of the inventive genius of the Americans.	The Gun Club once founded, it is easy to conceive the result of the inventive genius of the Americans.
119_129513_000009_000001	Their military weapons attained colossal proportions, and their projectiles, exceeding the prescribed limits, unfortunately occasionally cut in two some unoffending pedestrians.	Their military weapons attained colossal proportions, and their projectiles, exceeding the prescribed limits, unfortunately occasionally cut in two some unoffending pedestrians.
119_129513_000013_000000	Some few of the more advanced and inveterate theorists set themselves again to work upon calculations regarding the laws of projectiles.	Some few of the more advanced and inveterate theorists set themselves again to work upon calculations regarding the laws of projectiles.
119_129513_000013_000001	They reverted invariably to gigantic shells and howitzers of unparalleled caliber.	They reverted invariably to gigantic shells and howitzers of unparalleled caliber.
119_129513_000014_000000	"This is horrible!" said Tom Hunter one evening, while rapidly carbonizing his wooden legs in the fireplace of the smoking-room; "nothing to do! nothing to look forward to!	"This is horrible!" said Tom Hunter one evening, while rapidly carbonizing his wooden legs in the fireplace of the smoking room; "nothing to do! nothing to look forward to!
119_129513_000014_000002	When again shall the guns arouse us in the morning with their delightful reports?"	When again shall the guns arouse us in the morning with their delightful reports?"
119_129513_000015_000001	"It was delightful once upon a time! One invented a gun, and hardly was it cast, when one hastened to try it in the face of the enemy!	"It was delightful once upon a time! One invented a gun, and hardly was it cast, when one hastened to try it in the face of the enemy!
119_129513_000015_000003	But now the generals are gone back to their counters; and in place of projectiles, they despatch bales of cotton.	But now the generals are gone back to their counters; and in place of projectiles, they despatch bales of cotton.
119_129513_000018_000000	"Fact!" replied he.	"Fact!" replied he.
119_129513_000018_000001	"Still, what is the use of so many studies worked out, so many difficulties vanquished?	"Still, what is the use of so many studies worked out, so many difficulties vanquished?
119_129513_000018_000002	It's mere waste of time!	It's mere waste of time!
119_129513_000020_000000	"Well?"	"Well?"
119_129513_000025_000000	"And why not?" demanded the colonel.	"And why not?" demanded the colonel.
119_129513_000026_000000	"Because their ideas of progress in the Old World are contrary to our American habits of thought.	"Because their ideas of progress in the Old World are contrary to our American habits of thought.
119_129513_000031_000000	"Undoubtedly," replied Tom Hunter, stamping his crutch with fury.	"Undoubtedly," replied Tom Hunter, stamping his crutch with fury.
119_129513_000035_000000	"Bah!" growled Bilsby between the four teeth which the war had left him; "that will never do!"	"Bah!" growled Bilsby between the four teeth which the war had left him; "that will never do!"
119_129513_000036_000000	"By Jove!" cried J. T. Maston, "he mustn't count on my vote at the next election!"	"By Jove!" cried j t Maston, "he mustn't count on my vote at the next election!"
119_129513_000039_000000	"In that case we will accompany you," cried the others.	"In that case we will accompany you," cried the others.
119_129513_000040_000000	Matters were in this unfortunate condition, and the club was threatened with approaching dissolution, when an unexpected circumstance occurred to prevent so deplorable a catastrophe.	Matters were in this unfortunate condition, and the club was threatened with approaching dissolution, when an unexpected circumstance occurred to prevent so deplorable a catastrophe.
119_129513_000041_000000	On the morrow after this conversation every member of the association received a sealed circular couched in the following terms:	On the morrow after this conversation every member of the association received a sealed circular couched in the following terms:
119_129513_000042_000000	BALTIMORE, October 3. The president of the Gun Club has the honor to inform his colleagues that, at the meeting of the 5th instant, he will bring before them a communication of an extremely interesting nature.	BALTIMORE, october third. The president of the Gun Club has the honor to inform his colleagues that, at the meeting of the fifth instant, he will bring before them a communication of an extremely interesting nature.
