7825_258970_000000_000000	[Sidenote: Rent and time-value are essentially different phrases of the value problem]	[Sidenote: Rent and time value are essentially different phrases of the value problem]	false	0	2.16	23.54755
7825_258970_000001_000000	Time-value is here understood to be that all-pervading difference in the values of uses and gratifications of wealth at different points of time. A comparison of the value of momently appearing uses of wealth is the rent problem.	Time value is here understood to be that all pervading difference in the values of uses and gratifications of wealth at different points of time. A comparison of the value of momently appearing uses of wealth is the rent problem.	false	2.16	9.51	21.171925
7825_258970_000001_000001	Here are, therefore, very different aspects of the value problem.	Here are, therefore, very different aspects of the value problem.	false	9.51	10.08	6
7825_258970_000001_000002	The rent conception is earlier grasped by men, is nearer in point of logic; the concept of time-value has only recently been clearly recognized.	The rent conception is earlier grasped by men, is nearer in point of logic; the concept of time value has only recently been clearly recognized.	false	10.08	17.34	25.463636
7825_258970_000001_000003	If men lived only in the moment, they would be concerned only with rent; living in the future also, they are constantly regulating their acts with reference to time-value.	If men lived only in the moment, they would be concerned only with rent; living in the future also, they are constantly regulating their acts with reference to time value.	false	17.34	25.56	22.299385
7825_258970_000002_000000	CHAPTER 18	CHAPTER eighteen	true	25.56	26.95	26.91183
7825_258970_000003_000000	RELATIVELY FIXED AND RELATIVELY INCREASABLE FORMS OF CAPITAL	RELATIVELY FIXED AND RELATIVELY i n c r e a s a b l e FORMS OF CAPITAL	false	27.08	30.81	26.133324
7825_258970_000004_000000	Sec. I. HOW VARIOUS FORMS OF CAPITAL MAY BE INCREASED	Sec. i HOW VARIOUS FORMS OF CAPITAL MAY BE INCREASED	false	30.81	35.49	21.507137
7825_258970_000005_000000	[Sidenote: The older and the modern way of viewing wealth]	[Sidenote: The older and the modern way of viewing wealth]	false	35.49	36.09	-20
7825_258970_000006_000000	1.	one.	true	36.09	36.78	17.796747
7825_258970_000006_000001	_Men seek to increase income by increasing capital._ Men may strive to increase their rents without expressing the rent-bearer in terms of capital.	underscore Men seek to increase income by increasing capital.underscore Men may strive to increase their rents without expressing the rent bearer in terms of capital.	false	36.78	45.13	21.278616
7825_258970_000006_000002	Peasant owners and small proprietors, toiling fondly on their little estates, seeking steadily a larger crop, a larger income, accomplish wonders in bringing waste land to a high state of cultivation.	Peasant owners and small proprietors, toiling fondly on their little estates, seeking steadily a larger crop, a larger income, accomplish wonders in bringing waste land to a high state of cultivation.	false	45.35	58.3	22.523127
7825_258970_000006_000003	Working on the soil that is at once their livelihood and their home, they do not consciously reckon the value of the labor they are putting upon it.	Working on the soil that is at once their livelihood and their home, they do not consciously reckon the value of the labor they are putting upon it.	true	58.46	66.07	21.453146
7825_258970_000006_000004	No money can buy that which to them is beyond price.	No money can buy that which to them is beyond price.	true	66.29	70.03	24.274387
7825_258970_000006_000005	But, in our money economy, efforts are largely directed toward the increase of the capital sum.	But, in our money economy, efforts are largely directed toward the increase of the capital sum.	true	70.25	76.03	22.49101
7825_258970_000006_000006	Investment takes the form of putting in a sum of money in the hope of getting an income bearing a certain relation to it.	Investment takes the form of putting in a sum of money in the hope of getting an income bearing a certain relation to it.	true	76.4	83.26	22.861444
7825_258970_000006_000007	The first thought is of the value of the wealth invested, which has been carefully measured and expressed in dollars and cents.	The first thought is of the value of the wealth invested, which has been carefully measured and expressed in dollars and cents.	true	83.78	91.51	22.992384
7825_258970_000006_000008	Wealth looked at in the older way was valued for what it did immediately for its owner, for its concrete fruits; looked at in the modern way, it is valued as a marketable income-bearer readily convertible into a multitude of other forms.	Wealth looked at in the older way was valued for what it did immediately for its owner, for its concrete fruits; looked at in the modern way, it is valued as a marketable income bearer readily convertible into a multitude of other forms.	true	91.97	106.45	23.235498
7825_258970_000006_000009	Thus investments come to be thought of in terms of general purchasing power, from which it is expected to realize an income of a given percentage.	Thus investments come to be thought of in terms of general purchasing power, from which it is expected to realize an income of a given percentage.	true	106.67	114.66	22.064539
7825_258970_000007_000000	[Sidenote: Free goods of unlimited supply]	[Sidenote: Free goods of unlimited supply]	false	114.66	115.05	-20
7825_258970_000008_000000	[Sidenote: Beginning of scarcity of common materials]	[Sidenote: Beginning of scarcity of common materials]	false	115.05	115.545	-20
7825_258970_000009_000000	2.	two.	true	115.545	116.04	22.947676
7825_258970_000009_000001	_There are some classes of goods that can be increased without any noticeable increase in difficulty._ The extremest examples are undiminished goods such as air, sea-water, the water of large rivers. These are free goods because, however much is used, the supply is immediately renewed.	underscore There are some classes of goods that can be increased without any noticeable increase in difficulty.underscore The extremest examples are undiminished goods such as air, sea water, the water of large rivers. These are free goods because, however much is used, the supply is immediately renewed.	false	116.04	134.86	21.289145
7825_258970_000009_000002	But they are undiminished only in a relative sense and in reference to present need.	But they are undiminished only in a relative sense and in reference to present need.	true	135.29	140.38	22.520937
7825_258970_000009_000003	The water in the Western rivers long flowed on, undiminished by the uses made of it.	The water in the Western rivers long flowed on, undiminished by the uses made of it.	true	140.78	146.17	23.134384
7825_258970_000009_000004	But progressing civilization required more water for cities, for mining, and for irrigation, and now states and corporations are going to law over these formerly undiminished free goods.	But progressing civilization required more water for cities, for mining, and for irrigation, and now states and corporations are going to law over these formerly undiminished free goods.	true	146.6	158.05	21.285936
7825_258970_000009_000005	Some kinds of goods are produced from such very common materials that it might seem possible, by the substitution of agents, to produce an unlimited supply.	Some kinds of goods are produced from such very common materials that it might seem possible, by the substitution of agents, to produce an unlimited supply.	true	158.42	168.01	21.940052
7825_258970_000009_000006	How can bricks be limited in number, being made as they are from one of the commonest materials on the earth's surface?	How can bricks be limited in number, being made as they are from one of the commonest materials on the earth's surface?	true	168.5	174.73	22.369862
7825_258970_000009_000007	But the largest clay banks are limited in size; a large proportion of the places where bricks are needed are not near a supply of clay of good quality; and after a brick-yard has been used for a time there is increasing difficulty in getting out the material.	But the largest clay banks are limited in size; a large proportion of the places where bricks are needed are not near a supply of clay of good quality; and after a brick yard has been used for a time there is increasing difficulty in getting out the material.	true	175.16	189.7	22.792559
7825_258970_000009_000008	While, therefore, bricks are scarce and hard to get from the outset in some places, the scarcity grows more marked in many places at first well supplied.	While, therefore, bricks are scarce and hard to get from the outset in some places, the scarcity grows more marked in many places at first well supplied.	true	190.28	199.54	22.017273
7825_258970_000009_000009	If materials are scarce in any degree, their continued use for one purpose increases their scarcity in all other uses.	If materials are scarce in any degree, their continued use for one purpose increases their scarcity in all other uses.	false	199.82	207.73	21.355536
7825_258970_000009_000010	Economic goods are goods having value; value implies scarcity, and an increasing demand means inevitably a higher value at some point.	Economic goods are goods having value; value implies scarcity, and an increasing demand means inevitably a higher value at some point.	true	207.95	217.36	18.40756
7825_258970_000009_000011	This is true of clay, stone, water, and the commonest kinds of labor.	This is true of clay, stone, water, and the commonest kinds of labor.	true	217.46	222.45	23.894686
7825_258970_000010_000000	[Sidenote: No scarce goods can be indefinitely increased]	[Sidenote: No scarce goods can be indefinitely increased]	false	222.45	223.59	-20
7825_258970_000011_000000	It has long been customary for economists to talk of economic goods that could be increased indefinitely (meaning infinitely or, in any event, without any limit ever appreciable to man) without any increase in the cost or scarcity.	It has long been customary for economists to talk of economic goods that could be increased indefinitely (meaning infinitely or, in any event, without any limit ever appreciable to man) without any increase in the cost or scarcity.	false	223.59	237.88	22.76892
7825_258970_000011_000001	This class of goods was considered to be very large. There is no such class of economic goods; it is evidently impossible that there should be.	This class of goods was considered to be very large. There is no such class of economic goods; it is evidently impossible that there should be.	true	238.34	247.87	19.085556
7825_258970_000011_000002	If they are already "scarce," increasing demand must make them scarcer.	If they are already "scarce," increasing demand must make them scarcer.	false	248.24	253.84	23.854536
7825_258970_000011_000003	There are, however, some goods that practically can be increased with so little difficulty that their limitation is not of great social importance.	There are, however, some goods that practically can be increased with so little difficulty that their limitation is not of great social importance.	false	253.94	262.33	23.149641
7825_258970_000011_000004	Progress, population, prosperity, are not primarily conditioned on their amount; limitation will be felt far earlier elsewhere.	Progress, population, prosperity, are not primarily conditioned on their amount; limitation will be felt far earlier elsewhere.	true	262.43	271.12	23.484167
7825_258970_000011_000005	They are at one end of the scale; they are the relatively increasable goods.	They are at one end of the scale; they are the relatively increasable goods.	true	271.28	275.94	19.925383
7825_258970_000012_000000	[Sidenote: The products of land are increased at a given time and place at increasing cost]	[Sidenote: The products of land are increased at a given time and place at increasing cost]	false	275.94	277.14	-20
7825_258970_000013_000000	3.	three.	true	277.14	277.62	26.405413
7825_258970_000013_000001	_There is a large class of goods whose increase is seen to be gained with increasing difficulty._ This is seen most clearly in the diminishing returns from land.	underscore There is a large class of goods whose increase is seen to be gained with increasing difficulty.underscore This is seen most clearly in the diminishing returns from land.	false	277.62	287.74	21.83081
7825_258970_000013_000002	In the attempt to get some food-products in greater quantity from a given area at a given time, increasing difficulty is met with at once.	In the attempt to get some food products in greater quantity from a given area at a given time, increasing difficulty is met with at once.	true	288.05	296.17	25.384623
7825_258970_000013_000003	This attempt continued for a series of years results in historical diminishing returns, as was strikingly illustrated in English experience during the Napoleonic wars, when wheat rose in value because of the greater difficulty of producing the larger supply needed.	This attempt continued for a series of years results in historical diminishing returns, as was strikingly illustrated in English experience during the Napoleonic wars, when wheat rose in value because of the greater difficulty of producing the larger supply needed.	false	296.6	313.09	21.365053
