7825_258970_000002_000000	CHAPTER 18	CHAPTER eighteen
7825_258970_000006_000003	Working on the soil that is at once their livelihood and their home, they do not consciously reckon the value of the labor they are putting upon it.	Working on the soil that is at once their livelihood and their home, they do not consciously reckon the value of the labor they are putting upon it.
7825_258970_000006_000004	No money can buy that which to them is beyond price.	No money can buy that which to them is beyond price.
7825_258970_000006_000005	But, in our money economy, efforts are largely directed toward the increase of the capital sum.	But, in our money economy, efforts are largely directed toward the increase of the capital sum.
7825_258970_000006_000006	Investment takes the form of putting in a sum of money in the hope of getting an income bearing a certain relation to it.	Investment takes the form of putting in a sum of money in the hope of getting an income bearing a certain relation to it.
7825_258970_000006_000007	The first thought is of the value of the wealth invested, which has been carefully measured and expressed in dollars and cents.	The first thought is of the value of the wealth invested, which has been carefully measured and expressed in dollars and cents.
7825_258970_000006_000008	Wealth looked at in the older way was valued for what it did immediately for its owner, for its concrete fruits; looked at in the modern way, it is valued as a marketable income-bearer readily convertible into a multitude of other forms.	Wealth looked at in the older way was valued for what it did immediately for its owner, for its concrete fruits; looked at in the modern way, it is valued as a marketable income bearer readily convertible into a multitude of other forms.
7825_258970_000006_000009	Thus investments come to be thought of in terms of general purchasing power, from which it is expected to realize an income of a given percentage.	Thus investments come to be thought of in terms of general purchasing power, from which it is expected to realize an income of a given percentage.
7825_258970_000009_000000	2.	two.
7825_258970_000009_000002	But they are undiminished only in a relative sense and in reference to present need.	But they are undiminished only in a relative sense and in reference to present need.
7825_258970_000009_000003	The water in the Western rivers long flowed on, undiminished by the uses made of it.	The water in the Western rivers long flowed on, undiminished by the uses made of it.
7825_258970_000009_000004	But progressing civilization required more water for cities, for mining, and for irrigation, and now states and corporations are going to law over these formerly undiminished free goods.	But progressing civilization required more water for cities, for mining, and for irrigation, and now states and corporations are going to law over these formerly undiminished free goods.
7825_258970_000009_000005	Some kinds of goods are produced from such very common materials that it might seem possible, by the substitution of agents, to produce an unlimited supply.	Some kinds of goods are produced from such very common materials that it might seem possible, by the substitution of agents, to produce an unlimited supply.
7825_258970_000009_000006	How can bricks be limited in number, being made as they are from one of the commonest materials on the earth's surface?	How can bricks be limited in number, being made as they are from one of the commonest materials on the earth's surface?
7825_258970_000009_000007	But the largest clay banks are limited in size; a large proportion of the places where bricks are needed are not near a supply of clay of good quality; and after a brick-yard has been used for a time there is increasing difficulty in getting out the material.	But the largest clay banks are limited in size; a large proportion of the places where bricks are needed are not near a supply of clay of good quality; and after a brick yard has been used for a time there is increasing difficulty in getting out the material.
7825_258970_000009_000008	While, therefore, bricks are scarce and hard to get from the outset in some places, the scarcity grows more marked in many places at first well supplied.	While, therefore, bricks are scarce and hard to get from the outset in some places, the scarcity grows more marked in many places at first well supplied.
7825_258970_000009_000011	This is true of clay, stone, water, and the commonest kinds of labor.	This is true of clay, stone, water, and the commonest kinds of labor.
7825_258970_000011_000004	Progress, population, prosperity, are not primarily conditioned on their amount; limitation will be felt far earlier elsewhere.	Progress, population, prosperity, are not primarily conditioned on their amount; limitation will be felt far earlier elsewhere.
7825_258970_000013_000000	3.	three.
7825_258970_000013_000002	In the attempt to get some food-products in greater quantity from a given area at a given time, increasing difficulty is met with at once.	In the attempt to get some food products in greater quantity from a given area at a given time, increasing difficulty is met with at once.
7825_258970_000013_000004	Some replenishing agents will restore themselves if given time; the forest will grow up if left untouched by man; the field will recover its fertile quality if allowed to lie fallow.	Some replenishing agents will restore themselves if given time; the forest will grow up if left untouched by man; the field will recover its fertile quality if allowed to lie fallow.
7825_258970_000013_000005	But this self-replenishing of agents is a slow process, and time is costly.	But this self replenishing of agents is a slow process, and time is costly.
7825_258970_000013_000006	Man therefore tries in other ways to force more uses out of goods, until checked by the increasing difficulty.	Man therefore tries in other ways to force more uses out of goods, until checked by the increasing difficulty.
7825_258970_000013_000008	But it can now be seen that the law may apply ultimately, though in differing degrees, to every kind of economic goods.	But it can now be seen that the law may apply ultimately, though in differing degrees, to every kind of economic goods.
7825_258970_000013_000009	Indeed, the principle just discussed is no more than one phase of the law of economic diminishing returns, which has a universal application to the realm of values.	Indeed, the principle just discussed is no more than one phase of the law of economic diminishing returns, which has a universal application to the realm of values.
7825_258970_000015_000000	4.	four.
7825_258970_000015_000003	The second part of the opening proposition expresses the view here held: the supply of no important class of goods is absolutely fixed, in any reasonable sense.	The second part of the opening proposition expresses the view here held: the supply of no important class of goods is absolutely fixed, in any reasonable sense.
