398_123602_000002_000001	I had lost myself completely in work, when I heard footsteps outside.	I had lost myself completely in work, when I heard footsteps outside.
398_123602_000002_000002	There was a steep footpath between the upper and the lower road, which I climbed to shorten the way, as the children had taught me, but I believed that Mrs. Todd would find it inaccessible, unless she had occasion to seek me in great haste.	There was a steep footpath between the upper and the lower road, which I climbed to shorten the way, as the children had taught me, but I believed that mrs Todd would find it inaccessible, unless she had occasion to seek me in great haste.
398_123602_000002_000004	Then I looked, and saw Captain Littlepage passing the nearest window; the next moment he tapped politely at the door.	Then I looked, and saw Captain Littlepage passing the nearest window; the next moment he tapped politely at the door.
398_123602_000003_000001	I stepped down from the desk and offered him a chair by the window, where he seated himself at once, being sadly spent by his climb.	I stepped down from the desk and offered him a chair by the window, where he seated himself at once, being sadly spent by his climb.
398_123602_000003_000002	I returned to my fixed seat behind the teacher's desk, which gave him the lower place of a scholar.	I returned to my fixed seat behind the teacher's desk, which gave him the lower place of a scholar.
398_123602_000004_000000	"You ought to have the place of honor, Captain Littlepage," I said.	"You ought to have the place of honor, Captain Littlepage," I said.
398_123602_000006_000001	Then he glanced at me, and looked all about him as pleased as a child.	Then he glanced at me, and looked all about him as pleased as a child.
398_123602_000007_000002	"Shakespeare was a great poet; he copied life, but you have to put up with a great deal of low talk."	"Shakespeare was a great poet; he copied life, but you have to put up with a great deal of low talk."
398_123602_000008_000003	He looked, with his careful precision of dress, as if he were the object of cherishing care on the part of elderly unmarried sisters, but I knew Mari' Harris to be a very common-place, inelegant person, who would have no such standards; it was plain that the captain was his own attentive valet.	He looked, with his careful precision of dress, as if he were the object of cherishing care on the part of elderly unmarried sisters, but I knew Mari' Harris to be a very common place, inelegant person, who would have no such standards; it was plain that the captain was his own attentive valet.
398_123602_000008_000006	The captain was very grave indeed, and I bade my inward spirit keep close to discretion.	The captain was very grave indeed, and I bade my inward spirit keep close to discretion.
398_123602_000009_000000	"Poor Mrs. Begg has gone," I ventured to say.	"Poor mrs Begg has gone," I ventured to say.
398_123602_000011_000000	I thought of the Countess of Carberry, and felt that history repeated itself.	I thought of the Countess of Carberry, and felt that history repeated itself.
398_123602_000012_000001	"She was very much looked up to in this town, and will be missed."	"She was very much looked up to in this town, and will be missed."
398_123602_000013_000000	I wondered, as I looked at him, if he had sprung from a line of ministers; he had the refinement of look and air of command which are the heritage of the old ecclesiastical families of New England.	I wondered, as I looked at him, if he had sprung from a line of ministers; he had the refinement of look and air of command which are the heritage of the old ecclesiastical families of New England.
398_123602_000014_000001	I began to be very eager to know upon what errand he had come.	I began to be very eager to know upon what errand he had come.
398_123602_000015_000001	"We may know it all, the next step; where Mrs. Begg is now, for instance. Certainty, not conjecture, is what we all desire."	"We may know it all, the next step; where mrs Begg is now, for instance. Certainty, not conjecture, is what we all desire."
398_123602_000016_000000	"I suppose we shall know it all some day," said I.	"I suppose we shall know it all some day," said i
398_123602_000017_000001	"We have not looked for truth in the right direction.	"We have not looked for truth in the right direction.
398_123602_000021_000000	"You must have left the sea a good many years ago, then, Captain Littlepage?" I said.	"You must have left the sea a good many years ago, then, Captain Littlepage?" I said.
398_123602_000023_000000	Now we were approaching dangerous ground, but a sudden sense of his sufferings at the hands of the ignorant came to my help, and I asked to hear more with all the deference I really felt.	Now we were approaching dangerous ground, but a sudden sense of his sufferings at the hands of the ignorant came to my help, and I asked to hear more with all the deference I really felt.
398_123602_000023_000001	A swallow flew into the schoolhouse at this moment as if a kingbird were after it, and beat itself against the walls for a minute, and escaped again to the open air; but Captain Littlepage took no notice whatever of the flurry.	A swallow flew into the schoolhouse at this moment as if a kingbird were after it, and beat itself against the walls for a minute, and escaped again to the open air; but Captain Littlepage took no notice whatever of the flurry.
398_123602_000027_000000	I began to find this unexpected narrative a little dull.	I began to find this unexpected narrative a little dull.
398_123602_000029_000000	"It was a hard life at sea in those days, I am sure," said I, with redoubled interest.	"It was a hard life at sea in those days, I am sure," said I, with redoubled interest.
398_123602_000031_000001	"It accounts for the change in a great many things,--the sad disappearance of sea-captains,--doesn't it?"	"It accounts for the change in a great many things,--the sad disappearance of sea captains,--doesn't it?"
398_123602_000032_000007	No: when folks left home in the old days they left it to some purpose, and when they got home they stayed there and had some pride in it.	No: when folks left home in the old days they left it to some purpose, and when they got home they stayed there and had some pride in it.
398_123602_000034_000001	It sounded like the strange warning wave that gives notice of the turn of the tide.	It sounded like the strange warning wave that gives notice of the turn of the tide.
