398_123602_000000_000000	I sighed, and turned to the half-written page again.	I sighed, and turned to the half written page again.	false	4.98	19.47	22.652658
398_123602_000001_000000	V. Captain Littlepage	V. Captain Littlepage	false	19.47	26.23	19.264935
398_123602_000002_000000	IT WAS A long time after this; an hour was very long in that coast town where nothing stole away the shortest minute.	IT WAS A long time after this; an hour was very long in that coast town where nothing stole away the shortest minute.	false	26.36	34.75	19.124636
398_123602_000002_000001	I had lost myself completely in work, when I heard footsteps outside.	I had lost myself completely in work, when I heard footsteps outside.	true	35.51	40.15	21.893688
398_123602_000002_000002	There was a steep footpath between the upper and the lower road, which I climbed to shorten the way, as the children had taught me, but I believed that Mrs. Todd would find it inaccessible, unless she had occasion to seek me in great haste.	There was a steep footpath between the upper and the lower road, which I climbed to shorten the way, as the children had taught me, but I believed that mrs Todd would find it inaccessible, unless she had occasion to seek me in great haste.	true	40.73	55.63	20.133821
398_123602_000002_000003	I wrote on, feeling like a besieged miser of time, while the footsteps came nearer, and the sheep-bell tinkled away in haste as if someone had shaken a stick in its wearer's face.	I wrote on, feeling like a besieged miser of time, while the footsteps came nearer, and the sheep bell tinkled away in haste as if someone had shaken a stick in its wearer's face.	false	56.12	68.71	19.019957
398_123602_000002_000004	Then I looked, and saw Captain Littlepage passing the nearest window; the next moment he tapped politely at the door.	Then I looked, and saw Captain Littlepage passing the nearest window; the next moment he tapped politely at the door.	true	69.08	76.24	22.068789
398_123602_000003_000000	"Come in, sir," I said, rising to meet him; and he entered, bowing with much courtesy.	"Come in, sir," I said, rising to meet him; and he entered, bowing with much courtesy.	true	77.78	84.1	19.411398
398_123602_000003_000001	I stepped down from the desk and offered him a chair by the window, where he seated himself at once, being sadly spent by his climb.	I stepped down from the desk and offered him a chair by the window, where he seated himself at once, being sadly spent by his climb.	true	84.53	93.34	20.25729
398_123602_000003_000002	I returned to my fixed seat behind the teacher's desk, which gave him the lower place of a scholar.	I returned to my fixed seat behind the teacher's desk, which gave him the lower place of a scholar.	true	93.65	99.28	23.858252
398_123602_000004_000000	"You ought to have the place of honor, Captain Littlepage," I said.	"You ought to have the place of honor, Captain Littlepage," I said.	true	100.16	103.66	25.848473
398_123602_000005_000000	"A happy, rural seat of various views,"	"A happy, rural seat of various views,"	false	105.05	108.37	17.400114
