6553_86683_000001_000000	The Story of Deirdre	The Story of Deirdre
6553_86683_000003_000001	The man was a right good man, and he had a goodly share of this world's goods. He had a wife, but no family.	The man was a right good man, and he had a goodly share of this world's goods. He had a wife, but no family.
6553_86683_000003_000003	Whether it was that he was invited or that he came of himself, the soothsayer came to the house of Malcolm.	Whether it was that he was invited or that he came of himself, the soothsayer came to the house of Malcolm.
6553_86683_000005_000000	"Yes, I am doing a little.	"Yes, I am doing a little.
6553_86683_000006_000000	"Well, I do not mind taking soothsaying from you, if you had soothsaying for me, and you would be willing to do it."	"Well, I do not mind taking soothsaying from you, if you had soothsaying for me, and you would be willing to do it."
6553_86683_000009_000000	"Well, I am going out, and when I return I will tell you."	"Well, I am going out, and when I return I will tell you."
6553_86683_000011_000001	And the three most famous heroes that ever were found will lose their heads on her account."	And the three most famous heroes that ever were found will lose their heads on her account."
6553_86683_000012_000001	He did not allow a living being to come to his house, only himself and the nurse.	He did not allow a living being to come to his house, only himself and the nurse.
6553_86683_000012_000002	He asked this woman, "Will you yourself bring up the child to keep her in hiding far away where eye will not see a sight of her nor ear hear a word about her?"	He asked this woman, "Will you yourself bring up the child to keep her in hiding far away where eye will not see a sight of her nor ear hear a word about her?"
6553_86683_000013_000001	He caused there a hillock, round and green, to be dug out of the middle, and the hole thus made to be covered carefully over, so that a little company could dwell there together.	He caused there a hillock, round and green, to be dug out of the middle, and the hole thus made to be covered carefully over, so that a little company could dwell there together.
6553_86683_000013_000002	This was done.	This was done.
6553_86683_000014_000000	Deirdre and her foster-mother dwelt in the bothy mid the hills without the knowledge or the suspicion of any living person about them and without anything occurring, until Deirdre was sixteen years of age. Deirdre grew like the white sapling, straight and trim as the rash on the moss.	Deirdre and her foster mother dwelt in the bothy mid the hills without the knowledge or the suspicion of any living person about them and without anything occurring, until Deirdre was sixteen years of age. Deirdre grew like the white sapling, straight and trim as the rash on the moss.
6553_86683_000015_000000	The woman that had charge of her gave Deirdre every information and skill of which she herself had knowledge and skill.	The woman that had charge of her gave Deirdre every information and skill of which she herself had knowledge and skill.
6553_86683_000015_000001	There was not a blade of grass growing from root, nor a bird singing in the wood, nor a star shining from heaven but Deirdre had a name for it.	There was not a blade of grass growing from root, nor a bird singing in the wood, nor a star shining from heaven but Deirdre had a name for it.
6553_86683_000015_000002	But one thing, she did not wish her to have either part or parley with any single living man of the rest of the world.	But one thing, she did not wish her to have either part or parley with any single living man of the rest of the world.
6553_86683_000015_000003	But on a gloomy winter night, with black, scowling clouds, a hunter of game was wearily travelling the hills, and what happened but that he missed the trail of the hunt, and lost his course and companions.	But on a gloomy winter night, with black, scowling clouds, a hunter of game was wearily travelling the hills, and what happened but that he missed the trail of the hunt, and lost his course and companions.
6553_86683_000015_000009	There is no shelter or house for them here." "O foster-mother, the bird asked to get inside for the sake of the God of the Elements, and you yourself tell me that anything that is asked in His name we ought to do.	There is no shelter or house for them here." "O foster mother, the bird asked to get inside for the sake of the God of the Elements, and you yourself tell me that anything that is asked in His name we ought to do.
6553_86683_000015_000010	If you will not allow the bird that is being benumbed with cold, and done to death with hunger, to be let in, I do not think much of your language or your faith.	If you will not allow the bird that is being benumbed with cold, and done to death with hunger, to be let in, I do not think much of your language or your faith.
6553_86683_000015_000012	She placed a seat in the place for sitting, food in the place for eating, and drink in the place for drinking for the man who came to the house.	She placed a seat in the place for sitting, food in the place for eating, and drink in the place for drinking for the man who came to the house.
6553_86683_000016_000000	"What men are these you refer to?" said Deirdre.	"What men are these you refer to?" said Deirdre.
6553_86683_000026_000000	"Well, I did see her," said the hunter.	"Well, I did see her," said the hunter.
6553_86683_000026_000001	"But, if I did, no man else can see her unless he get directions from me as to where she is dwelling."	"But, if I did, no man else can see her unless he get directions from me as to where she is dwelling."
6553_86683_000027_000000	"And will you direct me to where she dwells? and the reward of your directing me will be as good as the reward of your message," said the king.	"And will you direct me to where she dwells? and the reward of your directing me will be as good as the reward of your message," said the king.
6553_86683_000028_000000	"Well, I will direct you, O king, although it is likely that this will not be what they want," said the hunter.	"Well, I will direct you, O king, although it is likely that this will not be what they want," said the hunter.
6553_86683_000029_000000	Connachar, king of Ulster, sent for his nearest kinsmen, and he told them of his intent.	Connachar, king of Ulster, sent for his nearest kinsmen, and he told them of his intent.
6553_86683_000030_000000	Connachar with his band of kinsfolk went down to the green knoll where Deirdre dwelt and he knocked at the door of the bothy.	Connachar with his band of kinsfolk went down to the green knoll where Deirdre dwelt and he knocked at the door of the bothy.
6553_86683_000030_000001	The nurse replied, "No less than a king's command and a king's army could put me out of my bothy to-night.	The nurse replied, "No less than a king's command and a king's army could put me out of my bothy to night.
6553_86683_000030_000002	And I should be obliged to you, were you to tell who it is that wants me to open my bothy door." "It is I, Connachar, king of Ulster." When the poor woman heard who was at the door, she rose with haste and let in the king and all that could get in of his retinue.	And I should be obliged to you, were you to tell who it is that wants me to open my bothy door." "It is I, Connachar, king of Ulster." When the poor woman heard who was at the door, she rose with haste and let in the king and all that could get in of his retinue.
6553_86683_000031_000000	When the king saw the woman that was before him that he had been in quest of, he thought he never saw in the course of the day nor in the dream of night a creature so fair as Deirdre and he gave his full heart's weight of love to her.	When the king saw the woman that was before him that he had been in quest of, he thought he never saw in the course of the day nor in the dream of night a creature so fair as Deirdre and he gave his full heart's weight of love to her.
6553_86683_000031_000001	Deirdre was raised on the topmost of the heroes' shoulders and she and her foster-mother were brought to the Court of King Connachar of Ulster.	Deirdre was raised on the topmost of the heroes' shoulders and she and her foster mother were brought to the Court of King Connachar of Ulster.
6553_86683_000032_000000	With the love that Connachar had for her, he wanted to marry Deirdre right off there and then, will she nill she marry him.	With the love that Connachar had for her, he wanted to marry Deirdre right off there and then, will she nill she marry him.
