208_126851_000000_000000	"You're a wise old bird," said the Doctor.	"You're a wise old bird," said the Doctor.	false	0.75	4.26	17.221682
208_126851_000000_000001	"How old are you really?	"How old are you really?	false	4.26	4.95	11
208_126851_000000_000002	I know that parrots and elephants sometimes live to be very, very old."	I know that parrots and elephants sometimes live to be very, very old."	false	4.95	6.15	19
208_126851_000001_000000	"I can never be quite sure of my age," said Polynesia.	"I can never be quite sure of my age," said Polynesia.	false	6.15	7.14	10.600623
208_126851_000001_000001	"It's either a hundred and eighty-three or a hundred and eighty-two.	"It's either a hundred and eighty three or a hundred and eighty two.	false	7.14	8.4	9
208_126851_000001_000002	But I know that when I first came here from Africa, King Charles was still hiding in the oak-tree--because I saw him.	But I know that when I first came here from Africa, King Charles was still hiding in the oak tree-because I saw him.	false	8.4	16.74	17.615286
208_126851_000001_000003	He looked scared to death."	He looked scared to death."	false	16.74	18.315	21
208_126851_000002_000000	THE THIRD CHAPTER	THE THIRD CHAPTER	false	18.315	19.86	18
208_126851_000003_000000	MORE MONEY TROUBLES	MORE MONEY TROUBLES	true	19.86	21.19	14
208_126851_000004_000000	AND soon now the Doctor began to make money again; and his sister, Sarah, bought a new dress and was happy.	AND soon now the Doctor began to make money again; and his sister, Sarah, bought a new dress and was happy.	false	23.72	30.25	19.982311
208_126851_000004_000001	Some of the animals who came to see him were so sick that they had to stay at the Doctor's house for a week.	Some of the animals who came to see him were so sick that they had to stay at the Doctor's house for a week.	true	30.98	36.61	19
208_126851_000004_000002	And when they were getting better they used to sit in chairs on the lawn.	And when they were getting better they used to sit in chairs on the lawn.	true	37.34	41.47	17
208_126851_000005_000000	And often even after they got well, they did not want to go away--they liked the Doctor and his house so much.	And often even after they got well, they did not want to go away-they liked the Doctor and his house so much.	true	42.83	49.54	20
208_126851_000005_000001	And he never had the heart to refuse them when they asked if they could stay with him.	And he never had the heart to refuse them when they asked if they could stay with him.	false	50.18	54.07	18
208_126851_000005_000002	So in this way he went on getting more and more pets.	So in this way he went on getting more and more pets.	true	54.62	58.18	21.3133
208_126851_000006_000000	Once when he was sitting on his garden wall, smoking a pipe in the evening, an Italian organ-grinder came round with a monkey on a string. The Doctor saw at once that the monkey's collar was too tight and that he was dirty and unhappy.	Once when he was sitting on his garden wall, smoking a pipe in the evening, an Italian organ grinder came round with a monkey on a string. The Doctor saw at once that the monkey's collar was too tight and that he was dirty and unhappy.	false	59.72	75.28	19.98455
