1349_135891_000002_000000	STORY OF THE THREE CALENDERS, SONS OF SULTANS; AND OF THE FIVE LADIES OF BAGDAD.	STORY OF THE THREE CALENDERS, SONS OF SULTANS; AND OF THE FIVE LADIES OF BAGDAD.
1349_135891_000003_000000	In the reign of Caliph Haroon al Rusheed, there was at Bagdad, a porter, who, notwithstanding his mean and laborious business, was a fellow of wit and good humour.	In the reign of Caliph Haroon al Rusheed, there was at Bagdad, a porter, who, notwithstanding his mean and laborious business, was a fellow of wit and good humour.
1349_135891_000004_000000	In a short time the lady stopped before a gate that was shut, and knocked: a Christian, with a venerable long white beard, opened it; and she put money into his hand, without speaking; but the Christian, who knew what she wanted, went in, and in a little time, brought a large jug of excellent wine.	In a short time the lady stopped before a gate that was shut, and knocked: a Christian, with a venerable long white beard, opened it; and she put money into his hand, without speaking; but the Christian, who knew what she wanted, went in, and in a little time, brought a large jug of excellent wine.
1349_135891_000005_000001	As she went by a butcher's stall, she made him weigh her twenty five pounds of his best meat, which she ordered the porter to put also into his basket.	As she went by a butcher's stall, she made him weigh her twenty five pounds of his best meat, which she ordered the porter to put also into his basket.
1349_135891_000005_000002	At another shop, she took capers, tarragon, cucumbers, sassafras, and other herbs, preserved in vinegar: at another, she bought pistachios, walnuts, filberts, almonds, kernels of pine-apples, and such other fruits; and at another, all sorts of confectionery.	At another shop, she took capers, tarragon, cucumbers, sassafras, and other herbs, preserved in vinegar: at another, she bought pistachios, walnuts, filberts, almonds, kernels of pine apples, and such other fruits; and at another, all sorts of confectionery.
1349_135891_000006_000000	She then went to a druggist, where she furnished herself with all manner of sweet-scented waters, cloves, musk, pepper, ginger, and a great piece of ambergris, and several other Indian spices; this quite filled the porter's basket, and she ordered him to follow her.	She then went to a druggist, where she furnished herself with all manner of sweet scented waters, cloves, musk, pepper, ginger, and a great piece of ambergris, and several other Indian spices; this quite filled the porter's basket, and she ordered him to follow her.
1349_135891_000006_000001	They walked till they came to a magnificent house, whose front was adorned with fine columns, and had a gate of ivory. There they stopped, and the lady knocked softly.	They walked till they came to a magnificent house, whose front was adorned with fine columns, and had a gate of ivory. There they stopped, and the lady knocked softly.
1349_135891_000007_000002	Just as he was about to ask her some questions upon this head, another lady came to open the gate, and appeared to him so beautiful, that he was perfectly surprised, or rather so much struck with her charms, that he had nearly suffered his basket to fall, for he had never seen any beauty that equalled her.	Just as he was about to ask her some questions upon this head, another lady came to open the gate, and appeared to him so beautiful, that he was perfectly surprised, or rather so much struck with her charms, that he had nearly suffered his basket to fall, for he had never seen any beauty that equalled her.
1349_135891_000008_000001	"Pray, Sister," said the beautiful portress, "come in, what do you stay for?	"Pray, Sister," said the beautiful portress, "come in, what do you stay for?
1349_135891_000012_000000	The porter was well satisfied with the money he had received; but when he ought to have departed, he could not summon sufficient resolution for the purpose.	The porter was well satisfied with the money he had received; but when he ought to have departed, he could not summon sufficient resolution for the purpose.
1349_135891_000014_000000	The ladies fell a laughing at the porter's reasoning; after which Zobeide gravely addressed him, "Friend, you presume rather too much; and though you do not deserve that I should enter into any explanation with you, I have no objection to inform you that we are three sisters, who transact our affairs with so much secrecy that no one knows any thing of them.	The ladies fell a laughing at the porter's reasoning; after which Zobeide gravely addressed him, "Friend, you presume rather too much; and though you do not deserve that I should enter into any explanation with you, I have no objection to inform you that we are three sisters, who transact our affairs with so much secrecy that no one knows any thing of them.
1349_135891_000014_000001	We have but too much reason to be cautious of acquainting indiscreet persons with our counsel; and a good author that we have read, says, Keep thy own secret, and do not reveal it to any one.	We have but too much reason to be cautious of acquainting indiscreet persons with our counsel; and a good author that we have read, says, Keep thy own secret, and do not reveal it to any one.
1349_135891_000014_000003	If thy own breast cannot keep thy counsel, how canst thou expect the breast of another to be more faithful?'"	If thy own breast cannot keep thy counsel, how canst thou expect the breast of another to be more faithful?'"
1349_135891_000015_000000	"My ladies," replied the porter, "by your very air, I judged at first that you were persons of extraordinary merit, and I conceive that I am not mistaken.	"My ladies," replied the porter, "by your very air, I judged at first that you were persons of extraordinary merit, and I conceive that I am not mistaken.
1349_135891_000018_000003	Soon after, the ladies took their places, and made the porter sit down by them, who was overjoyed to see himself seated with three such admirable beauties.	Soon after, the ladies took their places, and made the porter sit down by them, who was overjoyed to see himself seated with three such admirable beauties.
1349_135891_000018_000005	That as the wind bears with it the sweet scents of the purfumed places over which it passes, so the wine he was going to drink, coming from her fair hands, received a more exquisite flavour than it naturally possessed.	That as the wind bears with it the sweet scents of the purfumed places over which it passes, so the wine he was going to drink, coming from her fair hands, received a more exquisite flavour than it naturally possessed.
1349_135891_000018_000006	The song pleased the ladies much, and each of them afterwards sung one in her turn.	The song pleased the ladies much, and each of them afterwards sung one in her turn.
1349_135891_000018_000007	In short, they were all very pleasant during the repast, which lasted a considerable time, and nothing was wanting that could serve to render it agreeable.	In short, they were all very pleasant during the repast, which lasted a considerable time, and nothing was wanting that could serve to render it agreeable.
1349_135891_000018_000008	The day drawing to a close, Safie spoke in the name of the three ladies, and said to the porter, "Arise, it is time for you to depart." But the porter, not willing to leave good company, cried, "Alas! ladies, whither do you command me to go in my present condition?	The day drawing to a close, Safie spoke in the name of the three ladies, and said to the porter, "Arise, it is time for you to depart." But the porter, not willing to leave good company, cried, "Alas! ladies, whither do you command me to go in my present condition?
1349_135891_000018_000009	What with drinking and your society, I am quite beside myself.	What with drinking and your society, I am quite beside myself.
1349_135891_000021_000000	The porter went and read these words, written in large characters of gold: "He who speaks of things that do not concern him, shall hear things that will not please him." Returning again to the three sisters, "Ladies," said he, "I swear to you that you shall never hear me utter a word respecting what does not relate to me, or wherein you may have any concern."	The porter went and read these words, written in large characters of gold: "He who speaks of things that do not concern him, shall hear things that will not please him." Returning again to the three sisters, "Ladies," said he, "I swear to you that you shall never hear me utter a word respecting what does not relate to me, or wherein you may have any concern."
1349_135891_000022_000001	When they were all in the best humour possible, they heard a knocking at the gate.	When they were all in the best humour possible, they heard a knocking at the gate.
1349_135891_000023_000002	There are three calenders at our gate, at least they appear to be such by their habit; but what will surprise you is, they are all three blind of the right eye, and have their heads, beards, and eye-brows shaved.	There are three calenders at our gate, at least they appear to be such by their habit; but what will surprise you is, they are all three blind of the right eye, and have their heads, beards, and eye brows shaved.
1349_135891_000023_000004	They care not what place we put them in, provided they may be under shelter; they would be satisfied with a stable.	They care not what place we put them in, provided they may be under shelter; they would be satisfied with a stable.
1349_135891_000023_000006	But I cannot without laughing think of their amusing and uniform figure." Here Safie laughed so heartily, that the two sisters and the porter could not refrain from laughing also.	But I cannot without laughing think of their amusing and uniform figure." Here Safie laughed so heartily, that the two sisters and the porter could not refrain from laughing also.
1349_135891_000025_000000	At their entrance they made a profound obeisance to the ladies, who rose up to receive them, and told them courteously that they were welcome, that they were glad of the opportunity to oblige them, and to contribute towards relieving the fatigues of their journey, and at last invited them to sit down with them.	At their entrance they made a profound obeisance to the ladies, who rose up to receive them, and told them courteously that they were welcome, that they were glad of the opportunity to oblige them, and to contribute towards relieving the fatigues of their journey, and at last invited them to sit down with them.
1349_135891_000028_000000	"Honest man," said the calender, "do not put yourself in a passion; we should be sorry to give you the least occasion; on the contrary, we are ready to receive your commands." Upon which, to put an end to the dispute, the ladies interposed, and pacified them.	"Honest man," said the calender, "do not put yourself in a passion; we should be sorry to give you the least occasion; on the contrary, we are ready to receive your commands." Upon which, to put an end to the dispute, the ladies interposed, and pacified them.
1349_135891_000028_000001	When the calenders were seated, the ladies served them with meat; and Safie, being highly pleased with them, did not let them want for wine.	When the calenders were seated, the ladies served them with meat; and Safie, being highly pleased with them, did not let them want for wine.
1349_135891_000029_000001	Each man took the instrument he liked, and all three together began to play a tune The ladies, who knew the words of a merry song that suited the air, joined the concert with their voices; but the words of the song made them now and then stop, and fall into excessive laughter.	Each man took the instrument he liked, and all three together began to play a tune The ladies, who knew the words of a merry song that suited the air, joined the concert with their voices; but the words of the song made them now and then stop, and fall into excessive laughter.
1349_135891_000030_000000	In the height of this diversion, when the company were in the midst of their jollity, a knocking was heard at the gate; Safie left off singing, and went to see who it was.	In the height of this diversion, when the company were in the midst of their jollity, a knocking was heard at the gate; Safie left off singing, and went to see who it was.
1349_135891_000030_000001	The caliph Haroon al Rusheed was frequently in the habit of walking abroad in disguise by night, that he might discover if every thing was quiet in the city, and see that no disorders were committed.	The caliph Haroon al Rusheed was frequently in the habit of walking abroad in disguise by night, that he might discover if every thing was quiet in the city, and see that no disorders were committed.
1349_135891_000031_000001	The vizier, in vain represented to him that the noise proceeded from some women who were merry-making, that without question their heads were warm with wine, and that it would not be proper he should expose himself to be affronted by them: besides, it was not yet an unlawful hour, and therefore he ought not to disturb them in their mirth.	The vizier, in vain represented to him that the noise proceeded from some women who were merry making, that without question their heads were warm with wine, and that it would not be proper he should expose himself to be affronted by them: besides, it was not yet an unlawful hour, and therefore he ought not to disturb them in their mirth.
1349_135891_000031_000002	"No matter," said the caliph, "I command you to knock." Jaaffier complied; Safie opened the gate, and the vizier, perceiving by the light in her hand, that she was an incomparable beauty, with a very low salutation said, "We are three merchants of Mossoul, who arrived here about ten days ago with rich merchandise, which we have in a warehouse at a caravan-serai, where we have also our lodging.	"No matter," said the caliph, "I command you to knock." Jaaffier complied; Safie opened the gate, and the vizier, perceiving by the light in her hand, that she was an incomparable beauty, with a very low salutation said, "We are three merchants of Mossoul, who arrived here about ten days ago with rich merchandise, which we have in a warehouse at a caravan serai, where we have also our lodging.
1349_135891_000031_000004	Night being come on, and the music and dancers making a great noise, the watch, passing by, caused the gate to be opened and some of the company to be taken up; but we had the good fortune to escape by getting over the wall.	Night being come on, and the music and dancers making a great noise, the watch, passing by, caused the gate to be opened and some of the company to be taken up; but we had the good fortune to escape by getting over the wall.
1349_135891_000031_000005	Being strangers, and somewhat overcome with wine, we are afraid of meeting that or some other watch, before we get home to our khan.	Being strangers, and somewhat overcome with wine, we are afraid of meeting that or some other watch, before we get home to our khan.
1349_135891_000033_000000	Safie made the business known to her sisters, who considered for some time what to do: but being naturally of a good disposition, and having granted the same favour to the three calenders, they at last consented to let them in.	Safie made the business known to her sisters, who considered for some time what to do: but being naturally of a good disposition, and having granted the same favour to the three calenders, they at last consented to let them in.
1349_135891_000034_000000	The caliph, his grand vizier, and the chief of the eunuchs, being introduced by the fair Safie, very courteously saluted the ladies and the calenders.	The caliph, his grand vizier, and the chief of the eunuchs, being introduced by the fair Safie, very courteously saluted the ladies and the calenders.
1349_135891_000034_000003	But before I proceed farther, I hope you will not take it ill if we desire one favour of you." "Alas!" said the vizier, "what favour?	But before I proceed farther, I hope you will not take it ill if we desire one favour of you." "Alas!" said the vizier, "what favour?
1349_135891_000035_000001	We are not censorious, nor impertinently curious; it is enough for us to notice affairs that concern us, without meddling with what does not belong to us." Upon this they all sat down, and the company being united, they drank to the health of the new-comers.	We are not censorious, nor impertinently curious; it is enough for us to notice affairs that concern us, without meddling with what does not belong to us." Upon this they all sat down, and the company being united, they drank to the health of the new comers.
1349_135891_000036_000000	While the vizier, entertained the ladies in conversation, the caliph could not forbear admiring their extraordinary beauty, graceful behaviour, pleasant humour, and ready wit; on the other hand, nothing struck him with more surprise than the calenders being all three blind of the right eye.	While the vizier, entertained the ladies in conversation, the caliph could not forbear admiring their extraordinary beauty, graceful behaviour, pleasant humour, and ready wit; on the other hand, nothing struck him with more surprise than the calenders being all three blind of the right eye.
1349_135891_000043_000001	She went towards Safie and opened the case, from whence she took a lute, and presented it to her: and after some time spent in tuning it, Safie began to play, and accompanying the instrument with her voice, sung a song about the torments that absence creates to lovers, with so much sweetness, that it charmed the caliph and all the company.	She went towards Safie and opened the case, from whence she took a lute, and presented it to her: and after some time spent in tuning it, Safie began to play, and accompanying the instrument with her voice, sung a song about the torments that absence creates to lovers, with so much sweetness, that it charmed the caliph and all the company.
