4054_11077_000002_000000	CHAPTER II.	CHAPTER two.
4054_11077_000003_000000	AN INVITATION.	AN INVITATION.
4054_11077_000004_000000	It is a curious fact, and makes life very interesting, that, generally speaking, none of us have any expectation that things are going to happen till the very moment when they do happen.	It is a curious fact, and makes life very interesting, that, generally speaking, none of us have any expectation that things are going to happen till the very moment when they do happen.
4054_11077_000004_000003	No instinct bids us to delay or to hasten the opening of the letter or telegram, or the lifting of the latch of the door at which stands the messenger of good or ill.	No instinct bids us to delay or to hasten the opening of the letter or telegram, or the lifting of the latch of the door at which stands the messenger of good or ill.
4054_11077_000004_000004	And because it may be, and often is, happy tidings that come, and joyful things which happen, each fresh day as it dawns upon us is like an unread story, full of possible interest and adventure, to be made ours as soon as we have cut the pages and begun to read.	And because it may be, and often is, happy tidings that come, and joyful things which happen, each fresh day as it dawns upon us is like an unread story, full of possible interest and adventure, to be made ours as soon as we have cut the pages and begun to read.
4054_11077_000005_000000	Nothing whispered to Katy Carr, as she sat at the window mending a long rent in Johnnie's school coat, and saw Mrs. Ashe come in at the side gate and ring the office bell, that the visit had any special significance for her.	Nothing whispered to Katy Carr, as she sat at the window mending a long rent in Johnnie's school coat, and saw mrs Ashe come in at the side gate and ring the office bell, that the visit had any special significance for her.
4054_11077_000005_000001	Mrs. Ashe often did come to the office to consult Dr. Carr.	mrs Ashe often did come to the office to consult dr Carr.
4054_11077_000005_000002	Amy might not be quite well, Katy thought, or there might be a letter with something about Walter in it, or perhaps matters had gone wrong at the house, where paperers and painters were still at work.	Amy might not be quite well, Katy thought, or there might be a letter with something about Walter in it, or perhaps matters had gone wrong at the house, where paperers and painters were still at work.
4054_11077_000005_000004	For Mrs. Ashe was asking papa to let her do the very thing of all others that she most longed to do; she was asking him to let Katy go with her to Europe!	For mrs Ashe was asking papa to let her do the very thing of all others that she most longed to do; she was asking him to let Katy go with her to Europe!
4054_11077_000006_000001	"I got tired and run down while Walter was ill, and I don't seem to throw it off as I hoped I should.	"I got tired and run down while Walter was ill, and I don't seem to throw it off as I hoped I should.
4054_11077_000006_000003	Don't you think so yourself?"	Don't you think so yourself?"
4054_11077_000007_000000	"Yes, I do," Dr. Carr admitted.	"Yes, I do," dr Carr admitted.
4054_11077_000008_000001	But if you will let me have Katy, Dr. Carr, it will settle all my difficulties.	But if you will let me have Katy, dr Carr, it will settle all my difficulties.
4054_11077_000008_000003	I do hope you will consent."	I do hope you will consent."
4054_11077_000009_000000	"How long do you mean to be away?" asked Dr. Carr, divided between pleasure at these compliments to Katy and dismay at the idea of losing her.	"How long do you mean to be away?" asked dr Carr, divided between pleasure at these compliments to Katy and dismay at the idea of losing her.
4054_11077_000010_000000	"About a year, I think.	"About a year, I think.
4054_11077_000010_000001	My plans are rather vague as yet; but my idea was to spend a few weeks in Scotland and England first,--I have some cousins in London who will be good to us; and an old friend of mine married a gentleman who lives on the Isle of Wight; perhaps we might go there.	My plans are rather vague as yet; but my idea was to spend a few weeks in Scotland and England first,--I have some cousins in London who will be good to us; and an old friend of mine married a gentleman who lives on the Isle of Wight; perhaps we might go there.
4054_11077_000010_000002	Then we could cross over to France and visit Paris and a few other places; and before it gets cold go down to Nice, and from there to Italy.	Then we could cross over to France and visit Paris and a few other places; and before it gets cold go down to Nice, and from there to Italy.
4054_11077_000010_000003	Katy would like to see Italy.	Katy would like to see Italy.
4054_11077_000010_000004	Don't you think so?"	Don't you think so?"
4054_11077_000011_000000	"I dare say she would," said Dr. Carr, with a smile.	"I dare say she would," said dr Carr, with a smile.
4054_11077_000011_000001	"She would be a queer girl if she didn't."	"She would be a queer girl if she didn't."
4054_11077_000012_000003	Then toward spring I should like to go to Florence and Venice, and visit the Italian lakes and Switzerland in the early summer. But all this depends on your letting Katy go.	Then toward spring I should like to go to Florence and Venice, and visit the Italian lakes and Switzerland in the early summer. But all this depends on your letting Katy go.
4054_11077_000012_000004	If you decide against it, I shall give the whole thing up.	If you decide against it, I shall give the whole thing up.
