1053_289242_000000_000000	"Oh, dear, no, your excellency, unless you intend to commit suicide.	"Oh, dear, no, your excellency, unless you intend to commit suicide.	false	0	2.31	-1
1053_289242_000000_000001	Pay and eat."	Pay and eat."	false	2.31	2.94	100
1053_289242_000001_000000	"And what am I to pay with, brute?" said Danglars, enraged.	"And what am I to pay with, brute?" said Danglars, enraged.	false	2.94	5.25	17.130785
1053_289242_000001_000001	"Do you suppose I carry 100,000 francs in my pocket?"	"Do you suppose I carry one hundred thousand francs in my pocket?"	false	5.25	7.59	17
1053_289242_000002_000000	"Your excellency has 5,050,000 francs in your pocket; that will be fifty fowls at 100,000 francs apiece, and half a fowl for the 50,000."	"Your excellency has five million fifty thousand francs in your pocket; that will be fifty fowls at one hundred thousand francs apiece, and half a fowl for the fifty thousand."	false	7.59	9.57	18.205242
1053_289242_000003_000000	Danglars shuddered.	Danglars shuddered.	false	9.57	9.96	1
1053_289242_000003_000001	The bandage fell from his eyes, and he understood the joke, which he did not think quite so stupid as he had done just before.	The bandage fell from his eyes, and he understood the joke, which he did not think quite so stupid as he had done just before.	false	9.96	10.02	8
1053_289242_000003_000002	"Come," he said, "if I pay you the 100,000 francs, will you be satisfied, and allow me to eat at my ease?"	"Come," he said, "if I pay you the one hundred thousand francs, will you be satisfied, and allow me to eat at my ease?"	false	10.02	10.08	-20
1053_289242_000004_000000	"Certainly," said Peppino.	"Certainly," said Peppino.	false	10.08	10.11	-20
1053_289242_000005_000000	"But how can I pay them?"	"But how can I pay them?"	false	10.11	10.11	
1053_289242_000006_000000	"Oh, nothing easier; you have an account open with Messrs.	"Oh, nothing easier; you have an account open with Messrs.	false	10.11	10.14	-20
1053_289242_000006_000001	Thomson & French, Via dei Banchi, Rome; give me a draft for 4,998 louis on these gentlemen, and our banker shall take it." Danglars thought it as well to comply with a good grace, so he took the pen, ink, and paper Peppino offered him, wrote the draft, and signed it.	Thomson and French, Via dei Banchi, Rome; give me a draft for four thousand nine hundred ninety eight louis on these gentlemen, and our banker shall take it." Danglars thought it as well to comply with a good grace, so he took the pen, ink, and paper Peppino offered him, wrote the draft, and signed it.	false	10.14	18.63	19.435062
1053_289242_000006_000002	"Here," he said, "here is a draft at sight."	"Here," he said, "here is a draft at sight."	false	18.63	19.08	12
1053_289242_000007_000000	"And here is your fowl." Danglars sighed while he carved the fowl; it appeared very thin for the price it had cost.	"And here is your fowl." Danglars sighed while he carved the fowl; it appeared very thin for the price it had cost.	false	19.08	20.16	21.318525
