688_1070_000001_000000	CHAPTER XXXIV	CHAPTER thirty four
688_1070_000002_000000	THE ODDS AND ENDS	THE ODDS AND ENDS
688_1070_000003_000000	Of Doctor Walker's sensational escape that night to South America, of the recovery of over a million dollars in cash and securities in the safe from the chimney room--the papers have kept the public well informed.	Of Doctor Walker's sensational escape that night to South America, of the recovery of over a million dollars in cash and securities in the safe from the chimney room-the papers have kept the public well informed.
688_1070_000003_000001	Of my share in discovering the secret chamber they have been singularly silent.	Of my share in discovering the secret chamber they have been singularly silent.
688_1070_000003_000002	The inner history has never been told.	The inner history has never been told.
688_1070_000004_000000	When Halsey learned the truth, he insisted on going the next morning, weak as he was, to Louise, and by night she was at Sunnyside, under Gertrude's particular care, while her mother had gone to Barbara Fitzhugh's.	When Halsey learned the truth, he insisted on going the next morning, weak as he was, to Louise, and by night she was at Sunnyside, under Gertrude's particular care, while her mother had gone to Barbara Fitzhugh's.
688_1070_000005_000000	What Halsey said to Mrs. Armstrong I never knew, but that he was considerate and chivalrous I feel confident.	What Halsey said to mrs Armstrong I never knew, but that he was considerate and chivalrous I feel confident.
688_1070_000006_000000	He and Louise had no conversation together until that night.	He and Louise had no conversation together until that night.
688_1070_000006_000001	Gertrude and Alex--I mean Jack--had gone for a walk, although it was nine o'clock, and anybody but a pair of young geese would have known that dew was falling, and that it is next to impossible to get rid of a summer cold.	Gertrude and Alex-I mean Jack-had gone for a walk, although it was nine o'clock, and anybody but a pair of young geese would have known that dew was falling, and that it is next to impossible to get rid of a summer cold.
688_1070_000007_000000	At half after nine, growing weary of my own company, I went downstairs to find the young people.	At half after nine, growing weary of my own company, I went downstairs to find the young people.
688_1070_000007_000001	At the door of the living-room I paused. Gertrude and Jack had returned and were there, sitting together on a divan, with only one lamp lighted.	At the door of the living room I paused. Gertrude and Jack had returned and were there, sitting together on a divan, with only one lamp lighted.
688_1070_000007_000002	They did not see or hear me, and I beat a hasty retreat to the library.	They did not see or hear me, and I beat a hasty retreat to the library.
688_1070_000007_000003	But here again I was driven back. Louise was sitting in a deep chair, looking the happiest I had ever seen her, with Halsey on the arm of the chair, holding her close.	But here again I was driven back. Louise was sitting in a deep chair, looking the happiest I had ever seen her, with Halsey on the arm of the chair, holding her close.
688_1070_000008_000000	It was no place for an elderly spinster.	It was no place for an elderly spinster.
688_1070_000008_000001	I retired to my upstairs sitting-room and got out Eliza Klinefelter's lavender slippers.	I retired to my upstairs sitting room and got out Eliza Klinefelter's lavender slippers.
688_1070_000008_000002	Ah, well, the foster motherhood would soon have to be put away in camphor again.	Ah, well, the foster motherhood would soon have to be put away in camphor again.
688_1070_000009_000000	The next day, by degrees, I got the whole story.	The next day, by degrees, I got the whole story.
688_1070_000010_000000	Paul Armstrong had a besetting evil--the love of money.	Paul Armstrong had a besetting evil-the love of money.
688_1070_000010_000001	Common enough, but he loved money, not for what it would buy, but for its own sake. An examination of the books showed no irregularities in the past year since John had been cashier, but before that, in the time of Anderson, the old cashier, who had died, much strange juggling had been done with the records.	Common enough, but he loved money, not for what it would buy, but for its own sake. An examination of the books showed no irregularities in the past year since john had been cashier, but before that, in the time of Anderson, the old cashier, who had died, much strange juggling had been done with the records.
688_1070_000010_000002	The railroad in New Mexico had apparently drained the banker's private fortune, and he determined to retrieve it by one stroke.	The railroad in New Mexico had apparently drained the banker's private fortune, and he determined to retrieve it by one stroke.
688_1070_000010_000003	This was nothing less than the looting of the bank's securities, turning them into money, and making his escape.	This was nothing less than the looting of the bank's securities, turning them into money, and making his escape.
688_1070_000011_000000	But the law has long arms.	But the law has long arms.
688_1070_000011_000001	Paul Armstrong evidently studied the situation carefully.	Paul Armstrong evidently studied the situation carefully.
688_1070_000011_000002	Just as the only good Indian is a dead Indian, so the only safe defaulter is a dead defaulter.	Just as the only good Indian is a dead Indian, so the only safe defaulter is a dead defaulter.
688_1070_000011_000003	He decided to die, to all appearances, and when the hue and cry subsided, he would be able to enjoy his money almost anywhere he wished.	He decided to die, to all appearances, and when the hue and cry subsided, he would be able to enjoy his money almost anywhere he wished.
688_1070_000012_000000	The first necessity was an accomplice.	The first necessity was an accomplice.
688_1070_000012_000001	The connivance of Doctor Walker was suggested by his love for Louise.	The connivance of Doctor Walker was suggested by his love for Louise.
688_1070_000012_000002	The man was unscrupulous, and with the girl as a bait, Paul Armstrong soon had him fast.	The man was unscrupulous, and with the girl as a bait, Paul Armstrong soon had him fast.
688_1070_000012_000003	The plan was apparently the acme of simplicity: a small town in the west, an attack of heart disease, a body from a medical college dissecting-room shipped in a trunk to Doctor Walker by a colleague in San Francisco, and palmed off for the supposed dead banker.	The plan was apparently the acme of simplicity: a small town in the west, an attack of heart disease, a body from a medical college dissecting room shipped in a trunk to Doctor Walker by a colleague in San Francisco, and palmed off for the supposed dead banker.
688_1070_000012_000004	What was simpler?	What was simpler?
688_1070_000013_000000	The woman, Nina Carrington, was the cog that slipped.	The woman, Nina Carrington, was the cog that slipped.
688_1070_000013_000001	What she only suspected, what she really knew, we never learned.	What she only suspected, what she really knew, we never learned.
688_1070_000013_000002	She was a chambermaid in the hotel at C--, and it was evidently her intention to blackmail Doctor Walker.	She was a chambermaid in the hotel at C-, and it was evidently her intention to blackmail Doctor Walker.
688_1070_000013_000004	He denied the whole thing, and she went to Halsey.	He denied the whole thing, and she went to Halsey.
688_1070_000014_000000	It was this that had taken Halsey to the doctor the night he disappeared.	It was this that had taken Halsey to the doctor the night he disappeared.
688_1070_000014_000001	He accused the doctor of the deception, and, crossing the lawn, had said something cruel to Louise.	He accused the doctor of the deception, and, crossing the lawn, had said something cruel to Louise.
688_1070_000014_000002	Then, furious at her apparent connivance, he had started for the station.	Then, furious at her apparent connivance, he had started for the station.
688_1070_000014_000003	Doctor Walker and Paul Armstrong--the latter still lame where I had shot him--hurried across to the embankment, certain only of one thing.	Doctor Walker and Paul Armstrong-the latter still lame where I had shot him-hurried across to the embankment, certain only of one thing.
688_1070_000014_000004	Halsey must not tell the detective what he suspected until the money had been removed from the chimney-room.	Halsey must not tell the detective what he suspected until the money had been removed from the chimney room.
688_1070_000014_000005	They stepped into the road in front of the car to stop it, and fate played into their hands.	They stepped into the road in front of the car to stop it, and fate played into their hands.
688_1070_000014_000006	The car struck the train, and they had only to dispose of the unconscious figure in the road.	The car struck the train, and they had only to dispose of the unconscious figure in the road.
688_1070_000014_000007	This they did as I have told.	This they did as I have told.
688_1070_000014_000008	For three days Halsey lay in the box car, tied hand and foot, suffering tortures of thirst, delirious at times, and discovered by a tramp at Johnsville only in time to save his life.	For three days Halsey lay in the box car, tied hand and foot, suffering tortures of thirst, delirious at times, and discovered by a tramp at Johnsville only in time to save his life.
688_1070_000015_000000	To go back to Paul Armstrong.	To go back to Paul Armstrong.
688_1070_000015_000001	At the last moment his plans had been frustrated.	At the last moment his plans had been frustrated.
688_1070_000015_000002	Sunnyside, with its hoard in the chimney-room, had been rented without his knowledge!	Sunnyside, with its hoard in the chimney room, had been rented without his knowledge!
688_1070_000015_000003	Attempts to dislodge me having failed, he was driven to breaking into his own house.	Attempts to dislodge me having failed, he was driven to breaking into his own house.
688_1070_000015_000004	The ladder in the chute, the burning of the stable and the entrance through the card-room window--all were in the course of a desperate attempt to get into the chimney-room.	The ladder in the chute, the burning of the stable and the entrance through the card room window-all were in the course of a desperate attempt to get into the chimney room.
688_1070_000016_000000	Louise and her mother had, from the first, been the great stumbling-blocks.	Louise and her mother had, from the first, been the great stumbling blocks.
688_1070_000016_000001	The plan had been to send Louise away until it was too late for her to interfere, but she came back to the hotel at C-- just at the wrong time.	The plan had been to send Louise away until it was too late for her to interfere, but she came back to the hotel at C- just at the wrong time.
688_1070_000016_000002	There was a terrible scene.	There was a terrible scene.
688_1070_000016_000003	The girl was told that something of the kind was necessary, that the bank was about to close and her stepfather would either avoid arrest and disgrace in this way, or kill himself.	The girl was told that something of the kind was necessary, that the bank was about to close and her stepfather would either avoid arrest and disgrace in this way, or kill himself.
688_1070_000016_000005	She had no love for her stepfather, but her devotion to her mother was entire, self-sacrificing.	She had no love for her stepfather, but her devotion to her mother was entire, self sacrificing.
688_1070_000016_000006	Forced into acquiescence by her mother's appeals, overwhelmed by the situation, the girl consented and fled.	Forced into acquiescence by her mother's appeals, overwhelmed by the situation, the girl consented and fled.
688_1070_000017_000000	From somewhere in Colorado she sent an anonymous telegram to Jack Bailey at the Traders' Bank.	From somewhere in Colorado she sent an anonymous telegram to Jack Bailey at the Traders' Bank.
688_1070_000017_000001	Trapped as she was, she did not want to see an innocent man arrested.	Trapped as she was, she did not want to see an innocent man arrested.
688_1070_000017_000002	The telegram, received on Thursday, had sent the cashier to the bank that night in a frenzy.	The telegram, received on Thursday, had sent the cashier to the bank that night in a frenzy.
688_1070_000018_000000	Louise arrived at Sunnyside and found the house rented.	Louise arrived at Sunnyside and found the house rented.
688_1070_000018_000001	Not knowing what to do, she sent for Arnold at the Greenwood Club, and told him a little, not all.	Not knowing what to do, she sent for Arnold at the Greenwood Club, and told him a little, not all.
688_1070_000018_000002	She told him that there was something wrong, and that the bank was about to close.	She told him that there was something wrong, and that the bank was about to close.
688_1070_000018_000003	That his father was responsible.	That his father was responsible.
688_1070_000018_000004	Of the conspiracy she said nothing.	Of the conspiracy she said nothing.
688_1070_000018_000005	To her surprise, Arnold already knew, through Bailey that night, that things were not right.	To her surprise, Arnold already knew, through Bailey that night, that things were not right.
688_1070_000018_000006	Moreover, he suspected what Louise did not, that the money was hidden at Sunnyside. He had a scrap of paper that indicated a concealed room somewhere.	Moreover, he suspected what Louise did not, that the money was hidden at Sunnyside. He had a scrap of paper that indicated a concealed room somewhere.
688_1070_000019_000000	His inherited cupidity was aroused.	His inherited cupidity was aroused.
688_1070_000020_000000	Bailey was almost desperate.	Bailey was almost desperate.
688_1070_000020_000001	He decided to go west and find Paul Armstrong, and to force him to disgorge.	He decided to go west and find Paul Armstrong, and to force him to disgorge.
688_1070_000020_000002	But the catastrophe at the bank occurred sooner than he had expected.	But the catastrophe at the bank occurred sooner than he had expected.
688_1070_000020_000003	On the moment of starting west, at Andrews Station, where Mr. Jamieson had located the car, he read that the bank had closed, and, going back, surrendered himself.	On the moment of starting west, at Andrews Station, where mr Jamieson had located the car, he read that the bank had closed, and, going back, surrendered himself.
688_1070_000021_000000	John Bailey had known Paul Armstrong intimately.	john Bailey had known Paul Armstrong intimately.
688_1070_000021_000001	He did not believe that the money was gone; in fact, it was hardly possible in the interval since the securities had been taken.	He did not believe that the money was gone; in fact, it was hardly possible in the interval since the securities had been taken.
688_1070_000021_000002	Where was it?	Where was it?
688_1070_000021_000003	And from some chance remark let fall some months earlier by Arnold Armstrong at a dinner, Bailey felt sure there was a hidden room at Sunnyside.	And from some chance remark let fall some months earlier by Arnold Armstrong at a dinner, Bailey felt sure there was a hidden room at Sunnyside.
688_1070_000021_000006	His smooth upper lip had been sufficient disguise, with his change of clothes, and a hair-cut by a country barber.	His smooth upper lip had been sufficient disguise, with his change of clothes, and a hair cut by a country barber.
688_1070_000022_000000	So it was Alex, Jack Bailey, who had been our ghost.	So it was Alex, Jack Bailey, who had been our ghost.
