2512_157480_000000_000000	"Last one up is a Cocoa baby!" cried Raggedy Ann, as she scrambled to her feet.	"Last one up is a Cocoa baby!" cried Raggedy Ann, as she scrambled to her feet.	false	5.1	11.82	20.658321
2512_157480_000000_000001	And with her skirts in her rag hands she went racing up the stairs to where the rest of the dollies stood laughing.	And with her skirts in her rag hands she went racing up the stairs to where the rest of the dollies stood laughing.	false	11.82	20.04	23.667145
2512_157480_000001_000000	"Hurrah, for Raggedy Ann!" cried Raggedy Andy generously.	"Hurrah, for Raggedy Ann!" cried Raggedy Andy generously.	false	20.04	23.07	18.780487
2512_157480_000001_000001	"She won!"	"She won!"	false	23.07	23.67	16
2512_157480_000002_000000	[Illustration: Raggedy Ann racing up the stairs]	[Illustration: Raggedy Ann racing up the stairs]	false	23.67	25.77	22.243807
2512_157480_000003_000000	[Illustration: Listening to the seashell]	[Illustration: Listening to the seashell]	false	25.77	26.79	57
2512_157480_000004_000000	[Illustration: The Singing Shell]	[Illustration: The Singing Shell]	false	26.79	27.78	18
2512_157480_000005_000000	THE SINGING SHELL	THE SINGING SHELL	false	27.78	28.425	8
2512_157480_000006_000000	For years and years the beautiful shell had been upon the floor in Gran'ma's front room.	For years and years the beautiful shell had been upon the floor in Gran'ma's front room.	true	28.425	32.92	17
2512_157480_000006_000001	It was a large shell with many points upon it. These were coarse and rough, but the shell was most beautiful inside.	It was a large shell with many points upon it. These were coarse and rough, but the shell was most beautiful inside.	true	33.29	39.34	25.008402
2512_157480_000007_000000	Marcella had seen the shell time and time again and often admired its lovely coloring, which could be seen when one looked inside the shell.	Marcella had seen the shell time and time again and often admired its lovely coloring, which could be seen when one looked inside the shell.	true	39.95	46.99	22
2512_157480_000008_000000	So one day, Gran'ma gave the beautiful shell to Marcella to have for her very own, up in the nursery.	So one day, Gran'ma gave the beautiful shell to Marcella to have for her very own, up in the nursery.	true	47.51	52.35	15
2512_157480_000009_000000	"It will be nice to place before the nursery door so the wind will not blow the door to and pinch anyone's fingers!" Gran'ma laughed.	"It will be nice to place before the nursery door so the wind will not blow the door to and pinch anyone's fingers!" Gran'ma laughed.	false	52.35	59.05	21.54219
2512_157480_000010_000000	So Marcella brought the shell home and placed it in front of the nursery door.	So Marcella brought the shell home and placed it in front of the nursery door.	true	59.84	63.46	19.194847
2512_157480_000010_000001	Here the dolls saw it that night, when all the house was still, and stood about it wondering what kind of toy it might be.	Here the dolls saw it that night, when all the house was still, and stood about it wondering what kind of toy it might be.	true	63.92	69.73	22.220888
2512_157480_000011_000000	"It seems to be nearly all mouth!" said Henny, the Dutch doll.	"It seems to be nearly all mouth!" said Henny, the Dutch doll.	true	71.03	74.08	24.895924
2512_157480_000011_000001	"Perhaps it can talk."	"Perhaps it can talk."	true	74.9	76.39	24.84486
2512_157480_000012_000000	"It has teeth!" the French doll pointed out.	"It has teeth!" the French doll pointed out.	true	77.21	79.305	26.694916
2512_157480_000012_000001	"It may bite!"	"It may bite!"	true	79.305	80.32	25.8535
2512_157480_000013_000000	"I do not believe it will bite," Raggedy Andy mused, as he got down upon his hands and knees and looked up into the shell.	"I do not believe it will bite," Raggedy Andy mused, as he got down upon his hands and knees and looked up into the shell.	true	81.08	87.28	21
2512_157480_000013_000001	"Marcella would not have it up here if it would bite!" And, saying this, Raggedy Andy put his rag arm into the lovely shell's mouth.	"Marcella would not have it up here if it would bite!" And, saying this, Raggedy Andy put his rag arm into the lovely shell's mouth.	true	88.16	96.25	22.947956
2512_157480_000014_000000	"It doesn't bite!	"It doesn't bite!	true	96.68	97.56	23.923882
2512_157480_000014_000001	I knew it wouldn't!" he cried.	I knew it wouldn't!" he cried.	true	97.56	98.79	12
2512_157480_000014_000002	"Just feel how smooth it is inside!"	"Just feel how smooth it is inside!"	true	98.79	100.66	20.758448
2512_157480_000015_000000	All the dolls felt and were surprised to find it polished so highly inside, while the outside was so coarse and rough.	All the dolls felt and were surprised to find it polished so highly inside, while the outside was so coarse and rough.	true	101.18	107.59	23.787502
2512_157480_000015_000001	With the help of Uncle Clem and Henny, Raggedy Andy turned the shell upon its back, so that all the dolls might look in.	With the help of Uncle Clem and Henny, Raggedy Andy turned the shell upon its back, so that all the dolls might look in.	true	108.08	114.13	23.677992
2512_157480_000016_000000	The coloring consisted of dainty pinks, creamy whites and pale blues, all running together just as the coloring in an opal runs from one shade into another.	The coloring consisted of dainty pinks, creamy whites and pale blues, all running together just as the coloring in an opal runs from one shade into another.	true	115.31	123.88	22.009304
2512_157480_000016_000001	Raggedy Andy, stooping over to look further up inside the pretty shell, heard something.	Raggedy Andy, stooping over to look further up inside the pretty shell, heard something.	true	124.31	129.48	22.020746
2512_157480_000017_000000	"It's whispering!" he said, as he raised up in surprise.	"It's whispering!" he said, as he raised up in surprise.	true	129.48	132.31	23.715837
2512_157480_000018_000000	All the dolls took turns putting their ears to the mouth of the beautiful shell.	All the dolls took turns putting their ears to the mouth of the beautiful shell.	true	133.31	137.11	23.79773
2512_157480_000018_000001	Yes, truly it whispered, but they could not catch just what it said.	Yes, truly it whispered, but they could not catch just what it said.	true	137.45	141.01	24.765022
2512_157480_000019_000000	Finally Raggedy Andy suggested that all the dolls lie down upon the floor directly before the shell and keep very quiet.	Finally Raggedy Andy suggested that all the dolls lie down upon the floor directly before the shell and keep very quiet.	true	141.65	148	22.206152
2512_157480_000020_000000	"If we don't make a sound we may be able to hear what it says!" he explained.	"If we don't make a sound we may be able to hear what it says!" he explained.	true	148.46	152.08	23.550747
2512_157480_000021_000000	So the dolls lay down, placing themselves flat upon the floor directly in front of the shell and where they could see and admire its beautiful coloring.	So the dolls lay down, placing themselves flat upon the floor directly in front of the shell and where they could see and admire its beautiful coloring.	true	153.29	160.84	23
2512_157480_000022_000000	Now the dolls could be very, very quiet when they really wished to be, and it was easy for them to hear the faint whispering of the shell.	Now the dolls could be very, very quiet when they really wished to be, and it was easy for them to hear the faint whispering of the shell.	false	161.78	168.76	21
2512_157480_000023_000000	This is the story the shell told the dolls in the nursery that night:	This is the story the shell told the dolls in the nursery that night:	true	169.43	173.05	20.655973
2512_157480_000024_000000	"A long, long time ago, I lived upon the yellow sand, deep down beneath the blue, blue waters of the ocean.	"A long, long time ago, I lived upon the yellow sand, deep down beneath the blue, blue waters of the ocean.	true	173.57	179.92	17
2512_157480_000024_000001	Pretty silken sea weeds grew around my home and reached their waving branches up, up towards the top of the water.	Pretty silken sea weeds grew around my home and reached their waving branches up, up towards the top of the water.	true	180.5	186.48	22.30326
2512_157480_000025_000000	[Illustration: Everyone listens]	[Illustration: Everyone listens]	false	186.48	187.92	8.976951
2512_157480_000026_000000	"Through the pretty sea weeds, fishes of pretty colors and shapes darted here and there, playing at their games.	"Through the pretty sea weeds, fishes of pretty colors and shapes darted here and there, playing at their games.	true	187.92	193.03	20
2512_157480_000027_000000	"It was still and quiet 'way down where I lived, for even if the ocean roared and pounded itself into an angry mass of tumbling waves up above, this never disturbed the calm waters down where I lived.	"It was still and quiet 'way down where I lived, for even if the ocean roared and pounded itself into an angry mass of tumbling waves up above, this never disturbed the calm waters down where I lived.	false	193.97	204.64	20.811777
2512_157480_000028_000000	"Many times, little fishes or other tiny sea people came and hid within my pretty house when they were being pursued by larger sea creatures. And it always made me very happy to give them this protection.	"Many times, little fishes or other tiny sea people came and hid within my pretty house when they were being pursued by larger sea creatures. And it always made me very happy to give them this protection.	false	205.07	216.04	21.056631
2512_157480_000029_000000	"They would stay inside until I whispered that the larger creature had gone, then they would leave me and return to their play.	"They would stay inside until I whispered that the larger creature had gone, then they would leave me and return to their play.	true	216.86	222.7	22.82029
2512_157480_000030_000000	"Pretty little sea horses with slender, curving bodies often went sailing above me, or would come to rest upon my back.	"Pretty little sea horses with slender, curving bodies often went sailing above me, or would come to rest upon my back.	true	223.64	230.17	20.898191
2512_157480_000030_000001	It was nice to lie and watch the tiny things curl their little tails about the sea weed and talk together, for the sea horses like one another and are gentle and kind to each other, sharing their food happily and smoothing their little ones with their cunning noses.	It was nice to lie and watch the tiny things curl their little tails about the sea weed and talk together, for the sea horses like one another and are gentle and kind to each other, sharing their food happily and smoothing their little ones with their cunning noses.	true	230.45	242.71	18
2512_157480_000031_000000	"But one day a diver leaped over the side of a boat and came swimming head-first down, down to where I lay.	"But one day a diver leaped over the side of a boat and came swimming head first down, down to where I lay.	true	243.41	248.89	19
2512_157480_000031_000001	My!	My!	true	249.23	249.72	17.80346
2512_157480_000031_000002	How the tiny sea creatures scurried to hide from him.	How the tiny sea creatures scurried to hide from him.	true	249.72	252.19	21
2512_157480_000031_000003	He took me within his hand and, giving his feet a thump upon the yellow sand, rose with me to the surface.	He took me within his hand and, giving his feet a thump upon the yellow sand, rose with me to the surface.	true	252.92	259.36	23.588984
2512_157480_000032_000000	"He poured the water from me, and out came all the little creatures who had been hiding there!"	"He poured the water from me, and out came all the little creatures who had been hiding there!"	true	259.52	263.44	23
2512_157480_000033_000000	Raggedy Andy wiggled upon the floor, he was so interested.	Raggedy Andy wiggled upon the floor, he was so interested.	true	264.02	267.1	19.982222
