7783_107487_000000_000000	"Who do you suppose, Bunny, my boy?" she asked with a grin.	"Who do you suppose, Bunny, my boy?" she asked with a grin.	false	0	4.08	22.22091
7783_107487_000000_000001	"Bunderby?"	"Bunderby?"	false	4.08	4.26	21.37567
7783_107487_000001_000000	"No," said I.	"No," said i	false	4.26	4.77	20
7783_107487_000002_000000	"You've guessed right," said Henriette.	"You've guessed right," said Henriette.	false	4.77	5.64	18.145638
7783_107487_000003_000000	As a postscript let me say that until he reads this I don't believe Tommy Dare ever guessed what a successful joke he perpetrated upon Mrs. Shadd and the fair Henriette.	As a postscript let me say that until he reads this I don't believe Tommy Dare ever guessed what a successful joke he perpetrated upon mrs Shadd and the fair Henriette.	false	5.64	12.09	23.87035
7783_107487_000003_000001	Even then I doubt if he realizes what a good one it was on--everybody.	Even then I doubt if he realizes what a good one it was on-everybody.	false	12.09	16.11	21.335827
7783_107487_000004_000000	XI	XI	false	16.11	17.91	18.1601
7783_107487_000005_000000	THE ADVENTURE OF MRS.	THE ADVENTURE OF mrs	true	17.91	19.2	16
7783_107487_000005_000001	INNITT'S COOK	INNITT'S COOK	false	19.2	20.47	23.985409
7783_107487_000006_000000	"It is curious, Bunny," said Henriette the other morning after an unusually late breakfast, "to observe by what qualities certain of these Newport families have arrived, as the saying is.	"It is curious, Bunny," said Henriette the other morning after an unusually late breakfast, "to observe by what qualities certain of these Newport families have arrived, as the saying is.	true	21.17	31.54	22.399717
7783_107487_000006_000001	The Gasters of course belong at the top by patent right.	The Gasters of course belong at the top by patent right.	true	31.7	34.81	24.820356
7783_107487_000006_000002	Having invented American society, or at least the machine that at present controls it, they are entitled to all the royalties it brings in.	Having invented American society, or at least the machine that at present controls it, they are entitled to all the royalties it brings in.	true	35.06	42.46	22.245096
7783_107487_000006_000003	The Rockerbilts got there all of a sudden by the sheer lavishness of their entertainment and their ability to give bonds to keep it up.	The Rockerbilts got there all of a sudden by the sheer lavishness of their entertainment and their ability to give bonds to keep it up.	true	42.89	50.02	22.461136
7783_107487_000006_000004	The Van Varick Shadds flowed in through their unquestioned affiliation with the ever-popular Delaware Shadds and the Roe-Shadds of the Hudson, two of the oldest and most respected families of the United States, reinforced by the Napoleonic qualities of the present Mrs. Shadd in the doing of unexpected things.	The Van Varick Shadds flowed in through their unquestioned affiliation with the ever popular Delaware Shadds and the Roe Shadds of the Hudson, two of the oldest and most respected families of the United States, reinforced by the Napoleonic qualities of the present mrs Shadd in the doing of unexpected things.	false	50.39	68.32	21.84777
7783_107487_000006_000005	The Gullets, thanks to the fact that Mrs. Gullet is the acknowledged mother-in-law of three British dukes, two Italian counts, and a French marquis, are safely anchored in the social haven where they would be, and the rumor that Mrs. Gushington-Andrews has written a book that is a trifle risque fixes her firmly in the social constellation--but the Innitts with only eighty thousand dollars per annum, the Dedbroke-Hickses with nothing a year, the Oliver-Sloshingtons with an income of judgments, the study of their arrival is mighty interesting."	The Gullets, thanks to the fact that mrs Gullet is the acknowledged mother in law of three British dukes, two Italian counts, and a French marquis, are safely anchored in the social haven where they would be, and the rumor that mrs Gushington Andrews has written a book that is a trifle risque fixes her firmly in the social constellation-but the Innitts with only eighty thousand dollars per annum, the Dedbroke Hickses with nothing a year, the Oliver Sloshingtons with an income of judgments, the study of their arrival is mighty interesting."	false	68.87	98.92	21.433435
7783_107487_000007_000000	"It doesn't interest me much," quoth I. "Indeed, this American smart set don't appeal to me either for its smartness or its setness."	"It doesn't interest me much," quoth i "Indeed, this American smart set don't appeal to me either for its smartness or its setness."	false	99.41	106.39	21.827248
7783_107487_000008_000000	"Bunny!" cried Henriette, with a silvery ripple of laughter.	"Bunny!" cried Henriette, with a silvery ripple of laughter.	true	106.76	110.17	23.321722
7783_107487_000008_000001	"Do be careful.	"Do be careful.	true	110.3	111.435	22.942
7783_107487_000008_000002	An epigram from you?	An epigram from you?	true	111.435	112.78	21.498436
7783_107487_000008_000003	My dear boy, you'll be down with brain-fever if you don't watch out."	My dear boy, you'll be down with brain fever if you don't watch out."	true	112.88	116.22	22.918991
7783_107487_000009_000000	"Humph!" said I, with a shrug of my shoulders.	"Humph!" said I, with a shrug of my shoulders.	false	116.22	119.38	20.424833
7783_107487_000009_000001	"Neither you nor my dear old friend Raffles ever gave me credit for any brains.	"Neither you nor my dear old friend Raffles ever gave me credit for any brains.	true	119.6	124.39	20
7783_107487_000009_000002	I have a few, however, which I use when occasion demands," I drawled.	I have a few, however, which I use when occasion demands," I drawled.	true	124.49	128.56	19.87584
7783_107487_000010_000000	"Well, don't waste them here, Bunny," laughed Henriette.	"Well, don't waste them here, Bunny," laughed Henriette.	true	128.9	131.17	20.591475
7783_107487_000010_000001	"Save 'em for some place where they'll be appreciated.	"Save 'em for some place where they'll be appreciated.	false	131.42	134.08	22.0003
7783_107487_000010_000002	Maybe in your old age you'll be back in dear old London contributing to _Punch_ if you are careful of your wits.	Maybe in your old age you'll be back in dear old London contributing to underscore Punch underscore if you are careful of your wits.	false	134.21	139.66	20
7783_107487_000010_000003	But how do you suppose the Oliver-Sloshingtons ever got in here?"	But how do you suppose the Oliver Sloshingtons ever got in here?"	true	140.12	143.41	21.091166
7783_107487_000011_000000	"He holds the divorce record I believe," said I. "He's been married to four social leaders already, hasn't he?"	"He holds the divorce record I believe," said i "He's been married to four social leaders already, hasn't he?"	true	143.87	149.74	20.808907
7783_107487_000012_000000	"Yes--"	"Yes-"	true	149.93	150.7	19.87574
7783_107487_000013_000000	"Well, he got into the swim with each marriage--so he's got a four-ply grip," said I.	"Well, he got into the swim with each marriage-so he's got a four ply grip," said i	true	150.83	155.14	21
7783_107487_000014_000000	"And the Dedbroke-Hickses?" asked Henriette.	"And the Dedbroke Hickses?" asked Henriette.	true	155.63	158.41	22.342737
7783_107487_000014_000001	"How do you account for them?"	"How do you account for them?"	true	158.48	159.85	20.226765
7783_107487_000015_000000	"Most attractive diners and weekenders," said I. "They got all the laughs at your dinner to the Archbishop of Decanterbury, and their man Smathers tells me they're the swellest things going at week-end parties because of his ingenuity at cotillion leading and her undeniable charms as a flirt.	"Most attractive diners and weekenders," said i "They got all the laughs at your dinner to the Archbishop of Decanterbury, and their man Smathers tells me they're the swellest things going at week end parties because of his ingenuity at cotillion leading and her undeniable charms as a flirt.	false	160.4	175.845	21
7783_107487_000015_000001	By Jove! she's that easy with men that even I tremble with anxiety whenever she comes into the house."	By Jove! she's that easy with men that even I tremble with anxiety whenever she comes into the house."	true	175.845	181.63	20
7783_107487_000016_000000	"But how do they live?--they haven't a cent to their names," said Henriette.	"But how do they live?--they haven't a cent to their names," said Henriette.	true	182.15	186.37	21.188282
7783_107487_000017_000000	"Simplicity itself," said I. "He is dressed by his tailors and she by her dressmaker; and as for food, they take home a suit-case full of it from every house-party they attend.	"Simplicity itself," said i "He is dressed by his tailors and she by her dressmaker; and as for food, they take home a suit case full of it from every house party they attend.	true	186.47	196.6	21.44228
7783_107487_000017_000001	They're so gracious to the servants that they don't have to think of tips; and as for Smathers, and Mrs. Dedbroke-Hicks's maid, they're paid reporters on the staff of _The Town Tattler_ and are willing to serve for nothing for the opportunities for items the connection gives them."	They're so gracious to the servants that they don't have to think of tips; and as for Smathers, and mrs Dedbroke Hicks's maid, they're paid reporters on the staff of underscore The Town Tattler underscore and are willing to serve for nothing for the opportunities for items the connection gives them."	false	196.85	210.88	21.135857
7783_107487_000018_000000	"Well--I don't envy them in the least," said Henriette.	"Well-I don't envy them in the least," said Henriette.	true	211.4	214.27	22.936152
7783_107487_000018_000001	"Poor things--to be always taking and never giving must be an awful strain, though to be sure their little trolley party out to Tiverton and back was delightful--"	"Poor things-to be always taking and never giving must be an awful strain, though to be sure their little trolley party out to Tiverton and back was delightful-"	false	214.4	222.67	23.402851
7783_107487_000019_000000	"Exactly; and with car-fare and sandwiches, and the champagne supplied free by the importers, for the advertisement, it cost them exactly twelve dollars and was set down as the jolliest affair of the season," said I.	"Exactly; and with car fare and sandwiches, and the champagne supplied free by the importers, for the advertisement, it cost them exactly twelve dollars and was set down as the jolliest affair of the season," said i	true	222.77	234.37	21.489038
7783_107487_000019_000001	"I call that genius of a pretty high order.	"I call that genius of a pretty high order.	true	234.65	236.98	22.1905
7783_107487_000019_000002	I wouldn't pity them if I were you.	I wouldn't pity them if I were you.	true	236.99	238.875	23.015163
