1241_121103_000000_000000	"One!" said the count mysteriously, his eyes fixed on the corpse, disfigured by so awful a death.	"One!" said the count mysteriously, his eyes fixed on the corpse, disfigured by so awful a death.	false	0	7.5	19.481575
1241_121103_000000_000001	Ten minutes afterwards the surgeon and the procureur arrived, the one accompanied by the porter, the other by Ali, and were received by the Abbe Busoni, who was praying by the side of the corpse.	Ten minutes afterwards the surgeon and the procureur arrived, the one accompanied by the porter, the other by Ali, and were received by the Abbe Busoni, who was praying by the side of the corpse.	false	7.5	24.945	19.626305
1241_121103_000001_000000	Chapter 84.	Chapter eighty four.	true	24.945	26.265	17
1241_121103_000001_000001	Beauchamp.	Beauchamp.	true	26.265	26.95	22.508818
1241_121103_000002_000000	The daring attempt to rob the count was the topic of conversation throughout Paris for the next fortnight.	The daring attempt to rob the count was the topic of conversation throughout Paris for the next fortnight.	true	28.25	34.27	19
1241_121103_000002_000001	The dying man had signed a deposition declaring Benedetto to be the assassin.	The dying man had signed a deposition declaring Benedetto to be the assassin.	true	34.76	39.28	16
1241_121103_000002_000002	The police had orders to make the strictest search for the murderer.	The police had orders to make the strictest search for the murderer.	true	39.77	43.3	19
1241_121103_000002_000003	Caderousse's knife, dark lantern, bunch of keys, and clothing, excepting the waistcoat, which could not be found, were deposited at the registry; the corpse was conveyed to the morgue.	Caderousse's knife, dark lantern, bunch of keys, and clothing, excepting the waistcoat, which could not be found, were deposited at the registry; the corpse was conveyed to the morgue.	true	43.52	55.87	20.888475
1241_121103_000002_000004	The count told every one that this adventure had happened during his absence at Auteuil, and that he only knew what was related by the Abbe Busoni, who that evening, by mere chance, had requested to pass the night in his house, to examine some valuable books in his library.	The count told every one that this adventure had happened during his absence at Auteuil, and that he only knew what was related by the Abbe Busoni, who that evening, by mere chance, had requested to pass the night in his house, to examine some valuable books in his library.	false	56.21	71.41	16
1241_121103_000002_000005	Bertuccio alone turned pale whenever Benedetto's name was mentioned in his presence, but there was no reason why any one should notice his doing so.	Bertuccio alone turned pale whenever Benedetto's name was mentioned in his presence, but there was no reason why any one should notice his doing so.	true	71.66	79.81	13
1241_121103_000002_000006	Villefort, being called on to prove the crime, was preparing his brief with the same ardor that he was accustomed to exercise when required to speak in criminal cases.	Villefort, being called on to prove the crime, was preparing his brief with the same ardor that he was accustomed to exercise when required to speak in criminal cases.	true	80.45	90.67	17
1241_121103_000003_000000	But three weeks had already passed, and the most diligent search had been unsuccessful; the attempted robbery and the murder of the robber by his comrade were almost forgotten in anticipation of the approaching marriage of Mademoiselle Danglars to the Count Andrea Cavalcanti.	But three weeks had already passed, and the most diligent search had been unsuccessful; the attempted robbery and the murder of the robber by his comrade were almost forgotten in anticipation of the approaching marriage of Mademoiselle Danglars to the Count Andrea Cavalcanti.	true	91.55	107.86	18
1241_121103_000003_000001	It was expected that this wedding would shortly take place, as the young man was received at the banker's as the betrothed.	It was expected that this wedding would shortly take place, as the young man was received at the banker's as the betrothed.	true	108.26	115.66	21
1241_121103_000003_000002	Letters had been despatched to M. Cavalcanti, as the count's father, who highly approved of the union, regretted his inability to leave Parma at that time, and promised a wedding gift of a hundred and fifty thousand livres.	Letters had been despatched to m Cavalcanti, as the count's father, who highly approved of the union, regretted his inability to leave Parma at that time, and promised a wedding gift of a hundred and fifty thousand livres.	false	116.06	129.6	21
1241_121103_000003_000003	It was agreed that the three millions should be intrusted to Danglars to invest; some persons had warned the young man of the circumstances of his future father-in-law, who had of late sustained repeated losses; but with sublime disinterestedness and confidence the young man refused to listen, or to express a single doubt to the baron.	It was agreed that the three millions should be intrusted to Danglars to invest; some persons had warned the young man of the circumstances of his future father in law, who had of late sustained repeated losses; but with sublime disinterestedness and confidence the young man refused to listen, or to express a single doubt to the baron.	false	129.6	150.1	17
1241_121103_000003_000004	The baron adored Count Andrea Cavalcanti: not so Mademoiselle Eugenie Danglars.	The baron adored Count Andrea Cavalcanti: not so Mademoiselle Eugenie Danglars.	true	150.47	156.97	20.169779
1241_121103_000003_000005	With an instinctive hatred of matrimony, she suffered Andrea's attentions in order to get rid of Morcerf; but when Andrea urged his suit, she betrayed an entire dislike to him.	With an instinctive hatred of matrimony, she suffered Andrea's attentions in order to get rid of Morcerf; but when Andrea urged his suit, she betrayed an entire dislike to him.	true	157.01	167.92	17.972343
1241_121103_000003_000006	The baron might possibly have perceived it, but, attributing it to a caprice, feigned ignorance.	The baron might possibly have perceived it, but, attributing it to a caprice, feigned ignorance.	true	168.41	174.25	19.775627
1241_121103_000004_000000	The delay demanded by Beauchamp had nearly expired.	The delay demanded by Beauchamp had nearly expired.	true	174.83	178.09	17
1241_121103_000004_000001	Morcerf appreciated the advice of Monte Cristo to let things die away of their own accord. No one had taken up the remark about the general, and no one had recognized in the officer who betrayed the castle of Yanina the noble count in the House of Peers.	Morcerf appreciated the advice of Monte Cristo to let things die away of their own accord. No one had taken up the remark about the general, and no one had recognized in the officer who betrayed the castle of Yanina the noble count in the House of Peers.	true	178.16	193.08	17
1241_121103_000004_000002	Albert, however felt no less insulted; the few lines which had irritated him were certainly intended as an insult. Besides, the manner in which Beauchamp had closed the conference left a bitter recollection in his heart.	Albert, however felt no less insulted; the few lines which had irritated him were certainly intended as an insult. Besides, the manner in which Beauchamp had closed the conference left a bitter recollection in his heart.	false	193.08	208.03	19.401485
1241_121103_000004_000003	He cherished the thought of the duel, hoping to conceal its true cause even from his seconds.	He cherished the thought of the duel, hoping to conceal its true cause even from his seconds.	true	208.22	213.82	21
1241_121103_000004_000004	Beauchamp had not been seen since the day he visited Albert, and those of whom the latter inquired always told him he was out on a journey which would detain him some days.	Beauchamp had not been seen since the day he visited Albert, and those of whom the latter inquired always told him he was out on a journey which would detain him some days.	true	214.01	224.2	17
1241_121103_000004_000005	Where he was no one knew.	Where he was no one knew.	true	224.51	226.48	16.042416
1241_121103_000005_000000	One morning Albert was awakened by his valet de chambre, who announced Beauchamp.	One morning Albert was awakened by his valet de chambre, who announced Beauchamp.	true	227.33	232.03	17.56963
1241_121103_000005_000001	Albert rubbed his eyes, ordered his servant to introduce him into the small smoking-room on the ground-floor, dressed himself quickly, and went down.	Albert rubbed his eyes, ordered his servant to introduce him into the small smoking room on the ground floor, dressed himself quickly, and went down.	false	232.94	241.6	18.291494
