984_137141_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
984_137141_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
984_137141_000013_000000	PREFACE	PREFACE
984_137141_000014_000000	This book is meant to be a companion to "Heretics," and to put the positive side in addition to the negative.	This book is meant to be a companion to "Heretics," and to put the positive side in addition to the negative.
984_137141_000014_000001	Many critics complained of the book called "Heretics" because it merely criticised current philosophies without offering any alternative philosophy. This book is an attempt to answer the challenge.	Many critics complained of the book called "Heretics" because it merely criticised current philosophies without offering any alternative philosophy. This book is an attempt to answer the challenge.
984_137141_000014_000004	While everything else may be different the motive in both cases is the same.	While everything else may be different the motive in both cases is the same.
984_137141_000014_000005	It is the purpose of the writer to attempt an explanation, not of whether the Christian Faith can be believed, but of how he personally has come to believe it. The book is therefore arranged upon the positive principle of a riddle and its answer.	It is the purpose of the writer to attempt an explanation, not of whether the Christian Faith can be believed, but of how he personally has come to believe it. The book is therefore arranged upon the positive principle of a riddle and its answer.
984_137141_000014_000006	It deals first with all the writer's own solitary and sincere speculations and then with all the startling style in which they were all suddenly satisfied by the Christian Theology. The writer regards it as amounting to a convincing creed.	It deals first with all the writer's own solitary and sincere speculations and then with all the startling style in which they were all suddenly satisfied by the Christian Theology. The writer regards it as amounting to a convincing creed.
984_137141_000014_000007	But if it is not that it is at least a repeated and surprising coincidence.	But if it is not that it is at least a repeated and surprising coincidence.
984_137141_000015_000000	Gilbert K. Chesterton.	Gilbert k Chesterton.
984_137141_000020_000000	THE only possible excuse for this book is that it is an answer to a challenge.	THE only possible excuse for this book is that it is an answer to a challenge.
984_137141_000020_000004	I will not call it my philosophy; for I did not make it.	I will not call it my philosophy; for I did not make it.
984_137141_000021_000001	There will probably be a general impression that the man who landed (armed to the teeth and talking by signs) to plant the British flag on that barbaric temple which turned out to be the Pavilion at Brighton, felt rather a fool. I am not here concerned to deny that he looked a fool.	There will probably be a general impression that the man who landed (armed to the teeth and talking by signs) to plant the British flag on that barbaric temple which turned out to be the Pavilion at Brighton, felt rather a fool. I am not here concerned to deny that he looked a fool.
984_137141_000021_000002	But if you imagine that he felt a fool, or at any rate that the sense of folly was his sole or his dominant emotion, then you have not studied with sufficient delicacy the rich romantic nature of the hero of this tale.	But if you imagine that he felt a fool, or at any rate that the sense of folly was his sole or his dominant emotion, then you have not studied with sufficient delicacy the rich romantic nature of the hero of this tale.
984_137141_000021_000004	What could be more delightful than to have in the same few minutes all the fascinating terrors of going abroad combined with all the humane security of coming home again?	What could be more delightful than to have in the same few minutes all the fascinating terrors of going abroad combined with all the humane security of coming home again?
984_137141_000021_000005	What could be better than to have all the fun of discovering South Africa without the disgusting necessity of landing there?	What could be better than to have all the fun of discovering South Africa without the disgusting necessity of landing there?
984_137141_000021_000006	What could be more glorious than to brace one's self up to discover New South Wales and then realize, with a gush of happy tears, that it was really old South Wales. This at least seems to me the main problem for philosophers, and is in a manner the main problem of this book.	What could be more glorious than to brace one's self up to discover New South Wales and then realize, with a gush of happy tears, that it was really old South Wales. This at least seems to me the main problem for philosophers, and is in a manner the main problem of this book.
984_137141_000021_000007	How can we contrive to be at once astonished at the world and yet at home in it? How can this queer cosmic town, with its many-legged citizens, with its monstrous and ancient lamps, how can this world give us at once the fascination of a strange town and the comfort and honour of being our own town?	How can we contrive to be at once astonished at the world and yet at home in it? How can this queer cosmic town, with its many legged citizens, with its monstrous and ancient lamps, how can this world give us at once the fascination of a strange town and the comfort and honour of being our own town?
984_137141_000022_000000	To show that a faith or a philosophy is true from every standpoint would be too big an undertaking even for a much bigger book than this; it is necessary to follow one path of argument; and this is the path that I here propose to follow.	To show that a faith or a philosophy is true from every standpoint would be too big an undertaking even for a much bigger book than this; it is necessary to follow one path of argument; and this is the path that I here propose to follow.
984_137141_000022_000002	For the very word "romance" has in it the mystery and ancient meaning of Rome. Any one setting out to dispute anything ought always to begin by saying what he does not dispute.	For the very word "romance" has in it the mystery and ancient meaning of Rome. Any one setting out to dispute anything ought always to begin by saying what he does not dispute.
984_137141_000022_000003	Beyond stating what he proposes to prove he should always state what he does not propose to prove. The thing I do not propose to prove, the thing I propose to take as common ground between myself and any average reader, is this desirability of an active and imaginative life, picturesque and full of a poetical curiosity, a life such as western man at any rate always seems to have desired.	Beyond stating what he proposes to prove he should always state what he does not propose to prove. The thing I do not propose to prove, the thing I propose to take as common ground between myself and any average reader, is this desirability of an active and imaginative life, picturesque and full of a poetical curiosity, a life such as western man at any rate always seems to have desired.
984_137141_000022_000004	If a man says that extinction is better than existence or blank existence better than variety and adventure, then he is not one of the ordinary people to whom I am talking. If a man prefers nothing I can give him nothing.	If a man says that extinction is better than existence or blank existence better than variety and adventure, then he is not one of the ordinary people to whom I am talking. If a man prefers nothing I can give him nothing.
984_137141_000022_000005	But nearly all people I have ever met in this western society in which I live would agree to the general proposition that we need this life of practical romance; the combination of something that is strange with something that is secure.	But nearly all people I have ever met in this western society in which I live would agree to the general proposition that we need this life of practical romance; the combination of something that is strange with something that is secure.
984_137141_000022_000007	We need to be happy in this wonderland without once being merely comfortable. It is THIS achievement of my creed that I shall chiefly pursue in these pages.	We need to be happy in this wonderland without once being merely comfortable. It is THIS achievement of my creed that I shall chiefly pursue in these pages.
984_137141_000023_000000	But I have a peculiar reason for mentioning the man in a yacht, who discovered England.	But I have a peculiar reason for mentioning the man in a yacht, who discovered England.
984_137141_000023_000002	I do not see how this book can avoid being egotistical; and I do not quite see (to tell the truth) how it can avoid being dull.	I do not see how this book can avoid being egotistical; and I do not quite see (to tell the truth) how it can avoid being dull.
984_137141_000023_000004	I know nothing so contemptible as a mere paradox; a mere ingenious defence of the indefensible. If it were true (as has been said) that Mr. Bernard Shaw lived upon paradox, then he ought to be a mere common millionaire; for a man of his mental activity could invent a sophistry every six minutes.	I know nothing so contemptible as a mere paradox; a mere ingenious defence of the indefensible. If it were true (as has been said) that mr Bernard Shaw lived upon paradox, then he ought to be a mere common millionaire; for a man of his mental activity could invent a sophistry every six minutes.
984_137141_000023_000005	It is as easy as lying; because it is lying. The truth is, of course, that Mr. Shaw is cruelly hampered by the fact that he cannot tell any lie unless he thinks it is the truth. I find myself under the same intolerable bondage.	It is as easy as lying; because it is lying. The truth is, of course, that mr Shaw is cruelly hampered by the fact that he cannot tell any lie unless he thinks it is the truth. I find myself under the same intolerable bondage.
984_137141_000023_000006	I never in my life said anything merely because I thought it funny; though of course, I have had ordinary human vainglory, and may have thought it funny because I had said it.	I never in my life said anything merely because I thought it funny; though of course, I have had ordinary human vainglory, and may have thought it funny because I had said it.
984_137141_000023_000007	It is one thing to describe an interview with a gorgon or a griffin, a creature who does not exist. It is another thing to discover that the rhinoceros does exist and then take pleasure in the fact that he looks as if he didn't. One searches for truth, but it may be that one pursues instinctively the more extraordinary truths.	It is one thing to describe an interview with a gorgon or a griffin, a creature who does not exist. It is another thing to discover that the rhinoceros does exist and then take pleasure in the fact that he looks as if he didn't. One searches for truth, but it may be that one pursues instinctively the more extraordinary truths.
984_137141_000023_000008	And I offer this book with the heartiest sentiments to all the jolly people who hate what I write, and regard it (very justly, for all I know), as a piece of poor clowning or a single tiresome joke.	And I offer this book with the heartiest sentiments to all the jolly people who hate what I write, and regard it (very justly, for all I know), as a piece of poor clowning or a single tiresome joke.
984_137141_000024_000002	I freely confess all the idiotic ambitions of the end of the nineteenth century.	I freely confess all the idiotic ambitions of the end of the nineteenth century.
984_137141_000024_000004	Like them I tried to be some ten minutes in advance of the truth.	Like them I tried to be some ten minutes in advance of the truth.
984_137141_000024_000007	And I was punished in the fittest and funniest way, for I have kept my truths: but I have discovered, not that they were not truths, but simply that they were not mine.	And I was punished in the fittest and funniest way, for I have kept my truths: but I have discovered, not that they were not truths, but simply that they were not mine.
984_137141_000024_000009	The man from the yacht thought he was the first to find England; I thought I was the first to find Europe.	The man from the yacht thought he was the first to find England; I thought I was the first to find Europe.
984_137141_000024_000010	I did try to found a heresy of my own; and when I had put the last touches to it, I discovered that it was orthodoxy.	I did try to found a heresy of my own; and when I had put the last touches to it, I discovered that it was orthodoxy.
984_137141_000026_000000	I add one purely pedantic note which comes, as a note naturally should, at the beginning of the book.	I add one purely pedantic note which comes, as a note naturally should, at the beginning of the book.
984_137141_000026_000001	These essays are concerned only to discuss the actual fact that the central Christian theology (sufficiently summarized in the Apostles' Creed) is the best root of energy and sound ethics.	These essays are concerned only to discuss the actual fact that the central Christian theology (sufficiently summarized in the Apostles' Creed) is the best root of energy and sound ethics.
984_137141_000026_000002	They are not intended to discuss the very fascinating but quite different question of what is the present seat of authority for the proclamation of that creed.	They are not intended to discuss the very fascinating but quite different question of what is the present seat of authority for the proclamation of that creed.
984_137141_000026_000003	When the word "orthodoxy" is used here it means the Apostles' Creed, as understood by everybody calling himself Christian until a very short time ago and the general historic conduct of those who held such a creed.	When the word "orthodoxy" is used here it means the Apostles' Creed, as understood by everybody calling himself Christian until a very short time ago and the general historic conduct of those who held such a creed.
984_137141_000026_000004	I have been forced by mere space to confine myself to what I have got from this creed; I do not touch the matter much disputed among modern Christians, of where we ourselves got it.	I have been forced by mere space to confine myself to what I have got from this creed; I do not touch the matter much disputed among modern Christians, of where we ourselves got it.
984_137141_000026_000005	This is not an ecclesiastical treatise but a sort of slovenly autobiography.	This is not an ecclesiastical treatise but a sort of slovenly autobiography.
