4278_13269_000000_000000	Chapter Twenty-five	Chapter Twenty five	false	1.53	24.73	21.661865
4278_13269_000001_000000	THREE months had gone by since the Sunday morning when Dr. Bruce came into his pulpit with the message of the new discipleship.	THREE months had gone by since the Sunday morning when dr Bruce came into his pulpit with the message of the new discipleship.	true	24.86	31.84	21.039278
4278_13269_000001_000001	They were three months of great excitement in Nazareth Avenue Church. Never before had Rev. Calvin Bruce realized how deep the feeling of his members flowed.	They were three months of great excitement in Nazareth Avenue Church. Never before had reverend Calvin Bruce realized how deep the feeling of his members flowed.	true	32.03	41.58	21.51469
4278_13269_000001_000002	He humbly confessed that the appeal he had made met with an unexpected response from men and women who, like Felicia, were hungry for something in their lives that the conventional type of church membership and fellowship had failed to give them.	He humbly confessed that the appeal he had made met with an unexpected response from men and women who, like Felicia, were hungry for something in their lives that the conventional type of church membership and fellowship had failed to give them.	true	41.58	55.06	22.103619
4278_13269_000002_000000	But Dr. Bruce was not yet satisfied for himself.	But dr Bruce was not yet satisfied for himself.	true	55.25	58.575	23.43201
4278_13269_000002_000001	He cannot tell what his feeling was or what led to the movement he finally made, to the great astonishment of all who knew him, better than by relating a conversation between him and the Bishop at this time in the history of the pledge in Nazareth Avenue Church.	He cannot tell what his feeling was or what led to the movement he finally made, to the great astonishment of all who knew him, better than by relating a conversation between him and the Bishop at this time in the history of the pledge in Nazareth Avenue Church.	true	58.575	73.665	18
4278_13269_000002_000002	The two friends were as before in Dr. Bruce's house, seated in his study.	The two friends were as before in dr Bruce's house, seated in his study.	false	73.665	77.77	24
4278_13269_000003_000000	"You know what I have come in this evening for?" the Bishop was saying after the friends had been talking some time about the results of the pledge with the Nazareth Avenue people.	"You know what I have come in this evening for?" the Bishop was saying after the friends had been talking some time about the results of the pledge with the Nazareth Avenue people.	true	77.99	88.23	20.416656
4278_13269_000004_000000	Dr. Bruce looked over at the Bishop and shook his head.	dr Bruce looked over at the Bishop and shook his head.	true	88.23	91.03	23.747787
4278_13269_000005_000000	"I have come to confess that I have not yet kept my promise to walk in His steps in the way that I believe I shall be obliged to if I satisfy my thought of what it means to walk in His steps."	"I have come to confess that I have not yet kept my promise to walk in His steps in the way that I believe I shall be obliged to if I satisfy my thought of what it means to walk in His steps."	true	91.22	102.37	17
4278_13269_000006_000000	Dr. Bruce had risen and was pacing his study.	dr Bruce had risen and was pacing his study.	false	102.68	105.78	18.499722
4278_13269_000006_000001	The Bishop remained in the deep easy chair with his hands clasped, but his eye burned with the blow that belonged to him before he made some great resolve.	The Bishop remained in the deep easy chair with his hands clasped, but his eye burned with the blow that belonged to him before he made some great resolve.	true	105.78	114.22	18
4278_13269_000007_000000	"Edward," Dr. Bruce spoke abruptly, "I have not yet been able to satisfy myself, either, in obeying my promise.	"Edward," dr Bruce spoke abruptly, "I have not yet been able to satisfy myself, either, in obeying my promise.	true	114.41	121.51	21.105978
4278_13269_000007_000001	But I have at last decided on my course.	But I have at last decided on my course.	true	121.85	124.81	22.09398
4278_13269_000007_000002	In order to follow it I shall be obliged to resign from Nazareth Avenue Church."	In order to follow it I shall be obliged to resign from Nazareth Avenue Church."	true	125	130.33	22
4278_13269_000008_000000	"I knew you would," replied the Bishop quietly.	"I knew you would," replied the Bishop quietly.	true	130.4	133.665	15
4278_13269_000008_000001	"And I came in this evening to say that I shall be obliged to do the same thing with my charge."	"And I came in this evening to say that I shall be obliged to do the same thing with my charge."	false	133.665	139.09	15
4278_13269_000009_000000	Dr. Bruce turned and walked up to his friend.	dr Bruce turned and walked up to his friend.	true	139.25	141.585	26.935738
4278_13269_000009_000001	They were both laboring under a repressed excitement.	They were both laboring under a repressed excitement.	true	141.585	144.43	24.24401
4278_13269_000010_000000	"Is it necessary in your case?" asked Bruce.	"Is it necessary in your case?" asked Bruce.	false	144.59	147.75	25.82789
