1226_141279_000000_000000	CHAPTER XIX.	CHAPTER nineteen.	true	0.9	2.07	14
1226_141279_000001_000000	CONCLUSION.	CONCLUSION.	false	2.07	2.07	
1226_141279_000002_000000	1719-1725	seventeen nineteen to seventeen twenty five	false	2.07	2.07	
1226_141279_000003_000000	Death of little Peter--Excessive grief of the Czar--The Czar shuts himself up--Device of his minister--Subsequent reign--His plan for the succession--Oath required of the people--Prince Naraskin--Proclamation--Catharine's usefulness--Splendour of the preparations--The interior of the church--The dais--The canopy--The regalia--The ceremonies--Sickness and death of Peter--Natalia--The double funeral--General character of Peter--Compared with other sovereigns--Playful vein in his character--Examples--The Little Grandfather--Taken to Cronstadt--Triumphal procession--Display before the fleet--Closing festivities--Catharine proclaimed empress--Catharine's brief reign--Her beneficent character	Death of little peter--Excessive grief of the Czar-The Czar shuts himself up-Device of his minister-Subsequent reign-His plan for the succession-Oath required of the people-Prince Naraskin-Proclamation-Catharine's usefulness-Splendour of the preparations-The interior of the church-The dais-The canopy-The regalia-The ceremonies-Sickness and death of peter--Natalia-The double funeral-General character of peter--Compared with other sovereigns-Playful vein in his character-Examples-The Little Grandfather-Taken to Cronstadt-Triumphal procession-Display before the fleet-Closing festivities-Catharine proclaimed empress-Catharine's brief reign-Her beneficent character	false	2.07	27.84	22.996979
1226_141279_000004_000000	At the time of the death of Alexis the Czar's hopes in respect to a successor fell upon his little son, Peter Petrowitz, the child of Catharine, who was born about the time of the death of Alexis's wife, when the difficulties between himself and Alexis were first beginning to assume an alarming form.	At the time of the death of Alexis the Czar's hopes in respect to a successor fell upon his little son, peter Petrowitz, the child of Catharine, who was born about the time of the death of Alexis's wife, when the difficulties between himself and Alexis were first beginning to assume an alarming form.	true	27.84	46.12	22
1226_141279_000004_000001	This child was now about three years old, but he was of a very weak and sickly constitution, and the Czar watched him with fear and trembling.	This child was now about three years old, but he was of a very weak and sickly constitution, and the Czar watched him with fear and trembling.	true	46.97	56.11	22
1226_141279_000004_000002	His apprehensions proved to be well founded, for about a year after the unhappy death of Alexis he also died.	His apprehensions proved to be well founded, for about a year after the unhappy death of Alexis he also died.	true	56.36	64.3	23.134954
1226_141279_000005_000000	Peter was entirely overwhelmed with grief at this new calamity.	peter was entirely overwhelmed with grief at this new calamity.	true	65.15	69.34	20
1226_141279_000005_000001	He was seized with the convulsions to which he was subject when under any strong excitement, his face was distorted, and his neck was twisted and stiffened in a most frightful manner.	He was seized with the convulsions to which he was subject when under any strong excitement, his face was distorted, and his neck was twisted and stiffened in a most frightful manner.	true	69.62	81.19	22
1226_141279_000005_000002	In ordinary attacks of this kind Catharine had power to soothe and allay the spasmodic action of the muscles, and gradually release her husband from the terrible gripe of the disease, but now he would not suffer her to come near him.	In ordinary attacks of this kind Catharine had power to soothe and allay the spasmodic action of the muscles, and gradually release her husband from the terrible gripe of the disease, but now he would not suffer her to come near him.	true	81.62	96.64	22.584763
1226_141279_000005_000003	He could not endure it, for the sight of her renewed so vividly the anguish that he felt for the loss of their child, that it made the convulsions and the suffering worse than before.	He could not endure it, for the sight of her renewed so vividly the anguish that he felt for the loss of their child, that it made the convulsions and the suffering worse than before.	true	97.04	108.49	21
1226_141279_000006_000000	It is said that on this occasion Peter shut himself up alone for three days and three nights in his own chamber, where he lay stretched on the ground in anguish and agony, and would not allow any body to come in.	It is said that on this occasion peter shut himself up alone for three days and three nights in his own chamber, where he lay stretched on the ground in anguish and agony, and would not allow any body to come in.	true	109.52	122.5	21
1226_141279_000006_000001	At length one of his ministers of state came, and, speaking to him through the door, appealed to him, in the most earnest manner, to come forth and give them directions in respect to the affairs of the empire, which, he said, urgently required his attention.	At length one of his ministers of state came, and, speaking to him through the door, appealed to him, in the most earnest manner, to come forth and give them directions in respect to the affairs of the empire, which, he said, urgently required his attention.	false	122.99	137.92	21
1226_141279_000006_000002	The minister had brought with him a large number of senators to support and enforce his appeal.	The minister had brought with him a large number of senators to support and enforce his appeal.	true	138.32	143.8	19
1226_141279_000006_000003	At length the Czar allowed the door to be opened, and the minister, with all the senators, came together into the room.	At length the Czar allowed the door to be opened, and the minister, with all the senators, came together into the room.	true	143.87	151.18	22
1226_141279_000006_000004	The sudden appearance of so many persons, and the boldness of the minister in taking this decided step, made such an impression on the mind of the Czar as to divert his mind for the moment from his grief, and he allowed himself to be led forth and to be persuaded to take some food.	The sudden appearance of so many persons, and the boldness of the minister in taking this decided step, made such an impression on the mind of the Czar as to divert his mind for the moment from his grief, and he allowed himself to be led forth and to be persuaded to take some food.	true	151.64	168.58	21.913704
1226_141279_000007_000000	The death of Petrowitz took place in 1719, and the Czar continued to live and reign himself after this period for about sixteen [Transcriber's note: six?	The death of Petrowitz took place in seventeen nineteen, and the Czar continued to live and reign himself after this period for about sixteen [Transcriber's note: six?	false	169.22	179.34	24
1226_141279_000007_000001	(Peter died in 1725)] years.	(peter died in seventeen twenty five)] years.	false	179.34	180.13	24.247183
1226_141279_000007_000002	During all that time he went on vigorously and successfully in completing the reforms which he had undertaken in the internal condition of his empire, and increasing the power and influence of his government among surrounding nations.	During all that time he went on vigorously and successfully in completing the reforms which he had undertaken in the internal condition of his empire, and increasing the power and influence of his government among surrounding nations.	false	180.74	194.17	16
1226_141279_000007_000003	He had no farther serious difficulty with the opponents of his policy, though he was always under apprehensions that difficulties might arise after his death.	He had no farther serious difficulty with the opponents of his policy, though he was always under apprehensions that difficulties might arise after his death.	true	194.57	204.31	20
1226_141279_000007_000004	He had the right, according to the ancient constitution of the monarchy, to designate his own successor, choosing for this purpose either one of his sons or any other person.	He had the right, according to the ancient constitution of the monarchy, to designate his own successor, choosing for this purpose either one of his sons or any other person.	true	204.68	215.8	23.83493
1226_141279_000007_000005	And now, since both his sons were dead, his mind revolved anxiously the question what provision he should make for the government of the empire after his decease.	And now, since both his sons were dead, his mind revolved anxiously the question what provision he should make for the government of the empire after his decease.	true	215.93	226.21	21.44701
1226_141279_000007_000006	He finally concluded to leave it in the hands of Catharine herself, and, to prepare the way for this, he resolved to cause her to be solemnly crowned empress during his lifetime.	He finally concluded to leave it in the hands of Catharine herself, and, to prepare the way for this, he resolved to cause her to be solemnly crowned empress during his lifetime.	true	226.67	237.91	23.818356
1226_141279_000008_000000	As a preliminary measure, however, before publicly announcing Catharine as his intended successor, Peter required all the officers of the empire, both civil and military, and all the nobles and other chief people of the country, to subscribe a solemn declaration and oath that they acknowledged the right of the Czar to appoint his successor, and that after his death they would sustain and defend whomsoever he should name as their emperor and sovereign.	As a preliminary measure, however, before publicly announcing Catharine as his intended successor, peter required all the officers of the empire, both civil and military, and all the nobles and other chief people of the country, to subscribe a solemn declaration and oath that they acknowledged the right of the Czar to appoint his successor, and that after his death they would sustain and defend whomsoever he should name as their emperor and sovereign.	false	238.49	267.19	21
1226_141279_000009_000000	This declaration, printed forms of which were sent all over the kingdom, was signed by the people very readily.	This declaration, printed forms of which were sent all over the kingdom, was signed by the people very readily.	true	267.8	274.6	23.944407
1226_141279_000009_000001	No one, however, imagined that Catharine would be the person on whom the Czar's choice would fall.	No one, however, imagined that Catharine would be the person on whom the Czar's choice would fall.	true	274.64	279.76	18
1226_141279_000009_000002	It was generally supposed that a certain Prince Naraskin would be appointed to the succession.	It was generally supposed that a certain Prince Naraskin would be appointed to the succession.	true	279.98	285.73	24.28555
1226_141279_000009_000003	The Czar himself said nothing of his intention, but waited until the time should arrive for carrying it into effect.	The Czar himself said nothing of his intention, but waited until the time should arrive for carrying it into effect.	false	285.92	292.63	21.303205
