2254_152831_000000_000000	The Trail of Ninety-Eight	The Trail of Ninety Eight	false	0.51	8.31	20.577585
2254_152831_000001_000000	I.	I.	false	8.31	8.76	-3
2254_152831_000002_000000	Gold!	Gold!	true	8.76	9.645	23.247667
2254_152831_000002_000001	We leapt from our benches.	We leapt from our benches.	true	9.645	11.44	19
2254_152831_000002_000002	Gold!	Gold!	true	11.72	12.585	23.343094
2254_152831_000002_000003	We sprang from our stools. Gold!	We sprang from our stools. Gold!	true	12.585	16.11	18.28742
2254_152831_000002_000004	We wheeled in the furrow, fired with the faith of fools. Fearless, unfound, unfitted, far from the night and the cold, Heard we the clarion summons, followed the master-lure--Gold!	We wheeled in the furrow, fired with the faith of fools. Fearless, unfound, unfitted, far from the night and the cold, Heard we the clarion summons, followed the master lure-Gold!	true	16.11	32.47	18.881151
2254_152831_000003_000000	Men from the sands of the Sunland; men from the woods of the West; Men from the farms and the cities, into the Northland we pressed. Graybeards and striplings and women, good men and bad men and bold, Leaving our homes and our loved ones, crying exultantly--"Gold!"	Men from the sands of the Sunland; men from the woods of the West; Men from the farms and the cities, into the Northland we pressed. Graybeards and striplings and women, good men and bad men and bold, Leaving our homes and our loved ones, crying exultantly-"Gold!"	true	33.26	57.19	18.86972
2254_152831_000004_000000	Never was seen such an army, pitiful, futile, unfit; Never was seen such a spirit, manifold courage and grit. Never has been such a cohort under one banner unrolled As surged to the ragged-edged Arctic, urged by the arch-tempter--Gold.	Never was seen such an army, pitiful, futile, unfit; Never was seen such a spirit, manifold courage and grit. Never has been such a cohort under one banner unrolled As surged to the ragged edged Arctic, urged by the arch tempter-Gold.	true	57.92	79.48	21.135418
2254_152831_000005_000000	"Farewell!" we cried to our dearests; little we cared for their tears. "Farewell!" we cried to the humdrum and the yoke of the hireling years; Just like a pack of school-boys, and the big crowd cheered us good-bye. Never were hearts so uplifted, never were hopes so high.	"Farewell!" we cried to our dearests; little we cared for their tears. "Farewell!" we cried to the humdrum and the yoke of the hireling years; Just like a pack of school boys, and the big crowd cheered us good bye. Never were hearts so uplifted, never were hopes so high.	true	80.12	103.87	21.313686
2254_152831_000006_000000	The spectral shores flitted past us, and every whirl of the screw Hurled us nearer to fortune, and ever we planned what we'd do-- Do with the gold when we got it--big, shiny nuggets like plums, There in the sand of the river, gouging it out with our thumbs.	The spectral shores flitted past us, and every whirl of the screw Hurled us nearer to fortune, and ever we planned what we'd do- Do with the gold when we got it-big, shiny nuggets like plums, There in the sand of the river, gouging it out with our thumbs.	false	105.11	126.91	20.62144
2254_152831_000007_000000	And one man wanted a castle, another a racing stud; A third would cruise in a palace yacht like a red-necked prince of blood. And so we dreamed and we vaunted, millionaires to a man, Leaping to wealth in our visions long ere the trail began.	And one man wanted a castle, another a racing stud; A third would cruise in a palace yacht like a red necked prince of blood. And so we dreamed and we vaunted, millionaires to a man, Leaping to wealth in our visions long ere the trail began.	false	127.37	148.35	21.121374
2254_152831_000008_000000	II.	two.	false	148.35	150.57	-14
2254_152831_000009_000000	We landed in wind-swept Skagway.	We landed in wind swept Skagway.	true	150.57	153.22	20
2254_152831_000009_000001	We joined the weltering mass, Clamoring over their outfits, waiting to climb the Pass. We tightened our girths and our pack-straps; we linked on the Human Chain, Struggling up to the summit, where every step was a pain.	We joined the weltering mass, Clamoring over their outfits, waiting to climb the Pass. We tightened our girths and our pack straps; we linked on the Human Chain, Struggling up to the summit, where every step was a pain.	true	153.29	170.53	22.343407
2254_152831_000010_000000	Gone was the joy of our faces, grim and haggard and pale; The heedless mirth of the shipboard was changed to the care of the trail. We flung ourselves in the struggle, packing our grub in relays, Step by step to the summit in the bale of the winter days.	Gone was the joy of our faces, grim and haggard and pale; The heedless mirth of the shipboard was changed to the care of the trail. We flung ourselves in the struggle, packing our grub in relays, Step by step to the summit in the bale of the winter days.	true	170.96	192.22	20.840925
2254_152831_000011_000000	Floundering deep in the sump-holes, stumbling out again; Crying with cold and weakness, crazy with fear and pain. Then from the depths of our travail, ere our spirits were broke, Grim, tenacious and savage, the lust of the trail awoke.	Floundering deep in the sump holes, stumbling out again; Crying with cold and weakness, crazy with fear and pain. Then from the depths of our travail, ere our spirits were broke, Grim, tenacious and savage, the lust of the trail awoke.	true	192.98	214.75	19.954363
2254_152831_000012_000000	"Klondike or bust!" rang the slogan; every man for his own. Oh, how we flogged the horses, staggering skin and bone! Oh, how we cursed their weakness, anguish they could not tell, Breaking their hearts in our passion, lashing them on till they fell!	"Klondike or bust!" rang the slogan; every man for his own. Oh, how we flogged the horses, staggering skin and bone! Oh, how we cursed their weakness, anguish they could not tell, Breaking their hearts in our passion, lashing them on till they fell!	true	214.91	236.59	21.416376
2254_152831_000013_000000	For grub meant gold to our thinking, and all that could walk must pack; The sheep for the shambles stumbled, each with a load on its back; And even the swine were burdened, and grunted and squealed and rolled, And men went mad in the moment, huskily clamoring "Gold!"	For grub meant gold to our thinking, and all that could walk must pack; The sheep for the shambles stumbled, each with a load on its back; And even the swine were burdened, and grunted and squealed and rolled, And men went mad in the moment, huskily clamoring "Gold!"	true	236.99	258.16	21.368776
2254_152831_000014_000000	Oh, we were brutes and devils, goaded by lust and fear! Our eyes were strained to the summit; the weaklings dropped to the rear, Falling in heaps by the trail-side, heart-broken, limp and wan; But the gaps closed up in an instant, and heedless the chain went on.	Oh, we were brutes and devils, goaded by lust and fear! Our eyes were strained to the summit; the weaklings dropped to the rear, Falling in heaps by the trail side, heart broken, limp and wan; But the gaps closed up in an instant, and heedless the chain went on.	false	258.98	281.95	21.291815
2254_152831_000015_000000	Never will I forget it, there on the mountain face, Antlike, men with their burdens, clinging in icy space; Dogged, determined and dauntless, cruel and callous and cold, Cursing, blaspheming, reviling, and ever that battle-cry--"Gold!"	Never will I forget it, there on the mountain face, Antlike, men with their burdens, clinging in icy space; Dogged, determined and dauntless, cruel and callous and cold, Cursing, blaspheming, reviling, and ever that battle cry-"Gold!"	false	282.59	305.86	21.152807
2254_152831_000016_000000	Thus toiled we, the army of fortune, in hunger and hope and despair, Till glacier, mountain and forest vanished, and, radiantly fair, There at our feet lay Lake Bennett, and down to its welcome we ran: The trail of the land was over, the trail of the water began.	Thus toiled we, the army of fortune, in hunger and hope and despair, Till glacier, mountain and forest vanished, and, radiantly fair, There at our feet lay Lake Bennett, and down to its welcome we ran: The trail of the land was over, the trail of the water began.	true	306.5	329.43	21.090872
2254_152831_000017_000000	III.	three.	false	329.43	330.87	-5
2254_152831_000018_000000	We built our boats and we launched them.	We built our boats and we launched them.	true	330.87	333.4	20
2254_152831_000018_000001	Never has been such a fleet; A packing-case for a bottom, a mackinaw for a sheet. Shapeless, grotesque, lopsided, flimsy, makeshift and crude, Each man after his fashion builded as best he could.	Never has been such a fleet; A packing case for a bottom, a mackinaw for a sheet. Shapeless, grotesque, lopsided, flimsy, makeshift and crude, Each man after his fashion builded as best he could.	false	333.44	352.21	21.155928
2254_152831_000019_000000	Each man worked like a demon, as prow to rudder we raced; The winds of the Wild cried "Hurry!" the voice of the waters, "Haste!" We hated those driving before us; we dreaded those pressing behind; We cursed the slow current that bore us; we prayed to the God of the wind.	Each man worked like a demon, as prow to rudder we raced; The winds of the Wild cried "Hurry!" the voice of the waters, "Haste!" We hated those driving before us; we dreaded those pressing behind; We cursed the slow current that bore us; we prayed to the God of the wind.	true	352.64	375.64	20.524952
2254_152831_000020_000000	Spring! and the hillsides flourished, vivid in jewelled green; Spring! and our hearts' blood nourished envy and hatred and spleen. Little cared we for the Spring-birth; much cared we to get on-- Stake in the Great White Channel, stake ere the best be gone.	Spring! and the hillsides flourished, vivid in jewelled green; Spring! and our hearts' blood nourished envy and hatred and spleen. Little cared we for the Spring birth; much cared we to get on- Stake in the Great White Channel, stake ere the best be gone.	true	376.43	399.43	21.742294
2254_152831_000021_000000	The greed of the gold possessed us; pity and love were forgot; Covetous visions obsessed us; brother with brother fought. Partner with partner wrangled, each one claiming his due; Wrangled and halved their outfits, sawing their boats in two.	The greed of the gold possessed us; pity and love were forgot; Covetous visions obsessed us; brother with brother fought. Partner with partner wrangled, each one claiming his due; Wrangled and halved their outfits, sawing their boats in two.	false	399.56	419.31	20.395216
2254_152831_000022_000000	Thuswise we voyaged Lake Bennett, Tagish, then Windy Arm, Sinister, savage and baleful, boding us hate and harm. Many a scow was shattered there on that iron shore; Many a heart was broken straining at sweep and oar.	Thuswise we voyaged Lake Bennett, Tagish, then Windy Arm, Sinister, savage and baleful, boding us hate and harm. Many a scow was shattered there on that iron shore; Many a heart was broken straining at sweep and oar.	false	419.31	440.74	20.413887
2254_152831_000023_000000	We roused Lake Marsh with a chorus, we drifted many a mile; There was the canyon before us--cave-like its dark defile; The shores swept faster and faster; the river narrowed to wrath; Waters that hissed disaster reared upright in our path.	We roused Lake Marsh with a chorus, we drifted many a mile; There was the canyon before us-cave like its dark defile; The shores swept faster and faster; the river narrowed to wrath; Waters that hissed disaster reared upright in our path.	true	441.17	463.36	20.813894
