2853_164187_000000_000000	CHAPTER THREE	CHAPTER THREE	false	0.51	26.1	23.458178
2853_164187_000001_000000	Diva was sitting at the open drawing-room window of her house in the High Street, cutting with a pair of sharp nail scissors into the old chintz curtains which her maid had told her no longer "paid for the mending".	Diva was sitting at the open drawing room window of her house in the High Street, cutting with a pair of sharp nail scissors into the old chintz curtains which her maid had told her no longer "paid for the mending".	true	26.1	36.61	17
2853_164187_000001_000001	So, since they refused to pay for their mending any more she was preparing to make them pay, pretty smartly too, in other ways.	So, since they refused to pay for their mending any more she was preparing to make them pay, pretty smartly too, in other ways.	true	37.1	44.83	22.556381
2853_164187_000001_000002	The pattern was of little bunches of pink roses peeping out through trellis work, and it was these which she had just begun to cut out.	The pattern was of little bunches of pink roses peeping out through trellis work, and it was these which she had just begun to cut out.	true	45.05	52.09	23.241081
2853_164187_000001_000003	Though Tilling was noted for the ingenuity with which its more fashionable ladies devised novel and quaint effects in the dress in an economical manner, Diva felt sure, ransack her memory though she might, that nobody had thought of THIS before.	Though Tilling was noted for the ingenuity with which its more fashionable ladies devised novel and quaint effects in the dress in an economical manner, Diva felt sure, ransack her memory though she might, that nobody had thought of THIS before.	false	52.22	66.46	21.668255
2853_164187_000002_000000	The hot weather had continued late into September and showed no signs of breaking yet, and it would be agreeable to her and acutely painful to others that just at the end of the summer she should appear in a perfectly new costume, before the days of jumpers and heavy skirts and large woollen scarves came in.	The hot weather had continued late into September and showed no signs of breaking yet, and it would be agreeable to her and acutely painful to others that just at the end of the summer she should appear in a perfectly new costume, before the days of jumpers and heavy skirts and large woollen scarves came in.	true	67.43	84.73	23.354128
2853_164187_000002_000001	She was preparing, therefore, to take the light white jacket which she wore over her blouse, and cover the broad collar and cuffs of it with these pretty roses.	She was preparing, therefore, to take the light white jacket which she wore over her blouse, and cover the broad collar and cuffs of it with these pretty roses.	true	85.31	94.27	22
2853_164187_000002_000002	The belt of the skirt would be similarly decorated, and so would the edge of it, if there were enough clean ones.	The belt of the skirt would be similarly decorated, and so would the edge of it, if there were enough clean ones.	false	94.67	100.84	25.169783
2853_164187_000002_000003	The jacket and skirt had already gone to the dyer's, and would be back in a day or two, white no longer, but of a rich purple hue, and by that time she would have hundreds of these little pink roses ready to be tacked on.	The jacket and skirt had already gone to the dyer's, and would be back in a day or two, white no longer, but of a rich purple hue, and by that time she would have hundreds of these little pink roses ready to be tacked on.	true	101.21	113.62	23.951057
2853_164187_000002_000004	Perhaps a piece of the chintz, trellis and all, could be sewn over the belt, but she was determined to have single little bunches of roses peppered all over the collar and cuffs of the jacket, and, if possible, round the edge of the skirt.	Perhaps a piece of the chintz, trellis and all, could be sewn over the belt, but she was determined to have single little bunches of roses peppered all over the collar and cuffs of the jacket, and, if possible, round the edge of the skirt.	true	114.53	127.6	22
2853_164187_000002_000005	She had already tried the effect, and was of the opinion that nobody could possibly guess what the origin of these roses was.	She had already tried the effect, and was of the opinion that nobody could possibly guess what the origin of these roses was.	false	127.61	133.83	23
2853_164187_000002_000006	When carefully sewn on they looked as if they were a design in the stuff.	When carefully sewn on they looked as if they were a design in the stuff.	true	133.83	138.61	20.317717
2853_164187_000003_000000	She let the circumcised roses fall on to the window-seat, and from time to time, when they grew numerous, swept them into a cardboard box.	She let the circumcised roses fall on to the window seat, and from time to time, when they grew numerous, swept them into a cardboard box.	true	139.22	146.56	23
