480_123176_000000_000000	Lavender Compound.	Lavender Compound.	false	0	1.17	-20
480_123176_000001_000000	Pick the lavender blossoms, and put them in a bottle, with a few blades of mace, and some cloves; fill up the bottle with good spirits, and let it stand corked up, till all the strength is extracted; when strain it off, and color it with a little cochineal.	Pick the lavender blossoms, and put them in a bottle, with a few blades of mace, and some cloves; fill up the bottle with good spirits, and let it stand corked up, till all the strength is extracted; when strain it off, and color it with a little cochineal.	false	1.17	28.425	22.101828
480_123176_000002_000000	FOOD FOR THE SICK.	FOOD FOR THE SICK.	true	28.425	29.8	25.816313
480_123176_000003_000000	Remarks on Preparing Food for the Sick.	Remarks on Preparing Food for the Sick.	true	30.86	33.34	21.053705
480_123176_000004_000000	Few young persons understand cooking for the sick.	Few young persons understand cooking for the sick.	true	34.19	37.36	22.243034
480_123176_000004_000001	It is very important to know how to prepare their food in an inviting manner; every thing should be perfectly clean and nice.	It is very important to know how to prepare their food in an inviting manner; every thing should be perfectly clean and nice.	true	37.64	45.4	21.043793
480_123176_000004_000002	Avoid giving an invalid any thing out of a cup that has been used before; even if it is medicine, it will not be so hard to take out of a clean cup.	Avoid giving an invalid any thing out of a cup that has been used before; even if it is medicine, it will not be so hard to take out of a clean cup.	false	45.89	56.38	22.522148
480_123176_000004_000003	It is well to have a stand or small table by the bed-side, that you can set any thing on.	It is well to have a stand or small table by the bed side, that you can set any thing on.	true	56.66	61.99	23.337374
480_123176_000004_000004	A small silver strainer that will just fit over a tumbler or tea-cup, is very useful to strain lemonade, panada or herb tea.	A small silver strainer that will just fit over a tumbler or tea cup, is very useful to strain lemonade, panada or herb tea.	false	62.39	70.35	22.138447
480_123176_000005_000000	If you want any thing to use through the night, you should prepare it, if possible, beforehand; as a person that is sick, can sometimes fall asleep without knowing it, if the room is _kept perfectly still._	If you want any thing to use through the night, you should prepare it, if possible, beforehand; as a person that is sick, can sometimes fall asleep without knowing it, if the room is underscore kept perfectly still.underscore	false	70.35	85.65	23.920088
480_123176_000006_000000	Boiled Custard.	Boiled Custard.	true	85.65	86.95	21.681791
480_123176_000007_000000	Beat an egg with a heaped tea-spoonful of sugar; stir it into a tea-cupful of boiling milk, and stir till it is thick; pour it in a bowl on a slice of toast cut up, and grate a little nutmeg over.	Beat an egg with a heaped tea spoonful of sugar; stir it into a tea cupful of boiling milk, and stir till it is thick; pour it in a bowl on a slice of toast cut up, and grate a little nutmeg over.	false	87.71	102.3	21.810434
480_123176_000008_000000	Panada.	Panada.	true	102.3	103.09	25.365314
480_123176_000009_000000	Put some crackers, crusts of dry bread or dried rusk, in a sauce-pan with cold water, and a few raisins; after it has boiled half an hour, put in sugar, nutmeg, and half a glass of wine, if the patient has no fever.	Put some crackers, crusts of dry bread or dried rusk, in a sauce pan with cold water, and a few raisins; after it has boiled half an hour, put in sugar, nutmeg, and half a glass of wine, if the patient has no fever.	true	103.82	119.8	22.35494
480_123176_000010_000000	If you have dried rusk, it is a quicker way to put the rusk in a bowl with some sugar, and pour boiling water on it out of the tea-kettle. If the patient can take nothing but liquids, this makes a good drink when strained.	If you have dried rusk, it is a quicker way to put the rusk in a bowl with some sugar, and pour boiling water on it out of the tea kettle. If the patient can take nothing but liquids, this makes a good drink when strained.	true	120.17	133.12	23.239643
480_123176_000011_000000	Egg Panada.	Egg Panada.	true	134.87	136	20.121675
480_123176_000012_000000	Boil a handful of good raisins in a quart of water; toast a slice of bread and cut it up; beat two eggs with a spoonful of sugar, and mix it with the bread; when the raisins are done, pour them on the toast and eggs, stirring all the time; season to your taste with wine, nutmeg and butter.	Boil a handful of good raisins in a quart of water; toast a slice of bread and cut it up; beat two eggs with a spoonful of sugar, and mix it with the bread; when the raisins are done, pour them on the toast and eggs, stirring all the time; season to your taste with wine, nutmeg and butter.	true	136.97	156.73	22.143375
480_123176_000013_000000	Oat-meal Gruel.	Oat meal Gruel.	true	158.9	160.18	21.484676
480_123176_000014_000000	Mix two spoonsful of oat-meal, with as much water as will mix it easily, and stir it in a pint of boiling water in a sauce-pan until perfectly smooth; let it boil a few minutes; season it with sugar and nutmeg, and pour it out on a slice of bread toasted and cut up, or some dried rusk. If the patient should like them, you can put in a few raisins, stoned and cut up.	Mix two spoonsful of oat meal, with as much water as will mix it easily, and stir it in a pint of boiling water in a sauce pan until perfectly smooth; let it boil a few minutes; season it with sugar and nutmeg, and pour it out on a slice of bread toasted and cut up, or some dried rusk. If the patient should like them, you can put in a few raisins, stoned and cut up.	false	160.88	185.08	21.1485
480_123176_000014_000001	This will keep good a day, and if nicely warmed over, is as good as when fresh.	This will keep good a day, and if nicely warmed over, is as good as when fresh.	false	185.45	190.15	20.84498
480_123176_000015_000000	Corn Gruel.	Corn Gruel.	true	191.45	192.73	20.080381
480_123176_000016_000000	Mix two spoonsful of sifted corn-meal in some water; have a clean skillet with a pint of boiling water in it; stir it in, and when done, season it with salt to your taste, or sugar, if you prefer it;	Mix two spoonsful of sifted corn meal in some water; have a clean skillet with a pint of boiling water in it; stir it in, and when done, season it with salt to your taste, or sugar, if you prefer it;	false	193.19	208.05	21.888983
480_123176_000017_000000	Arrow-root.	Arrow root.	true	208.05	209.08	23.5294
480_123176_000018_000000	Moisten two tea-spoonsful of powdered arrow-root with water, and rub it smooth with a spoon; then pour on half a pint of boiling water; season it with lemon juice, or wine and nutmeg.	Moisten two tea spoonsful of powdered arrow root with water, and rub it smooth with a spoon; then pour on half a pint of boiling water; season it with lemon juice, or wine and nutmeg.	false	209.81	221.74	22.74986
480_123176_000018_000001	In cooking arrow-root for children, it is a very good way to make it very thick, and thin it afterwards with milk.	In cooking arrow root for children, it is a very good way to make it very thick, and thin it afterwards with milk.	true	222.17	230.1	22.903456
480_123176_000019_000000	Sago.	Sago.	true	230.1	231.79	22.693348
480_123176_000020_000000	Wash, the sago, (allowing two table-spoonsful to a quart of water,) and soak it an hour; boil it slowly till it thickens; sweeten it with loaf-sugar, and season it with wine or lemon juice.	Wash, the sago, (allowing two table spoonsful to a quart of water,) and soak it an hour; boil it slowly till it thickens; sweeten it with loaf sugar, and season it with wine or lemon juice.	false	231.98	243.85	22.535059
480_123176_000021_000000	Tapioca Jelly.	Tapioca Jelly.	true	245.3	246.61	26.444935
480_123176_000022_000000	Wash the tapioca well, and let it soak for several hours in cold water; put it in a sauce-pan with the same water, and let it boil slowly till it is clear and thick; then season it with wine and loaf-sugar.	Wash the tapioca well, and let it soak for several hours in cold water; put it in a sauce pan with the same water, and let it boil slowly till it is clear and thick; then season it with wine and loaf sugar.	false	247.4	260.38	20.984266
480_123176_000022_000001	The pearl tapioca will require less time to soak, and no washing.	The pearl tapioca will require less time to soak, and no washing.	false	261.11	265.3	23.03175
480_123176_000022_000002	Allow three table-spoonsful of tapioca to a quart of water.	Allow three table spoonsful of tapioca to a quart of water.	false	265.73	269.89	22.179201
480_123176_000023_000000	Milk Porridge.	Milk Porridge.	true	271.73	273.04	26.25139
480_123176_000024_000000	Put half a pint of milk, and the same of water, in a sauce-pan to boil; mix two spoonsful of wheat flour in milk till very smooth, and stir in when it boils; keep stirring it five minutes, when pour it in a bowl and season with salt.	Put half a pint of milk, and the same of water, in a sauce pan to boil; mix two spoonsful of wheat flour in milk till very smooth, and stir in when it boils; keep stirring it five minutes, when pour it in a bowl and season with salt.	false	273.56	288.94	20.64056
480_123176_000025_000000	Barley Water.	Barley Water.	true	290.06	291.22	19.64284
480_123176_000026_000000	Boil two table-spoonsful of barley in a quart of water; it is a cooling drink in fevers.	Boil two table spoonsful of barley in a quart of water; it is a cooling drink in fevers.	false	292.4	298.36	24.088696
