764_132280_000000_000000	Of Masques And Triumphs	Of Masques And Triumphs	false	18.48	24.58	20.401802
764_132280_000001_000000	THESE things are but toys, to come amongst such serious observations. But yet, since princes will have such things, it is better they should be graced with elegancy, than daubed with cost.	THESE things are but toys, to come amongst such serious observations. But yet, since princes will have such things, it is better they should be graced with elegancy, than daubed with cost.	false	25.7	39.4	19.349655
764_132280_000001_000001	Dancing to song, is a thing of great state and pleasure.	Dancing to song, is a thing of great state and pleasure.	true	39.5	43.87	19.497475
764_132280_000001_000002	I understand it, that the song be in quire, placed aloft, and accompanied with some broken music; and the ditty fitted to the device.	I understand it, that the song be in quire, placed aloft, and accompanied with some broken music; and the ditty fitted to the device.	true	44.3	54.07	19.951294
764_132280_000001_000003	Acting in song, especially in dialogues, hath an extreme good grace; I say acting, not dancing (for that is a mean and vulgar thing); and the voices of the dialogue would be strong and manly (a base and a tenor; no treble); and the ditty high and tragical; not nice or dainty.	Acting in song, especially in dialogues, hath an extreme good grace; I say acting, not dancing (for that is a mean and vulgar thing); and the voices of the dialogue would be strong and manly (a base and a tenor; no treble); and the ditty high and tragical; not nice or dainty.	true	54.65	78.22	19.197927
764_132280_000001_000004	Several quires, placed one over against another, and taking the voice by catches, anthem-wise, give great pleasure.	Several quires, placed one over against another, and taking the voice by catches, anthem wise, give great pleasure.	true	79.19	87.25	21.86484
764_132280_000001_000005	Turning dances into figure, is a childish curiosity.	Turning dances into figure, is a childish curiosity.	true	87.68	91.51	20
764_132280_000001_000006	And generally let it be noted, that those things which I here set down, are such as do naturally take the sense, and not respect petty wonderments. It is true, the alterations of scenes, so it be quietly and without noise, are things of great beauty and pleasure; for they feed and relieve the eye, before it be full of the same object.	And generally let it be noted, that those things which I here set down, are such as do naturally take the sense, and not respect petty wonderments. It is true, the alterations of scenes, so it be quietly and without noise, are things of great beauty and pleasure; for they feed and relieve the eye, before it be full of the same object.	true	91.79	115.15	20.156157
764_132280_000001_000007	Let the scenes abound with light, specially colored and varied; and let the masquers, or any other, that are to come down from the scene, have some motions upon the scene itself, before their coming down; for it draws the eye strangely, and makes it, with great pleasure, to desire to see, that it cannot perfectly discern.	Let the scenes abound with light, specially colored and varied; and let the masquers, or any other, that are to come down from the scene, have some motions upon the scene itself, before their coming down; for it draws the eye strangely, and makes it, with great pleasure, to desire to see, that it cannot perfectly discern.	false	115.67	138.52	19.421703
764_132280_000001_000008	Let the songs be loud and cheerful, and not chirpings or pulings.	Let the songs be loud and cheerful, and not chirpings or pulings.	true	139.28	144.61	19.959463
764_132280_000001_000009	Let the music likewise be sharp and loud, and well placed.	Let the music likewise be sharp and loud, and well placed.	true	145.01	149.41	22.331509
764_132280_000001_000010	The colors that show best by candle-light are white, carnation, and a kind of sea-water-green; and oes, or spangs, as they are of no great cost, so they are of most glory.	The colors that show best by candle light are white, carnation, and a kind of sea water green; and o e s, or spangs, as they are of no great cost, so they are of most glory.	false	149.96	163.54	19.879906
764_132280_000001_000011	As for rich embroidery, it is lost and not discerned.	As for rich embroidery, it is lost and not discerned.	true	164.03	168.28	20.069538
764_132280_000001_000012	Let the suits of the masquers be graceful, and such as become the person, when the vizors are off; not after examples of known attires; Turke, soldiers, mariners', and the like.	Let the suits of the masquers be graceful, and such as become the person, when the vizors are off; not after examples of known attires; Turke, soldiers, mariners', and the like.	true	169.1	183.52	20.386839
764_132280_000001_000013	Let anti-masques not be long; they have been commonly of fools, satyrs, baboons, wild-men, antics, beasts, sprites, witches, Ethiops, pigmies, turquets, nymphs, rustics, Cupids, statuas moving, and the like.	Let anti masques not be long; they have been commonly of fools, satyrs, baboons, wild men, antics, beasts, sprites, witches, Ethiops, pigmies, turquets, nymphs, rustics, Cupids, statuas moving, and the like.	true	184.07	205.87	20.601345
764_132280_000001_000014	As for angels, it is not comical enough, to put them in anti-masques; and anything that is hideous, as devils, giants, is on the other side as unfit.	As for angels, it is not comical enough, to put them in anti masques; and anything that is hideous, as devils, giants, is on the other side as unfit.	true	206.42	216.94	19.34069
764_132280_000001_000015	But chiefly, let the music of them be recreative, and with some strange changes.	But chiefly, let the music of them be recreative, and with some strange changes.	true	217.4	223.48	20
764_132280_000001_000016	Some sweet odors suddenly coming forth, without any drops falling, are, in such a company as there is steam and heat, things of great pleasure and refreshment.	Some sweet odors suddenly coming forth, without any drops falling, are, in such a company as there is steam and heat, things of great pleasure and refreshment.	true	223.73	234.94	21.445889
764_132280_000001_000017	Double masques, one of men, another of ladies, addeth state and variety.	Double masques, one of men, another of ladies, addeth state and variety.	true	235.4	240.76	21.114195
764_132280_000001_000018	But all is nothing except the room be kept clear and neat.	But all is nothing except the room be kept clear and neat.	true	241.28	245.5	19.266817
764_132280_000002_000000	For justs, and tourneys, and barriers; the glories of them are chiefly in the chariots, wherein the challengers make their entry; especially if they be drawn with strange beasts: as lions, bears, camels, and the like; or in the devices of their entrance; or in the bravery of their liveries; or in the goodly furniture of their horses and armor.	For justs, and tourneys, and barriers; the glories of them are chiefly in the chariots, wherein the challengers make their entry; especially if they be drawn with strange beasts: as lions, bears, camels, and the like; or in the devices of their entrance; or in the bravery of their liveries; or in the goodly furniture of their horses and armor.	true	246.05	271.09	18.796629
764_132280_000002_000001	But enough of these toys.	But enough of these toys.	false	271.88	278.28	19.396713
764_132280_000003_000000	Of Nature In Men	Of Nature In Men	false	278.28	279.82	21.126537
764_132280_000004_000000	NATURE is often hidden; sometimes overcome; seldom extinguished.	NATURE is often hidden; sometimes overcome; seldom extinguished.	true	280.94	287.2	20.176039
764_132280_000004_000001	Force, maketh nature more violent in the return; doctrine and discourse, maketh nature less importune; but custom only doth alter and subdue nature.	Force, maketh nature more violent in the return; doctrine and discourse, maketh nature less importune; but custom only doth alter and subdue nature.	true	287.48	298.48	20.44708
764_132280_000004_000002	He that seeketh victory over his nature, let him not set himself too great, nor too small tasks; for the first will make him dejected by often failings; and the second will make him a small proceeder, though by often prevailings.	He that seeketh victory over his nature, let him not set himself too great, nor too small tasks; for the first will make him dejected by often failings; and the second will make him a small proceeder, though by often prevailings.	true	298.88	314.47	22.001343
764_132280_000004_000003	And at the first let him practise with helps, as swimmers do with bladders or rushes; but after a time let him practise with disadvantages, as dancers do with thick shoes.	And at the first let him practise with helps, as swimmers do with bladders or rushes; but after a time let him practise with disadvantages, as dancers do with thick shoes.	false	315.05	327.28	21.069454
764_132280_000004_000004	For it breeds great perfection, if the practice be harder than the use.	For it breeds great perfection, if the practice be harder than the use.	true	327.5	331.99	21.280043
