1025_92814_000000_000000	There was no string, but I frolicked along with my master to the Twenty-third street ferry.	There was no string, but I frolicked along with my master to the Twenty third street ferry.	false	0	2.97	16.521498
1025_92814_000000_000001	And the cats on the route saw reason to give thanks that prehensile claws had been given them.	And the cats on the route saw reason to give thanks that prehensile claws had been given them.	false	2.97	8.04	22.636889
1025_92814_000001_000000	On the Jersey side my master said to a stranger who stood eating a currant bun:	On the Jersey side my master said to a stranger who stood eating a currant bun:	false	8.04	9.54	23.841003
1025_92814_000002_000000	"Me and my doggie, we are bound for the Rocky Mountains."	"Me and my doggie, we are bound for the Rocky Mountains."	false	9.54	11.55	16
1025_92814_000003_000000	But what pleased me most was when my old man pulled both of my ears until I howled, and said:	But what pleased me most was when my old man pulled both of my ears until I howled, and said:	false	11.55	13.92	24.950048
1025_92814_000004_000000	"You common, monkey-headed, rat-tailed, sulphur-coloured son of a door mat, do you know what I'm going to call you?"	"You common, monkey headed, rat tailed, sulphur coloured son of a door mat, do you know what I'm going to call you?"	false	13.92	15.57	17.552986
1025_92814_000005_000000	I thought of "Lovey," and I whined dolefully.	I thought of "Lovey," and I whined dolefully.	false	15.57	16.29	3
1025_92814_000006_000000	"I'm going to call you 'Pete,'" says my master; and if I'd had five tails I couldn't have done enough wagging to do justice to the occasion.	"I'm going to call you 'Pete,'" says my master; and if I'd had five tails I couldn't have done enough wagging to do justice to the occasion.	false	16.29	22.53	19.790361
1025_92814_000007_000000	THE LOVE-PHILTRE OF IKEY SCHOENSTEIN	THE LOVE PHILTRE OF IKEY SCHOENSTEIN	false	22.53	24.88	22
1025_92814_000008_000000	The Blue Light Drug Store is downtown, between the Bowery and First Avenue, where the distance between the two streets is the shortest.	The Blue Light Drug Store is downtown, between the Bowery and First Avenue, where the distance between the two streets is the shortest.	true	25.01	32.83	22.97133
1025_92814_000008_000001	The Blue Light does not consider that pharmacy is a thing of bric-a-brac, scent and ice-cream soda.	The Blue Light does not consider that pharmacy is a thing of bric a brac, scent and ice cream soda.	true	33.02	38.835	23
1025_92814_000008_000002	If you ask it for pain-killer it will not give you a bonbon.	If you ask it for pain killer it will not give you a bonbon.	true	38.835	42.52	19
1025_92814_000009_000000	The Blue Light scorns the labour-saving arts of modern pharmacy.	The Blue Light scorns the labour saving arts of modern pharmacy.	true	42.68	46.74	19
1025_92814_000009_000001	It macerates its opium and percolates its own laudanum and paregoric. To this day pills are made behind its tall prescription desk--pills rolled out on its own pill-tile, divided with a spatula, rolled with the finger and thumb, dusted with calcined magnesia and delivered in little round pasteboard pill-boxes.	It macerates its opium and percolates its own laudanum and paregoric. To this day pills are made behind its tall prescription desk-pills rolled out on its own pill tile, divided with a spatula, rolled with the finger and thumb, dusted with calcined magnesia and delivered in little round pasteboard pill boxes.	true	46.74	66.58	21
1025_92814_000009_000002	The store is on a corner about which coveys of ragged-plumed, hilarious children play and become candidates for the cough drops and soothing syrups that wait for them inside.	The store is on a corner about which coveys of ragged plumed, hilarious children play and become candidates for the cough drops and soothing syrups that wait for them inside.	true	66.74	77.02	20
1025_92814_000010_000000	Ikey Schoenstein was the night clerk of the Blue Light and the friend of his customers.	Ikey Schoenstein was the night clerk of the Blue Light and the friend of his customers.	true	77.09	81.82	19
1025_92814_000010_000001	Thus it is on the East Side, where the heart of pharmacy is not glace.	Thus it is on the East Side, where the heart of pharmacy is not glace.	false	81.92	86.28	18.618895
1025_92814_000010_000002	There, as it should be, the druggist is a counsellor, a confessor, an adviser, an able and willing missionary and mentor whose learning is respected, whose occult wisdom is venerated and whose medicine is often poured, untasted, into the gutter.	There, as it should be, the druggist is a counsellor, a confessor, an adviser, an able and willing missionary and mentor whose learning is respected, whose occult wisdom is venerated and whose medicine is often poured, untasted, into the gutter.	true	86.28	100.81	19
1025_92814_000010_000003	Therefore Ikey's corniform, be-spectacled nose and narrow, knowledge-bowed figure was well known in the vicinity of the Blue Light, and his advice and notice were much desired.	Therefore Ikey's corniform, be spectacled nose and narrow, knowledge bowed figure was well known in the vicinity of the Blue Light, and his advice and notice were much desired.	true	101.45	111.67	16
1025_92814_000011_000000	Ikey roomed and breakfasted at Mrs. Riddle's two squares away.	Ikey roomed and breakfasted at mrs Riddle's two squares away.	true	111.8	115.875	20
1025_92814_000011_000001	Mrs. Riddle had a daughter named Rosy.	mrs Riddle had a daughter named Rosy.	true	115.875	118.39	19.168144
1025_92814_000011_000002	The circumlocution has been in vain--you must have guessed it--Ikey adored Rosy.	The circumlocution has been in vain-you must have guessed it-Ikey adored Rosy.	true	118.52	124.51	22.796917
1025_92814_000011_000003	She tinctured all his thoughts; she was the compound extract of all that was chemically pure and officinal--the dispensatory contained nothing equal to her. But Ikey was timid, and his hopes remained insoluble in the menstruum of his backwardness and fears.	She tinctured all his thoughts; she was the compound extract of all that was chemically pure and officinal-the dispensatory contained nothing equal to her. But Ikey was timid, and his hopes remained insoluble in the menstruum of his backwardness and fears.	false	124.58	140.265	22
1025_92814_000011_000004	Behind his counter he was a superior being, calmly conscious of special knowledge and worth; outside he was a weak-kneed, purblind, motorman-cursed rambler, with ill-fitting clothes stained with chemicals and smelling of socotrine aloes and valerianate of ammonia.	Behind his counter he was a superior being, calmly conscious of special knowledge and worth; outside he was a weak kneed, purblind, motorman cursed rambler, with ill fitting clothes stained with chemicals and smelling of socotrine aloes and valerianate of ammonia.	false	140.265	157.06	21
1025_92814_000012_000000	The fly in Ikey's ointment (thrice welcome, pat trope!) was Chunk McGowan.	The fly in Ikey's ointment (thrice welcome, pat trope!) was Chunk McGowan.	true	157.31	162.25	22.991793
1025_92814_000013_000000	Mr. McGowan was also striving to catch the bright smiles tossed about by Rosy.	mr McGowan was also striving to catch the bright smiles tossed about by Rosy.	true	162.68	167.355	19
1025_92814_000013_000001	But he was no outfielder as Ikey was; he picked them off the bat. At the same time he was Ikey's friend and customer, and often dropped in at the Blue Light Drug Store to have a bruise painted with iodine or get a cut rubber-plastered after a pleasant evening spent along the Bowery.	But he was no outfielder as Ikey was; he picked them off the bat. At the same time he was Ikey's friend and customer, and often dropped in at the Blue Light Drug Store to have a bruise painted with iodine or get a cut rubber plastered after a pleasant evening spent along the Bowery.	true	167.355	183.19	20
1025_92814_000014_000000	One afternoon McGowan drifted in in his silent, easy way, and sat, comely, smooth-faced, hard, indomitable, good-natured, upon a stool.	One afternoon McGowan drifted in in his silent, easy way, and sat, comely, smooth faced, hard, indomitable, good-natured, upon a stool.	true	183.5	192.24	15
1025_92814_000015_000000	"Ikey," said he, when his friend had fetched his mortar and sat opposite, grinding gum benzoin to a powder, "get busy with your ear. It's drugs for me if you've got the line I need."	"Ikey," said he, when his friend had fetched his mortar and sat opposite, grinding gum benzoin to a powder, "get busy with your ear. It's drugs for me if you've got the line I need."	false	192.24	203.47	21.63052
1025_92814_000016_000000	Ikey scanned the countenance of Mr. McGowan for the usual evidences of conflict, but found none.	Ikey scanned the countenance of mr McGowan for the usual evidences of conflict, but found none.	true	203.57	209.14	19
1025_92814_000017_000000	"Take your coat off," he ordered.	"Take your coat off," he ordered.	false	209.42	211.12	23.401379
1025_92814_000017_000001	"I guess already that you have been stuck in the ribs with a knife.	"I guess already that you have been stuck in the ribs with a knife.	true	211.13	214.455	21
1025_92814_000017_000002	I have many times told you those Dagoes would do you up."	I have many times told you those Dagoes would do you up."	true	214.455	217.69	21
1025_92814_000018_000000	Mr. McGowan smiled.	mr McGowan smiled.	true	217.91	219.555	21.613314
1025_92814_000018_000001	"Not them," he said.	"Not them," he said.	true	219.555	220.815	17.421186
1025_92814_000018_000002	"Not any Dagoes.	"Not any Dagoes.	true	220.815	222.045	23.501663
1025_92814_000018_000003	But you've located the diagnosis all right enough--it's under my coat, near the ribs.	But you've located the diagnosis all right enough-it's under my coat, near the ribs.	true	222.045	227.32	21.9296
1025_92814_000018_000004	Say!	Say!	true	227.48	228.15	16.37461
