806_124221_000000_000000	14.	fourteen.
806_124221_000000_000001	Mr Waller Appears in a New Light	Mr Waller Appears in a New Light
806_124221_000001_000000	The department into which Mike was sent was the Cash, or, to be more exact, that section of it which was known as Paying Cashier.	The department into which Mike was sent was the Cash, or, to be more exact, that section of it which was known as Paying Cashier.
806_124221_000001_000001	The important task of shooting doubloons across the counter did not belong to Mike himself, but to Mr Waller.	The important task of shooting doubloons across the counter did not belong to Mike himself, but to Mr Waller.
806_124221_000001_000002	Mike's work was less ostentatious, and was performed with pen, ink, and ledgers in the background. Occasionally, when Mr Waller was out at lunch, Mike had to act as substitute for him, and cash cheques; but Mr Waller always went out at a slack time, when few customers came in, and Mike seldom had any very startling sum to hand over.	Mike's work was less ostentatious, and was performed with pen, ink, and ledgers in the background. Occasionally, when Mr Waller was out at lunch, Mike had to act as substitute for him, and cash cheques; but Mr Waller always went out at a slack time, when few customers came in, and Mike seldom had any very startling sum to hand over.
806_124221_000002_000000	He enjoyed being in the Cash Department.	He enjoyed being in the Cash Department.
806_124221_000002_000001	He liked Mr Waller.	He liked Mr Waller.
806_124221_000002_000002	The work was easy; and when he did happen to make mistakes, they were corrected patiently by the grey-bearded one, and not used as levers for boosting him into the presence of Mr Bickersdyke, as they might have been in some departments.	The work was easy; and when he did happen to make mistakes, they were corrected patiently by the grey bearded one, and not used as levers for boosting him into the presence of Mr Bickersdyke, as they might have been in some departments.
806_124221_000002_000003	The cashier seemed to have taken a fancy to Mike; and Mike, as was usually the way with him when people went out of their way to be friendly, was at his best.	The cashier seemed to have taken a fancy to Mike; and Mike, as was usually the way with him when people went out of their way to be friendly, was at his best.
806_124221_000002_000004	Mike at his ease and unsuspicious of hostile intentions was a different person from Mike with his prickles out.	Mike at his ease and unsuspicious of hostile intentions was a different person from Mike with his prickles out.
806_124221_000003_000001	It was an unheard-of thing, he said, depriving a man of his confidential secretary without so much as asking his leave.	It was an unheard of thing, he said, depriving a man of his confidential secretary without so much as asking his leave.
806_124221_000004_000000	'It has caused me the greatest inconvenience,' he told Mike, drifting round in a melancholy way to the Cash Department during a slack spell one afternoon.	'It has caused me the greatest inconvenience,' he told Mike, drifting round in a melancholy way to the Cash Department during a slack spell one afternoon.
806_124221_000004_000001	'I miss you at every turn.	'I miss you at every turn.
806_124221_000004_000004	In the cart.	In the cart.
806_124221_000004_000005	I evolved a slightly bright thought on life just now.	I evolved a slightly bright thought on life just now.
806_124221_000004_000006	There was nobody to tell it to except the new man.	There was nobody to tell it to except the new man.
806_124221_000004_000008	I tell you, Comrade Jackson, I feel like some lion that has been robbed of its cub.	I tell you, Comrade Jackson, I feel like some lion that has been robbed of its cub.
806_124221_000004_000011	We still talk brokenly about Manchester United--they got routed in the first round of the Cup yesterday and Comrade Rossiter is wearing black--but it is not the same.	We still talk brokenly about Manchester United-they got routed in the first round of the Cup yesterday and Comrade Rossiter is wearing black-but it is not the same.
806_124221_000004_000012	I try work, but that is no good either.	I try work, but that is no good either.
806_124221_000004_000013	From ledger to ledger they hurry me, to stifle my regret.	From ledger to ledger they hurry me, to stifle my regret.
806_124221_000004_000014	And when they win a smile from me, they think that I forget.	And when they win a smile from me, they think that I forget.
806_124221_000004_000015	But I don't.	But I don't.
806_124221_000004_000016	I am a broken man.	I am a broken man.
806_124221_000004_000018	One of Nature's blighters.	One of Nature's blighters.
806_124221_000004_000020	Comrade Rossiter awaits me.'	Comrade Rossiter awaits me.'
806_124221_000005_000001	His worst defect--which he could not help--was that he was not Mike.	His worst defect-which he could not help-was that he was not Mike.
806_124221_000005_000002	His others--which he could--were numerous.	His others-which he could-were numerous.
806_124221_000005_000003	His clothes were cut in a way that harrowed Psmith's sensitive soul every time he looked at them.	His clothes were cut in a way that harrowed Psmith's sensitive soul every time he looked at them.
806_124221_000005_000004	The fact that he wore detachable cuffs, which he took off on beginning work and stacked in a glistening pile on the desk in front of him, was no proof of innate viciousness of disposition, but it prejudiced the Old Etonian against him.	The fact that he wore detachable cuffs, which he took off on beginning work and stacked in a glistening pile on the desk in front of him, was no proof of innate viciousness of disposition, but it prejudiced the Old Etonian against him.
