4289_21393_000004_000000	CHAPTER XXVI	CHAPTER twenty six
4289_21393_000005_000000	THE WINGED VICTORY	THE WINGED VICTORY
4289_21393_000006_000000	KATE turned and placing the baby on the front seat, she knelt and put her arms around the little thing, but her lips only repeated the words: "Praise the Lord for this precious baby!" Her heart was filled with high resolve.	KATE turned and placing the baby on the front seat, she knelt and put her arms around the little thing, but her lips only repeated the words: "Praise the Lord for this precious baby!" Her heart was filled with high resolve.
4289_21393_000006_000001	She would rear the baby with such care.	She would rear the baby with such care.
4289_21393_000006_000002	She would be more careful with Adam.	She would be more careful with Adam.
4289_21393_000006_000003	She would make heroic effort to help him to clean, unashamed manhood.	She would make heroic effort to help him to clean, unashamed manhood.
4289_21393_000006_000004	She would be a better sister to all her family.	She would be a better sister to all her family.
4289_21393_000006_000005	She would be friendlier, and have more patience with the neighbours.	She would be friendlier, and have more patience with the neighbours.
4289_21393_000006_000006	She would join in whatever effort the church was making to hold and increase its membership among the young people, and to raise funds to keep up the organization.	She would join in whatever effort the church was making to hold and increase its membership among the young people, and to raise funds to keep up the organization.
4289_21393_000006_000008	Kate arose with the benediction, picked up the baby, and started down the aisle among the people she had known all her life.	Kate arose with the benediction, picked up the baby, and started down the aisle among the people she had known all her life.
4289_21393_000006_000009	On every side strong hands stretched out to greet and welcome her.	On every side strong hands stretched out to greet and welcome her.
4289_21393_000006_000011	They all knew how she could work, and what she could give if she chose; while that she had stood at the altar and been baptized, meant that something not customary with the Bates family was taking place in her heart.	They all knew how she could work, and what she could give if she chose; while that she had stood at the altar and been baptized, meant that something not customary with the Bates family was taking place in her heart.
4289_21393_000006_000012	So they welcomed her, and praised the beauty and sweetness of the baby until Kate went out into the sunshine, her face glowing.	So they welcomed her, and praised the beauty and sweetness of the baby until Kate went out into the sunshine, her face glowing.
4289_21393_000007_000000	Slowly she walked home and as she reached the veranda, Adam took the baby.	Slowly she walked home and as she reached the veranda, Adam took the baby.
4289_21393_000008_000000	"Been to the cemetery?" he asked.	"Been to the cemetery?" he asked.
4289_21393_000009_000000	Kate nodded and dropped into a chair.	Kate nodded and dropped into a chair.
4289_21393_000010_000000	"That's too far to walk and carry this great big woman," he said, snuggling his face in the baby's neck, while she patted his cheeks and pulled his hair.	"That's too far to walk and carry this great big woman," he said, snuggling his face in the baby's neck, while she patted his cheeks and pulled his hair.
4289_21393_000010_000001	"Why didn't you tell me you wanted to go, and let me get out the car?"	"Why didn't you tell me you wanted to go, and let me get out the car?"
4289_21393_000011_000000	Kate looked at him speculatively.	Kate looked at him speculatively.
4289_21393_000012_000002	I'm going to church as often as I can after this, and I'm going to help with the work of running it."	I'm going to church as often as I can after this, and I'm going to help with the work of running it."
4289_21393_000013_000001	"Why didn't you let me go with you?"	"Why didn't you let me go with you?"
4289_21393_000014_000000	Kate sat staring down the road.	Kate sat staring down the road.
4289_21393_000014_000001	She was shocked speechless.	She was shocked speechless.
4289_21393_000014_000002	Again she had followed an impulse, without thinking of any one besides herself. Usually she could talk, but in that instant she had nothing to say. Then a carriage drew into the line of her vision, stopped at York's gate, and Mr. York alighted and swung to the ground a slim girlish figure and then helped his wife.	Again she had followed an impulse, without thinking of any one besides herself. Usually she could talk, but in that instant she had nothing to say. Then a carriage drew into the line of her vision, stopped at York's gate, and mr York alighted and swung to the ground a slim girlish figure and then helped his wife.
4289_21393_000014_000004	"But you would want to wait a little and join with Milly, wouldn't you?" she asked.	"But you would want to wait a little and join with Milly, wouldn't you?" she asked.
4289_21393_000014_000005	"Uncle Robert always has been a church member.	"Uncle Robert always has been a church member.
4289_21393_000014_000006	I think it's a fine stand for a man to take."	I think it's a fine stand for a man to take."
4289_21393_000015_000000	"Maybe that would be better," he said.	"Maybe that would be better," he said.
4289_21393_000015_000001	"I didn't think of Milly.	"I didn't think of Milly.
4289_21393_000015_000002	I only thought I'd like to have been with you and Little Poll."	I only thought I'd like to have been with you and Little Poll."
4289_21393_000017_000000	She was a very substantial woman, but for the remainder of that day she felt that she was moving with winged feet.	She was a very substantial woman, but for the remainder of that day she felt that she was moving with winged feet.
4289_21393_000017_000001	She sang, she laughed, she was unspeakably happy.	She sang, she laughed, she was unspeakably happy.
4289_21393_000017_000003	It never occurred to Kate that she had done an unprecedented thing.	It never occurred to Kate that she had done an unprecedented thing.
4289_21393_000017_000004	She had done as her heart dictated. She did not know that she put the minister into a most uncomfortable position, when he followed her request to baptize her and the child. She had never thought of probations, and examinations, and catechisms. She had read the Bible, as was the custom, every morning before her school.	She had done as her heart dictated. She did not know that she put the minister into a most uncomfortable position, when he followed her request to baptize her and the child. She had never thought of probations, and examinations, and catechisms. She had read the Bible, as was the custom, every morning before her school.
4289_21393_000017_000005	In that book, when a man wanted to follow Jesus, he followed; Jesus accepted him; and that was all there was to it, with Kate.	In that book, when a man wanted to follow Jesus, he followed; Jesus accepted him; and that was all there was to it, with Kate.
4289_21393_000018_000000	The middle of the week Nancy Ellen came flying up the walk on winged feet, herself.	The middle of the week Nancy Ellen came flying up the walk on winged feet, herself.
4289_21393_000018_000001	She carried photographs of several small children, one of them a girl so like Little Poll that she might have been the original of the picture.	She carried photographs of several small children, one of them a girl so like Little Poll that she might have been the original of the picture.
4289_21393_000019_000000	"They just came," said Nancy Ellen rather breathlessly.	"They just came," said Nancy Ellen rather breathlessly.
4289_21393_000019_000001	"I was wild for that little darling at once.	"I was wild for that little darling at once.
4289_21393_000019_000002	I had Robert telegraph them to hold her until we could get there.	I had Robert telegraph them to hold her until we could get there.
4289_21393_000019_000003	We're going to start on the evening train and if her blood seems good, and her ancestors respectable, and she looks like that picture, we're going to bring her back with us. Oh, Kate, I can scarcely wait to get my fingers on her.	We're going to start on the evening train and if her blood seems good, and her ancestors respectable, and she looks like that picture, we're going to bring her back with us. Oh, Kate, I can scarcely wait to get my fingers on her.
4289_21393_000019_000004	I'm hungry for a baby all of my own."	I'm hungry for a baby all of my own."
4289_21393_000020_000000	Kate studied the picture.	Kate studied the picture.
4289_21393_000021_000000	"She's charming!" she said.	"She's charming!" she said.
4289_21393_000022_000000	Nancy Ellen looked at Kate and smiled peculiarly.	Nancy Ellen looked at Kate and smiled peculiarly.
4289_21393_000023_000002	I can't imagine a Bates joining church."	I can't imagine a Bates joining church."
4289_21393_000024_000000	"If that is joining church, it's the easiest thing in the world," said Kate.	"If that is joining church, it's the easiest thing in the world," said Kate.
4289_21393_000024_000001	"We just loved doing it, didn't we, Little Poll?	"We just loved doing it, didn't we, Little Poll?
4289_21393_000024_000002	Adam and Milly are going to come in soon, I'm almost sure.	Adam and Milly are going to come in soon, I'm almost sure.
4289_21393_000024_000003	At least he is willing.	At least he is willing.
4289_21393_000024_000004	I don't know what it is that I am to do, but I suppose they will give me my work soon."	I don't know what it is that I am to do, but I suppose they will give me my work soon."
4289_21393_000025_000000	"You bet they'll give you work soon, and enough," said Nancy Ellen, laughing.	"You bet they'll give you work soon, and enough," said Nancy Ellen, laughing.
4289_21393_000025_000002	You'll just put it through, as you do things out here.	You'll just put it through, as you do things out here.
4289_21393_000025_000003	Kate, you are making this place look fine.	Kate, you are making this place look fine.
