3923_181420_000001_000000	ADRIFT ON AN ICE-PAN	ADRIFT ON AN ICE PAN
3923_181420_000020_000000	BIOGRAPHICAL SKETCH	BIOGRAPHICAL SKETCH
3923_181420_000021_000000	"MOST NOBLE VICE-CHANCELLOR, AND YOU, EMINENT PROCTORS:	"MOST NOBLE VICE CHANCELLOR, AND YOU, EMINENT PROCTORS:
3923_181420_000022_000000	"A citizen of Britain is before you, once a student in this University, now better known to the people of the New World than to our own.	"A citizen of Britain is before you, once a student in this University, now better known to the people of the New World than to our own.
3923_181420_000022_000001	This is the man who fifteen years ago went to the coast of Labrador, to succor with medical aid the solitary fishermen of the northern sea; in executing which service he despised the perils of the ocean, which are there most terrible, in order to bring comfort and light to the wretched and sorrowing.	This is the man who fifteen years ago went to the coast of Labrador, to succor with medical aid the solitary fishermen of the northern sea; in executing which service he despised the perils of the ocean, which are there most terrible, in order to bring comfort and light to the wretched and sorrowing.
3923_181420_000022_000002	Thus, up to the measure of human ability, he seems to follow, if it is right to say it of any one, in the footsteps of Christ Himself, as a truly Christian man.	Thus, up to the measure of human ability, he seems to follow, if it is right to say it of any one, in the footsteps of Christ Himself, as a truly Christian man.
3923_181420_000022_000003	Rightly then we praise him by whose praise not he alone, but our University also is honored.	Rightly then we praise him by whose praise not he alone, but our University also is honored.
3923_181420_000023_000001	With these fitting words was presented a man whose simple faith has been the motive power of his works, to whom pain and weariness of flesh have called no stay since there was discouragement never, to whom personal danger has counted as nothing since fear is incomprehensible.	With these fitting words was presented a man whose simple faith has been the motive power of his works, to whom pain and weariness of flesh have called no stay since there was discouragement never, to whom personal danger has counted as nothing since fear is incomprehensible.
3923_181420_000023_000002	"As the Lord wills, whether for wreck or service, I am about His business." On November 9th of the preceding year, the King of England gave one of his "Birthday Honors" to the same man, making him a Companion of St. Michael and St. George (C.M.G.).	"As the Lord wills, whether for wreck or service, I am about His business." On november ninth of the preceding year, the King of England gave one of his "Birthday Honors" to the same man, making him a Companion of saint Michael and saint George (c m g).
3923_181420_000024_000001	Algernon Sydney Grenfell and Jane Georgiana Hutchinson, was born on the twenty-eighth day of February, eighteen hundred and sixty-five, at Mostyn House School, Parkgate, by Chester, England, of an ancestry which laid a firm foundation for his career and in surroundings which fitted him for it.	Algernon Sydney Grenfell and Jane Georgiana Hutchinson, was born on the twenty eighth day of February, eighteen hundred and sixty five, at Mostyn House School, Parkgate, by Chester, England, of an ancestry which laid a firm foundation for his career and in surroundings which fitted him for it.
3923_181420_000024_000002	On both sides of his inheritance have been exhibited the courage, patience, persistence, and fighting and teaching qualities which are exemplified in his own abilities to command, to administer, and to uplift.	On both sides of his inheritance have been exhibited the courage, patience, persistence, and fighting and teaching qualities which are exemplified in his own abilities to command, to administer, and to uplift.
3923_181420_000025_000000	On his father's side were the Grenvilles, who made good account of themselves in such cause as they approved, among them Basil Grenville, commander of the Royalist Cornish Army, killed at Lansdown in 1643 in defence of King Charles.	On his father's side were the Grenvilles, who made good account of themselves in such cause as they approved, among them Basil Grenville, commander of the Royalist Cornish Army, killed at Lansdown in sixteen forty three in defence of King Charles.
