7069_246893_000000_000000	CHAPTER V.	CHAPTER five	false	0.45	13.48	18.668749
7069_246893_000001_000000	A STAGGERING QUESTION.	A STAGGERING QUESTION.	true	14.12	15.97	24
7069_246893_000002_000000	It was time the curate should take his leave.	It was time the curate should take his leave.	true	17.87	20.83	22
7069_246893_000002_000001	Bascombe would go out with him and have his last cigar.	Bascombe would go out with him and have his last cigar.	true	21.47	25.36	18
7069_246893_000002_000002	The wind had fallen, and the moon was shining.	The wind had fallen, and the moon was shining.	true	25.76	28.36	13
7069_246893_000002_000003	A vague sense of contrast came over Wingfold, and as he stepped on the pavement from the threshold of the high gates of wrought iron, he turned involuntarily and looked back at the house.	A vague sense of contrast came over Wingfold, and as he stepped on the pavement from the threshold of the high gates of wrought iron, he turned involuntarily and looked back at the house.	true	28.67	40.09	16
7069_246893_000002_000004	It was of red brick, and flat-faced in the style of Queen Anne's time, so that the light could do nothing with it in the way of shadow, and dwelt only on the dignity of its unpretentiousness.	It was of red brick, and flat faced in the style of Queen Anne's time, so that the light could do nothing with it in the way of shadow, and dwelt only on the dignity of its unpretentiousness.	true	40.88	53.2	16
7069_246893_000002_000005	But aloft over its ridge the moon floated in the softest, loveliest blue, with just a cloud here and there to show how blue it was, and a sparkle where its blueness took fire in a star.	But aloft over its ridge the moon floated in the softest, loveliest blue, with just a cloud here and there to show how blue it was, and a sparkle where its blueness took fire in a star.	true	54.02	67.54	20
7069_246893_000002_000006	It was autumn, almost winter, below, and the creepers that clung to the house waved in the now gentle wind like the straggling tresses of old age; but above was a sky that might have overhung the last melting of spring into summer.	It was autumn, almost winter, below, and the creepers that clung to the house waved in the now gentle wind like the straggling tresses of old age; but above was a sky that might have overhung the last melting of spring into summer.	false	67.97	83.22	20.261835
7069_246893_000002_000007	At the end of the street rose the great square tower of the church, seeming larger than in the daylight.	At the end of the street rose the great square tower of the church, seeming larger than in the daylight.	true	83.22	88.54	14
7069_246893_000002_000008	There was something in it all that made the curate feel there ought to be more--as if the night knew something he did not; and he yielded himself to its invasion.	There was something in it all that made the curate feel there ought to be more-as if the night knew something he did not; and he yielded himself to its invasion.	true	89.27	101.38	21.977116
7069_246893_000003_000000	His companion having carefully lighted his cigar all round its extreme periphery, took it from his mouth, regarded its glowing end with a smile of satisfaction, and burst into a laugh.	His companion having carefully lighted his cigar all round its extreme periphery, took it from his mouth, regarded its glowing end with a smile of satisfaction, and burst into a laugh.	true	102.5	115.6	19
7069_246893_000003_000001	It was not a scornful laugh, neither was it a merry or a humorous laugh; it was one of satisfaction and amusement.	It was not a scornful laugh, neither was it a merry or a humorous laugh; it was one of satisfaction and amusement.	false	116.15	126.55	20
7069_246893_000004_000000	"Let me have a share in the fun," said the curate.	"Let me have a share in the fun," said the curate.	true	127.82	130.99	16.721167
7069_246893_000005_000000	"You have it," said his companion--rudely, indeed, but not quite offensively, and put his cigar in his mouth again.	"You have it," said his companion-rudely, indeed, but not quite offensively, and put his cigar in his mouth again.	true	132.2	141.49	20.384026
7069_246893_000006_000000	Wingfold was not one to take umbrage easily.	Wingfold was not one to take umbrage easily.	true	142.73	145.42	18
7069_246893_000006_000001	He was not important enough in his own eyes for that, but he did not choose to go farther.	He was not important enough in his own eyes for that, but he did not choose to go farther.	true	145.49	151.12	19
7069_246893_000007_000000	"That's a fine old church," he said, pointing to the dark mass invading the blue--so solid, yet so clear in outline.	"That's a fine old church," he said, pointing to the dark mass invading the blue-so solid, yet so clear in outline.	true	151.73	159.61	17
7069_246893_000008_000000	"I am glad the mason-work is to your mind," returned Bascombe, almost compassionately.	"I am glad the mason work is to your mind," returned Bascombe, almost compassionately.	true	160.7	166.6	13
