2010_121416_000002_000000	46.	forty six.
2010_121416_000003_000000	At a quarter to six o'clock, Monsieur de Gondy, having finished his business, returned to the archiepiscopal palace.	At a quarter to six o'clock, Monsieur de Gondy, having finished his business, returned to the archiepiscopal palace.
2010_121416_000005_000000	The coadjutor glanced rapidly behind and saw that he was followed by another man.	The coadjutor glanced rapidly behind and saw that he was followed by another man.
2010_121416_000006_000000	"Your holiness," said the curate, "here is the person of whom I had the honor to speak to you."	"Your holiness," said the curate, "here is the person of whom I had the honor to speak to you."
2010_121416_000007_000000	Planchet saluted in the manner of one accustomed to fine houses.	Planchet saluted in the manner of one accustomed to fine houses.
2010_121416_000008_000000	"And you are disposed to serve the cause of the people?" asked Gondy.	"And you are disposed to serve the cause of the people?" asked Gondy.
2010_121416_000009_000001	"I am a Frondist from my heart.	"I am a Frondist from my heart.
2010_121416_000009_000002	You see in me, such as I am, a person sentenced to be hung."	You see in me, such as I am, a person sentenced to be hung."
2010_121416_000010_000000	"And on what account?"	"And on what account?"
2010_121416_000014_000000	"Ah! really, yes," said the coadjutor, "I have heard this affair mentioned.	"Ah! really, yes," said the coadjutor, "I have heard this affair mentioned.
2010_121416_000014_000001	You raised the whole district, so they told me!"	You raised the whole district, so they told me!"
2010_121416_000017_000000	"That of a confectioner, in the Rue des Lombards."	"That of a confectioner, in the Rue des Lombards."
2010_121416_000018_000000	"Explain to me how it happens that, following so peaceful a business, you had such warlike inclinations."	"Explain to me how it happens that, following so peaceful a business, you had such warlike inclinations."
2010_121416_000019_000000	"Why does my lord, belonging to the church, now receive me in the dress of an officer, with a sword at his side and spurs to his boots?"	"Why does my lord, belonging to the church, now receive me in the dress of an officer, with a sword at his side and spurs to his boots?"
2010_121416_000020_000000	"Not badly answered, i'faith," said Gondy, laughing; "but I have, you must know, always had, in spite of my bands, warlike inclinations."	"Not badly answered, i'faith," said Gondy, laughing; "but I have, you must know, always had, in spite of my bands, warlike inclinations."
2010_121416_000021_000000	"Well, my lord, before I became a confectioner I myself was three years sergeant in the Piedmontese regiment, and before I became sergeant I was for eighteen months the servant of Monsieur d'Artagnan."	"Well, my lord, before I became a confectioner I myself was three years sergeant in the Piedmontese regiment, and before I became sergeant I was for eighteen months the servant of Monsieur d'Artagnan."
2010_121416_000022_000000	"The lieutenant of musketeers?" asked Gondy.	"The lieutenant of musketeers?" asked Gondy.
2010_121416_000023_000000	"Himself, my lord."	"Himself, my lord."
2010_121416_000026_000000	"What do you mean by that?"	"What do you mean by that?"
2010_121416_000027_000000	"Nothing, my lord; Monsieur d'Artagnan belongs to the service; Monsieur d'Artagnan makes it his business to defend the cardinal, who pays him, as much as we make it ours, we citizens, to attack him, whom he robs."	"Nothing, my lord; Monsieur d'Artagnan belongs to the service; Monsieur d'Artagnan makes it his business to defend the cardinal, who pays him, as much as we make it ours, we citizens, to attack him, whom he robs."
2010_121416_000028_000000	"You are an intelligent fellow, my friend; can we count upon you?"	"You are an intelligent fellow, my friend; can we count upon you?"
2010_121416_000029_000000	"You may count upon me, my lord, provided you want to make a complete upheaval of the city."	"You may count upon me, my lord, provided you want to make a complete upheaval of the city."
2010_121416_000030_000000	"'Tis that exactly.	"'tis that exactly.
2010_121416_000030_000001	How many men, think you, you could collect together to-night?"	How many men, think you, you could collect together to night?"
2010_121416_000031_000000	"Two hundred muskets and five hundred halberds."	"Two hundred muskets and five hundred halberds."
2010_121416_000032_000000	"Let there be only one man in every district who can do as much and by to-morrow we shall have quite a powerful army.	"Let there be only one man in every district who can do as much and by to morrow we shall have quite a powerful army.
2010_121416_000032_000001	Are you disposed to obey Count de Rochefort?"	Are you disposed to obey Count de Rochefort?"
2010_121416_000033_000000	"I would follow him to hell, and that is saying not a little, as I believe him entirely capable of the descent."	"I would follow him to hell, and that is saying not a little, as I believe him entirely capable of the descent."
2010_121416_000035_000000	"By what sign to-morrow shall we be able to distinguish friends from foes?"	"By what sign to morrow shall we be able to distinguish friends from foes?"
2010_121416_000036_000000	"Every Frondist must put a knot of straw in his hat."	"Every Frondist must put a knot of straw in his hat."
2010_121416_000037_000000	"Good!	"Good!
2010_121416_000037_000001	Give the watchword."	Give the watchword."
2010_121416_000038_000000	"Do you want money?"	"Do you want money?"
2010_121416_000039_000000	"Money never comes amiss at any time, my lord; if one has it not, one must do without it; with it, matters go on much better and more rapidly."	"Money never comes amiss at any time, my lord; if one has it not, one must do without it; with it, matters go on much better and more rapidly."
2010_121416_000040_000000	Gondy went to a box and drew forth a bag.	Gondy went to a box and drew forth a bag.
2010_121416_000041_000000	"Here are five hundred pistoles," he said; "and if the action goes off well you may reckon upon a similar sum to-morrow."	"Here are five hundred pistoles," he said; "and if the action goes off well you may reckon upon a similar sum to morrow."
2010_121416_000042_000000	"I will give a faithful account of the sum to your lordship," said Planchet, putting the bag under his arm.	"I will give a faithful account of the sum to your lordship," said Planchet, putting the bag under his arm.
2010_121416_000043_000000	"That is right; I recommend the cardinal to your attention."	"That is right; I recommend the cardinal to your attention."
2010_121416_000044_000000	"Make your mind easy, he is in good hands."	"Make your mind easy, he is in good hands."
2010_121416_000045_000000	Planchet went out, the curate remaining for a moment.	Planchet went out, the curate remaining for a moment.
2010_121416_000046_000000	"Are you satisfied, my lord?" he asked.	"Are you satisfied, my lord?" he asked.
2010_121416_000047_000000	"Yes; he appears to be a resolute fellow."	"Yes; he appears to be a resolute fellow."
2010_121416_000049_000000	"He will do wonders then."	"He will do wonders then."
2010_121416_000050_000000	The curate rejoined Planchet, who was waiting for him on the stairs.	The curate rejoined Planchet, who was waiting for him on the stairs.
2010_121416_000050_000002	As soon as the door of Gondy's study was opened a man rushed in.	As soon as the door of Gondy's study was opened a man rushed in.
2010_121416_000050_000003	It was the Count de Rochefort.	It was the Count de Rochefort.
2010_121416_000051_000000	"'Tis you, then, my dear count," cried Gondy, offering his hand.	"'tis you, then, my dear count," cried Gondy, offering his hand.
2010_121416_000053_000000	"It has been made up a long time," said Gondy.	"It has been made up a long time," said Gondy.
2010_121416_000054_000001	Well, we are going to give a ball to Mazarin."	Well, we are going to give a ball to Mazarin."
2010_121416_000055_000000	"I hope so."	"I hope so."
2010_121416_000056_000000	"And when will the dance begin?"	"And when will the dance begin?"
2010_121416_000057_000000	"The invitations are given for this evening," said the coadjutor, "but the violins will not begin to play until to-morrow morning."	"The invitations are given for this evening," said the coadjutor, "but the violins will not begin to play until to morrow morning."
2010_121416_000059_000000	"Upon fifty soldiers?"	"Upon fifty soldiers?"
2010_121416_000061_000000	"Good, my dear Rochefort; but that is not all.	"Good, my dear Rochefort; but that is not all.
2010_121416_000062_000000	"He is in Vendome, where he will wait until I write to him to return to Paris."	"He is in Vendome, where he will wait until I write to him to return to Paris."
2010_121416_000065_000000	"Yes, but he must make haste; for hardly will the people of Paris have revolted before we shall have a score of princes begging to lead them. If he defers he will find the place of honor taken."	"Yes, but he must make haste; for hardly will the people of Paris have revolted before we shall have a score of princes begging to lead them. If he defers he will find the place of honor taken."
2010_121416_000067_000000	"Yes certainly."	"Yes certainly."
2010_121416_000068_000000	"Shall I tell him that he can count on you?"	"Shall I tell him that he can count on you?"
2010_121416_000069_000000	"To the end."	"To the end."
2010_121416_000071_000000	"Of the war, yes, but in politics----"	"Of the war, yes, but in politics----"
2010_121416_000072_000000	"You must know it is not his element."	"You must know it is not his element."
2010_121416_000073_000000	"He must leave me to negotiate for my cardinal's hat in my own fashion."	"He must leave me to negotiate for my cardinal's hat in my own fashion."
2010_121416_000074_000000	"You care about it, then, so much?"	"You care about it, then, so much?"
2010_121416_000075_000000	"Since they force me to wear a hat of a form which does not become me," said Gondy, "I wish at least that the hat should be red."	"Since they force me to wear a hat of a form which does not become me," said Gondy, "I wish at least that the hat should be red."
2010_121416_000076_000000	"One must not dispute matters of taste and colors," said Rochefort, laughing.	"One must not dispute matters of taste and colors," said Rochefort, laughing.
2010_121416_000076_000001	"I answer for his consent."	"I answer for his consent."
2010_121416_000078_000000	"In five days."	"In five days."
2010_121416_000079_000000	"Let him come and he will find a change, I will answer for it."	"Let him come and he will find a change, I will answer for it."
2010_121416_000080_000000	"Therefore, go and collect your fifty men and hold yourself in readiness."	"Therefore, go and collect your fifty men and hold yourself in readiness."
2010_121416_000081_000000	"For what?"	"For what?"
2010_121416_000082_000000	"For everything."	"For everything."
2010_121416_000084_000000	"A knot of straw in the hat."	"A knot of straw in the hat."
2010_121416_000085_000000	"Very good.	"Very good.
2010_121416_000085_000001	Adieu, my lord."	Adieu, my lord."
2010_121416_000086_000000	"Adieu, my dear Rochefort."	"Adieu, my dear Rochefort."
2010_121416_000087_000000	"Ah, Monsieur Mazarin, Monsieur Mazarin," said Rochefort, leading off his curate, who had not found an opportunity of uttering a single word during the foregoing dialogue, "you will see whether I am too old to be a man of action."	"Ah, Monsieur Mazarin, Monsieur Mazarin," said Rochefort, leading off his curate, who had not found an opportunity of uttering a single word during the foregoing dialogue, "you will see whether I am too old to be a man of action."
