4145_104606_000004_000000	CHAPTER VI	CHAPTER six
4145_104606_000005_000000	THE LONG ARM OF COINCIDENCE	THE LONG ARM OF COINCIDENCE
4145_104606_000006_000000	"Go," said Ella, as she hastened from the room, "and open the door, while I go upstairs and take my hat off."	"Go," said Ella, as she hastened from the room, "and open the door, while I go upstairs and take my hat off."
4145_104606_000007_000001	There were two persons at the door--Jack Martyn and another.	There were two persons at the door-Jack Martyn and another.
4145_104606_000008_000000	"This," said Jack, referring to his companion, "is a friend of mine."	"This," said Jack, referring to his companion, "is a friend of mine."
4145_104606_000009_000000	It was dark in the passage, and Madge was a little flurried.	It was dark in the passage, and Madge was a little flurried.
4145_104606_000009_000001	She perceived that Jack had a companion, and that was all.	She perceived that Jack had a companion, and that was all.
4145_104606_000010_000001	Ella has gone to take her hat off."	Ella has gone to take her hat off."
4145_104606_000011_000000	Presently, returning with the lighted lamp in her hand, placing it on the table, she glanced at Jack's companion--and stared.	Presently, returning with the lighted lamp in her hand, placing it on the table, she glanced at Jack's companion-and stared.
4145_104606_000011_000001	In her astonishment, she all but knocked the lamp over.	In her astonishment, she all but knocked the lamp over.
4145_104606_000011_000002	Jack laughed.	Jack laughed.
4145_104606_000012_000000	"I believe," he said, "you two have met before."	"I believe," he said, "you two have met before."
4145_104606_000013_000000	Madge continued speechless.	Madge continued speechless.
4145_104606_000013_000001	She passed her hand before her eyes, as if to make sure she was not dreaming.	She passed her hand before her eyes, as if to make sure she was not dreaming.
4145_104606_000013_000002	Jack laughed again.	Jack laughed again.
4145_104606_000014_000000	"I repeat that I believe you two have met before."	"I repeat that I believe you two have met before."
4145_104606_000015_000000	Madge drew herself up to her straightest and her stiffest.	Madge drew herself up to her straightest and her stiffest.
4145_104606_000015_000001	Her tone was icy.	Her tone was icy.
4145_104606_000016_000000	"Yes, I rather believe we have."	"Yes, I rather believe we have."
4145_104606_000017_000000	She rather believed they had?--If she could credit the evidence of her own eyes the man in front of her was the stranger who had so unwarrantably intruded on pretence of seeking music lessons--who had behaved in so extraordinary a fashion!	She rather believed they had?--If she could credit the evidence of her own eyes the man in front of her was the stranger who had so unwarrantably intruded on pretence of seeking music lessons-who had behaved in so extraordinary a fashion!
4145_104606_000018_000000	"This," went on Jack airily, "is a friend of mine, Bruce Graham,--Graham, this is Miss Brodie."	"This," went on Jack airily, "is a friend of mine, Bruce Graham,--Graham, this is Miss Brodie."
4145_104606_000019_000000	Madge acknowledged the introduction with an inclination of the head which was so faint as to be almost imperceptible.	Madge acknowledged the introduction with an inclination of the head which was so faint as to be almost imperceptible.
4145_104606_000019_000001	Mr. Graham, on the contrary, bent almost double--he seemed scarcely more at his ease than she was.	mr Graham, on the contrary, bent almost double-he seemed scarcely more at his ease than she was.
